time,Orlando,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. C. Zeller (E. Payton gains possession),,,,Jump ball: B. Biyombo vs. C. Zeller (E. Payton gains possession)
11:39.0,E. Fournier misses 3-pt shot from 24 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by M. Williams
11:38.0,Personal foul by B. Biyombo (drawn by M. Williams),,0-0,,
11:18.0,,,0-0,,Shooting foul by E. Payton (drawn by N. Batum)
11:18.0,,,0-2,2,N. Batum makes 2-pt shot from 10 ft
11:18.0,,,0-3,1,N. Batum makes free throw 1 of 1
11:00.0,Turnover by A. Gordon (bad pass; steal by M. Kidd-Gilchrist),,0-3,,
10:49.0,,,0-5,2,M. Kidd-Gilchrist makes 2-pt shot from 19 ft (assist by N. Batum)
10:36.0,E. Fournier misses 3-pt shot from 24 ft,,0-5,,
10:35.0,,,0-5,,Defensive rebound by M. Williams
10:24.0,,,0-8,3,K. Walker makes 3-pt shot from 25 ft (assist by C. Zeller)
10:07.0,A. Gordon makes 2-pt shot from 2 ft (assist by E. Payton),2,2-8,,
9:51.0,,,2-8,,M. Williams misses 2-pt shot from 3 ft (block by B. Biyombo)
9:49.0,Defensive rebound by E. Payton,,2-8,,
9:39.0,E. Fournier makes 2-pt shot from 1 ft (assist by B. Biyombo),2,4-8,,
9:30.0,,,4-8,,N. Batum misses 3-pt shot from 25 ft
9:29.0,Defensive rebound by Team,,4-8,,
9:21.0,Shooting foul by C. Zeller (drawn by A. Gordon),,4-8,,
9:21.0,A. Gordon makes 2-pt shot from 1 ft (assist by E. Payton),2,6-8,,
9:21.0,A. Gordon misses free throw 1 of 1,,6-8,,
9:19.0,,,6-8,,Defensive rebound by M. Williams
9:04.0,,,6-8,,K. Walker misses 3-pt shot from 26 ft
9:03.0,Defensive rebound by A. Gordon,,6-8,,
8:58.0,Turnover by A. Gordon (bad pass; steal by M. Williams),,6-8,,
8:42.0,,,6-8,,M. Kidd-Gilchrist misses 2-pt shot from 7 ft
8:41.0,Defensive rebound by E. Fournier,,6-8,,
8:40.0,Offensive charge foul by E. Fournier,,6-8,,
8:40.0,Turnover by E. Fournier (offensive foul),,6-8,,
8:24.0,,,6-10,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
8:10.0,A. Gordon misses 2-pt shot at rim,,6-10,,
8:09.0,,,6-10,,Defensive rebound by M. Kidd-Gilchrist
7:57.0,,,6-10,,N. Batum misses 2-pt shot from 7 ft
7:56.0,Defensive rebound by A. Gordon,,6-10,,
7:42.0,A. Gordon misses 2-pt shot from 5 ft (block by C. Zeller),,6-10,,
7:42.0,Offensive rebound by Team,,6-10,,
7:38.0,E. Fournier misses 3-pt shot from 25 ft,,6-10,,
7:37.0,,,6-10,,Defensive rebound by M. Williams
7:27.0,Personal foul by A. Gordon (drawn by M. Williams),,6-10,,
7:17.0,,,6-10,,M. Kidd-Gilchrist misses 2-pt shot from 16 ft
7:16.0,Defensive rebound by B. Biyombo,,6-10,,
7:05.0,B. Biyombo makes 2-pt shot at rim (assist by E. Payton),2,8-10,,
6:41.0,,,8-13,3,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum)
6:12.0,T. Ross misses 3-pt shot from 24 ft,,8-13,,
6:11.0,,,8-13,,Defensive rebound by M. Kidd-Gilchrist
5:52.0,,,8-15,2,C. Zeller makes 2-pt shot from 8 ft (assist by N. Batum)
5:52.0,Orlando full timeout,,8-15,,
5:52.0,,,8-15,,M. Belinelli enters the game for M. Williams
5:38.0,A. Gordon makes 2-pt shot from 1 ft,2,10-15,,
5:38.0,Shooting foul by M. Kidd-Gilchrist (drawn by A. Gordon),,10-15,,
5:38.0,A. Gordon makes free throw 1 of 1,1,11-15,,
5:19.0,,,11-17,2,N. Batum makes 2-pt shot from 14 ft
