time,Philadelphia,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. B. Lopez (T. Booker gains possession),,,,Jump ball: J. Embiid vs. B. Lopez (T. Booker gains possession)
11:48.0,,,0-0,,B. Bogdanovic misses 2-pt shot from 16 ft
11:47.0,Defensive rebound by N. Stauskas,,0-0,,
11:35.0,Turnover by T. McConnell (bad pass; steal by T. Booker),,0-0,,
11:31.0,,,0-0,,T. Booker misses 2-pt shot from 2 ft
11:29.0,,,0-0,,Offensive rebound by B. Bogdanovic
11:28.0,,,0-2,2,B. Bogdanovic makes 2-pt shot from 3 ft
11:13.0,R. Covington misses 3-pt shot from 25 ft,,0-2,,
11:10.0,,,0-2,,Defensive rebound by J. Harris
11:04.0,,,0-2,,B. Bogdanovic misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by T. McConnell,,0-2,,
10:50.0,E. Ilyasova misses 2-pt shot from 7 ft,,0-2,,
10:49.0,,,0-2,,Defensive rebound by B. Bogdanovic
10:33.0,,,0-5,3,B. Lopez makes 3-pt shot from 23 ft (assist by B. Bogdanovic)
10:20.0,E. Ilyasova makes 2-pt shot from 3 ft (assist by T. McConnell),2,2-5,,
10:12.0,,,2-5,,Turnover by I. Whitehead (bad pass)
9:57.0,J. Embiid makes 2-pt shot from 11 ft (assist by N. Stauskas),2,4-5,,
9:57.0,Shooting foul by J. Harris (drawn by J. Embiid),,4-5,,
9:57.0,J. Embiid misses free throw 1 of 1,,4-5,,
9:56.0,,,4-5,,Defensive rebound by J. Harris
9:52.0,,,4-7,2,B. Bogdanovic makes 2-pt shot from 1 ft
9:34.0,Turnover by J. Embiid (traveling),,4-7,,
9:23.0,,,4-7,,B. Lopez misses 3-pt shot from 23 ft
9:21.0,Defensive rebound by T. McConnell,,4-7,,
9:16.0,T. McConnell misses 2-pt shot from 7 ft,,4-7,,
9:15.0,Offensive rebound by E. Ilyasova,,4-7,,
9:14.0,E. Ilyasova misses 2-pt shot from 2 ft,,4-7,,
9:13.0,Offensive rebound by E. Ilyasova,,4-7,,
9:12.0,E. Ilyasova misses 2-pt shot from 3 ft,,4-7,,
9:11.0,,,4-7,,Defensive rebound by Team
9:11.0,Loose ball foul by E. Ilyasova (drawn by B. Lopez),,4-7,,
8:52.0,,,4-10,3,I. Whitehead makes 3-pt shot from 25 ft (assist by T. Booker)
8:37.0,R. Covington misses 3-pt shot from 25 ft,,4-10,,
8:36.0,,,4-10,,Defensive rebound by J. Harris
8:22.0,,,4-10,,Turnover by I. Whitehead (lost ball)
8:06.0,E. Ilyasova misses 3-pt shot from 25 ft,,4-10,,
