time,Brooklyn,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. B. Lopez (R. Hollis-Jefferson gains possession),,,,Jump ball: R. Gobert vs. B. Lopez (R. Hollis-Jefferson gains possession)
11:45.0,J. Lin misses 2-pt shot from 2 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by D. Favors
11:27.0,,,0-2,2,D. Favors makes 2-pt shot from 6 ft (assist by G. Hayward)
11:13.0,,,0-2,,Personal foul by J. Ingles (drawn by B. Lopez)
11:05.0,B. Lopez makes 2-pt shot from 13 ft (assist by J. Lin),2,2-2,,
10:46.0,,,2-5,3,G. Hill makes 3-pt shot from 25 ft
10:30.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by C. LeVert),2,4-5,,
10:13.0,,,4-7,2,D. Favors makes 2-pt shot at rim (assist by G. Hill)
9:58.0,Turnover by J. Lin (bad pass; steal by D. Favors),,4-7,,
9:41.0,,,4-9,2,G. Hill makes 2-pt shot from 2 ft
9:24.0,B. Lopez misses 3-pt shot from 23 ft,,4-9,,
9:24.0,,,4-9,,Defensive rebound by D. Favors
9:16.0,,,4-9,,Shooting foul by J. Lin (drawn by G. Hill)
9:16.0,,,4-10,1,G. Hill makes free throw 1 of 2
9:16.0,,,4-11,1,G. Hill makes free throw 2 of 2
9:03.0,R. Hollis-Jefferson misses 2-pt shot from 3 ft,,4-11,,
9:02.0,,,4-11,,Defensive rebound by D. Favors
8:54.0,,,4-11,,Turnover by R. Gobert (3 sec)
8:43.0,J. Lin misses 3-pt shot from 25 ft,,4-11,,
8:43.0,,,4-11,,Defensive rebound by G. Hill
8:34.0,,,4-11,,Shooting foul by R. Hollis-Jefferson (drawn by G. Hill)
8:34.0,,,4-12,1,G. Hill makes free throw 1 of 2
8:34.0,,,4-13,1,G. Hill makes free throw 2 of 2
8:22.0,Turnover by B. Lopez (bad pass),,4-13,,
7:59.0,,,4-15,2,D. Favors makes 2-pt shot from 7 ft
7:43.0,C. LeVert misses 3-pt shot from 25 ft,,4-15,,
7:42.0,,,4-15,,Defensive rebound by D. Favors
7:29.0,,,4-15,,J. Ingles misses 3-pt shot from 24 ft
7:29.0,Defensive rebound by C. LeVert,,4-15,,
7:17.0,R. Foye makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson),3,7-15,,
7:04.0,,,7-17,2,R. Gobert makes 2-pt shot at rim (assist by G. Hill)
7:03.0,Brooklyn full timeout,,7-17,,
7:03.0,S. Dinwiddie enters the game for J. Lin,,7-17,,
6:51.0,B. Lopez misses 2-pt shot from 8 ft,,7-17,,
6:50.0,,,7-17,,Defensive rebound by R. Gobert
6:41.0,,,7-19,2,D. Favors makes 2-pt shot at rim (assist by J. Ingles)
6:30.0,R. Foye makes 3-pt shot from 25 ft,3,10-19,,
6:18.0,Violation by B. Lopez (kicked ball),,10-19,,
6:18.0,,,10-19,,D. Exum enters the game for G. Hill
6:18.0,,,10-19,,B. Diaw enters the game for D. Favors
6:13.0,,,10-22,3,J. Ingles makes 3-pt shot from 25 ft (assist by B. Diaw)
6:01.0,,,10-22,,Personal foul by G. Hayward (drawn by R. Foye)
5:57.0,B. Lopez makes 3-pt shot from 25 ft (assist by C. LeVert),3,13-22,,
5:35.0,,,13-22,,B. Diaw misses 2-pt shot from 1 ft
5:34.0,Defensive rebound by B. Lopez,,13-22,,
5:25.0,B. Lopez misses 3-pt shot from 25 ft,,13-22,,
5:25.0,,,13-22,,Defensive rebound by J. Ingles
5:16.0,,,13-22,,Turnover by R. Gobert (traveling)
5:16.0,S. Kilpatrick enters the game for R. Foye,,13-22,,
5:05.0,B. Lopez makes 2-pt shot from 14 ft (assist by S. Dinwiddie),2,15-22,,
5:05.0,Shooting foul by D. Exum (drawn by B. Lopez),,15-22,,
5:05.0,B. Lopez makes free throw 1 of 1,1,16-22,,
5:05.0,,,15-22,,A. Burks enters the game for J. Ingles
5:05.0,J. Harris enters the game for C. LeVert,,15-22,,
5:05.0,T. Booker enters the game for R. Hollis-Jefferson,,15-22,,
4:52.0,,,16-22,,D. Exum misses 3-pt shot from 25 ft
4:50.0,Defensive rebound by B. Lopez,,16-22,,
4:38.0,B. Lopez misses 2-pt shot from 10 ft (block by R. Gobert),,16-22,,
4:37.0,,,16-22,,Defensive rebound by B. Diaw
4:29.0,,,16-24,2,B. Diaw makes 2-pt shot from 19 ft
4:10.0,S. Kilpatrick misses 2-pt shot from 3 ft (block by R. Gobert),,16-24,,
4:10.0,Offensive rebound by Team,,16-24,,
4:10.0,Q. Acy enters the game for B. Lopez,,16-24,,
4:10.0,,,16-24,,D. Favors enters the game for R. Gobert
4:02.0,S. Dinwiddie makes 2-pt shot from 15 ft,2,18-24,,
3:43.0,,,18-24,,B. Diaw misses 2-pt shot from 2 ft
3:43.0,,,18-24,,Offensive rebound by B. Diaw
3:43.0,,,18-24,,B. Diaw misses 2-pt shot from 2 ft
3:42.0,Defensive rebound by Q. Acy,,18-24,,
3:33.0,S. Dinwiddie misses 2-pt shot from 12 ft,,18-24,,
3:33.0,,,18-24,,Defensive rebound by B. Diaw
3:24.0,,,18-24,,Shooting foul by Q. Acy (drawn by D. Favors)
3:24.0,,,18-26,2,D. Favors makes 2-pt shot from 2 ft (assist by B. Diaw)
3:24.0,,,18-27,1,D. Favors makes free throw 1 of 1
3:14.0,T. Booker makes 2-pt shot at rim (assist by S. Dinwiddie),2,20-27,,
2:53.0,,,20-27,,A. Burks misses 2-pt shot from 13 ft
2:53.0,Defensive rebound by T. Booker,,20-27,,
2:45.0,T. Booker makes 2-pt shot from 7 ft,2,22-27,,
2:45.0,,,22-27,,Utah full timeout
2:45.0,I. Whitehead enters the game for S. Dinwiddie,,22-27,,
2:45.0,,,22-27,,G. Hill enters the game for D. Exum
2:37.0,,,22-27,,Shooting foul by J. Harris (drawn by G. Hayward)
2:37.0,,,22-27,,G. Hayward misses free throw 1 of 2
2:37.0,,,22-27,,Offensive rebound by Team
2:37.0,,,22-28,1,G. Hayward makes free throw 2 of 2
2:21.0,Shooting foul by A. Burks (drawn by S. Kilpatrick),,22-28,,
2:21.0,S. Kilpatrick misses free throw 1 of 2,,22-28,,
2:21.0,Offensive rebound by Team,,22-28,,
2:21.0,S. Kilpatrick makes free throw 2 of 2,1,23-28,,
2:21.0,,,22-28,,J. Ingles enters the game for G. Hayward
2:06.0,,,23-31,3,A. Burks makes 3-pt shot from 24 ft (assist by B. Diaw)
1:52.0,I. Whitehead misses 2-pt shot from 12 ft,,23-31,,
1:52.0,,,23-31,,Defensive rebound by B. Diaw
1:39.0,,,23-33,2,D. Favors makes 2-pt shot from 1 ft (assist by G. Hill)
1:18.0,Q. Acy makes 3-pt shot from 25 ft (assist by S. Kilpatrick),3,26-33,,
0:56.0,,,26-35,2,B. Diaw makes 2-pt shot from 2 ft
0:47.0,T. Booker misses 2-pt shot from 2 ft,,26-35,,
0:46.0,,,26-35,,Defensive rebound by J. Ingles
0:36.0,,,26-35,,B. Diaw misses 2-pt shot from 22 ft
0:35.0,Defensive rebound by T. Booker,,26-35,,
0:26.0,I. Whitehead misses 3-pt shot from 24 ft,,26-35,,
0:26.0,,,26-35,,Defensive rebound by D. Favors
0:07.0,,,26-35,,Shooting foul by I. Whitehead (drawn by G. Hill)
0:07.0,,,26-36,1,G. Hill makes free throw 1 of 3
0:07.0,,,26-37,1,G. Hill makes free throw 2 of 3
0:07.0,,,26-38,1,G. Hill makes free throw 3 of 3
0:01.0,Q. Acy misses 3-pt shot from 24 ft,,26-38,,
0:00.0,Offensive rebound by Team,,26-38,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,26-38,,Turnover by J. Ingles (bad pass)
11:25.0,I. Whitehead makes 2-pt shot from 6 ft,2,28-38,,
11:08.0,,,28-38,,Turnover by G. Hill (bad pass; steal by I. Whitehead)
11:02.0,I. Whitehead misses 2-pt shot from 4 ft (block by T. Lyles),,28-38,,
11:00.0,Offensive rebound by I. Whitehead,,28-38,,
10:57.0,Q. Acy makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,30-38,,
10:57.0,Shooting foul by A. Burks (drawn by Q. Acy),,30-38,,
10:57.0,Q. Acy misses free throw 1 of 1,,30-38,,
10:57.0,,,30-38,,Defensive rebound by T. Lyles
10:38.0,,,30-40,2,G. Hill makes 2-pt shot from 20 ft
10:19.0,T. Booker makes 2-pt shot from 19 ft,2,32-40,,
10:02.0,,,32-40,,A. Burks misses 2-pt shot from 20 ft
10:02.0,Defensive rebound by T. Booker,,32-40,,
9:52.0,J. Harris misses 3-pt shot from 25 ft,,32-40,,
9:52.0,Offensive rebound by T. Booker,,32-40,,
9:48.0,J. Harris misses 2-pt shot from 3 ft (block by T. Lyles),,32-40,,
9:46.0,Offensive rebound by J. Harris,,32-40,,
9:45.0,J. Harris makes 2-pt shot from 2 ft,2,34-40,,
9:30.0,,,34-40,,J. Ingles misses 2-pt shot from 12 ft
9:30.0,Defensive rebound by T. Booker,,34-40,,
9:15.0,J. Harris misses 3-pt shot from 25 ft,,34-40,,
9:15.0,,,34-40,,Defensive rebound by A. Burks
8:56.0,,,34-40,,Offensive foul by G. Hill
8:56.0,,,34-40,,Turnover by G. Hill (offensive foul)
8:56.0,Brooklyn full timeout,,34-40,,
8:56.0,,,34-40,,D. Exum enters the game for G. Hill
8:56.0,,,34-40,,R. Gobert enters the game for D. Favors
8:56.0,,,34-40,,G. Hayward enters the game for J. Ingles
8:40.0,T. Booker misses 2-pt shot from 4 ft,,34-40,,
8:40.0,,,34-40,,Defensive rebound by A. Burks
8:29.0,Loose ball foul by T. Booker (drawn by D. Exum),,34-40,,
8:20.0,,,34-40,,T. Lyles misses 3-pt shot from 23 ft
8:20.0,Defensive rebound by I. Whitehead,,34-40,,
7:55.0,T. Booker misses 3-pt shot from 25 ft,,34-40,,
7:54.0,,,34-40,,Defensive rebound by T. Lyles
7:48.0,Personal foul by S. Dinwiddie (drawn by G. Hayward),,34-40,,
7:43.0,,,34-43,3,G. Hayward makes 3-pt shot from 24 ft
7:34.0,Turnover by T. Booker (bad pass; steal by A. Burks),,34-43,,
7:17.0,,,34-43,,Shooting foul by T. Booker (drawn by D. Exum)
7:17.0,,,34-44,1,D. Exum makes free throw 1 of 2
7:17.0,,,34-45,1,D. Exum makes free throw 2 of 2
7:17.0,B. Lopez enters the game for Q. Acy,,34-44,,
7:03.0,Shooting foul by R. Gobert (drawn by B. Lopez),,34-45,,
7:03.0,B. Lopez makes free throw 1 of 2,1,35-45,,
7:03.0,B. Lopez makes free throw 2 of 2,1,36-45,,
6:45.0,,,36-45,,Offensive foul by D. Exum
6:45.0,,,36-45,,Turnover by D. Exum (offensive foul)
6:45.0,S. Kilpatrick enters the game for J. Harris,,36-45,,
6:30.0,Turnover by I. Whitehead (lost ball; steal by T. Lyles),,36-45,,
6:23.0,,,36-47,2,R. Gobert makes 2-pt shot at rim (assist by D. Exum)
6:23.0,Brooklyn full timeout,,36-47,,
5:58.0,S. Kilpatrick misses 3-pt shot from 25 ft,,36-47,,
5:58.0,Offensive rebound by T. Booker,,36-47,,
5:46.0,S. Dinwiddie makes 2-pt shot from 2 ft,2,38-47,,
5:27.0,,,38-47,,A. Burks misses 2-pt shot at rim (block by B. Lopez)
5:25.0,Defensive rebound by S. Kilpatrick,,38-47,,
5:07.0,S. Kilpatrick misses 2-pt shot from 2 ft,,38-47,,
5:06.0,,,38-47,,Defensive rebound by D. Exum
4:57.0,,,38-50,3,D. Exum makes 3-pt shot from 23 ft (assist by T. Lyles)
4:41.0,B. Lopez misses 2-pt shot from 13 ft,,38-50,,
4:41.0,,,38-50,,Defensive rebound by T. Lyles
4:30.0,,,38-50,,T. Lyles misses 2-pt shot from 7 ft
4:29.0,Defensive rebound by T. Booker,,38-50,,
4:19.0,S. Kilpatrick makes 2-pt shot from 2 ft,2,40-50,,
4:01.0,,,40-50,,T. Lyles misses 3-pt shot from 23 ft
4:01.0,Defensive rebound by S. Dinwiddie,,40-50,,
3:50.0,I. Whitehead makes 3-pt shot from 25 ft (assist by B. Lopez),3,43-50,,
3:50.0,,,43-50,,Utah full timeout
3:50.0,R. Hollis-Jefferson enters the game for S. Dinwiddie,,43-50,,
3:50.0,J. Lin enters the game for T. Booker,,43-50,,
3:50.0,C. LeVert enters the game for I. Whitehead,,43-50,,
3:50.0,,,43-50,,J. Ingles enters the game for D. Exum
3:50.0,,,43-50,,G. Hill enters the game for A. Burks
3:50.0,,,43-50,,D. Favors enters the game for T. Lyles
3:39.0,,,43-50,,Shooting foul by B. Lopez (drawn by R. Gobert)
3:39.0,,,43-51,1,R. Gobert makes free throw 1 of 2
3:39.0,,,43-51,,R. Gobert misses free throw 2 of 2
3:39.0,Defensive rebound by B. Lopez,,43-51,,
3:25.0,C. LeVert makes 2-pt shot from 15 ft,2,45-51,,
3:05.0,,,45-53,2,G. Hill makes 2-pt shot from 11 ft
3:00.0,,,45-53,,Personal foul by G. Hill (drawn by J. Lin)
2:51.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft,2,47-53,,
2:27.0,,,47-53,,J. Ingles misses 3-pt shot from 27 ft
2:26.0,Defensive rebound by J. Lin,,47-53,,
