time,LA Clippers,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. D. Jordan (C. Paul gains possession),,,,Jump ball: R. Gobert vs. D. Jordan (C. Paul gains possession)
11:45.0,L. Mbah a Moute misses 2-pt shot from 8 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by Team
11:31.0,,,0-0,,R. Gobert misses 2-pt shot from 4 ft
11:30.0,Defensive rebound by A. Rivers,,0-0,,
11:17.0,J. Redick makes 3-pt shot from 25 ft (assist by L. Mbah a Moute),3,3-0,,
10:56.0,,,3-0,,Shooting foul by D. Jordan (drawn by R. Gobert)
10:56.0,,,3-1,1,R. Gobert makes free throw 1 of 2
10:56.0,,,3-1,,R. Gobert misses free throw 2 of 2
10:55.0,Defensive rebound by A. Rivers,,3-1,,
10:36.0,Turnover by J. Redick (traveling),,3-1,,
10:17.0,,,3-3,2,R. Gobert makes 2-pt shot from 3 ft (assist by B. Diaw)
10:06.0,C. Paul misses 2-pt shot from 10 ft,,3-3,,
10:05.0,Offensive rebound by D. Jordan,,3-3,,
10:03.0,D. Jordan misses 2-pt shot from 2 ft (block by G. Hill),,3-3,,
10:00.0,,,3-3,,Defensive rebound by G. Hill
9:53.0,,,3-5,2,B. Diaw makes 2-pt shot from 4 ft
9:39.0,J. Redick misses 2-pt shot from 22 ft,,3-5,,
9:38.0,,,3-5,,Defensive rebound by G. Hill
9:31.0,,,3-5,,Shooting foul by J. Redick (drawn by G. Hill)
9:31.0,,,3-6,1,G. Hill makes free throw 1 of 2
9:31.0,,,3-7,1,G. Hill makes free throw 2 of 2
9:20.0,A. Rivers misses 2-pt shot from 10 ft,,3-7,,
9:19.0,,,3-7,,Defensive rebound by R. Gobert
9:12.0,,,3-9,2,G. Hayward makes 2-pt shot at rim
9:12.0,LA Clippers full timeout,,3-9,,
8:53.0,,,3-9,,Personal foul by R. Gobert (drawn by D. Jordan)
8:50.0,Shooting foul by B. Diaw (drawn by D. Jordan),,3-9,,
8:50.0,D. Jordan misses free throw 1 of 2,,3-9,,
8:50.0,Offensive rebound by Team,,3-9,,
8:50.0,D. Jordan misses free throw 2 of 2,,3-9,,
8:48.0,,,3-9,,Defensive rebound by G. Hill
8:31.0,,,3-9,,G. Hayward misses 3-pt shot from 24 ft
8:31.0,Defensive rebound by A. Rivers,,3-9,,
8:23.0,A. Rivers misses 3-pt shot from 25 ft,,3-9,,
8:23.0,,,3-9,,Defensive rebound by B. Diaw
8:11.0,,,3-9,,R. Gobert misses 2-pt shot from 12 ft
8:10.0,Defensive rebound by D. Jordan,,3-9,,
8:04.0,C. Paul makes 2-pt shot from 22 ft,2,5-9,,
8:04.0,Shooting foul by G. Hill (drawn by C. Paul),,5-9,,
8:04.0,C. Paul makes free throw 1 of 1,1,6-9,,
8:04.0,P. Pierce enters the game for L. Mbah a Moute,,5-9,,
7:53.0,,,6-9,,Shooting foul by C. Paul (drawn by G. Hill)
7:53.0,,,6-9,,G. Hill misses free throw 1 of 3
7:53.0,,,6-9,,Offensive rebound by Team
7:53.0,,,6-9,,G. Hill misses free throw 2 of 3
7:53.0,,,6-9,,Offensive rebound by Team
7:53.0,,,6-10,1,G. Hill makes free throw 3 of 3
7:33.0,C. Paul makes 2-pt shot from 6 ft,2,8-10,,
7:19.0,,,8-13,3,G. Hill makes 3-pt shot from 24 ft (assist by J. Ingles)
6:54.0,D. Jordan makes 2-pt shot at rim,2,10-13,,
6:29.0,,,10-13,,G. Hill misses 2-pt shot from 2 ft
6:29.0,,,10-13,,Offensive rebound by R. Gobert
6:27.0,,,10-15,2,R. Gobert makes 2-pt shot from 2 ft
6:15.0,,,10-15,,Personal foul by G. Hill (drawn by D. Jordan)
6:15.0,J. Crawford enters the game for A. Rivers,,10-15,,
6:15.0,L. Mbah a Moute enters the game for J. Redick,,10-15,,
6:15.0,,,10-15,,J. Johnson enters the game for B. Diaw
6:15.0,,,10-15,,R. Hood enters the game for J. Ingles
6:15.0,,,10-15,,R. Neto enters the game for G. Hill
6:08.0,Shooting foul by R. Neto (drawn by C. Paul),,10-15,,
6:08.0,C. Paul misses free throw 1 of 2,,10-15,,
6:08.0,Offensive rebound by Team,,10-15,,
6:08.0,C. Paul makes free throw 2 of 2,1,11-15,,
5:47.0,,,11-15,,R. Hood misses 2-pt shot from 10 ft
5:46.0,Defensive rebound by C. Paul,,11-15,,
5:36.0,Turnover by P. Pierce (bad pass; steal by R. Gobert),,11-15,,
5:30.0,Personal foul by P. Pierce (drawn by J. Johnson),,11-15,,
5:17.0,,,11-15,,R. Gobert misses 2-pt shot from 5 ft
5:15.0,Defensive rebound by D. Jordan,,11-15,,
