time,Washington,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Henson (J. Wall gains possession),,,,Jump ball: M. Gortat vs. J. Henson (J. Wall gains possession)
11:43.0,M. Morris makes 2-pt shot at rim (assist by O. Porter),2,2-0,,
11:19.0,,,2-0,,Turnover by J. Henson (dbl dribble)
11:09.0,,,2-0,,Personal foul by J. Henson (drawn by M. Morris)
11:03.0,M. Morris makes 2-pt shot at rim,2,4-0,,
10:47.0,,,4-3,3,J. Parker makes 3-pt shot from 26 ft (assist by J. Henson)
10:35.0,B. Beal misses 3-pt shot from 23 ft,,4-3,,
10:33.0,,,4-3,,Defensive rebound by T. Snell
10:22.0,,,4-6,3,M. Brogdon makes 3-pt shot from 25 ft (assist by M. Teletovic)
10:08.0,Shooting foul by J. Henson (drawn by O. Porter),,4-6,,
10:08.0,O. Porter makes free throw 1 of 2,1,5-6,,
10:08.0,O. Porter makes free throw 2 of 2,1,6-6,,
9:41.0,,,6-6,,M. Brogdon misses 2-pt shot from 16 ft
9:40.0,Defensive rebound by M. Morris,,6-6,,
9:29.0,J. Wall misses 3-pt shot from 26 ft,,6-6,,
9:28.0,Offensive rebound by Team,,6-6,,
9:21.0,B. Beal makes 2-pt shot from 4 ft (assist by O. Porter),2,8-6,,
9:09.0,Personal foul by M. Morris (drawn by M. Brogdon),,8-6,,
9:05.0,,,8-9,3,J. Parker makes 3-pt shot from 27 ft (assist by J. Henson)
8:51.0,Turnover by B. Beal (bad pass; steal by J. Henson),,8-9,,
8:47.0,,,8-9,,Turnover by M. Brogdon (step out of bounds)
8:28.0,M. Gortat misses 2-pt shot from 2 ft,,8-9,,
8:25.0,,,8-9,,Defensive rebound by J. Parker
8:10.0,,,8-9,,J. Henson misses 2-pt shot at rim
8:08.0,Defensive rebound by B. Beal,,8-9,,
8:00.0,M. Gortat makes 2-pt shot from 1 ft (assist by B. Beal),2,10-9,,
7:47.0,,,10-11,2,M. Brogdon makes 2-pt shot from 1 ft
7:34.0,Turnover by M. Morris (bad pass; steal by M. Teletovic),,10-11,,
7:26.0,,,10-11,,M. Brogdon misses 2-pt shot from 2 ft
7:23.0,Defensive rebound by O. Porter,,10-11,,
7:10.0,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall),3,13-11,,
6:55.0,,,13-11,,J. Parker misses 2-pt shot from 18 ft
6:53.0,Defensive rebound by M. Gortat,,13-11,,
6:42.0,Turnover by B. Beal (bad pass; steal by M. Brogdon),,13-11,,
6:21.0,,,13-14,3,T. Snell makes 3-pt shot from 28 ft (assist by J. Parker)
6:06.0,B. Beal misses 3-pt shot from 26 ft,,13-14,,
6:05.0,,,13-14,,Defensive rebound by M. Teletovic
5:57.0,,,13-14,,T. Snell misses 3-pt shot from 28 ft
5:56.0,Defensive rebound by M. Morris,,13-14,,
5:46.0,,,13-14,,Personal foul by J. Parker (drawn by M. Gortat)
5:46.0,,,13-14,,Milwaukee full timeout
5:46.0,,,13-14,,G. Monroe enters the game for M. Teletovic
5:46.0,,,13-14,,M. Beasley enters the game for J. Henson
5:36.0,O. Porter makes 3-pt shot from 26 ft (assist by M. Morris),3,16-14,,
5:08.0,,,16-17,3,M. Beasley makes 3-pt shot from 26 ft (assist by M. Brogdon)
4:54.0,M. Morris misses 3-pt shot from 22 ft,,16-17,,
4:53.0,,,16-17,,Defensive rebound by G. Monroe
4:43.0,Def 3 sec tech foul by M. Morris,,16-17,,
4:43.0,,,16-18,1,M. Brogdon makes technical free throw
4:43.0,K. Oubre enters the game for M. Morris,,16-18,,
4:32.0,,,16-18,,T. Snell misses 3-pt shot from 24 ft
4:31.0,Defensive rebound by O. Porter,,16-18,,
4:27.0,B. Beal makes 2-pt shot at rim (assist by J. Wall),2,18-18,,
4:16.0,,,18-20,2,J. Parker makes 2-pt shot at rim (assist by M. Brogdon)
4:03.0,Turnover by M. Gortat (lost ball; steal by G. Monroe),,18-20,,
4:00.0,,,18-20,,G. Monroe misses 2-pt shot from 3 ft (block by O. Porter)
3:59.0,,,18-20,,Offensive rebound by G. Monroe
3:54.0,Personal foul by B. Beal (drawn by M. Beasley),,18-20,,
3:54.0,,,18-20,,M. Dellavedova enters the game for M. Brogdon
3:39.0,,,18-22,2,T. Snell makes 2-pt shot at rim
3:17.0,M. Gortat misses 2-pt shot from 15 ft,,18-22,,
3:15.0,,,18-22,,Defensive rebound by M. Dellavedova
3:07.0,,,18-22,,J. Parker misses 2-pt shot from 5 ft
3:06.0,Defensive rebound by J. Wall,,18-22,,
2:59.0,B. Beal makes 3-pt shot from 28 ft (assist by J. Wall),3,21-22,,
2:35.0,,,21-22,,J. Parker misses 3-pt shot from 27 ft
2:34.0,Defensive rebound by B. Beal,,21-22,,
2:24.0,J. Wall misses 2-pt shot from 17 ft,,21-22,,
2:23.0,,,21-22,,Defensive rebound by G. Monroe
2:13.0,,,21-22,,Shooting foul by K. Oubre (drawn by M. Beasley)
2:13.0,Washington full timeout,,21-22,,
2:13.0,,,21-23,1,M. Beasley makes free throw 1 of 2
2:13.0,,,21-24,1,M. Beasley makes free throw 2 of 2
2:13.0,S. Mac enters the game for B. Beal,,21-22,,
2:13.0,,,21-23,,J. Terry enters the game for T. Snell
2:01.0,O. Porter misses 3-pt shot from 26 ft,,21-24,,
1:59.0,,,21-24,,Defensive rebound by M. Beasley
1:44.0,,,21-24,,M. Beasley misses 2-pt shot from 15 ft
1:43.0,Defensive rebound by S. Mac,,21-24,,
1:34.0,Turnover by J. Wall (bad pass; steal by M. Beasley),,21-24,,
1:30.0,,,21-26,2,M. Beasley makes 2-pt shot from 1 ft
1:17.0,Turnover by J. Wall (bad pass; steal by G. Monroe),,21-26,,
1:12.0,,,21-26,,Offensive charge foul by M. Beasley
1:12.0,,,21-26,,Turnover by M. Beasley (offensive foul)
1:12.0,,,21-26,,M. Teletovic enters the game for J. Parker
0:59.0,K. Oubre makes 3-pt shot from 24 ft (assist by O. Porter),3,24-26,,
0:48.0,,,24-26,,Turnover by J. Terry (step out of bounds)
0:39.0,Turnover by J. Wall (lost ball; steal by G. Monroe),,24-26,,
0:38.0,,,24-28,2,M. Beasley makes 2-pt shot from 1 ft
0:38.0,,,24-28,,Shooting foul by O. Porter (drawn by M. Beasley)
0:38.0,,,24-29,1,M. Beasley makes free throw 1 of 1
0:25.0,Turnover by J. Wall (bad pass; steal by J. Terry),,24-29,,
