time,Washington,pts.away,score,pts.home,Memphis
2:56.0,O. Porter misses 2-pt shot from 3 ft,,16-17,,
2:55.0,,,16-17,,Defensive rebound by V. Carter
2:37.0,,,16-19,2,Z. Randolph makes 2-pt shot from 2 ft (assist by V. Carter)
2:23.0,A. Nicholson misses 3-pt shot from 26 ft,,16-19,,
2:22.0,,,16-19,,Defensive rebound by Z. Randolph
2:10.0,,,16-21,2,Z. Randolph makes 2-pt shot from 20 ft (assist by M. Conley)
2:04.0,Washington full timeout,,16-21,,
2:04.0,,,16-21,,Memphis full timeout
2:04.0,,,16-21,,W. Baldwin enters the game for J. Green
2:04.0,,,16-21,,J. Martin enters the game for M. Conley
2:04.0,J. Smith enters the game for M. Gortat,,16-21,,
2:04.0,M. Thornton enters the game for B. Beal,,16-21,,
1:48.0,O. Porter makes 2-pt shot from 14 ft,2,18-21,,
1:32.0,,,18-23,2,Z. Randolph makes 2-pt shot from 3 ft
1:32.0,,,18-23,,Shooting foul by A. Nicholson (drawn by Z. Randolph)
1:32.0,,,18-24,1,Z. Randolph makes free throw 1 of 1
1:11.0,O. Porter makes 2-pt shot from 21 ft (assist by M. Thornton),2,20-24,,
0:59.0,,,20-24,,Shooting foul by O. Porter (drawn by V. Carter)
0:59.0,,,20-25,1,V. Carter makes free throw 1 of 2
0:59.0,,,20-25,,V. Carter misses free throw 2 of 2
0:59.0,Defensive rebound by A. Nicholson,,20-25,,
0:59.0,K. Oubre enters the game for O. Porter,,20-25,,
0:41.0,M. Thornton makes 2-pt shot from 2 ft,2,22-25,,
0:24.0,,,22-27,2,Z. Randolph makes 2-pt shot from 5 ft
0:01.0,K. Oubre misses 3-pt shot from 22 ft,,22-27,,
0:00.0,,,22-27,,Defensive rebound by Z. Randolph
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,,,22-30,3,V. Carter makes 3-pt shot from 23 ft (assist by A. Harrison)
11:21.0,Turnover by K. Oubre (bad pass; steal by M. Gasol),,22-30,,
11:16.0,,,22-30,,Shooting foul by M. Thornton (drawn by A. Harrison)
11:16.0,,,22-30,,A. Harrison misses free throw 1 of 2
11:16.0,,,22-30,,Offensive rebound by Team
11:16.0,,,22-31,1,A. Harrison makes free throw 2 of 2
11:00.0,,,22-31,,Def 3 sec tech foul by A. Harrison
11:00.0,M. Thornton makes technical free throw,1,23-31,,
10:48.0,Turnover by J. Smith (bad pass; steal by Z. Randolph),,23-31,,
10:36.0,,,23-31,,Z. Randolph misses 2-pt shot from 19 ft
10:35.0,,,23-31,,Offensive rebound by M. Gasol
10:35.0,Loose ball foul by J. Smith (drawn by M. Gasol),,23-31,,
10:35.0,M. Gortat enters the game for J. Smith,,23-31,,
10:22.0,,,23-34,3,V. Carter makes 3-pt shot from 26 ft (assist by M. Gasol)
10:20.0,Washington full timeout,,23-34,,
10:20.0,,,23-34,,J. Green enters the game for Z. Randolph
10:00.0,T. Burke makes 2-pt shot from 13 ft,2,25-34,,
9:42.0,,,25-37,3,V. Carter makes 3-pt shot from 25 ft (assist by W. Baldwin)
9:28.0,T. Burke misses 2-pt shot from 18 ft,,25-37,,
9:27.0,,,25-37,,Defensive rebound by M. Gasol
9:10.0,,,25-40,3,A. Harrison makes 3-pt shot from 24 ft (assist by W. Baldwin)
8:58.0,M. Thornton misses 3-pt shot from 24 ft,,25-40,,
8:57.0,,,25-40,,Defensive rebound by M. Gasol
8:40.0,,,25-40,,J. Green misses 3-pt shot from 23 ft
8:39.0,Defensive rebound by M. Gortat,,25-40,,
8:34.0,,,25-40,,Personal foul by W. Baldwin (drawn by T. Burke)
8:34.0,,,25-40,,J. Ennis enters the game for V. Carter
8:34.0,,,25-40,,M. Conley enters the game for A. Harrison
8:34.0,J. Wall enters the game for A. Nicholson,,25-40,,
8:34.0,B. Beal enters the game for T. Burke,,25-40,,
8:34.0,M. Morris enters the game for K. Oubre,,25-40,,
8:19.0,B. Beal misses 2-pt shot from 9 ft,,25-40,,
8:17.0,,,25-40,,Defensive rebound by M. Gasol
8:13.0,,,25-40,,W. Baldwin misses 2-pt shot from 19 ft
8:10.0,Defensive rebound by J. Wall,,25-40,,
8:02.0,J. Wall makes 2-pt shot from 2 ft,2,27-40,,
7:46.0,,,27-40,,J. Ennis misses 3-pt shot from 25 ft
7:45.0,Defensive rebound by M. Thornton,,27-40,,
7:39.0,J. Wall misses 2-pt shot from 2 ft,,27-40,,
7:33.0,,,27-40,,Defensive rebound by M. Gasol
7:30.0,,,27-40,,M. Conley misses 2-pt shot from 5 ft
7:28.0,Defensive rebound by M. Gortat,,27-40,,
7:21.0,J. Wall misses 2-pt shot from 3 ft,,27-40,,
7:19.0,Offensive rebound by M. Thornton,,27-40,,
7:19.0,M. Thornton makes 2-pt shot from 3 ft,2,29-40,,
7:19.0,Technical foul by J. Wall,,29-40,,
7:19.0,,,29-41,1,M. Conley makes technical free throw
7:19.0,,,29-41,,Memphis full timeout
7:07.0,,,29-41,,Turnover by J. Green (bad pass)
6:58.0,M. Morris makes 2-pt shot from 3 ft (assist by J. Wall),2,31-41,,
6:37.0,,,31-43,2,M. Gasol makes 2-pt shot from 15 ft (assist by J. Green)
6:22.0,B. Beal makes 2-pt shot from 2 ft (assist by J. Wall),2,33-43,,
6:03.0,,,33-46,3,M. Conley makes 3-pt shot from 25 ft
5:54.0,,,33-46,,Personal foul by M. Conley (drawn by B. Beal)
5:54.0,,,33-46,,Z. Randolph enters the game for M. Gasol
5:54.0,O. Porter enters the game for M. Thornton,,33-46,,
5:54.0,,,33-46,,A. Harrison enters the game for W. Baldwin
5:42.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,36-46,,
5:21.0,,,36-46,,Turnover by M. Conley (lost ball; steal by J. Wall)
5:07.0,O. Porter misses 2-pt shot from 1 ft,,36-46,,
5:06.0,,,36-46,,Defensive rebound by M. Conley
4:54.0,,,36-46,,Z. Randolph misses 3-pt shot from 24 ft
4:53.0,Defensive rebound by M. Morris,,36-46,,
4:42.0,J. Wall makes 2-pt shot from 1 ft,2,38-46,,
4:31.0,,,38-46,,M. Conley misses 2-pt shot from 22 ft
4:31.0,,,38-46,,Offensive rebound by Team
4:31.0,Loose ball foul by M. Gortat (drawn by Z. Randolph),,38-46,,
4:21.0,,,38-46,,Turnover by Z. Randolph (lost ball)
4:09.0,M. Morris misses 3-pt shot from 23 ft,,38-46,,
4:09.0,,,38-46,,Defensive rebound by Z. Randolph
3:57.0,,,38-46,,Memphis full timeout
3:55.0,,,38-46,,Turnover by M. Conley (bad pass; steal by B. Beal)
3:55.0,,,38-46,,Personal take foul by Z. Randolph (drawn by J. Wall)
3:42.0,Shooting foul by J. Green (drawn by M. Gortat),,38-46,,
3:42.0,M. Gortat makes free throw 1 of 2,1,39-46,,
3:42.0,M. Gortat makes free throw 2 of 2,1,40-46,,
3:29.0,Personal foul by B. Beal (drawn by Z. Randolph),,40-46,,
3:20.0,,,40-46,,J. Ennis misses 3-pt shot from 25 ft
3:19.0,Defensive rebound by J. Wall,,40-46,,
3:13.0,J. Wall misses 2-pt shot from 2 ft,,40-46,,
3:10.0,Offensive rebound by O. Porter,,40-46,,
3:10.0,O. Porter makes 2-pt shot at rim,2,42-46,,
2:54.0,,,42-48,2,Z. Randolph makes 2-pt shot from 20 ft (assist by J. Ennis)
2:41.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,44-48,,
2:27.0,,,44-50,2,J. Green makes 2-pt shot from 19 ft (assist by M. Conley)
2:13.0,Turnover by M. Morris (lost ball),,44-50,,
2:13.0,,,44-50,,Memphis full timeout
2:13.0,,,44-50,,V. Carter enters the game for J. Ennis
2:03.0,,,44-52,2,Z. Randolph makes 2-pt shot from 21 ft (assist by M. Conley)
1:39.0,M. Morris makes 2-pt shot from 4 ft (assist by J. Wall),2,46-52,,
1:28.0,,,46-55,3,M. Conley makes 3-pt shot from 25 ft (assist by Z. Randolph)
1:21.0,J. Wall makes 2-pt shot from 1 ft,2,48-55,,
1:21.0,Shooting foul by J. Green (drawn by J. Wall),,48-55,,
1:21.0,J. Wall makes free throw 1 of 1,1,49-55,,
1:21.0,J. Smith enters the game for M. Gortat,,48-55,,
1:21.0,,,48-55,,M. Gasol enters the game for J. Green
1:02.0,,,49-55,,A. Harrison misses 3-pt shot from 26 ft
1:01.0,Defensive rebound by J. Wall,,49-55,,
0:58.0,J. Wall makes 2-pt shot from 1 ft,2,51-55,,
0:58.0,Shooting foul by A. Harrison (drawn by J. Wall),,51-55,,
0:58.0,J. Wall makes free throw 1 of 1,1,52-55,,
0:58.0,,,51-55,,J. Ennis enters the game for Z. Randolph
0:40.0,,,52-58,3,V. Carter makes 3-pt shot from 24 ft (assist by M. Conley)
0:29.0,J. Smith makes 2-pt shot from 21 ft (assist by J. Wall),2,54-58,,
0:05.0,,,54-58,,J. Ennis misses 3-pt shot from 27 ft
0:02.0,,,54-58,,Offensive rebound by A. Harrison
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,54-58,,J. Martin misses 2-pt shot from 3 ft
11:43.0,Defensive rebound by M. Morris,,54-58,,
11:27.0,M. Morris makes 2-pt shot from 8 ft,2,56-58,,
11:05.0,,,56-58,,M. Conley misses 2-pt shot from 22 ft
11:02.0,,,56-58,,Offensive rebound by J. Ennis
10:55.0,,,56-58,,M. Conley misses 2-pt shot from 1 ft
10:53.0,Defensive rebound by B. Beal,,56-58,,
10:33.0,M. Morris makes 2-pt shot from 7 ft,2,58-58,,
10:14.0,,,58-58,,M. Gasol misses 2-pt shot from 10 ft
10:12.0,Defensive rebound by M. Morris,,58-58,,
10:02.0,Washington full timeout,,58-58,,
9:48.0,O. Porter misses 3-pt shot from 26 ft,,58-58,,
9:47.0,Offensive rebound by Team,,58-58,,
9:37.0,M. Morris misses 2-pt shot from 12 ft,,58-58,,
9:35.0,,,58-58,,Defensive rebound by J. Ennis
9:17.0,,,58-58,,M. Gasol misses 2-pt shot from 16 ft
9:16.0,Defensive rebound by M. Morris,,58-58,,
9:12.0,Turnover by J. Wall (lost ball; steal by J. Green),,58-58,,
9:08.0,,,58-58,,Shooting foul by B. Beal (drawn by J. Martin)
9:08.0,,,58-59,1,J. Martin makes free throw 1 of 2
9:08.0,,,58-60,1,J. Martin makes free throw 2 of 2
8:44.0,O. Porter makes 2-pt shot from 14 ft (assist by B. Beal),2,60-60,,
8:31.0,,,60-60,,Turnover by M. Conley (bad pass; steal by M. Morris)
8:20.0,B. Beal misses 2-pt shot from 20 ft,,60-60,,
8:20.0,,,60-60,,Defensive rebound by J. Martin
7:59.0,,,60-60,,Shooting foul by M. Gortat (drawn by M. Gasol)
7:59.0,,,60-61,1,M. Gasol makes free throw 1 of 2
7:59.0,,,60-62,1,M. Gasol makes free throw 2 of 2
7:45.0,O. Porter misses 3-pt shot from 25 ft,,60-62,,
7:44.0,,,60-62,,Defensive rebound by M. Gasol
7:32.0,,,60-62,,J. Ennis misses 2-pt shot from 5 ft (block by B. Beal)
7:31.0,,,60-62,,Offensive rebound by J. Ennis
7:31.0,,,60-64,2,J. Ennis makes 2-pt shot from 2 ft
7:20.0,Shooting foul by J. Martin (drawn by M. Gortat),,60-64,,
7:20.0,M. Gortat makes free throw 1 of 2,1,61-64,,
7:20.0,M. Gortat makes free throw 2 of 2,1,62-64,,
7:02.0,,,62-66,2,M. Gasol makes 2-pt shot from 8 ft
6:41.0,O. Porter misses 2-pt shot from 19 ft,,62-66,,
6:39.0,,,62-66,,Defensive rebound by J. Martin
6:26.0,,,62-66,,J. Ennis misses 2-pt shot from 4 ft
6:24.0,,,62-66,,Offensive rebound by M. Conley
6:21.0,,,62-66,,M. Gasol misses 3-pt shot from 25 ft
6:18.0,Defensive rebound by Team,,62-66,,
6:18.0,,,62-66,,V. Carter enters the game for J. Martin
6:18.0,,,62-66,,Z. Randolph enters the game for M. Gasol
6:03.0,J. Wall makes 2-pt shot from 18 ft,2,64-66,,
5:41.0,Personal block foul by M. Gortat (drawn by J. Ennis),,64-66,,
5:41.0,A. Nicholson enters the game for M. Gortat,,64-66,,
5:36.0,Personal foul by J. Wall (drawn by M. Conley),,64-66,,
5:22.0,,,64-66,,M. Conley misses 2-pt shot from 10 ft
5:20.0,Defensive rebound by A. Nicholson,,64-66,,
5:12.0,M. Morris makes 3-pt shot from 25 ft (assist by J. Wall),3,67-66,,
4:55.0,,,67-69,3,J. Green makes 3-pt shot from 23 ft (assist by M. Conley)
