time,Washington,pts.away,score,pts.home,Memphis
3:17.0,,,96-89,1,V. Carter makes flagrant free throw 1 of 2
3:17.0,,,96-90,1,V. Carter makes flagrant free throw 2 of 2
3:17.0,,,96-88,,J. Green enters the game for A. Harrison
3:03.0,,,96-93,3,M. Conley makes 3-pt shot from 25 ft
2:37.0,B. Beal misses 2-pt shot from 19 ft,,96-93,,
2:36.0,,,96-93,,Defensive rebound by J. Green
2:20.0,,,96-93,,M. Conley misses 3-pt shot from 26 ft
2:18.0,,,96-93,,Offensive rebound by J. Green
2:18.0,,,96-93,,J. Green misses 2-pt shot from 1 ft
2:16.0,Defensive rebound by B. Beal,,96-93,,
2:01.0,J. Wall misses 2-pt shot from 15 ft,,96-93,,
1:59.0,,,96-93,,Defensive rebound by J. Ennis
1:55.0,,,96-95,2,M. Conley makes 2-pt shot from 1 ft (assist by J. Ennis)
1:55.0,Washington full timeout,,96-95,,
1:39.0,B. Beal makes 2-pt shot from 3 ft,2,98-95,,
1:28.0,,,98-97,2,M. Conley makes 2-pt shot from 2 ft
1:03.0,B. Beal misses 2-pt shot from 23 ft (block by M. Gasol),,98-97,,
1:03.0,,,98-97,,Defensive rebound by J. Green
0:45.0,,,98-97,,J. Green misses 3-pt shot from 24 ft
0:43.0,Defensive rebound by M. Morris,,98-97,,
0:24.0,Shooting foul by M. Gasol (drawn by J. Wall),,98-97,,
0:24.0,J. Wall makes free throw 1 of 2,1,99-97,,
0:24.0,J. Wall makes free throw 2 of 2,1,100-97,,
0:24.0,,,100-97,,Memphis full timeout
0:24.0,,,99-97,,Z. Randolph enters the game for M. Conley
0:24.0,,,100-97,,M. Conley enters the game for Z. Randolph
0:16.0,,,100-100,3,M. Gasol makes 3-pt shot from 27 ft (assist by M. Conley)
0:00.0,J. Wall misses 2-pt shot from 9 ft,,100-100,,
0:00.0,Offensive rebound by Team,,100-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:39.0,,,100-100,,Shooting foul by J. Wall (drawn by M. Gasol)
4:39.0,,,100-101,1,M. Gasol makes free throw 1 of 2
4:39.0,,,100-102,1,M. Gasol makes free throw 2 of 2
4:15.0,O. Porter misses 3-pt shot from 25 ft,,100-102,,
4:14.0,,,100-102,,Defensive rebound by J. Ennis
3:53.0,,,100-102,,Shooting foul by M. Morris (drawn by M. Conley)
3:53.0,,,100-103,1,M. Conley makes free throw 1 of 2
3:53.0,,,100-104,1,M. Conley makes free throw 2 of 2
3:53.0,Washington full timeout,,100-104,,
3:37.0,B. Beal misses 3-pt shot from 25 ft,,100-104,,
3:37.0,,,100-104,,Defensive rebound by Team
3:23.0,,,100-107,3,M. Gasol makes 3-pt shot from 26 ft (assist by M. Conley)
3:04.0,,,100-107,,Violation by M. Gasol (kicked ball)
2:56.0,B. Beal misses 2-pt shot from 7 ft,,100-107,,
2:54.0,,,100-107,,Defensive rebound by J. Ennis
2:33.0,,,100-107,,J. Ennis misses 3-pt shot from 26 ft
2:32.0,Defensive rebound by M. Gortat,,100-107,,
2:25.0,J. Wall misses 2-pt shot from 7 ft (block by V. Carter),,100-107,,
2:25.0,,,100-107,,Defensive rebound by V. Carter
2:16.0,,,100-107,,Turnover by J. Ennis (bad pass; steal by B. Beal)
2:07.0,O. Porter misses 3-pt shot from 22 ft,,100-107,,
2:06.0,,,100-107,,Defensive rebound by M. Gasol
1:46.0,,,100-110,3,M. Gasol makes 3-pt shot from 25 ft (assist by M. Conley)
1:46.0,Washington full timeout,,100-110,,
1:46.0,K. Oubre enters the game for M. Gortat,,100-110,,
1:46.0,T. Burke enters the game for J. Wall,,100-110,,
1:35.0,B. Beal misses 3-pt shot from 25 ft,,100-110,,
1:35.0,Offensive rebound by O. Porter,,100-110,,
1:29.0,K. Oubre misses 3-pt shot from 27 ft,,100-110,,
1:28.0,,,100-110,,Defensive rebound by M. Conley
1:25.0,M. Thornton enters the game for O. Porter,,100-110,,
1:25.0,S. Mac enters the game for M. Morris,,100-110,,
1:25.0,T. Satoransky enters the game for B. Beal,,100-110,,
1:06.0,,,100-112,2,M. Conley makes 2-pt shot from 13 ft
0:59.0,T. Burke misses 2-pt shot from 5 ft,,100-112,,
0:55.0,,,100-112,,Defensive rebound by J. Ennis
0:36.0,,,100-112,,M. Conley misses 3-pt shot from 28 ft
0:36.0,Defensive rebound by Team,,100-112,,
0:36.0,,,100-112,,W. Baldwin enters the game for J. Green
0:36.0,,,100-112,,A. Harrison enters the game for M. Gasol
0:36.0,,,100-112,,T. Williams enters the game for M. Conley
0:36.0,,,100-112,,D. Davis enters the game for V. Carter
0:24.0,,,100-112,,Personal foul by T. Williams (drawn by K. Oubre)
0:18.0,M. Thornton makes 3-pt shot from 26 ft (assist by K. Oubre),3,103-112,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
