time,Dallas,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Nowitzki vs. H. Whiteside (R. McGruder gains possession),,,,Jump ball: D. Nowitzki vs. H. Whiteside (R. McGruder gains possession)
11:44.0,,,0-2,2,H. Whiteside makes 2-pt shot from 1 ft (assist by D. Waiters)
11:44.0,,,0-2,,Shooting foul by D. Williams (drawn by H. Whiteside)
11:44.0,,,0-3,1,H. Whiteside makes free throw 1 of 1
11:26.0,D. Nowitzki misses 2-pt shot from 17 ft,,0-3,,
11:25.0,,,0-3,,Defensive rebound by R. McGruder
11:16.0,,,0-3,,G. Dragic misses 2-pt shot from 6 ft
11:15.0,Defensive rebound by W. Matthews,,0-3,,
11:08.0,D. Nowitzki misses 2-pt shot from 19 ft,,0-3,,
11:07.0,,,0-3,,Defensive rebound by L. Babbitt
10:54.0,,,0-5,2,H. Whiteside makes 2-pt shot from 2 ft
10:40.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by D. Williams),2,2-5,,
10:25.0,,,2-5,,H. Whiteside misses 2-pt shot from 10 ft
10:24.0,Defensive rebound by H. Barnes,,2-5,,
10:10.0,D. Nowitzki misses 2-pt shot from 20 ft,,2-5,,
10:09.0,,,2-5,,Defensive rebound by H. Whiteside
9:46.0,,,2-7,2,H. Whiteside makes 2-pt shot from 8 ft
9:25.0,H. Barnes makes 2-pt shot from 7 ft,2,4-7,,
9:04.0,,,4-7,,Turnover by H. Whiteside (lost ball; steal by D. Nowitzki)
8:49.0,,,4-7,,Personal foul by H. Whiteside (drawn by D. Nowitzki)
8:43.0,D. Williams misses 3-pt shot from 24 ft,,4-7,,
8:42.0,,,4-7,,Defensive rebound by Team
8:42.0,,,4-7,,J. Johnson enters the game for H. Whiteside
8:28.0,,,4-9,2,G. Dragic makes 2-pt shot from 3 ft
8:28.0,,,4-9,,Shooting foul by D. Nowitzki (drawn by G. Dragic)
8:28.0,,,4-10,1,G. Dragic makes free throw 1 of 1
8:28.0,S. Mejri enters the game for D. Nowitzki,,4-9,,
8:09.0,S. Curry makes 3-pt shot from 24 ft (assist by D. Williams),3,7-10,,
7:44.0,,,7-12,2,D. Waiters makes 2-pt shot from 17 ft (assist by R. McGruder)
7:36.0,Shooting foul by G. Dragic (drawn by D. Williams),,7-12,,
7:36.0,D. Williams makes free throw 1 of 2,1,8-12,,
7:36.0,D. Williams misses free throw 2 of 2,,8-12,,
7:36.0,D. Powell enters the game for S. Mejri,,8-12,,
7:35.0,,,8-12,,Defensive rebound by L. Babbitt
7:22.0,,,8-12,,L. Babbitt misses 3-pt shot from 25 ft
7:21.0,Defensive rebound by W. Matthews,,8-12,,
7:04.0,W. Matthews misses 2-pt shot from 9 ft,,8-12,,
7:03.0,,,8-12,,Defensive rebound by G. Dragic
6:57.0,,,8-14,2,D. Waiters makes 2-pt shot from 1 ft
6:57.0,Dallas full timeout,,8-14,,
6:45.0,,,8-14,,Personal foul by R. McGruder (drawn by D. Powell)
6:33.0,W. Matthews makes 2-pt shot from 2 ft,2,10-14,,
6:09.0,,,10-16,2,D. Waiters makes 2-pt shot from 3 ft
5:56.0,S. Curry misses 2-pt shot from 18 ft,,10-16,,
5:55.0,,,10-16,,Defensive rebound by J. Johnson
5:48.0,,,10-16,,D. Waiters misses 2-pt shot from 3 ft (block by D. Powell)
5:47.0,,,10-16,,Offensive rebound by R. McGruder
5:43.0,,,10-18,2,G. Dragic makes 2-pt shot from 1 ft
5:19.0,H. Barnes makes 2-pt shot from 20 ft,2,12-18,,
5:01.0,,,12-18,,R. McGruder misses 2-pt shot from 22 ft
5:00.0,Defensive rebound by H. Barnes,,12-18,,
4:50.0,H. Barnes misses 3-pt shot from 25 ft,,12-18,,
4:49.0,,,12-18,,Defensive rebound by L. Babbitt
4:26.0,,,12-20,2,J. Johnson makes 2-pt shot from 11 ft
4:10.0,H. Barnes misses 3-pt shot from 25 ft,,12-20,,
4:09.0,,,12-20,,Defensive rebound by G. Dragic
3:52.0,,,12-20,,D. Waiters misses 2-pt shot from 19 ft
3:51.0,Defensive rebound by D. Powell,,12-20,,
3:42.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Williams),3,15-20,,
