time,Chicago,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. R. Lopez (T. Gibson gains possession),,,,Jump ball: K. Koufos vs. R. Lopez (T. Gibson gains possession)
11:44.0,R. Lopez makes 2-pt shot from 4 ft (assist by D. Wade),2,2-0,,
11:24.0,,,2-2,2,D. Collison makes 2-pt shot from 16 ft (assist by K. Koufos)
11:11.0,M. Carter-Williams makes 2-pt shot from 3 ft,2,4-2,,
10:56.0,,,4-2,,B. McLemore misses 2-pt shot from 19 ft
10:55.0,Defensive rebound by J. Grant,,4-2,,
10:46.0,J. Grant makes 2-pt shot from 15 ft,2,6-2,,
10:20.0,,,6-5,3,D. Cousins makes 3-pt shot from 25 ft (assist by D. Collison)
10:06.0,,,6-5,,Personal foul by A. Afflalo (drawn by T. Gibson)
9:59.0,J. Grant misses 3-pt shot from 24 ft,,6-5,,
9:59.0,,,6-5,,Defensive rebound by A. Afflalo
9:41.0,,,6-5,,Turnover by B. McLemore (lost ball; steal by M. Carter-Williams)
9:36.0,T. Gibson makes 2-pt shot from 1 ft (assist by D. Wade),2,8-5,,
9:09.0,,,8-5,,B. McLemore misses 3-pt shot from 24 ft
9:08.0,Defensive rebound by J. Grant,,8-5,,
8:55.0,M. Carter-Williams makes 2-pt shot from 15 ft (assist by T. Gibson),2,10-5,,
8:55.0,,,10-5,,Sacramento full timeout
8:40.0,Personal foul by D. Wade (drawn by A. Afflalo),,10-5,,
8:26.0,,,10-5,,D. Cousins misses 2-pt shot from 12 ft
8:26.0,Defensive rebound by Team,,10-5,,
8:15.0,Shooting foul by A. Afflalo (drawn by D. Wade),,10-5,,
8:15.0,D. Wade makes free throw 1 of 2,1,11-5,,
8:15.0,D. Wade makes free throw 2 of 2,1,12-5,,
8:02.0,,,12-5,,D. Collison misses 2-pt shot from 19 ft
8:01.0,Defensive rebound by T. Gibson,,12-5,,
7:52.0,M. Carter-Williams makes 2-pt shot from 3 ft,2,14-5,,
7:33.0,,,14-5,,Turnover by D. Cousins (bad pass; steal by M. Carter-Williams)
7:32.0,,,14-5,,Personal foul by K. Koufos (drawn by M. Carter-Williams)
7:20.0,D. Wade makes 2-pt shot from 17 ft,2,16-5,,
7:06.0,,,16-5,,D. Collison misses 2-pt shot from 4 ft
7:04.0,Defensive rebound by D. Wade,,16-5,,
6:53.0,T. Gibson misses 2-pt shot from 3 ft (block by K. Koufos),,16-5,,
6:51.0,Offensive rebound by J. Grant,,16-5,,
6:44.0,D. Wade makes 2-pt shot from 17 ft,2,18-5,,
6:22.0,,,18-5,,A. Afflalo misses 2-pt shot from 11 ft
6:21.0,Defensive rebound by D. Wade,,18-5,,
6:02.0,R. Lopez makes 2-pt shot from 18 ft (assist by M. Carter-Williams),2,20-5,,
6:02.0,,,20-5,,Sacramento full timeout
6:02.0,,,20-5,,T. Lawson enters the game for K. Koufos
6:02.0,,,20-5,,M. Barnes enters the game for A. Afflalo
