time,Houston,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hamilton vs. M. Harrell (R. Anderson gains possession),,,,Jump ball: J. Hamilton vs. M. Harrell (R. Anderson gains possession)
11:47.0,M. Harrell makes 2-pt shot at rim (assist by T. Ariza),2,2-0,,
11:28.0,,,2-0,,J. Harris misses 3-pt shot from 26 ft
11:27.0,Defensive rebound by P. Beverley,,2-0,,
11:18.0,M. Harrell makes 2-pt shot from 7 ft (assist by P. Beverley),2,4-0,,
10:59.0,,,4-2,2,T. Booker makes 2-pt shot from 9 ft
10:49.0,P. Beverley misses 3-pt shot from 23 ft,,4-2,,
10:48.0,,,4-2,,Defensive rebound by T. Booker
10:42.0,,,4-5,3,J. Harris makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
10:22.0,M. Harrell makes 2-pt shot from 2 ft (assist by J. Harden),2,6-5,,
10:01.0,,,6-8,3,J. Harris makes 3-pt shot from 26 ft (assist by T. Booker)
9:48.0,T. Ariza makes 3-pt shot from 24 ft,3,9-8,,
9:23.0,,,9-10,2,J. Hamilton makes 2-pt shot from 2 ft (assist by S. Dinwiddie)
9:14.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,12-10,,
9:00.0,,,12-12,2,J. Harris makes 2-pt shot from 2 ft (assist by J. Hamilton)
8:43.0,J. Harden makes 2-pt shot from 5 ft,2,14-12,,
8:22.0,,,14-12,,Turnover by T. Booker (bad pass; steal by M. Harrell)
8:18.0,Turnover by R. Anderson (bad pass),,14-12,,
8:14.0,,,14-12,,S. Dinwiddie misses 2-pt shot from 14 ft (block by J. Harden)
8:12.0,Defensive rebound by J. Harden,,14-12,,
8:07.0,J. Harden misses 2-pt shot from 3 ft (block by J. Hamilton),,14-12,,
8:03.0,,,14-12,,Defensive rebound by T. Booker
8:02.0,,,14-12,,Turnover by B. Bogdanovic (bad pass; steal by R. Anderson)
7:52.0,P. Beverley makes 3-pt shot from 25 ft (assist by T. Ariza),3,17-12,,
