time,Chicago,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. R. Lopez (N. Mirotic gains possession),,,,Jump ball: A. Davis vs. R. Lopez (N. Mirotic gains possession)
11:43.0,J. Butler misses 2-pt shot from 20 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by J. Holiday
11:20.0,,,0-0,,T. Frazier misses 3-pt shot from 26 ft
11:19.0,Defensive rebound by R. Rondo,,0-0,,
10:58.0,P. Zipser makes 2-pt shot from 21 ft (assist by J. Butler),2,2-0,,
10:43.0,,,2-0,,D. Cousins misses 2-pt shot from 17 ft
10:42.0,Defensive rebound by P. Zipser,,2-0,,
10:31.0,R. Lopez makes 2-pt shot from 14 ft (assist by R. Rondo),2,4-0,,
10:13.0,,,4-0,,S. Hill misses 3-pt shot from 22 ft
10:13.0,Defensive rebound by R. Rondo,,4-0,,
10:10.0,Turnover by R. Rondo (bad pass),,4-0,,
9:48.0,,,4-2,2,J. Holiday makes 2-pt shot from 19 ft
9:31.0,R. Rondo makes 2-pt shot from 2 ft,2,6-2,,
9:20.0,,,6-4,2,A. Davis makes 2-pt shot from 19 ft (assist by J. Holiday)
9:07.0,Turnover by R. Rondo (bad pass; steal by A. Davis),,6-4,,
8:58.0,,,6-6,2,D. Cousins makes 2-pt shot from 2 ft (assist by J. Holiday)
8:45.0,Shooting foul by T. Frazier (drawn by R. Lopez),,6-6,,
8:45.0,R. Lopez misses free throw 1 of 2,,6-6,,
8:45.0,Offensive rebound by Team,,6-6,,
8:45.0,R. Lopez makes free throw 2 of 2,1,7-6,,
8:38.0,,,7-6,,Turnover by D. Cousins (bad pass)
8:12.0,R. Lopez makes 2-pt shot from 3 ft,2,9-6,,
8:03.0,,,9-6,,T. Frazier misses 2-pt shot from 2 ft
8:01.0,Defensive rebound by R. Lopez,,9-6,,
7:50.0,R. Rondo misses 3-pt shot from 24 ft,,9-6,,
7:49.0,,,9-6,,Defensive rebound by S. Hill
7:36.0,,,9-6,,Turnover by D. Cousins (bad pass)
7:23.0,J. Butler misses 2-pt shot from 14 ft,,9-6,,
7:22.0,Offensive rebound by J. Butler,,9-6,,
7:21.0,J. Butler makes 2-pt shot from 2 ft,2,11-6,,
7:21.0,Shooting foul by S. Hill (drawn by J. Butler),,11-6,,
7:21.0,J. Butler makes free throw 1 of 1,1,12-6,,
7:06.0,,,12-6,,Shooting foul by R. Lopez (drawn by A. Davis)
7:06.0,,,12-7,1,A. Davis makes free throw 1 of 2
7:06.0,,,12-8,1,A. Davis makes free throw 2 of 2
6:50.0,N. Mirotic misses 2-pt shot from 23 ft,,12-8,,
6:50.0,Offensive rebound by R. Rondo,,12-8,,
6:46.0,R. Rondo makes 2-pt shot from 3 ft,2,14-8,,
6:30.0,,,14-8,,D. Cousins misses 3-pt shot from 25 ft
6:29.0,Defensive rebound by N. Mirotic,,14-8,,
6:22.0,N. Mirotic misses 3-pt shot from 29 ft,,14-8,,
6:21.0,,,14-8,,Defensive rebound by D. Cousins
6:14.0,,,14-8,,A. Davis misses 2-pt shot from 2 ft (block by N. Mirotic)
6:11.0,Defensive rebound by N. Mirotic,,14-8,,
6:09.0,Shooting foul by J. Holiday (drawn by J. Butler),,14-8,,
6:09.0,J. Butler misses free throw 1 of 2,,14-8,,
6:09.0,Offensive rebound by Team,,14-8,,
6:09.0,J. Butler makes free throw 2 of 2,1,15-8,,
5:55.0,,,15-8,,J. Holiday misses 2-pt shot from 2 ft
5:54.0,Defensive rebound by R. Rondo,,15-8,,
5:51.0,J. Butler makes 2-pt shot at rim (assist by R. Rondo),2,17-8,,
5:44.0,,,17-8,,New Orleans full timeout
5:44.0,D. Valentine enters the game for P. Zipser,,17-8,,
5:44.0,,,17-8,,E. Moore enters the game for T. Frazier
