time,Portland,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Plumlee (T. Frazier gains possession),,,,Jump ball: A. Davis vs. M. Plumlee (T. Frazier gains possession)
11:48.0,,,0-0,,T. Frazier misses 3-pt shot from 24 ft
11:48.0,,,0-0,,Offensive rebound by O. Asik
11:39.0,,,0-0,,D. Cunningham misses 3-pt shot from 25 ft
11:39.0,Defensive rebound by E. Davis,,0-0,,
11:33.0,Offensive charge foul by D. Lillard,,0-0,,
11:33.0,Turnover by D. Lillard (offensive foul),,0-0,,
11:25.0,Personal foul by E. Davis (drawn by T. Frazier),,0-0,,
11:17.0,,,0-0,,A. Davis misses 2-pt shot from 20 ft
11:16.0,Defensive rebound by M. Plumlee,,0-0,,
10:58.0,E. Davis misses 2-pt shot from 2 ft,,0-0,,
10:57.0,,,0-0,,Defensive rebound by A. Davis
10:45.0,,,0-0,,A. Davis misses 2-pt shot from 1 ft
10:45.0,Defensive rebound by M. Plumlee,,0-0,,
10:37.0,D. Lillard misses 3-pt shot from 26 ft,,0-0,,
10:36.0,,,0-0,,Defensive rebound by T. Frazier
10:24.0,,,0-2,2,D. Cunningham makes 2-pt shot from 21 ft (assist by A. Davis)
10:01.0,M. Harkless makes 3-pt shot from 24 ft (assist by C. McCollum),3,3-2,,
9:47.0,,,3-4,2,E. Moore makes 2-pt shot from 14 ft (assist by A. Davis)
9:32.0,Shooting foul by E. Moore (drawn by C. McCollum),,3-4,,
9:32.0,C. McCollum makes free throw 1 of 2,1,4-4,,
9:32.0,C. McCollum makes free throw 2 of 2,1,5-4,,
9:19.0,,,5-4,,Shooting foul by D. Lillard (drawn by T. Frazier)
9:19.0,,,5-6,2,T. Frazier makes 2-pt shot from 3 ft (assist by A. Davis)
9:19.0,,,5-7,1,T. Frazier makes free throw 1 of 1
9:00.0,M. Harkless makes 3-pt shot from 25 ft (assist by M. Plumlee),3,8-7,,
8:47.0,,,8-9,2,E. Moore makes 2-pt shot from 7 ft
8:35.0,E. Davis makes 2-pt shot at rim (assist by C. McCollum),2,10-9,,
8:19.0,,,10-12,3,T. Frazier makes 3-pt shot from 26 ft (assist by A. Davis)
8:06.0,D. Lillard misses 2-pt shot from 16 ft,,10-12,,
8:06.0,,,10-12,,Defensive rebound by O. Asik
7:59.0,Violation by M. Plumlee (def goaltending),,10-12,,
7:59.0,,,10-14,2,T. Frazier makes 2-pt shot from 2 ft
7:46.0,D. Lillard misses 2-pt shot from 4 ft (block by A. Davis),,10-14,,
7:46.0,Offensive rebound by Team,,10-14,,
7:40.0,C. McCollum makes 3-pt shot from 25 ft (assist by M. Harkless),3,13-14,,
7:24.0,,,13-16,2,A. Davis makes 2-pt shot from 10 ft (assist by T. Frazier)
7:16.0,Shooting foul by O. Asik (drawn by D. Lillard),,13-16,,
7:16.0,D. Lillard makes free throw 1 of 2,1,14-16,,
7:16.0,D. Lillard makes free throw 2 of 2,1,15-16,,
6:55.0,,,15-16,,A. Davis misses 2-pt shot from 7 ft
6:54.0,Defensive rebound by E. Davis,,15-16,,
6:47.0,,,15-16,,Violation by O. Asik (kicked ball)
6:41.0,D. Lillard makes 3-pt shot from 26 ft (assist by C. McCollum),3,18-16,,
6:22.0,,,18-16,,A. Davis misses 2-pt shot from 8 ft
6:20.0,Defensive rebound by C. McCollum,,18-16,,
6:16.0,C. McCollum misses 2-pt shot from 20 ft,,18-16,,
6:14.0,,,18-16,,Defensive rebound by D. Cunningham
6:05.0,,,18-16,,A. Davis misses 2-pt shot from 18 ft
6:05.0,Defensive rebound by M. Plumlee,,18-16,,
5:52.0,M. Plumlee misses 2-pt shot from 12 ft,,18-16,,
5:51.0,,,18-16,,Defensive rebound by A. Davis
5:39.0,,,18-19,3,E. Moore makes 3-pt shot from 23 ft (assist by O. Asik)
5:20.0,D. Lillard misses 2-pt shot from 6 ft (block by A. Davis),,18-19,,
5:19.0,,,18-19,,Defensive rebound by T. Frazier
5:12.0,,,18-19,,E. Moore misses 3-pt shot from 23 ft
5:10.0,Defensive rebound by E. Davis,,18-19,,
5:01.0,M. Harkless misses 3-pt shot from 23 ft,,18-19,,
5:00.0,Offensive rebound by M. Plumlee,,18-19,,
4:55.0,C. McCollum misses 3-pt shot from 25 ft,,18-19,,
4:55.0,,,18-19,,Defensive rebound by A. Davis
4:45.0,,,18-21,2,T. Frazier makes 2-pt shot from 2 ft
4:29.0,D. Lillard misses 2-pt shot from 1 ft (block by O. Asik),,18-21,,
4:28.0,Offensive rebound by M. Plumlee,,18-21,,
4:25.0,M. Plumlee makes 2-pt shot at rim,2,20-21,,
4:08.0,,,20-23,2,O. Asik makes 2-pt shot from 2 ft (assist by A. Davis)
4:08.0,Portland full timeout,,20-23,,
4:08.0,,,20-23,,T. Jones enters the game for O. Asik
4:08.0,,,20-23,,J. Holiday enters the game for E. Moore
4:08.0,E. Turner enters the game for M. Harkless,,20-23,,
4:08.0,A. Crabbe enters the game for D. Lillard,,20-23,,
3:48.0,M. Plumlee makes 2-pt shot from 8 ft,2,22-23,,
3:34.0,,,22-25,2,T. Jones makes 2-pt shot from 2 ft (assist by J. Holiday)
3:11.0,M. Plumlee makes 2-pt shot from 2 ft,2,24-25,,
2:54.0,,,24-25,,J. Holiday misses 2-pt shot from 5 ft
2:53.0,Defensive rebound by E. Davis,,24-25,,
2:43.0,Shooting foul by J. Holiday (drawn by E. Turner),,24-25,,
2:43.0,,,24-25,,New Orleans full timeout
2:43.0,E. Turner makes free throw 1 of 2,1,25-25,,
2:43.0,E. Turner makes free throw 2 of 2,1,26-25,,
2:43.0,N. Vonleh enters the game for M. Plumlee,,24-25,,
2:37.0,,,26-25,,Shooting foul by N. Vonleh (drawn by J. Holiday)
2:37.0,,,26-25,,J. Holiday misses free throw 1 of 2
2:37.0,,,26-25,,Offensive rebound by Team
2:37.0,,,26-26,1,J. Holiday makes free throw 2 of 2
2:37.0,,,26-25,,S. Hill enters the game for D. Cunningham
2:20.0,E. Turner misses 2-pt shot from 5 ft,,26-26,,
2:17.0,Jump ball: S. Hill vs. N. Vonleh (C. McCollum gains possession),,,,Jump ball: S. Hill vs. N. Vonleh (C. McCollum gains possession)
2:17.0,Offensive rebound by Team,,26-26,,
2:09.0,C. McCollum misses 2-pt shot from 1 ft,,26-26,,
2:09.0,Offensive rebound by Team,,26-26,,
2:09.0,,,26-26,,L. Galloway enters the game for T. Frazier
2:04.0,C. McCollum misses 2-pt shot from 18 ft,,26-26,,
2:03.0,,,26-26,,Defensive rebound by T. Jones
1:52.0,,,26-26,,T. Jones misses 2-pt shot from 8 ft
1:51.0,Defensive rebound by E. Davis,,26-26,,
1:39.0,E. Turner misses 2-pt shot from 12 ft,,26-26,,
1:39.0,Offensive rebound by Team,,26-26,,
1:27.0,C. McCollum misses 2-pt shot from 17 ft,,26-26,,
1:26.0,,,26-26,,Defensive rebound by A. Davis
1:16.0,,,26-29,3,L. Galloway makes 3-pt shot from 23 ft (assist by S. Hill)
1:05.0,Turnover by C. McCollum (bad pass; steal by L. Galloway),,26-29,,
1:01.0,,,26-29,,L. Galloway misses 2-pt shot from 2 ft
1:01.0,,,26-29,,Offensive rebound by Team
1:01.0,Personal foul by E. Davis (drawn by L. Galloway),,26-29,,
1:01.0,,,26-29,,O. Asik enters the game for A. Davis
1:01.0,M. Leonard enters the game for E. Davis,,26-29,,
0:50.0,,,26-29,,J. Holiday misses 2-pt shot from 20 ft
0:50.0,Defensive rebound by M. Leonard,,26-29,,
0:34.0,Shooting foul by O. Asik (drawn by C. McCollum),,26-29,,
0:34.0,C. McCollum makes free throw 1 of 2,1,27-29,,
0:34.0,C. McCollum makes free throw 2 of 2,1,28-29,,
0:34.0,,,27-29,,D. Cunningham enters the game for O. Asik
0:26.0,,,28-31,2,J. Holiday makes 2-pt shot from 2 ft
0:00.0,C. McCollum misses 2-pt shot from 2 ft,,28-31,,
0:00.0,Offensive rebound by Team,,28-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,E. Turner misses 2-pt shot from 5 ft,,28-31,,
11:42.0,Offensive rebound by N. Vonleh,,28-31,,
11:42.0,Shooting foul by D. Cunningham (drawn by M. Leonard),,28-31,,
11:42.0,M. Leonard makes free throw 1 of 2,1,29-31,,
11:42.0,M. Leonard makes free throw 2 of 2,1,30-31,,
11:25.0,,,30-31,,J. Holiday misses 2-pt shot from 15 ft
11:25.0,Defensive rebound by N. Vonleh,,30-31,,
11:16.0,D. Lillard misses 3-pt shot from 25 ft,,30-31,,
11:14.0,Offensive rebound by D. Lillard,,30-31,,
11:11.0,D. Lillard misses 2-pt shot from 7 ft,,30-31,,
11:11.0,,,30-31,,Defensive rebound by J. Holiday
11:01.0,,,30-33,2,L. Galloway makes 2-pt shot from 22 ft (assist by T. Jones)
10:40.0,,,30-33,,Personal foul by L. Galloway (drawn by M. Leonard)
10:28.0,N. Vonleh misses 2-pt shot at rim (block by J. Holiday),,30-33,,
10:25.0,,,30-33,,Defensive rebound by S. Hill
10:14.0,,,30-35,2,D. Cunningham makes 2-pt shot from 8 ft (assist by T. Jones)
9:56.0,D. Lillard makes 3-pt shot from 26 ft (assist by E. Turner),3,33-35,,
9:40.0,,,33-38,3,T. Jones makes 3-pt shot from 25 ft (assist by S. Hill)
9:25.0,E. Turner misses 3-pt shot from 24 ft,,33-38,,
9:24.0,,,33-38,,Defensive rebound by S. Hill
9:13.0,,,33-40,2,J. Holiday makes 2-pt shot from 19 ft
9:10.0,Portland full timeout,,33-40,,
9:10.0,M. Harkless enters the game for M. Leonard,,33-40,,
8:55.0,M. Harkless misses 2-pt shot from 1 ft,,33-40,,
8:54.0,,,33-40,,Defensive rebound by D. Cunningham
8:42.0,,,33-40,,T. Jones misses 2-pt shot from 7 ft
8:42.0,Defensive rebound by N. Vonleh,,33-40,,
8:32.0,D. Lillard makes 2-pt shot from 2 ft,2,35-40,,
8:08.0,,,35-43,3,T. Jones makes 3-pt shot from 26 ft (assist by J. Holiday)
7:49.0,E. Turner misses 2-pt shot from 14 ft,,35-43,,
7:48.0,,,35-43,,Defensive rebound by J. Holiday
7:31.0,,,35-43,,L. Galloway misses 3-pt shot from 25 ft
7:30.0,Defensive rebound by N. Vonleh,,35-43,,
7:16.0,M. Harkless makes 2-pt shot from 2 ft,2,37-43,,
