time,Sacramento,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. M. Turner (D. Cousins gains possession),,,,Jump ball: K. Koufos vs. M. Turner (D. Cousins gains possession)
11:35.0,D. Collison makes 3-pt shot from 27 ft (assist by G. Temple),3,3-0,,
11:13.0,,,3-3,3,C. Miles makes 3-pt shot from 23 ft (assist by M. Turner)
10:51.0,A. Afflalo misses 3-pt shot from 26 ft,,3-3,,
10:50.0,,,3-3,,Defensive rebound by T. Young
10:35.0,,,3-6,3,J. Teague makes 3-pt shot from 26 ft (assist by M. Turner)
10:19.0,,,3-6,,Personal foul by T. Young (drawn by D. Cousins)
10:18.0,Turnover by G. Temple (lost ball; steal by C. Miles),,3-6,,
10:10.0,,,3-8,2,M. Turner makes 2-pt shot at rim (assist by P. George)
9:51.0,Turnover by D. Collison (bad pass; steal by T. Young),,3-8,,
9:30.0,,,3-8,,P. George misses 2-pt shot from 18 ft
9:30.0,Defensive rebound by D. Cousins,,3-8,,
9:14.0,A. Afflalo makes 3-pt shot from 24 ft (assist by D. Collison),3,6-8,,
9:01.0,,,6-8,,Turnover by C. Miles (bad pass; steal by D. Collison)
9:01.0,Sacramento full timeout,,6-8,,
8:46.0,Turnover by G. Temple (lost ball; steal by T. Young),,6-8,,
8:29.0,,,6-8,,T. Young misses 3-pt shot from 24 ft
8:29.0,Defensive rebound by A. Afflalo,,6-8,,
8:17.0,A. Afflalo makes 2-pt shot from 16 ft (assist by D. Cousins),2,8-8,,
7:58.0,,,8-11,3,C. Miles makes 3-pt shot from 23 ft (assist by J. Teague)
7:39.0,D. Cousins makes 2-pt shot from 7 ft,2,10-11,,
7:32.0,,,10-11,,P. George misses 3-pt shot from 26 ft
7:32.0,Defensive rebound by D. Cousins,,10-11,,
7:11.0,G. Temple misses 3-pt shot from 26 ft,,10-11,,
7:11.0,,,10-11,,Defensive rebound by J. Teague
6:59.0,,,10-11,,Indiana full timeout
6:59.0,W. Cauley-Stein enters the game for K. Koufos,,10-11,,
6:50.0,,,10-13,2,T. Young makes 2-pt shot from 3 ft (assist by J. Teague)
6:26.0,W. Cauley-Stein misses 2-pt shot from 4 ft,,10-13,,
6:25.0,Offensive rebound by W. Cauley-Stein,,10-13,,
6:21.0,A. Afflalo makes 3-pt shot from 24 ft (assist by W. Cauley-Stein),3,13-13,,
6:04.0,Personal foul by W. Cauley-Stein (drawn by P. George),,13-13,,
5:59.0,,,13-13,,P. George misses 2-pt shot from 5 ft (block by D. Cousins)
5:59.0,Defensive rebound by D. Cousins,,13-13,,
5:59.0,Jump ball: D. Cousins vs. P. George (A. Afflalo gains possession),,,,Jump ball: D. Cousins vs. P. George (A. Afflalo gains possession)
5:40.0,D. Collison makes 3-pt shot from 25 ft (assist by W. Cauley-Stein),3,16-13,,
5:16.0,,,16-15,2,J. Teague makes 2-pt shot from 9 ft
4:49.0,D. Collison misses 3-pt shot from 29 ft,,16-15,,
4:48.0,,,16-15,,Defensive rebound by T. Young
4:38.0,,,16-17,2,J. Teague makes 2-pt shot from 16 ft
4:27.0,Offensive foul by D. Cousins,,16-17,,
4:27.0,Turnover by D. Cousins (offensive foul),,16-17,,
4:27.0,,,16-17,,L. Allen enters the game for T. Young
4:27.0,,,16-17,,M. Ellis enters the game for C. Miles
4:04.0,,,16-19,2,M. Turner makes 2-pt shot from 21 ft (assist by P. George)
3:54.0,Shooting foul by L. Allen (drawn by D. Cousins),,16-19,,
3:54.0,D. Cousins makes 3-pt shot from 25 ft (assist by D. Collison),3,19-19,,
3:54.0,D. Cousins misses free throw 1 of 1,,19-19,,
3:53.0,Offensive rebound by D. Cousins,,19-19,,
3:35.0,D. Cousins misses 2-pt shot from 19 ft,,19-19,,
3:35.0,,,19-19,,Defensive rebound by J. Teague
3:23.0,,,19-21,2,P. George makes 2-pt shot from 3 ft
3:07.0,,,19-21,,Def 3 sec tech foul by M. Turner
3:07.0,D. Collison makes technical free throw,1,20-21,,
3:07.0,,,20-21,,A. Jefferson enters the game for M. Turner
3:07.0,M. Barnes enters the game for G. Temple,,20-21,,
2:52.0,D. Cousins makes 2-pt shot from 18 ft,2,22-21,,
2:40.0,,,22-23,2,A. Jefferson makes 2-pt shot from 4 ft (assist by M. Ellis)
2:28.0,D. Cousins makes 2-pt shot from 4 ft (assist by D. Collison),2,24-23,,
2:12.0,,,24-23,,A. Jefferson misses 2-pt shot from 8 ft
2:11.0,Defensive rebound by D. Cousins,,24-23,,
2:02.0,,,24-23,,A. Brooks enters the game for J. Teague
2:02.0,T. Lawson enters the game for D. Collison,,24-23,,
2:02.0,A. Tolliver enters the game for D. Cousins,,24-23,,
1:56.0,Turnover by T. Lawson (bad pass; steal by P. George),,24-23,,
1:50.0,,,24-23,,A. Brooks misses 3-pt shot from 25 ft
1:48.0,,,24-23,,Offensive rebound by P. George
1:48.0,,,24-25,2,P. George makes 2-pt shot from 1 ft
1:37.0,Offensive foul by A. Afflalo,,24-25,,
1:37.0,Turnover by A. Afflalo (offensive foul),,24-25,,
1:37.0,,,24-25,,G. Robinson enters the game for P. George
1:37.0,M. Richardson enters the game for A. Afflalo,,24-25,,
1:17.0,,,24-27,2,A. Jefferson makes 2-pt shot from 5 ft
1:10.0,,,24-27,,Personal foul by M. Ellis (drawn by M. Richardson)
1:10.0,K. Koufos enters the game for W. Cauley-Stein,,24-27,,
0:55.0,M. Barnes misses 3-pt shot from 27 ft,,24-27,,
0:54.0,,,24-27,,Defensive rebound by L. Allen
0:38.0,,,24-27,,A. Jefferson misses 2-pt shot from 6 ft
0:37.0,,,24-27,,Offensive rebound by L. Allen
0:33.0,,,24-27,,L. Allen misses 2-pt shot from 5 ft
0:30.0,Defensive rebound by A. Tolliver,,24-27,,
0:28.0,M. Richardson makes 3-pt shot from 23 ft (assist by T. Lawson),3,27-27,,
0:11.0,,,27-27,,L. Allen misses 2-pt shot from 20 ft
0:10.0,Defensive rebound by K. Koufos,,27-27,,
0:00.0,T. Lawson makes 3-pt shot from 26 ft,3,30-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,,,30-29,2,M. Ellis makes 2-pt shot from 15 ft
11:52.0,,,30-29,,Shooting foul by M. Richardson (drawn by M. Ellis)
11:52.0,,,30-30,1,M. Ellis makes free throw 1 of 1
11:37.0,K. Koufos makes 2-pt shot from 4 ft (assist by T. Lawson),2,32-30,,
11:17.0,,,32-32,2,M. Ellis makes 2-pt shot from 19 ft
10:58.0,M. Barnes misses 2-pt shot from 16 ft,,32-32,,
10:57.0,,,32-32,,Defensive rebound by A. Brooks
10:43.0,,,32-34,2,A. Jefferson makes 2-pt shot from 3 ft
10:26.0,Turnover by K. Koufos (bad pass; steal by G. Robinson),,32-34,,
10:23.0,,,32-36,2,G. Robinson makes 2-pt shot from 3 ft
10:23.0,Sacramento full timeout,,32-36,,
10:23.0,,,32-36,,T. Young enters the game for L. Allen
10:05.0,M. Richardson misses 2-pt shot from 4 ft,,32-36,,
10:05.0,,,32-36,,Defensive rebound by A. Jefferson
9:47.0,D. Collison enters the game for M. Richardson,,32-36,,
9:42.0,,,32-36,,A. Jefferson misses 2-pt shot from 4 ft
9:41.0,Defensive rebound by M. Barnes,,32-36,,
9:27.0,A. Tolliver makes 3-pt shot from 26 ft (assist by T. Lawson),3,35-36,,
8:57.0,,,35-36,,A. Brooks misses 3-pt shot from 28 ft
8:57.0,Defensive rebound by K. Koufos,,35-36,,
8:49.0,Shooting foul by A. Brooks (drawn by T. Lawson),,35-36,,
8:49.0,T. Lawson makes free throw 1 of 2,1,36-36,,
8:49.0,T. Lawson makes free throw 2 of 2,1,37-36,,
8:30.0,,,37-36,,A. Brooks misses 2-pt shot from 5 ft
8:29.0,Defensive rebound by K. Koufos,,37-36,,
8:05.0,D. Collison makes 2-pt shot from 19 ft,2,39-36,,
7:45.0,,,39-36,,A. Jefferson misses 2-pt shot from 5 ft
7:44.0,Defensive rebound by K. Koufos,,39-36,,
7:39.0,D. Collison misses 2-pt shot from 3 ft (block by M. Ellis),,39-36,,
7:39.0,Offensive rebound by Team,,39-36,,
7:39.0,,,39-36,,Technical foul by A. Brooks
7:39.0,D. Collison makes technical free throw,1,40-36,,
7:39.0,,,39-36,,P. George enters the game for A. Jefferson
7:39.0,,,39-36,,M. Turner enters the game for A. Brooks
7:39.0,,,39-36,,J. Teague enters the game for G. Robinson
7:30.0,K. Koufos misses 2-pt shot from 3 ft,,40-36,,
7:29.0,Offensive rebound by K. Koufos,,40-36,,
7:29.0,K. Koufos makes 2-pt shot from 2 ft,2,42-36,,
7:29.0,Violation by Team (jump ball),,42-36,,
7:10.0,,,42-36,,T. Young misses 3-pt shot from 23 ft
7:10.0,Defensive rebound by K. Koufos,,42-36,,
7:04.0,T. Lawson misses 2-pt shot from 4 ft,,42-36,,
7:03.0,Offensive rebound by A. Tolliver,,42-36,,
7:03.0,A. Tolliver misses 2-pt shot from 2 ft,,42-36,,
7:02.0,,,42-36,,Defensive rebound by J. Teague
7:01.0,Personal foul by D. Collison (drawn by J. Teague),,42-36,,
6:52.0,,,42-38,2,M. Turner makes 2-pt shot from 20 ft (assist by J. Teague)
6:29.0,K. Koufos makes 2-pt shot from 5 ft (assist by T. Lawson),2,44-38,,
6:12.0,Shooting block foul by K. Koufos (drawn by P. George),,44-38,,
6:12.0,,,44-39,1,P. George makes free throw 1 of 2
6:12.0,,,44-40,1,P. George makes free throw 2 of 2
6:12.0,D. Cousins enters the game for K. Koufos,,44-39,,
5:54.0,Shooting foul by J. Teague (drawn by A. Tolliver),,44-40,,
5:54.0,Official timeout,,44-40,,
5:54.0,A. Tolliver makes free throw 1 of 2,1,45-40,,
5:54.0,A. Tolliver makes free throw 2 of 2,1,46-40,,
5:37.0,,,46-40,,Turnover by P. George (lost ball; steal by D. Collison)
5:35.0,,,46-40,,Shooting block foul by J. Teague (drawn by M. Barnes)
5:35.0,M. Barnes makes free throw 1 of 2,1,47-40,,
5:35.0,M. Barnes makes free throw 2 of 2,1,48-40,,
5:35.0,,,47-40,,C. Miles enters the game for M. Ellis
5:23.0,,,48-43,3,M. Turner makes 3-pt shot from 26 ft (assist by P. George)
5:01.0,D. Collison makes 3-pt shot from 23 ft (assist by D. Cousins),3,51-43,,
4:44.0,,,51-43,,M. Turner misses 2-pt shot from 18 ft
4:43.0,Defensive rebound by D. Cousins,,51-43,,
4:34.0,T. Lawson makes 3-pt shot from 25 ft (assist by D. Cousins),3,54-43,,
4:34.0,,,54-43,,Indiana full timeout
4:34.0,A. Afflalo enters the game for M. Barnes,,54-43,,
4:23.0,Personal foul by A. Afflalo (drawn by M. Turner),,54-43,,
4:10.0,,,54-45,2,P. George makes 2-pt shot from 3 ft
3:51.0,A. Tolliver makes 3-pt shot from 24 ft (assist by D. Cousins),3,57-45,,
3:36.0,,,57-45,,P. George misses 3-pt shot from 26 ft
3:36.0,Defensive rebound by D. Cousins,,57-45,,
3:16.0,D. Cousins misses 3-pt shot from 25 ft,,57-45,,
3:16.0,,,57-45,,Defensive rebound by Team
3:16.0,G. Temple enters the game for T. Lawson,,57-45,,
3:02.0,,,57-48,3,C. Miles makes 3-pt shot from 23 ft (assist by M. Turner)
2:41.0,Shooting foul by T. Young (drawn by D. Cousins),,57-48,,
2:41.0,D. Cousins makes free throw 1 of 2,1,58-48,,
2:41.0,D. Cousins makes free throw 2 of 2,1,59-48,,
2:26.0,,,59-50,2,T. Young makes 2-pt shot from 1 ft (assist by M. Turner)
2:08.0,Offensive charge foul by A. Tolliver,,59-50,,
2:08.0,Turnover by A. Tolliver (offensive foul),,59-50,,
1:56.0,,,59-50,,J. Teague misses 3-pt shot from 25 ft
1:55.0,Defensive rebound by D. Cousins,,59-50,,
1:45.0,Turnover by D. Collison (bad pass; steal by P. George),,59-50,,
1:40.0,,,59-50,,Turnover by P. George (bad pass; steal by G. Temple)
1:36.0,D. Collison makes 2-pt shot from 2 ft (assist by G. Temple),2,61-50,,
1:14.0,,,61-50,,T. Young misses 3-pt shot from 26 ft
1:13.0,Defensive rebound by D. Cousins,,61-50,,
1:04.0,D. Cousins makes 2-pt shot from 1 ft,2,63-50,,
0:52.0,,,63-50,,M. Turner misses 3-pt shot from 25 ft
0:50.0,Defensive rebound by D. Collison,,63-50,,
0:34.0,Turnover by D. Cousins (bad pass; steal by M. Turner),,63-50,,
0:26.0,,,63-50,,C. Miles misses 3-pt shot from 25 ft
0:26.0,,,63-50,,Offensive rebound by T. Young
0:26.0,Personal foul by G. Temple (drawn by T. Young),,63-50,,
0:26.0,,,63-51,1,T. Young makes free throw 1 of 2
0:26.0,Sacramento full timeout,,63-51,,
0:26.0,,,63-52,1,T. Young makes free throw 2 of 2
0:26.0,,,63-51,,A. Brooks enters the game for J. Teague
0:26.0,,,63-51,,G. Robinson enters the game for C. Miles
0:04.0,Shooting foul by G. Robinson (drawn by D. Cousins),,63-52,,
0:04.0,D. Cousins misses free throw 1 of 2,,63-52,,
0:04.0,Offensive rebound by Team,,63-52,,
0:04.0,,,63-52,,Indiana full timeout
0:04.0,D. Cousins makes free throw 2 of 2,1,64-52,,
0:04.0,T. Lawson enters the game for A. Afflalo,,63-52,,
0:04.0,M. Barnes enters the game for A. Tolliver,,63-52,,
0:04.0,,,63-52,,C. Miles enters the game for G. Robinson
