time,Brooklyn,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. B. Lopez (J. Okafor gains possession),,,,Jump ball: J. Embiid vs. B. Lopez (J. Okafor gains possession)
11:55.0,,,0-0,,Turnover by J. Okafor (lost ball)
11:41.0,B. Lopez makes 2-pt shot from 18 ft,2,2-0,,
11:25.0,,,2-2,2,J. Embiid makes 2-pt shot from 4 ft (assist by J. Okafor)
11:05.0,S. Kilpatrick misses 3-pt shot from 24 ft,,2-2,,
11:04.0,,,2-2,,Defensive rebound by J. Embiid
10:45.0,,,2-2,,J. Embiid misses 3-pt shot from 25 ft
10:43.0,Defensive rebound by B. Bogdanovic,,2-2,,
10:31.0,B. Lopez makes 2-pt shot from 10 ft (assist by T. Booker),2,4-2,,
10:06.0,,,4-5,3,G. Henderson makes 3-pt shot from 25 ft (assist by J. Embiid)
9:57.0,B. Lopez makes 3-pt shot from 27 ft (assist by T. Booker),3,7-5,,
9:37.0,,,7-5,,J. Okafor misses 2-pt shot from 14 ft
9:36.0,Defensive rebound by S. Kilpatrick,,7-5,,
9:22.0,Turnover by B. Bogdanovic (bad pass; steal by S. Rodriguez),,7-5,,
9:16.0,Personal foul by I. Whitehead (drawn by J. Embiid),,7-5,,
9:02.0,,,7-5,,Shooting foul by T. Booker (drawn by J. Embiid)
9:02.0,,,7-6,1,J. Embiid makes free throw 1 of 2
9:02.0,,,7-7,1,J. Embiid makes free throw 2 of 2
8:55.0,B. Bogdanovic misses 3-pt shot from 25 ft,,7-7,,
8:52.0,,,7-7,,Defensive rebound by J. Embiid
8:46.0,,,7-10,3,S. Rodriguez makes 3-pt shot from 25 ft
8:28.0,S. Kilpatrick makes 2-pt shot from 17 ft,2,9-10,,
8:05.0,,,9-10,,Turnover by S. Rodriguez (traveling)
7:52.0,B. Lopez misses 2-pt shot from 4 ft,,9-10,,
7:50.0,Offensive rebound by B. Lopez,,9-10,,
7:50.0,B. Lopez misses 2-pt shot from 1 ft,,9-10,,
7:49.0,Offensive rebound by B. Lopez,,9-10,,
7:49.0,Shooting foul by R. Covington (drawn by B. Lopez),,9-10,,
7:49.0,B. Lopez makes free throw 1 of 2,1,10-10,,
7:49.0,B. Lopez makes free throw 2 of 2,1,11-10,,
7:39.0,,,11-10,,S. Rodriguez misses 2-pt shot from 4 ft (block by B. Lopez)
7:36.0,,,11-10,,Offensive rebound by S. Rodriguez
7:33.0,,,11-10,,J. Okafor misses 2-pt shot from 6 ft
7:33.0,,,11-10,,Offensive rebound by J. Okafor
7:33.0,,,11-10,,Shooting foul by I. Whitehead (drawn by J. Okafor)
7:33.0,,,11-11,1,J. Okafor makes free throw 1 of 2
7:33.0,,,11-12,1,J. Okafor makes free throw 2 of 2
7:33.0,,,11-11,,E. Ilyasova enters the game for J. Embiid
7:33.0,J. Harris enters the game for I. Whitehead,,11-11,,
7:21.0,J. Harris makes 3-pt shot from 23 ft (assist by B. Lopez),3,14-12,,
7:03.0,,,14-15,3,S. Rodriguez makes 3-pt shot from 23 ft (assist by E. Ilyasova)
6:44.0,B. Bogdanovic makes 2-pt shot from 20 ft (assist by B. Lopez),2,16-15,,
6:20.0,,,16-17,2,R. Covington makes 2-pt shot from 1 ft (assist by J. Okafor)
6:08.0,T. Booker makes 2-pt shot from 3 ft (assist by B. Lopez),2,18-17,,
5:48.0,,,18-17,,E. Ilyasova misses 3-pt shot from 27 ft
5:46.0,Defensive rebound by B. Bogdanovic,,18-17,,
5:38.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by B. Lopez),3,21-17,,
5:38.0,,,21-17,,Philadelphia full timeout
5:38.0,A. Bennett enters the game for B. Lopez,,21-17,,
5:38.0,,,21-17,,T. McConnell enters the game for S. Rodriguez
5:38.0,,,21-17,,D. Saric enters the game for G. Henderson
5:22.0,,,21-17,,Turnover by D. Saric (lost ball; steal by J. Harris)
5:15.0,Shooting foul by E. Ilyasova (drawn by T. Booker),,21-17,,
5:15.0,T. Booker makes free throw 1 of 2,1,22-17,,
5:15.0,T. Booker misses free throw 2 of 2,,22-17,,
5:13.0,,,22-17,,Defensive rebound by D. Saric
4:57.0,,,22-20,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by R. Covington)
4:44.0,Shooting foul by T. McConnell (drawn by S. Kilpatrick),,22-20,,
4:44.0,S. Kilpatrick misses free throw 1 of 2,,22-20,,
4:44.0,Offensive rebound by Team,,22-20,,
4:44.0,S. Kilpatrick makes free throw 2 of 2,1,23-20,,
4:44.0,R. Hollis-Jefferson enters the game for B. Bogdanovic,,22-20,,
4:36.0,Shooting block foul by A. Bennett (drawn by E. Ilyasova),,23-20,,
4:36.0,,,23-21,1,E. Ilyasova makes free throw 1 of 2
4:36.0,,,23-22,1,E. Ilyasova makes free throw 2 of 2
4:36.0,J. Lin enters the game for S. Kilpatrick,,23-21,,
4:36.0,,,23-21,,J. Embiid enters the game for J. Okafor
4:26.0,Turnover by R. Hollis-Jefferson (lost ball),,23-22,,
4:12.0,,,23-22,,D. Saric misses 2-pt shot from 13 ft (block by R. Hollis-Jefferson)
4:10.0,Defensive rebound by R. Hollis-Jefferson,,23-22,,
4:03.0,R. Hollis-Jefferson misses 2-pt shot from 8 ft (block by J. Embiid),,23-22,,
4:03.0,Offensive rebound by Team,,23-22,,
4:03.0,,,23-22,,H. Thompson enters the game for R. Covington
3:55.0,J. Harris misses 2-pt shot from 20 ft,,23-22,,
3:54.0,,,23-22,,Defensive rebound by Team
3:44.0,,,23-22,,Turnover by E. Ilyasova (traveling)
3:30.0,J. Lin makes 2-pt shot from 2 ft,2,25-22,,
3:21.0,,,25-22,,Turnover by T. McConnell (bad pass; steal by J. Harris)
3:15.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by J. Lin),2,27-22,,
3:02.0,,,27-22,,D. Saric misses 3-pt shot from 27 ft
3:01.0,Defensive rebound by T. Booker,,27-22,,
2:54.0,Turnover by A. Bennett (lost ball; steal by J. Embiid),,27-22,,
2:46.0,,,27-22,,D. Saric misses 2-pt shot at rim
2:44.0,Defensive rebound by A. Bennett,,27-22,,
2:39.0,J. Harris misses 3-pt shot from 23 ft,,27-22,,
2:35.0,,,27-22,,Defensive rebound by D. Saric
2:23.0,,,27-25,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by T. McConnell)
2:22.0,Brooklyn full timeout,,27-25,,
2:22.0,B. Lopez enters the game for T. Booker,,27-25,,
2:02.0,Turnover by J. Harris (lost ball),,27-25,,
1:48.0,,,27-25,,Shooting foul by B. Lopez (drawn by J. Embiid)
1:48.0,,,27-26,1,J. Embiid makes free throw 1 of 2
1:48.0,,,27-26,,J. Embiid misses free throw 2 of 2
1:46.0,Defensive rebound by A. Bennett,,27-26,,
1:39.0,J. Harris makes 3-pt shot from 25 ft (assist by A. Bennett),3,30-26,,
1:29.0,,,30-28,2,J. Embiid makes 2-pt shot from 19 ft (assist by T. McConnell)
1:16.0,B. Lopez misses 3-pt shot from 24 ft,,30-28,,
1:14.0,,,30-28,,Defensive rebound by D. Saric
1:02.0,,,30-30,2,J. Embiid makes 2-pt shot from 17 ft
0:52.0,Offensive charge foul by R. Hollis-Jefferson,,30-30,,
0:52.0,Turnover by R. Hollis-Jefferson (offensive foul),,30-30,,
0:37.0,,,30-30,,J. Embiid misses 2-pt shot from 11 ft
0:35.0,Defensive rebound by J. Lin,,30-30,,
0:28.0,B. Lopez makes 2-pt shot at rim (assist by J. Lin),2,32-30,,
0:07.0,,,32-30,,T. McConnell misses 2-pt shot from 5 ft
0:06.0,Defensive rebound by B. Lopez,,32-30,,
0:01.0,J. Harris misses 3-pt shot from 26 ft,,32-30,,
0:00.0,Offensive rebound by Team,,32-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,I. Whitehead misses 2-pt shot from 2 ft (block by J. Okafor),,32-30,,
11:38.0,,,32-30,,Defensive rebound by T. McConnell
11:27.0,,,32-30,,H. Thompson misses 3-pt shot from 23 ft
11:19.0,,,32-30,,Offensive rebound by D. Saric
11:09.0,,,32-32,2,G. Henderson makes 2-pt shot from 21 ft
11:09.0,,,32-32,,Shooting foul by R. Hollis-Jefferson (drawn by G. Henderson)
11:09.0,,,32-33,1,G. Henderson makes free throw 1 of 1
10:58.0,B. Bogdanovic misses 3-pt shot from 25 ft,,32-33,,
10:57.0,,,32-33,,Defensive rebound by J. Okafor
10:46.0,,,32-33,,Shooting foul by L. Scola (drawn by H. Thompson)
10:46.0,,,32-33,,H. Thompson misses free throw 1 of 2
10:46.0,,,32-33,,Offensive rebound by Team
10:46.0,,,32-34,1,H. Thompson makes free throw 2 of 2
10:32.0,B. Bogdanovic misses 2-pt shot from 2 ft,,32-34,,
10:30.0,,,32-34,,Defensive rebound by H. Thompson
10:23.0,,,32-34,,T. McConnell misses 2-pt shot from 2 ft
10:21.0,Defensive rebound by B. Bogdanovic,,32-34,,
10:16.0,B. Bogdanovic misses 2-pt shot from 2 ft,,32-34,,
10:14.0,,,32-34,,Defensive rebound by J. Okafor
9:58.0,,,32-34,,J. Okafor misses 2-pt shot from 1 ft
9:57.0,Defensive rebound by R. Hollis-Jefferson,,32-34,,
9:57.0,,,32-34,,Personal foul by G. Henderson (drawn by R. Hollis-Jefferson)
9:57.0,,,32-34,,S. Rodriguez enters the game for T. McConnell
9:57.0,,,32-34,,R. Covington enters the game for H. Thompson
9:42.0,R. Hollis-Jefferson makes 2-pt shot from 21 ft (assist by B. Bogdanovic),2,34-34,,
9:41.0,,,34-34,,Philadelphia full timeout
9:28.0,,,34-34,,D. Saric misses 3-pt shot from 26 ft
9:27.0,Defensive rebound by B. Bogdanovic,,34-34,,
9:17.0,L. Scola misses 2-pt shot from 14 ft,,34-34,,
9:15.0,,,34-34,,Defensive rebound by D. Saric
9:10.0,Personal foul by L. Scola (drawn by J. Okafor),,34-34,,
