time,Washington,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Johnson (A. Horford gains possession),,,,Jump ball: M. Gortat vs. A. Johnson (A. Horford gains possession)
11:42.0,,,0-0,,A. Horford misses 2-pt shot from 17 ft
11:41.0,Defensive rebound by O. Porter,,0-0,,
11:22.0,M. Gortat misses 2-pt shot from 8 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by A. Horford
11:10.0,,,0-0,,Shooting foul by B. Beal (drawn by I. Thomas)
11:10.0,,,0-1,1,I. Thomas makes free throw 1 of 3
11:10.0,,,0-2,1,I. Thomas makes free throw 2 of 3
11:10.0,,,0-3,1,I. Thomas makes free throw 3 of 3
10:51.0,J. Wall misses 2-pt shot from 3 ft,,0-3,,
10:50.0,,,0-3,,Defensive rebound by Team
10:28.0,,,0-3,,I. Thomas misses 2-pt shot from 21 ft
10:27.0,Defensive rebound by M. Gortat,,0-3,,
10:21.0,,,0-3,,Personal block foul by A. Johnson (drawn by J. Wall)
10:12.0,B. Beal misses 2-pt shot from 17 ft,,0-3,,
10:10.0,,,0-3,,Defensive rebound by J. Crowder
10:03.0,,,0-3,,Turnover by A. Bradley (bad pass; steal by B. Beal)
9:51.0,M. Morris makes 2-pt shot from 2 ft,2,2-3,,
9:31.0,,,2-5,2,A. Horford makes 2-pt shot from 5 ft (assist by I. Thomas)
9:11.0,Turnover by M. Gortat (lost ball; steal by I. Thomas),,2-5,,
9:06.0,,,2-5,,A. Bradley misses 3-pt shot from 23 ft
9:04.0,Defensive rebound by J. Wall,,2-5,,
9:00.0,B. Beal misses 3-pt shot from 26 ft,,2-5,,
8:59.0,,,2-5,,Defensive rebound by A. Bradley
8:51.0,,,2-8,3,A. Bradley makes 3-pt shot from 26 ft (assist by I. Thomas)
8:51.0,Washington full timeout,,2-8,,
8:33.0,O. Porter misses 3-pt shot from 22 ft,,2-8,,
8:32.0,,,2-8,,Defensive rebound by J. Crowder
8:16.0,,,2-10,2,J. Crowder makes 2-pt shot from 1 ft (assist by A. Horford)
8:01.0,Turnover by J. Wall (bad pass),,2-10,,
7:49.0,,,2-10,,Turnover by A. Johnson (bad pass; steal by O. Porter)
7:42.0,M. Morris misses 3-pt shot from 23 ft,,2-10,,
7:41.0,,,2-10,,Defensive rebound by J. Crowder
7:32.0,,,2-10,,I. Thomas misses 3-pt shot from 25 ft
7:32.0,Defensive rebound by M. Gortat,,2-10,,
7:23.0,O. Porter makes 2-pt shot from 5 ft (assist by M. Morris),2,4-10,,
7:05.0,,,4-10,,J. Crowder misses 3-pt shot from 23 ft
7:04.0,Defensive rebound by M. Morris,,4-10,,
6:52.0,M. Morris makes 3-pt shot from 24 ft (assist by J. Wall),3,7-10,,
6:35.0,,,7-10,,Offensive foul by A. Johnson
6:35.0,,,7-10,,Turnover by A. Johnson (offensive foul)
6:35.0,,,7-10,,K. Olynyk enters the game for A. Johnson
6:24.0,B. Beal makes 2-pt shot from 19 ft,2,9-10,,
6:24.0,Shooting foul by I. Thomas (drawn by B. Beal),,9-10,,
6:24.0,B. Beal makes free throw 1 of 1,1,10-10,,
6:12.0,,,10-10,,Turnover by I. Thomas (lost ball; steal by M. Gortat)
6:07.0,J. Wall makes 2-pt shot at rim (assist by O. Porter),2,12-10,,
5:47.0,,,12-13,3,A. Horford makes 3-pt shot from 25 ft (assist by I. Thomas)
5:31.0,O. Porter misses 2-pt shot from 14 ft,,12-13,,
5:30.0,Offensive rebound by M. Gortat,,12-13,,
5:28.0,M. Gortat misses 2-pt shot from 4 ft,,12-13,,
5:27.0,,,12-13,,Defensive rebound by Team
5:14.0,,,12-15,2,I. Thomas makes 2-pt shot from 2 ft
5:08.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,14-15,,
