time,Sacramento,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. M. Plumlee,,,,Jump ball: K. Koufos vs. M. Plumlee
12:00.0,,,0-0,,Violation by Team (jump ball)
11:49.0,,,0-0,,Personal foul by G. Antetokounmpo (drawn by O. Casspi)
11:44.0,A. Afflalo misses 2-pt shot from 21 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by Team
11:31.0,,,0-2,2,G. Antetokounmpo makes 2-pt shot from 1 ft
11:14.0,A. Afflalo misses 3-pt shot from 27 ft,,0-2,,
11:13.0,,,0-2,,Defensive rebound by T. Snell
11:04.0,,,0-2,,T. Snell misses 3-pt shot from 26 ft
11:03.0,,,0-2,,Offensive rebound by M. Dellavedova
10:59.0,,,0-2,,G. Antetokounmpo misses 3-pt shot from 25 ft
10:58.0,,,0-2,,Offensive rebound by T. Snell
10:55.0,,,0-2,,T. Snell misses 3-pt shot from 25 ft
10:53.0,Defensive rebound by Team,,0-2,,
10:41.0,K. Koufos makes 2-pt shot from 6 ft (assist by T. Lawson),2,2-2,,
10:23.0,,,2-2,,J. Parker misses 3-pt shot from 26 ft
10:22.0,Defensive rebound by O. Casspi,,2-2,,
10:05.0,O. Casspi misses 2-pt shot from 1 ft,,2-2,,
10:04.0,,,2-2,,Defensive rebound by T. Snell
9:42.0,,,2-4,2,M. Dellavedova makes 2-pt shot from 12 ft (assist by G. Antetokounmpo)
9:26.0,Turnover by T. Lawson (bad pass; steal by G. Antetokounmpo),,2-4,,
9:23.0,,,2-4,,Shooting foul by K. Koufos (drawn by G. Antetokounmpo)
9:23.0,,,2-5,1,G. Antetokounmpo makes free throw 1 of 2
9:23.0,,,2-6,1,G. Antetokounmpo makes free throw 2 of 2
9:01.0,Turnover by K. Koufos (bad pass; steal by M. Dellavedova),,2-6,,
8:55.0,,,2-8,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
8:46.0,T. Lawson misses 2-pt shot from 2 ft (block by M. Plumlee),,2-8,,
8:44.0,Offensive rebound by T. Lawson,,2-8,,
8:38.0,D. Cousins makes 2-pt shot from 14 ft (assist by T. Lawson),2,4-8,,
8:25.0,,,4-8,,J. Parker misses 2-pt shot from 20 ft
8:24.0,Defensive rebound by A. Afflalo,,4-8,,
8:13.0,D. Cousins misses 2-pt shot from 1 ft (block by M. Plumlee),,4-8,,
8:13.0,,,4-8,,Defensive rebound by G. Antetokounmpo
8:13.0,Personal take foul by T. Lawson (drawn by G. Antetokounmpo),,4-8,,
8:05.0,,,4-8,,G. Antetokounmpo misses 2-pt shot at rim
8:05.0,,,4-8,,Offensive rebound by G. Antetokounmpo
8:05.0,,,4-8,,Shooting foul by O. Casspi (drawn by G. Antetokounmpo)
8:05.0,,,4-9,1,G. Antetokounmpo makes free throw 1 of 2
8:05.0,,,4-10,1,G. Antetokounmpo makes free throw 2 of 2
7:44.0,D. Cousins makes 2-pt shot at rim (assist by K. Koufos),2,6-10,,
7:36.0,,,6-12,2,J. Parker makes 2-pt shot from 2 ft (assist by G. Antetokounmpo)
7:18.0,,,6-12,,Personal foul by M. Plumlee (drawn by D. Cousins)
7:06.0,A. Afflalo misses 2-pt shot from 18 ft,,6-12,,
7:04.0,Offensive rebound by K. Koufos,,6-12,,
7:04.0,K. Koufos makes 2-pt shot at rim,2,8-12,,
6:44.0,,,8-12,,T. Snell misses 3-pt shot from 26 ft
6:43.0,Defensive rebound by D. Cousins,,8-12,,
6:37.0,T. Lawson misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,8-12,,
6:35.0,,,8-12,,Defensive rebound by G. Antetokounmpo
6:30.0,,,8-14,2,M. Plumlee makes 2-pt shot at rim (assist by G. Antetokounmpo)
6:10.0,A. Afflalo makes 3-pt shot from 23 ft (assist by T. Lawson),3,11-14,,
5:59.0,,,11-14,,Milwaukee full timeout
5:59.0,,,11-14,,G. Monroe enters the game for G. Antetokounmpo
5:59.0,,,11-14,,M. Teletovic enters the game for M. Plumlee
5:59.0,G. Temple enters the game for T. Lawson,,11-14,,
5:48.0,,,11-16,2,M. Dellavedova makes 2-pt shot from 12 ft
5:32.0,D. Cousins makes 2-pt shot at rim (assist by O. Casspi),2,13-16,,
5:22.0,,,13-16,,J. Parker misses 2-pt shot from 18 ft
5:20.0,Defensive rebound by D. Cousins,,13-16,,
5:09.0,D. Cousins misses 2-pt shot from 7 ft,,13-16,,
5:08.0,Offensive rebound by K. Koufos,,13-16,,
5:07.0,K. Koufos misses 2-pt shot at rim (block by J. Parker),,13-16,,
5:05.0,Offensive rebound by O. Casspi,,13-16,,
5:04.0,O. Casspi makes 2-pt shot from 1 ft,2,15-16,,
4:57.0,,,15-16,,Shooting foul by A. Afflalo (drawn by M. Teletovic)
4:57.0,,,15-16,,M. Teletovic misses free throw 1 of 2
4:57.0,,,15-16,,Offensive rebound by Team
4:57.0,,,15-17,1,M. Teletovic makes free throw 2 of 2
4:57.0,M. Barnes enters the game for K. Koufos,,15-16,,
4:43.0,O. Casspi misses 3-pt shot from 26 ft,,15-17,,
4:41.0,,,15-17,,Defensive rebound by M. Dellavedova
4:38.0,,,15-17,,Turnover by M. Dellavedova (bad pass)
4:25.0,D. Cousins misses 3-pt shot from 26 ft,,15-17,,
4:23.0,,,15-17,,Defensive rebound by T. Snell
