time,New York,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. K. Porzingis (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. K. Porzingis (V. Oladipo gains possession)
11:47.0,,,0-0,,S. Adams misses 2-pt shot from 14 ft
11:46.0,Defensive rebound by W. Hernangomez,,0-0,,
11:33.0,Turnover by W. Hernangomez (lost ball; steal by A. Roberson),,0-0,,
11:27.0,,,0-0,,V. Oladipo misses 3-pt shot from 24 ft
11:25.0,,,0-0,,Offensive rebound by S. Adams
11:15.0,,,0-0,,S. Adams misses 2-pt shot from 2 ft
11:14.0,,,0-0,,Offensive rebound by A. Roberson
11:00.0,,,0-0,,D. Sabonis misses 3-pt shot from 25 ft
10:59.0,Defensive rebound by W. Hernangomez,,0-0,,
10:42.0,K. Porzingis makes 2-pt shot from 1 ft (assist by D. Rose),2,2-0,,
10:20.0,,,2-0,,S. Adams misses 2-pt shot from 2 ft (block by W. Hernangomez)
10:18.0,Defensive rebound by K. Porzingis,,2-0,,
10:12.0,C. Lee makes 3-pt shot from 23 ft (assist by D. Rose),3,5-0,,
10:01.0,,,5-2,2,V. Oladipo makes 2-pt shot at rim (assist by R. Westbrook)
9:52.0,D. Rose makes 2-pt shot from 5 ft,2,7-2,,
9:35.0,,,7-2,,D. Sabonis misses 2-pt shot from 6 ft
9:35.0,,,7-2,,Offensive rebound by S. Adams
9:32.0,,,7-2,,S. Adams misses 2-pt shot from 3 ft
9:31.0,,,7-2,,Offensive rebound by D. Sabonis
9:29.0,,,7-2,,S. Adams misses 2-pt shot at rim (block by K. Porzingis)
9:27.0,Defensive rebound by C. Lee,,7-2,,
9:17.0,C. Anthony makes 3-pt shot from 23 ft (assist by D. Rose),3,10-2,,
9:10.0,,,10-2,,A. Roberson misses 2-pt shot from 3 ft (block by C. Anthony)
9:08.0,Defensive rebound by D. Rose,,10-2,,
9:01.0,C. Lee misses 3-pt shot from 24 ft,,10-2,,
9:01.0,Offensive rebound by W. Hernangomez,,10-2,,
8:57.0,C. Anthony makes 3-pt shot from 25 ft (assist by K. Porzingis),3,13-2,,
8:56.0,,,13-2,,Oklahoma City full timeout
8:44.0,,,13-2,,Turnover by R. Westbrook (bad pass; steal by K. Porzingis)
