time,Oklahoma City,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. R. Hibbert (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. R. Hibbert (V. Oladipo gains possession)
11:43.0,S. Adams makes 2-pt shot from 7 ft,2,2-0,,
11:25.0,,,2-0,,M. Williams misses 2-pt shot from 1 ft (block by S. Adams)
11:22.0,Defensive rebound by R. Westbrook,,2-0,,
11:17.0,V. Oladipo misses 3-pt shot from 24 ft,,2-0,,
11:15.0,,,2-0,,Defensive rebound by M. Kidd-Gilchrist
11:06.0,,,2-2,2,M. Kidd-Gilchrist makes 2-pt shot from 8 ft (assist by M. Williams)
10:53.0,A. Roberson makes 2-pt shot from 3 ft (assist by R. Westbrook),2,4-2,,
10:34.0,,,4-2,,M. Williams misses 3-pt shot from 25 ft
10:33.0,Defensive rebound by R. Westbrook,,4-2,,
10:19.0,V. Oladipo makes 2-pt shot from 12 ft,2,6-2,,
10:13.0,,,6-2,,Offensive charge foul by M. Williams
10:13.0,,,6-2,,Turnover by M. Williams (offensive foul)
9:48.0,V. Oladipo misses 2-pt shot from 1 ft,,6-2,,
9:46.0,Offensive rebound by Team,,6-2,,
9:35.0,R. Westbrook misses 3-pt shot from 25 ft,,6-2,,
9:34.0,,,6-2,,Defensive rebound by N. Batum
9:22.0,,,6-5,3,K. Walker makes 3-pt shot from 24 ft
9:05.0,Turnover by V. Oladipo (bad pass; steal by K. Walker),,6-5,,
8:59.0,,,6-5,,N. Batum misses 2-pt shot from 1 ft
8:59.0,,,6-5,,Offensive rebound by Team
8:55.0,,,6-5,,Turnover by K. Walker (bad pass)
8:40.0,R. Westbrook misses 2-pt shot from 2 ft,,6-5,,
8:38.0,,,6-5,,Defensive rebound by K. Walker
8:34.0,,,6-5,,M. Kidd-Gilchrist misses 2-pt shot from 3 ft
8:33.0,Defensive rebound by S. Adams,,6-5,,
8:30.0,R. Westbrook makes 2-pt shot from 2 ft (assist by S. Adams),2,8-5,,
8:15.0,,,8-5,,N. Batum misses 3-pt shot from 24 ft
8:14.0,Defensive rebound by R. Westbrook,,8-5,,
8:10.0,V. Oladipo makes 2-pt shot from 13 ft (assist by R. Westbrook),2,10-5,,
7:57.0,Personal block foul by D. Sabonis (drawn by M. Kidd-Gilchrist),,10-5,,
7:49.0,,,10-7,2,K. Walker makes 2-pt shot from 1 ft
7:31.0,A. Roberson misses 2-pt shot from 6 ft,,10-7,,
7:30.0,Offensive rebound by S. Adams,,10-7,,
7:21.0,V. Oladipo misses 2-pt shot at rim,,10-7,,
7:20.0,,,10-7,,Defensive rebound by M. Kidd-Gilchrist
7:12.0,,,10-7,,M. Williams misses 3-pt shot from 24 ft
7:11.0,Defensive rebound by R. Westbrook,,10-7,,
7:06.0,R. Westbrook makes 2-pt shot from 17 ft,2,12-7,,
6:42.0,,,12-7,,M. Williams misses 2-pt shot from 12 ft
6:40.0,,,12-7,,Offensive rebound by M. Williams
6:35.0,,,12-7,,N. Batum misses 3-pt shot from 25 ft
6:34.0,Defensive rebound by S. Adams,,12-7,,
6:28.0,R. Westbrook misses 2-pt shot from 10 ft (block by R. Hibbert),,12-7,,
6:25.0,,,12-7,,Defensive rebound by M. Williams
6:15.0,,,12-7,,R. Hibbert misses 2-pt shot from 17 ft
6:12.0,,,12-7,,Offensive rebound by N. Batum
6:12.0,,,12-9,2,N. Batum makes 2-pt shot from 1 ft
6:10.0,Oklahoma City full timeout,,12-9,,
5:50.0,R. Westbrook misses 3-pt shot from 25 ft,,12-9,,
5:49.0,Offensive rebound by D. Sabonis,,12-9,,
5:39.0,D. Sabonis makes 2-pt shot from 6 ft,2,14-9,,
5:25.0,,,14-11,2,N. Batum makes 2-pt shot from 9 ft (assist by K. Walker)
5:19.0,,,14-11,,Personal foul by R. Hibbert (drawn by S. Adams)
5:19.0,,,14-11,,J. Lamb enters the game for N. Batum
5:19.0,A. Abrines enters the game for V. Oladipo,,14-11,,
5:12.0,R. Westbrook misses 2-pt shot from 17 ft,,14-11,,
5:11.0,,,14-11,,Defensive rebound by M. Williams
5:00.0,,,14-11,,M. Williams misses 2-pt shot from 11 ft
4:59.0,Defensive rebound by D. Sabonis,,14-11,,
4:56.0,Shooting foul by R. Hibbert (drawn by R. Westbrook),,14-11,,
