time,New York,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. K. Towns (G. Dieng gains possession),,,,Jump ball: K. Porzingis vs. K. Towns (G. Dieng gains possession)
11:38.0,,,0-2,2,K. Towns makes 2-pt shot from 8 ft
11:14.0,K. Porzingis makes 2-pt shot from 19 ft (assist by C. Anthony),2,2-2,,
10:56.0,,,2-2,,A. Wiggins misses 2-pt shot from 19 ft
10:55.0,Defensive rebound by C. Lee,,2-2,,
10:47.0,D. Rose makes 2-pt shot from 5 ft (assist by C. Lee),2,4-2,,
10:33.0,,,4-2,,Z. LaVine misses 3-pt shot from 24 ft
10:31.0,Defensive rebound by K. O'Quinn,,4-2,,
10:22.0,C. Lee makes 2-pt shot from 14 ft (assist by K. O'Quinn),2,6-2,,
10:04.0,,,6-2,,Turnover by G. Dieng (lost ball; steal by C. Anthony)
9:58.0,C. Lee makes 3-pt shot from 25 ft (assist by K. Porzingis),3,9-2,,
9:44.0,Personal foul by K. O'Quinn (drawn by K. Towns),,9-2,,
9:35.0,,,9-4,2,K. Towns makes 2-pt shot from 15 ft (assist by A. Wiggins)
9:15.0,K. Porzingis makes 3-pt shot from 24 ft (assist by D. Rose),3,12-4,,
8:49.0,,,12-4,,G. Dieng misses 2-pt shot from 16 ft
8:48.0,,,12-4,,Offensive rebound by K. Towns
8:46.0,,,12-6,2,K. Towns makes 2-pt shot from 1 ft
8:36.0,K. Porzingis misses 2-pt shot from 5 ft,,12-6,,
8:35.0,Offensive rebound by K. O'Quinn,,12-6,,
8:34.0,K. O'Quinn makes 2-pt shot from 1 ft,2,14-6,,
8:34.0,Shooting foul by G. Dieng (drawn by K. O'Quinn),,14-6,,
8:34.0,K. O'Quinn misses free throw 1 of 1,,14-6,,
8:34.0,,,14-6,,Defensive rebound by K. Towns
8:20.0,,,14-6,,G. Dieng misses 2-pt shot from 4 ft
8:18.0,,,14-6,,Offensive rebound by Team
8:15.0,,,14-6,,Shooting foul by K. O'Quinn (drawn by K. Towns)
8:15.0,,,14-7,1,K. Towns makes free throw 1 of 2
8:15.0,,,14-7,,K. Towns misses free throw 2 of 2
8:15.0,Defensive rebound by K. Porzingis,,14-7,,
7:59.0,D. Rose misses 3-pt shot from 24 ft,,14-7,,
7:57.0,,,14-7,,Defensive rebound by Team
7:44.0,,,14-9,2,A. Wiggins makes 2-pt shot from 14 ft
7:32.0,K. Porzingis misses 3-pt shot from 26 ft,,14-9,,
7:31.0,,,14-9,,Defensive rebound by A. Wiggins
7:22.0,,,14-9,,A. Wiggins misses 2-pt shot from 4 ft
7:22.0,Defensive rebound by K. O'Quinn,,14-9,,
7:16.0,K. Porzingis makes 2-pt shot at rim (assist by C. Lee),2,16-9,,
7:09.0,,,16-9,,Minnesota full timeout
7:09.0,W. Hernangomez enters the game for K. O'Quinn,,16-9,,
6:58.0,,,16-9,,Shooting foul by W. Hernangomez (drawn by G. Dieng)
6:58.0,,,16-10,1,G. Dieng makes free throw 1 of 2
6:58.0,,,16-11,1,G. Dieng makes free throw 2 of 2
6:34.0,Turnover by Team (shot clock),,16-11,,
6:22.0,,,16-13,2,K. Towns makes 2-pt shot from 16 ft (assist by R. Rubio)
6:00.0,K. Porzingis misses 3-pt shot from 25 ft,,16-13,,
5:59.0,,,16-13,,Defensive rebound by K. Towns
5:53.0,,,16-13,,Shooting foul by C. Lee (drawn by G. Dieng)
5:53.0,,,16-13,,G. Dieng misses free throw 1 of 2
5:53.0,,,16-13,,Offensive rebound by Team
5:53.0,,,16-13,,G. Dieng misses free throw 2 of 2
5:53.0,Defensive rebound by W. Hernangomez,,16-13,,
5:40.0,C. Lee makes 2-pt shot from 1 ft (assist by W. Hernangomez),2,18-13,,
5:33.0,Personal foul by W. Hernangomez (drawn by K. Towns),,18-13,,
5:33.0,,,18-14,1,K. Towns makes free throw 1 of 2
5:33.0,,,18-14,,K. Towns misses free throw 2 of 2
5:31.0,Defensive rebound by K. Porzingis,,18-14,,
5:15.0,Turnover by C. Anthony (bad pass),,18-14,,
5:05.0,,,18-14,,Shooting foul by K. Porzingis (drawn by K. Towns)
5:05.0,,,18-15,1,K. Towns makes free throw 1 of 2
5:05.0,,,18-16,1,K. Towns makes free throw 2 of 2
4:47.0,W. Hernangomez makes 2-pt shot from 16 ft (assist by C. Lee),2,20-16,,
4:29.0,,,20-18,2,Z. LaVine makes 2-pt shot from 1 ft
4:19.0,D. Rose makes 2-pt shot from 19 ft,2,22-18,,
4:07.0,,,22-18,,Z. LaVine misses 2-pt shot from 4 ft
4:07.0,,,22-18,,Offensive rebound by Team
4:07.0,J. Holiday enters the game for C. Lee,,22-18,,
4:07.0,,,22-18,,N. Bjelica enters the game for G. Dieng
4:07.0,M. Ndour enters the game for K. Porzingis,,22-18,,
3:56.0,,,22-18,,A. Wiggins misses 3-pt shot from 25 ft
3:55.0,Defensive rebound by J. Holiday,,22-18,,
3:46.0,J. Holiday misses 3-pt shot from 25 ft,,22-18,,
3:45.0,,,22-18,,Defensive rebound by R. Rubio
3:40.0,,,22-18,,Turnover by R. Rubio (bad pass; steal by J. Holiday)
3:29.0,J. Holiday misses 2-pt shot from 3 ft,,22-18,,
3:28.0,,,22-18,,Defensive rebound by K. Towns
3:14.0,,,22-20,2,K. Towns makes 2-pt shot from 1 ft (assist by A. Wiggins)
3:07.0,New York full timeout,,22-20,,
2:57.0,J. Holiday misses 2-pt shot from 3 ft,,22-20,,
2:56.0,,,22-20,,Defensive rebound by K. Towns
2:35.0,,,22-22,2,K. Towns makes 2-pt shot from 18 ft (assist by R. Rubio)
2:23.0,Turnover by W. Hernangomez (bad pass; steal by K. Towns),,22-22,,
2:19.0,Shooting block foul by C. Anthony (drawn by K. Towns),,22-22,,
2:19.0,,,22-23,1,K. Towns makes free throw 1 of 2
2:19.0,,,22-24,1,K. Towns makes free throw 2 of 2
2:19.0,B. Jennings enters the game for D. Rose,,22-23,,
2:19.0,,,22-23,,K. Dunn enters the game for R. Rubio
2:07.0,C. Anthony makes 2-pt shot from 17 ft (assist by B. Jennings),2,24-24,,
1:52.0,,,24-24,,K. Dunn misses 3-pt shot from 24 ft
1:51.0,Defensive rebound by C. Anthony,,24-24,,
1:40.0,Shooting foul by K. Dunn (drawn by W. Hernangomez),,24-24,,
1:40.0,W. Hernangomez makes free throw 1 of 2,1,25-24,,
1:40.0,W. Hernangomez makes free throw 2 of 2,1,26-24,,
1:18.0,,,26-24,,N. Bjelica misses 2-pt shot from 11 ft
1:17.0,,,26-24,,Offensive rebound by K. Towns
1:17.0,,,26-26,2,K. Towns makes 2-pt shot from 1 ft
1:05.0,C. Anthony misses 3-pt shot from 25 ft,,26-26,,
1:04.0,,,26-26,,Defensive rebound by A. Wiggins
0:52.0,,,26-28,2,K. Towns makes 2-pt shot from 1 ft (assist by A. Wiggins)
0:41.0,B. Jennings misses 2-pt shot from 3 ft (block by K. Dunn),,26-28,,
0:40.0,Offensive rebound by W. Hernangomez,,26-28,,
0:32.0,W. Hernangomez makes 2-pt shot from 5 ft,2,28-28,,
0:19.0,,,28-31,3,A. Wiggins makes 3-pt shot from 25 ft (assist by N. Bjelica)
0:01.0,C. Anthony misses 2-pt shot from 19 ft,,28-31,,
0:00.0,,,28-31,,Defensive rebound by K. Towns
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,K. Porzingis makes 2-pt shot from 15 ft,2,30-31,,
11:43.0,Shooting foul by N. Bjelica (drawn by K. Porzingis),,30-31,,
11:43.0,K. Porzingis makes free throw 1 of 1,1,31-31,,
11:27.0,,,31-31,,Turnover by A. Wiggins (bad pass)
11:15.0,M. Kuzminskas misses 3-pt shot from 23 ft,,31-31,,
11:14.0,,,31-31,,Defensive rebound by Team
11:03.0,,,31-31,,Turnover by K. Dunn (lost ball)
10:50.0,J. Holiday misses 3-pt shot from 23 ft,,31-31,,
10:50.0,,,31-31,,Defensive rebound by Team
10:50.0,Loose ball foul by M. Kuzminskas (drawn by S. Muhammad),,31-31,,
10:50.0,M. Plumlee enters the game for W. Hernangomez,,31-31,,
10:38.0,,,31-31,,S. Muhammad misses 2-pt shot from 7 ft
10:37.0,Defensive rebound by K. Porzingis,,31-31,,
10:30.0,K. Porzingis misses 3-pt shot from 25 ft,,31-31,,
10:29.0,Offensive rebound by Team,,31-31,,
10:29.0,,,31-31,,Loose ball foul by N. Bjelica (drawn by K. Porzingis)
10:19.0,B. Jennings makes 2-pt shot from 20 ft,2,33-31,,
10:06.0,,,33-31,,N. Bjelica misses 3-pt shot from 25 ft
10:04.0,,,33-31,,Offensive rebound by A. Wiggins
9:52.0,,,33-33,2,A. Wiggins makes 2-pt shot from 16 ft
9:52.0,,,33-33,,Shooting foul by J. Holiday (drawn by A. Wiggins)
9:52.0,,,33-33,,A. Wiggins misses free throw 1 of 1
9:50.0,Defensive rebound by Team,,33-33,,
9:37.0,B. Jennings makes 2-pt shot from 2 ft,2,35-33,,
9:23.0,,,35-33,,A. Wiggins misses 2-pt shot from 18 ft
9:19.0,Defensive rebound by K. Porzingis,,35-33,,
