time,Indiana,pts.away,score,pts.home,Denver
3:18.0,,,99-128,,M. Beasley enters the game for D. Gallinari
3:18.0,L. Allen enters the game for C. Miles,,99-128,,
3:04.0,,,100-128,,W. Barton misses 2-pt shot from 2 ft
3:04.0,,,100-128,,Offensive rebound by W. Barton
2:56.0,,,100-130,2,J. Hernangomez makes 2-pt shot from 22 ft (assist by W. Barton)
2:49.0,,,100-130,,Personal take foul by J. Nelson (drawn by A. Brooks)
2:49.0,Official timeout,,100-130,,
2:49.0,J. Young enters the game for M. Ellis,,100-130,,
2:49.0,G. Niang enters the game for K. Seraphin,,100-130,,
2:49.0,,,100-130,,M. Miller enters the game for J. Nelson
2:34.0,G. Robinson makes 2-pt shot from 21 ft (assist by J. Young),2,102-130,,
2:13.0,,,102-132,2,J. Hernangomez makes 2-pt shot from 2 ft
2:09.0,Turnover by J. Young (bad pass),,102-132,,
1:53.0,,,102-132,,Turnover by M. Miller (bad pass; steal by A. Brooks)
1:49.0,J. Young makes 2-pt shot from 16 ft,2,104-132,,
1:43.0,,,104-134,2,M. Beasley makes 2-pt shot from 3 ft
1:33.0,A. Brooks makes 3-pt shot from 25 ft,3,107-134,,
1:24.0,,,107-134,,Shooting foul by L. Allen (drawn by J. Murray)
1:24.0,,,107-135,1,J. Murray makes free throw 1 of 2
1:24.0,,,107-136,1,J. Murray makes free throw 2 of 2
1:12.0,Turnover by J. Young (bad pass; steal by J. Murray),,107-136,,
1:11.0,,,107-138,2,W. Barton makes 2-pt shot from 2 ft (assist by J. Murray)
1:04.0,G. Niang makes 2-pt shot from 2 ft (assist by L. Allen),2,109-138,,
0:52.0,,,109-138,,M. Miller misses 3-pt shot from 25 ft
0:52.0,,,109-138,,Offensive rebound by M. Beasley
0:48.0,,,109-140,2,M. Beasley makes 2-pt shot from 3 ft
0:39.0,G. Robinson misses 2-pt shot from 9 ft (block by J. Hernangomez),,109-140,,
0:37.0,Offensive rebound by G. Robinson,,109-140,,
0:35.0,J. Young makes 3-pt shot from 23 ft,3,112-140,,
0:25.0,,,112-140,,Turnover by J. Murray (bad pass; steal by A. Brooks)
0:14.0,J. Young misses 3-pt shot from 24 ft,,112-140,,
0:13.0,,,112-140,,Defensive rebound by M. Miller
0:00.0,End of 4th quarter,,,,End of 4th quarter
