time,Cleveland,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. T. Thompson (T. Harris gains possession),,,,Jump ball: A. Drummond vs. T. Thompson (T. Harris gains possession)
11:35.0,,,0-0,,Turnover by Team (shot clock)
11:21.0,K. Irving misses 2-pt shot from 4 ft (block by T. Harris),,0-0,,
11:20.0,,,0-0,,Defensive rebound by T. Harris
10:57.0,,,0-0,,T. Harris misses 3-pt shot from 26 ft
10:54.0,Defensive rebound by L. James,,0-0,,
10:48.0,L. James misses 3-pt shot from 26 ft,,0-0,,
10:47.0,Offensive rebound by Team,,0-0,,
10:38.0,R. Jefferson misses 3-pt shot from 26 ft,,0-0,,
10:38.0,,,0-0,,Defensive rebound by Team
10:38.0,Loose ball foul by T. Thompson (drawn by R. Jackson),,0-0,,
10:28.0,,,0-3,3,M. Morris makes 3-pt shot from 27 ft (assist by T. Harris)
10:08.0,L. James misses 2-pt shot from 17 ft,,0-3,,
10:08.0,Offensive rebound by T. Thompson,,0-3,,
10:00.0,I. Shumpert makes 3-pt shot from 26 ft (assist by T. Thompson),3,3-3,,
9:43.0,,,3-6,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by A. Drummond)
9:17.0,L. James makes 2-pt shot from 1 ft,2,5-6,,
9:04.0,,,5-8,2,R. Jackson makes 2-pt shot from 19 ft (assist by A. Drummond)
8:41.0,K. Irving misses 2-pt shot from 7 ft,,5-8,,
8:41.0,,,5-8,,Defensive rebound by A. Drummond
8:36.0,,,5-8,,Offensive foul by A. Drummond
8:36.0,,,5-8,,Turnover by A. Drummond (offensive foul)
8:14.0,L. James makes 2-pt shot at rim (assist by T. Thompson),2,7-8,,
8:03.0,,,7-8,,Turnover by M. Morris (bad pass; steal by T. Thompson)
7:54.0,T. Thompson misses 2-pt shot from 1 ft,,7-8,,
7:53.0,,,7-8,,Defensive rebound by T. Harris
7:34.0,,,7-8,,R. Jackson misses 2-pt shot from 1 ft
7:34.0,,,7-8,,Offensive rebound by A. Drummond
7:31.0,,,7-10,2,A. Drummond makes 2-pt shot at rim
7:16.0,K. Irving makes 2-pt shot from 8 ft,2,9-10,,
7:03.0,,,9-10,,K. Caldwell-Pope misses 2-pt shot from 18 ft
7:02.0,Defensive rebound by K. Irving,,9-10,,
6:57.0,L. James makes 2-pt shot at rim (assist by R. Jefferson),2,11-10,,
6:36.0,,,11-10,,R. Jackson misses 3-pt shot from 25 ft
6:36.0,Defensive rebound by R. Jefferson,,11-10,,
6:15.0,I. Shumpert misses 3-pt shot from 27 ft,,11-10,,
6:14.0,Offensive rebound by L. James,,11-10,,
5:55.0,Turnover by K. Irving (step out of bounds),,11-10,,
5:55.0,,,11-10,,Detroit full timeout
5:55.0,,,11-10,,S. Johnson enters the game for M. Morris
5:55.0,,,11-10,,I. Smith enters the game for R. Jackson
5:43.0,,,11-10,,T. Harris misses 2-pt shot from 15 ft
5:42.0,,,11-10,,Offensive rebound by A. Drummond
5:40.0,,,11-10,,Turnover by A. Drummond (lost ball; steal by L. James)
5:30.0,I. Shumpert misses 2-pt shot from 18 ft,,11-10,,
5:30.0,Offensive rebound by T. Thompson,,11-10,,
