time,Toronto,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Ibaka vs. T. Maker (G. Antetokounmpo gains possession),,,,Jump ball: S. Ibaka vs. T. Maker (G. Antetokounmpo gains possession)
11:47.0,Personal block foul by N. Powell (drawn by T. Maker),,0-0,,
11:38.0,,,0-0,,Turnover by M. Brogdon (lost ball)
11:19.0,D. DeRozan misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,0-0,,
11:17.0,,,0-0,,Defensive rebound by G. Antetokounmpo
11:07.0,,,0-0,,G. Antetokounmpo misses 2-pt shot from 19 ft
11:05.0,Defensive rebound by N. Powell,,0-0,,
10:54.0,S. Ibaka misses 2-pt shot from 15 ft,,0-0,,
10:53.0,,,0-0,,Defensive rebound by K. Middleton
10:30.0,,,0-0,,K. Middleton misses 2-pt shot from 16 ft
10:29.0,Defensive rebound by D. Carroll,,0-0,,
10:20.0,S. Ibaka makes 2-pt shot from 18 ft (assist by D. DeRozan),2,2-0,,
10:00.0,,,2-0,,G. Antetokounmpo misses 2-pt shot from 1 ft (block by S. Ibaka)
9:57.0,Defensive rebound by D. Carroll,,2-0,,
9:51.0,S. Ibaka misses 2-pt shot at rim,,2-0,,
9:49.0,,,2-0,,Defensive rebound by K. Middleton
9:36.0,,,2-2,2,K. Middleton makes 2-pt shot from 1 ft
9:15.0,N. Powell misses 2-pt shot at rim,,2-2,,
9:14.0,,,2-2,,Defensive rebound by T. Snell
9:03.0,,,2-2,,K. Middleton misses 2-pt shot from 2 ft (block by S. Ibaka)
9:01.0,,,2-2,,Offensive rebound by T. Maker
8:55.0,,,2-2,,G. Antetokounmpo misses 2-pt shot from 7 ft
8:55.0,Defensive rebound by Team,,2-2,,
8:55.0,,,2-2,,Loose ball foul by T. Maker (drawn by D. DeRozan)
8:36.0,D. DeRozan makes 2-pt shot from 15 ft,2,4-2,,
8:18.0,,,4-2,,Turnover by T. Snell (lost ball; steal by D. Carroll)
8:11.0,S. Ibaka misses 3-pt shot from 24 ft,,4-2,,
8:10.0,,,4-2,,Defensive rebound by K. Middleton
8:06.0,Personal foul by N. Powell (drawn by K. Middleton),,4-2,,
7:57.0,,,4-5,3,T. Snell makes 3-pt shot from 24 ft (assist by K. Middleton)
7:32.0,N. Powell makes 3-pt shot from 26 ft (assist by S. Ibaka),3,7-5,,
7:14.0,,,7-8,3,T. Snell makes 3-pt shot from 25 ft (assist by M. Brogdon)
6:51.0,D. Carroll makes 2-pt shot from 16 ft (assist by K. Lowry),2,9-8,,
6:44.0,,,9-8,,K. Middleton misses 2-pt shot from 1 ft
6:42.0,Defensive rebound by S. Ibaka,,9-8,,
6:36.0,D. Carroll misses 3-pt shot from 25 ft,,9-8,,
6:35.0,,,9-8,,Defensive rebound by M. Brogdon
6:25.0,,,9-8,,T. Maker misses 3-pt shot from 28 ft
6:24.0,Defensive rebound by D. DeRozan,,9-8,,
6:22.0,Turnover by D. DeRozan (bad pass; steal by T. Maker),,9-8,,
6:13.0,Personal foul by K. Lowry (drawn by G. Antetokounmpo),,9-8,,
6:03.0,,,9-8,,G. Antetokounmpo misses 3-pt shot from 27 ft
6:02.0,Defensive rebound by D. Carroll,,9-8,,
5:51.0,Turnover by D. DeRozan (lost ball; steal by G. Antetokounmpo),,9-8,,
5:46.0,,,9-8,,G. Antetokounmpo misses 2-pt shot from 3 ft
5:45.0,,,9-8,,Offensive rebound by T. Maker
5:45.0,,,9-10,2,T. Maker makes 2-pt shot from 1 ft
5:45.0,,,9-10,,Shooting foul by D. DeRozan (drawn by T. Maker)
5:45.0,,,9-10,,Milwaukee full timeout
5:45.0,,,9-11,1,T. Maker makes free throw 1 of 1
5:45.0,P. Tucker enters the game for N. Powell,,9-10,,
5:45.0,P. Patterson enters the game for D. Carroll,,9-10,,
