time,Charlotte,pts.away,score,pts.home,New York
1:25.0,R. Sessions makes 2-pt shot at rim,2,25-26,,
1:25.0,Shooting foul by W. Hernangomez (drawn by R. Sessions),,25-26,,
1:25.0,Charlotte full timeout,,25-26,,
1:25.0,R. Sessions misses free throw 1 of 1,,25-26,,
1:25.0,,,25-26,,J. Holiday enters the game for C. Lee
1:24.0,,,25-26,,Defensive rebound by W. Hernangomez
1:08.0,,,25-26,,K. O'Quinn misses 2-pt shot from 2 ft (block by R. Hibbert)
1:07.0,Defensive rebound by R. Hibbert,,25-26,,
1:00.0,F. Kaminsky makes 3-pt shot from 24 ft (assist by R. Sessions),3,28-26,,
0:49.0,Violation by M. Belinelli (kicked ball),,28-26,,
0:42.0,,,28-28,2,J. Holiday makes 2-pt shot from 1 ft (assist by K. O'Quinn)
0:27.0,F. Kaminsky misses 3-pt shot from 25 ft,,28-28,,
0:27.0,,,28-28,,Defensive rebound by C. Anthony
0:05.0,,,28-28,,J. Holiday misses 3-pt shot from 25 ft
0:04.0,,,28-28,,Offensive rebound by W. Hernangomez
0:03.0,,,28-28,,W. Hernangomez misses 2-pt shot from 1 ft
0:02.0,,,28-28,,Offensive rebound by C. Anthony
0:00.0,,,28-30,2,C. Anthony makes 2-pt shot from 15 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,R. Hibbert misses 2-pt shot from 14 ft,,28-30,,
11:41.0,,,28-30,,Defensive rebound by M. Kuzminskas
11:26.0,,,28-32,2,J. Holiday makes 2-pt shot at rim (assist by K. O'Quinn)
11:05.0,M. Belinelli makes 3-pt shot from 23 ft (assist by N. Batum),3,31-32,,
10:53.0,,,31-32,,M. Kuzminskas misses 3-pt shot from 27 ft
10:52.0,Defensive rebound by R. Hibbert,,31-32,,
10:41.0,R. Sessions misses 3-pt shot from 26 ft,,31-32,,
10:40.0,,,31-32,,Defensive rebound by J. Holiday
10:35.0,,,31-32,,Turnover by W. Hernangomez (traveling)
10:35.0,,,31-32,,K. Porzingis enters the game for K. O'Quinn
10:23.0,F. Kaminsky misses 3-pt shot from 25 ft,,31-32,,
10:23.0,Offensive rebound by R. Hibbert,,31-32,,
10:20.0,Shooting foul by J. Holiday (drawn by F. Kaminsky),,31-32,,
10:20.0,F. Kaminsky makes free throw 1 of 2,1,32-32,,
10:20.0,F. Kaminsky makes free throw 2 of 2,1,33-32,,
10:03.0,,,33-34,2,J. Holiday makes 2-pt shot at rim (assist by W. Hernangomez)
9:52.0,M. Belinelli makes 2-pt shot from 1 ft (assist by F. Kaminsky),2,35-34,,
9:36.0,,,35-37,3,K. Porzingis makes 3-pt shot from 26 ft (assist by B. Jennings)
9:21.0,R. Sessions makes 2-pt shot from 3 ft,2,37-37,,
9:01.0,,,37-39,2,K. Porzingis makes 2-pt shot from 14 ft
8:45.0,Turnover by F. Kaminsky (lost ball; steal by K. Porzingis),,37-39,,
8:43.0,Personal foul by R. Sessions (drawn by B. Jennings),,37-39,,
8:43.0,Official timeout,,37-39,,
8:38.0,,,37-39,,K. Porzingis misses 2-pt shot from 16 ft
8:38.0,Defensive rebound by R. Hibbert,,37-39,,
8:25.0,R. Hibbert misses 2-pt shot from 8 ft,,37-39,,
8:24.0,,,37-39,,Defensive rebound by W. Hernangomez
8:23.0,,,37-39,,Turnover by W. Hernangomez (lost ball)
8:18.0,N. Batum makes 2-pt shot from 20 ft (assist by R. Sessions),2,39-39,,
7:57.0,,,39-39,,Shooting foul by R. Hibbert (drawn by M. Kuzminskas)
7:57.0,,,39-40,1,M. Kuzminskas makes free throw 1 of 2
7:57.0,,,39-41,1,M. Kuzminskas makes free throw 2 of 2
