time,Atlanta,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Frye vs. K. Humphries (K. Love gains possession),,,,Jump ball: C. Frye vs. K. Humphries (K. Love gains possession)
11:44.0,,,0-0,,K. Love misses 2-pt shot from 14 ft
11:43.0,Defensive rebound by E. Ilyasova,,0-0,,
11:28.0,J. Calderon misses 2-pt shot from 19 ft,,0-0,,
11:27.0,Offensive rebound by J. Calderon,,0-0,,
11:20.0,K. Humphries makes 3-pt shot from 26 ft (assist by J. Calderon),3,3-0,,
11:06.0,,,3-3,3,C. Frye makes 3-pt shot from 25 ft (assist by L. James)
10:59.0,T. Hardaway misses 3-pt shot from 25 ft,,3-3,,
10:58.0,,,3-3,,Defensive rebound by C. Frye
10:37.0,,,3-3,,C. Frye misses 3-pt shot from 22 ft
10:37.0,Defensive rebound by Team,,3-3,,
10:37.0,,,3-3,,Loose ball foul by K. Love (drawn by K. Humphries)
10:18.0,E. Ilyasova makes 2-pt shot from 18 ft (assist by J. Calderon),2,5-3,,
9:55.0,,,5-5,2,C. Frye makes 2-pt shot from 16 ft (assist by K. Irving)
9:38.0,Turnover by T. Waller-Prince (offensive foul),,5-5,,
9:38.0,Offensive charge foul by T. Waller-Prince,,5-5,,
9:25.0,,,5-5,,K. Love misses 3-pt shot from 25 ft
9:24.0,Defensive rebound by T. Waller-Prince,,5-5,,
9:10.0,K. Humphries misses 2-pt shot from 1 ft,,5-5,,
9:08.0,,,5-5,,Defensive rebound by C. Frye
9:01.0,,,5-5,,J. Smith misses 3-pt shot from 25 ft
9:01.0,Defensive rebound by K. Humphries,,5-5,,
8:53.0,T. Hardaway makes 2-pt shot from 1 ft,2,7-5,,
8:33.0,,,7-5,,Turnover by K. Irving (bad pass; steal by E. Ilyasova)
8:25.0,T. Waller-Prince misses 2-pt shot at rim,,7-5,,
8:24.0,,,7-5,,Defensive rebound by K. Love
8:13.0,,,7-5,,K. Love misses 3-pt shot from 24 ft
8:13.0,Defensive rebound by J. Calderon,,7-5,,
8:07.0,E. Ilyasova misses 3-pt shot from 26 ft,,7-5,,
8:06.0,,,7-5,,Defensive rebound by J. Smith
7:54.0,,,7-7,2,K. Irving makes 2-pt shot from 16 ft
7:40.0,Turnover by J. Calderon (step out of bounds),,7-7,,
7:22.0,,,7-9,2,C. Frye makes 2-pt shot from 1 ft (assist by K. Irving)
7:00.0,E. Ilyasova misses 3-pt shot from 24 ft,,7-9,,
7:00.0,,,7-9,,Defensive rebound by L. James
6:40.0,,,7-9,,C. Frye misses 3-pt shot from 23 ft
6:39.0,Defensive rebound by J. Calderon,,7-9,,
6:27.0,K. Humphries misses 3-pt shot from 24 ft,,7-9,,
6:27.0,,,7-9,,Defensive rebound by K. Love
6:19.0,,,7-9,,Shooting foul by T. Waller-Prince (drawn by L. James)
6:19.0,Atlanta full timeout,,7-9,,
6:19.0,,,7-9,,L. James misses free throw 1 of 2
6:19.0,,,7-9,,Offensive rebound by Team
6:19.0,,,7-10,1,L. James makes free throw 2 of 2
6:19.0,M. Muscala enters the game for K. Humphries,,7-9,,
6:19.0,M. Delaney enters the game for J. Calderon,,7-9,,
6:07.0,E. Ilyasova makes 2-pt shot from 20 ft (assist by M. Muscala),2,9-10,,
5:54.0,,,9-13,3,L. James makes 3-pt shot from 26 ft (assist by K. Love)
5:31.0,T. Hardaway makes 3-pt shot from 28 ft (assist by T. Waller-Prince),3,12-13,,
5:15.0,,,12-13,,L. James misses 3-pt shot from 24 ft
5:15.0,Defensive rebound by E. Ilyasova,,12-13,,
5:07.0,M. Muscala misses 2-pt shot from 20 ft,,12-13,,
5:06.0,,,12-13,,Defensive rebound by K. Love
4:48.0,,,12-15,2,C. Frye makes 2-pt shot from 7 ft (assist by J. Smith)
4:36.0,T. Hardaway misses 3-pt shot from 31 ft,,12-15,,
4:35.0,,,12-15,,Defensive rebound by J. Smith
4:26.0,,,12-15,,K. Irving misses 3-pt shot from 24 ft
4:26.0,Defensive rebound by T. Waller-Prince,,12-15,,
4:10.0,E. Ilyasova misses 3-pt shot from 25 ft,,12-15,,
4:09.0,Offensive rebound by M. Muscala,,12-15,,
4:04.0,T. Hardaway misses 3-pt shot from 24 ft,,12-15,,
4:04.0,,,12-15,,Defensive rebound by K. Love
4:00.0,,,12-17,2,L. James makes 2-pt shot at rim (assist by K. Love)
3:40.0,Turnover by T. Waller-Prince (lost ball),,12-17,,
3:40.0,M. Dunleavy enters the game for T. Hardaway,,12-17,,
3:40.0,D. Bembry enters the game for T. Waller-Prince,,12-17,,
3:40.0,,,12-17,,R. Jefferson enters the game for C. Frye
3:30.0,Personal foul by D. Bembry (drawn by L. James),,12-17,,
3:30.0,R. Kelly enters the game for E. Ilyasova,,12-17,,
3:15.0,,,12-17,,Turnover by Team (shot clock)
3:02.0,M. Dunleavy makes 2-pt shot from 2 ft (assist by M. Delaney),2,14-17,,
2:48.0,,,14-17,,J. Smith misses 3-pt shot from 26 ft
2:48.0,,,14-17,,Offensive rebound by Team
2:48.0,Loose ball foul by R. Kelly (drawn by K. Love),,14-17,,
2:48.0,,,14-17,,Cleveland full timeout
2:48.0,,,14-17,,D. Williams enters the game for L. James
2:48.0,,,14-17,,I. Shumpert enters the game for J. Smith
2:48.0,,,14-17,,Violation by Team (jump ball)
2:41.0,,,14-17,,I. Shumpert misses 3-pt shot from 22 ft
2:41.0,Defensive rebound by M. Dunleavy,,14-17,,
2:18.0,M. Delaney makes 2-pt shot from 19 ft (assist by R. Kelly),2,16-17,,
2:01.0,Personal foul by M. Delaney (drawn by K. Irving),,16-17,,
2:01.0,,,16-17,,K. Korver enters the game for K. Love
1:46.0,,,16-19,2,K. Irving makes 2-pt shot from 10 ft
1:32.0,Turnover by D. Bembry (bad pass; steal by D. Williams),,16-19,,
1:26.0,,,16-19,,D. Williams misses 3-pt shot from 25 ft
1:24.0,Defensive rebound by R. Kelly,,16-19,,
1:19.0,M. Delaney makes 3-pt shot from 27 ft,3,19-19,,
1:03.0,,,19-19,,D. Williams misses 2-pt shot from 9 ft (block by R. Kelly)
1:02.0,Defensive rebound by D. Bembry,,19-19,,
0:58.0,Shooting foul by I. Shumpert (drawn by M. Dunleavy),,19-19,,
0:58.0,M. Dunleavy makes free throw 1 of 2,1,20-19,,
0:58.0,M. Dunleavy makes free throw 2 of 2,1,21-19,,
0:58.0,,,20-19,,L. James enters the game for K. Irving
0:33.0,,,21-19,,R. Jefferson misses 3-pt shot from 25 ft
0:33.0,,,21-19,,Offensive rebound by I. Shumpert
0:10.0,,,21-19,,K. Korver misses 3-pt shot from 23 ft
0:10.0,Defensive rebound by M. Muscala,,21-19,,
0:00.0,R. Kelly misses 2-pt shot from 22 ft,,21-19,,
0:00.0,Offensive rebound by Team,,21-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,M. Dunleavy makes 3-pt shot from 23 ft (assist by K. Humphries),3,24-19,,
11:22.0,,,24-21,2,L. James makes 2-pt shot at rim (assist by D. Williams)
11:12.0,R. Kelly makes 2-pt shot from 1 ft (assist by M. Delaney),2,26-21,,
10:47.0,,,26-21,,R. Jefferson misses 3-pt shot from 23 ft
10:46.0,Defensive rebound by M. Delaney,,26-21,,
10:29.0,D. Bembry makes 2-pt shot at rim (assist by M. Delaney),2,28-21,,
10:15.0,,,28-21,,Turnover by L. James (bad pass; steal by M. Dunleavy)
10:10.0,D. Bembry makes 2-pt shot at rim (assist by M. Dunleavy),2,30-21,,
10:10.0,,,30-21,,Cleveland full timeout
10:10.0,T. Waller-Prince enters the game for M. Delaney,,30-21,,
10:10.0,J. Calderon enters the game for D. Bembry,,30-21,,
9:56.0,,,30-21,,Turnover by I. Shumpert (bad pass)
9:56.0,,,30-21,,K. Love enters the game for R. Jefferson
9:45.0,M. Dunleavy makes 2-pt shot from 1 ft (assist by R. Kelly),2,32-21,,
9:34.0,,,32-23,2,L. James makes 2-pt shot from 6 ft
9:17.0,Offensive foul by K. Humphries,,32-23,,
9:17.0,Turnover by K. Humphries (offensive foul),,32-23,,
9:17.0,T. Hardaway enters the game for M. Dunleavy,,32-23,,
9:02.0,,,32-23,,K. Love misses 3-pt shot from 26 ft
9:02.0,Defensive rebound by T. Hardaway,,32-23,,
8:55.0,T. Waller-Prince misses 3-pt shot from 23 ft,,32-23,,
8:55.0,,,32-23,,Defensive rebound by K. Love
8:45.0,,,32-23,,D. Williams misses 2-pt shot from 1 ft
8:44.0,Defensive rebound by K. Humphries,,32-23,,
8:36.0,R. Kelly misses 2-pt shot from 18 ft,,32-23,,
8:34.0,,,32-23,,Defensive rebound by K. Love
8:30.0,,,32-23,,Turnover by I. Shumpert (lost ball)
8:30.0,,,32-23,,J. Smith enters the game for I. Shumpert
8:14.0,K. Humphries makes 2-pt shot from 15 ft (assist by J. Calderon),2,34-23,,
7:46.0,,,34-26,3,J. Smith makes 3-pt shot from 24 ft
7:28.0,R. Kelly misses 3-pt shot from 23 ft,,34-26,,
7:27.0,,,34-26,,Defensive rebound by K. Love
7:23.0,,,34-26,,K. Korver misses 3-pt shot from 26 ft
7:22.0,Defensive rebound by R. Kelly,,34-26,,
7:12.0,T. Waller-Prince makes 3-pt shot from 25 ft (assist by K. Humphries),3,37-26,,
6:57.0,,,37-28,2,K. Love makes 2-pt shot from 1 ft (assist by L. James)
6:51.0,Atlanta full timeout,,37-28,,
6:51.0,,,37-28,,K. Irving enters the game for D. Williams
6:51.0,E. Ilyasova enters the game for R. Kelly,,37-28,,
6:38.0,K. Humphries makes 3-pt shot from 23 ft (assist by E. Ilyasova),3,40-28,,
6:22.0,,,40-30,2,K. Irving makes 2-pt shot from 20 ft (assist by K. Love)
6:07.0,Turnover by J. Calderon (bad pass; steal by L. James),,40-30,,
6:00.0,,,40-33,3,K. Korver makes 3-pt shot from 25 ft (assist by L. James)
5:36.0,T. Hardaway misses 3-pt shot from 26 ft,,40-33,,
5:36.0,,,40-33,,Defensive rebound by K. Korver
5:30.0,,,40-33,,Turnover by K. Korver (bad pass; steal by T. Waller-Prince)
5:27.0,Offensive charge foul by T. Waller-Prince,,40-33,,
5:27.0,Turnover by T. Waller-Prince (offensive foul),,40-33,,
5:11.0,,,40-35,2,L. James makes 2-pt shot from 1 ft (assist by K. Korver)
4:56.0,T. Waller-Prince misses 3-pt shot from 26 ft,,40-35,,
4:56.0,,,40-35,,Defensive rebound by K. Korver
4:45.0,,,40-37,2,K. Love makes 2-pt shot from 7 ft (assist by K. Irving)
4:45.0,Atlanta full timeout,,40-37,,
4:45.0,M. Delaney enters the game for K. Humphries,,40-37,,
4:45.0,D. Bembry enters the game for T. Hardaway,,40-37,,
4:45.0,M. Muscala enters the game for J. Calderon,,40-37,,
4:35.0,,,40-37,,Personal foul by J. Smith
4:20.0,E. Ilyasova misses 3-pt shot from 26 ft,,40-37,,
4:20.0,,,40-37,,Defensive rebound by K. Love
4:13.0,,,40-37,,Turnover by L. James (bad pass; steal by M. Muscala)
4:08.0,T. Waller-Prince misses 2-pt shot from 3 ft,,40-37,,
4:07.0,Offensive rebound by M. Muscala,,40-37,,
4:07.0,M. Muscala makes 2-pt shot from 1 ft,2,42-37,,
3:51.0,,,42-37,,Shooting foul by E. Ilyasova (drawn by K. Korver)
3:51.0,,,42-38,1,K. Korver makes free throw 1 of 3
3:51.0,,,42-39,1,K. Korver makes free throw 2 of 3
3:51.0,,,42-40,1,K. Korver makes free throw 3 of 3
3:51.0,M. Dunleavy enters the game for T. Waller-Prince,,42-39,,
3:27.0,M. Delaney misses 2-pt shot from 6 ft,,42-40,,
