time,Washington,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. M. Gortat (L. Aldridge gains possession),,,,Jump ball: P. Gasol vs. M. Gortat (L. Aldridge gains possession)
11:47.0,,,0-2,2,K. Leonard makes 2-pt shot from 20 ft (assist by P. Gasol)
11:20.0,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall),3,3-2,,
11:07.0,,,3-5,3,K. Leonard makes 3-pt shot from 25 ft (assist by D. Green)
10:43.0,Turnover by B. Beal (step out of bounds),,3-5,,
10:30.0,,,3-5,,Turnover by L. Aldridge (bad pass)
10:16.0,J. Wall misses 2-pt shot from 19 ft,,3-5,,
10:15.0,Offensive rebound by M. Gortat,,3-5,,
10:10.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,5-5,,
9:50.0,,,5-5,,Turnover by D. Green (bad pass; steal by O. Porter)
9:48.0,,,5-5,,Clear path foul by N. Laprovittola
9:48.0,B. Beal makes clear path free throw 1 of 2,1,6-5,,
9:48.0,B. Beal makes clear path free throw 2 of 2,1,7-5,,
9:38.0,O. Porter misses 2-pt shot from 19 ft,,7-5,,
9:37.0,Offensive rebound by M. Morris,,7-5,,
9:31.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,9-5,,
9:12.0,,,9-5,,Shooting foul by J. Wall (drawn by P. Gasol)
9:12.0,,,9-5,,P. Gasol misses free throw 1 of 2
9:12.0,,,9-5,,Offensive rebound by Team
9:12.0,,,9-5,,P. Gasol misses free throw 2 of 2
9:11.0,Defensive rebound by M. Morris,,9-5,,
8:59.0,Turnover by O. Porter (kicked ball),,9-5,,
8:47.0,,,9-5,,D. Green misses 3-pt shot from 24 ft
8:46.0,Defensive rebound by M. Gortat,,9-5,,
8:38.0,M. Gortat misses 2-pt shot from 11 ft,,9-5,,
8:37.0,,,9-5,,Defensive rebound by L. Aldridge
8:21.0,,,9-5,,N. Laprovittola misses 3-pt shot from 25 ft
8:20.0,Defensive rebound by O. Porter,,9-5,,
