time,Philadelphia,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Holmes vs. J. Valanciunas (C. Joseph gains possession),,,,Jump ball: R. Holmes vs. J. Valanciunas (C. Joseph gains possession)
11:39.0,,,0-0,,S. Ibaka misses 2-pt shot from 6 ft
11:39.0,Defensive rebound by T. Luwawu-Cabarrot,,0-0,,
11:25.0,T. Luwawu-Cabarrot makes 3-pt shot from 24 ft (assist by T. McConnell),3,3-0,,
11:13.0,,,3-0,,J. Valanciunas misses 2-pt shot from 19 ft
11:12.0,Defensive rebound by T. Luwawu-Cabarrot,,3-0,,
10:55.0,D. Saric misses 3-pt shot from 24 ft,,3-0,,
10:52.0,,,3-0,,Defensive rebound by C. Joseph
10:46.0,,,3-0,,S. Ibaka misses 2-pt shot from 16 ft
10:45.0,Defensive rebound by R. Holmes,,3-0,,
10:37.0,R. Holmes misses 3-pt shot from 24 ft,,3-0,,
10:37.0,,,3-0,,Defensive rebound by S. Ibaka
10:29.0,,,3-0,,Shooting foul by T. Luwawu-Cabarrot (drawn by D. DeRozan)
10:29.0,,,3-1,1,D. DeRozan makes free throw 1 of 2
10:29.0,,,3-2,1,D. DeRozan makes free throw 2 of 2
10:12.0,R. Holmes misses 2-pt shot from 1 ft (block by S. Ibaka),,3-2,,
10:11.0,Offensive rebound by J. Anderson,,3-2,,
10:03.0,J. Anderson makes 2-pt shot from 4 ft,2,5-2,,
9:51.0,,,5-2,,S. Ibaka misses 2-pt shot from 2 ft
9:51.0,Defensive rebound by D. Saric,,5-2,,
9:45.0,D. Saric misses 2-pt shot from 2 ft (block by S. Ibaka),,5-2,,
9:44.0,,,5-2,,Defensive rebound by C. Joseph
9:39.0,,,5-4,2,D. Carroll makes 2-pt shot from 1 ft (assist by C. Joseph)
9:24.0,R. Holmes makes 2-pt shot from 10 ft (assist by T. McConnell),2,7-4,,
9:14.0,,,7-6,2,C. Joseph makes 2-pt shot from 18 ft
9:04.0,D. Saric misses 2-pt shot from 2 ft (block by S. Ibaka),,7-6,,
9:03.0,Offensive rebound by J. Anderson,,7-6,,
8:52.0,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft (assist by T. McConnell),2,9-6,,
8:32.0,,,9-9,3,D. Carroll makes 3-pt shot from 24 ft (assist by D. DeRozan)
8:32.0,Philadelphia full timeout,,9-9,,
8:14.0,J. Anderson makes 3-pt shot from 24 ft (assist by T. McConnell),3,12-9,,
7:53.0,,,12-9,,S. Ibaka misses 3-pt shot from 25 ft
7:52.0,Defensive rebound by Team,,12-9,,
7:44.0,Turnover by T. McConnell (bad pass; steal by J. Valanciunas),,12-9,,
7:36.0,,,12-9,,S. Ibaka misses 2-pt shot from 15 ft
7:35.0,,,12-9,,Offensive rebound by J. Valanciunas
7:32.0,,,12-11,2,J. Valanciunas makes 2-pt shot from 1 ft
7:20.0,D. Saric misses 3-pt shot from 26 ft,,12-11,,
7:19.0,,,12-11,,Defensive rebound by J. Valanciunas
7:11.0,,,12-13,2,S. Ibaka makes 2-pt shot from 3 ft (assist by D. DeRozan)
6:50.0,T. McConnell misses 2-pt shot from 5 ft (block by J. Valanciunas),,12-13,,
6:49.0,,,12-13,,Defensive rebound by C. Joseph
6:43.0,,,12-13,,D. Carroll misses 3-pt shot from 25 ft
6:41.0,Defensive rebound by R. Holmes,,12-13,,
6:36.0,T. Luwawu-Cabarrot misses 2-pt shot from 4 ft (block by S. Ibaka),,12-13,,
6:36.0,Offensive rebound by Team,,12-13,,
6:32.0,Turnover by T. Luwawu-Cabarrot (bad pass),,12-13,,
