time,Washington,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Horford (J. Crowder gains possession),,,,Jump ball: M. Gortat vs. A. Horford (J. Crowder gains possession)
11:48.0,,,0-0,,Shooting foul by O. Porter (drawn by J. Crowder)
11:48.0,,,0-1,1,J. Crowder makes free throw 1 of 2
11:48.0,,,0-2,1,J. Crowder makes free throw 2 of 2
11:27.0,M. Gortat misses 2-pt shot from 12 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by A. Horford
11:18.0,,,0-2,,M. Smart misses 3-pt shot from 26 ft
11:17.0,Defensive rebound by M. Morris,,0-2,,
11:06.0,J. Wall misses 2-pt shot from 12 ft,,0-2,,
11:05.0,,,0-2,,Defensive rebound by A. Horford
10:58.0,,,0-2,,Turnover by I. Thomas (lost ball; steal by B. Beal)
10:53.0,Turnover by J. Wall (bad pass; steal by A. Horford),,0-2,,
10:47.0,,,0-5,3,I. Thomas makes 3-pt shot from 27 ft (assist by M. Smart)
10:34.0,B. Beal makes 2-pt shot from 9 ft (assist by J. Wall),2,2-5,,
10:16.0,,,2-5,,Turnover by J. Mickey (lost ball; steal by J. Wall)
10:04.0,M. Morris misses 2-pt shot from 6 ft,,2-5,,
10:03.0,,,2-5,,Defensive rebound by A. Horford
9:53.0,,,2-8,3,I. Thomas makes 3-pt shot from 24 ft
9:34.0,M. Morris misses 3-pt shot from 24 ft,,2-8,,
9:33.0,Offensive rebound by M. Gortat,,2-8,,
9:30.0,M. Gortat makes 2-pt shot from 1 ft,2,4-8,,
9:12.0,,,4-11,3,J. Crowder makes 3-pt shot from 25 ft (assist by J. Mickey)
8:58.0,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall),3,7-11,,
8:41.0,,,7-13,2,I. Thomas makes 2-pt shot from 8 ft (assist by A. Horford)
8:29.0,O. Porter makes 2-pt shot from 21 ft (assist by M. Morris),2,9-13,,
8:03.0,,,9-13,,Turnover by I. Thomas (lost ball; steal by M. Morris)
7:59.0,J. Wall misses 2-pt shot from 2 ft,,9-13,,
7:58.0,,,9-13,,Defensive rebound by J. Crowder
7:53.0,,,9-13,,I. Thomas misses 3-pt shot from 27 ft
7:52.0,,,9-13,,Offensive rebound by M. Smart
7:48.0,,,9-13,,I. Thomas misses 2-pt shot from 3 ft
7:47.0,,,9-13,,Offensive rebound by M. Smart
7:47.0,,,9-15,2,M. Smart makes 2-pt shot from 2 ft
7:33.0,,,9-15,,Def 3 sec tech foul by J. Crowder
7:33.0,B. Beal makes technical free throw,1,10-15,,
7:26.0,B. Beal makes 3-pt shot from 25 ft (assist by O. Porter),3,13-15,,
