time,LA Lakers,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. T. Mozgov (S. Kilpatrick gains possession),,,,Jump ball: B. Lopez vs. T. Mozgov (S. Kilpatrick gains possession)
11:49.0,,,0-0,,Shooting foul by N. Young (drawn by S. Kilpatrick)
11:49.0,,,0-1,1,S. Kilpatrick makes free throw 1 of 2
11:49.0,,,0-2,1,S. Kilpatrick makes free throw 2 of 2
11:33.0,T. Mozgov makes 2-pt shot at rim (assist by D. Russell),2,2-2,,
11:25.0,,,2-2,,Brooklyn full timeout
11:12.0,,,2-2,,B. Lopez misses 2-pt shot from 8 ft
11:10.0,Defensive rebound by T. Mozgov,,2-2,,
10:56.0,N. Young makes 2-pt shot from 18 ft,2,4-2,,
10:32.0,,,4-2,,B. Bogdanovic misses 3-pt shot from 26 ft
10:31.0,,,4-2,,Offensive rebound by T. Booker
10:28.0,,,4-4,2,B. Lopez makes 2-pt shot from 2 ft (assist by T. Booker)
10:28.0,,,4-4,,Shooting foul by D. Russell (drawn by B. Lopez)
10:28.0,,,4-4,,B. Lopez misses free throw 1 of 1
10:27.0,Defensive rebound by J. Randle,,4-4,,
10:13.0,N. Young misses 3-pt shot from 22 ft,,4-4,,
10:12.0,,,4-4,,Defensive rebound by T. Booker
10:03.0,,,4-7,3,B. Lopez makes 3-pt shot from 25 ft (assist by T. Booker)
9:52.0,D. Russell misses 3-pt shot from 25 ft,,4-7,,
9:51.0,,,4-7,,Defensive rebound by T. Booker
9:44.0,,,4-7,,Shooting foul by D. Russell (drawn by B. Bogdanovic)
9:44.0,,,4-8,1,B. Bogdanovic makes free throw 1 of 2
9:44.0,,,4-9,1,B. Bogdanovic makes free throw 2 of 2
9:29.0,N. Young makes 3-pt shot from 25 ft (assist by L. Deng),3,7-9,,
9:15.0,,,7-9,,B. Lopez misses 3-pt shot from 25 ft
9:14.0,,,7-9,,Offensive rebound by T. Booker
9:11.0,,,7-9,,T. Booker misses 2-pt shot from 4 ft
9:10.0,Defensive rebound by T. Mozgov,,7-9,,
8:56.0,T. Mozgov misses 2-pt shot from 3 ft,,7-9,,
8:55.0,Offensive rebound by T. Mozgov,,7-9,,
8:53.0,T. Mozgov makes 2-pt shot from 1 ft,2,9-9,,
8:49.0,Violation by L. Deng (kicked ball),,9-9,,
8:39.0,,,9-9,,I. Whitehead misses 2-pt shot from 14 ft
8:38.0,,,9-9,,Offensive rebound by I. Whitehead
8:34.0,,,9-9,,B. Bogdanovic misses 3-pt shot from 25 ft
8:33.0,Defensive rebound by T. Mozgov,,9-9,,
8:24.0,N. Young misses 2-pt shot from 19 ft,,9-9,,
8:23.0,,,9-9,,Defensive rebound by T. Booker
8:17.0,,,9-11,2,T. Booker makes 2-pt shot from 2 ft
8:03.0,J. Randle makes 2-pt shot from 10 ft,2,11-11,,
7:53.0,,,11-11,,T. Booker misses 2-pt shot from 18 ft
7:52.0,Defensive rebound by J. Randle,,11-11,,
7:42.0,N. Young misses 3-pt shot from 26 ft,,11-11,,
7:41.0,Offensive rebound by T. Mozgov,,11-11,,
7:35.0,L. Deng makes 2-pt shot from 1 ft,2,13-11,,
7:18.0,,,13-11,,S. Kilpatrick misses 3-pt shot from 25 ft
7:17.0,Defensive rebound by L. Deng,,13-11,,
7:05.0,L. Deng misses 2-pt shot from 14 ft (block by T. Booker),,13-11,,
7:04.0,,,13-11,,Defensive rebound by Team
6:50.0,,,13-11,,S. Kilpatrick misses 2-pt shot from 3 ft (block by N. Young)
6:48.0,Defensive rebound by L. Deng,,13-11,,
6:38.0,L. Deng misses 3-pt shot from 24 ft,,13-11,,
6:36.0,,,13-11,,Defensive rebound by S. Kilpatrick
6:34.0,,,13-13,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by S. Kilpatrick)
6:12.0,J. Randle misses 2-pt shot from 19 ft,,13-13,,
6:11.0,Offensive rebound by L. Deng,,13-13,,
