time,Brooklyn,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. M. Turner (I. Whitehead gains possession),,,,Jump ball: B. Lopez vs. M. Turner (I. Whitehead gains possession)
11:48.0,T. Booker misses 2-pt shot from 15 ft,,0-0,,
11:47.0,,,0-0,,Defensive rebound by J. Teague
11:33.0,,,0-2,2,J. Teague makes 2-pt shot from 4 ft
11:25.0,I. Whitehead misses 2-pt shot from 2 ft,,0-2,,
11:24.0,Offensive rebound by J. Harris,,0-2,,
11:22.0,J. Harris makes 2-pt shot from 2 ft,2,2-2,,
11:00.0,,,2-2,,G. Robinson misses 3-pt shot from 24 ft
11:00.0,Defensive rebound by I. Whitehead,,2-2,,
10:42.0,B. Lopez misses 2-pt shot from 19 ft,,2-2,,
10:41.0,Offensive rebound by T. Booker,,2-2,,
10:26.0,Turnover by B. Lopez (bad pass),,2-2,,
10:26.0,C. LeVert enters the game for B. Bogdanovic,,2-2,,
10:10.0,,,2-5,3,J. Teague makes 3-pt shot from 26 ft (assist by P. George)
9:49.0,B. Bogdanovic enters the game for C. LeVert,,2-5,,
9:45.0,B. Lopez misses 3-pt shot from 26 ft (block by M. Turner),,2-5,,
9:44.0,,,2-5,,Defensive rebound by J. Teague
9:38.0,,,2-5,,T. Young misses 2-pt shot from 8 ft
9:37.0,Defensive rebound by B. Lopez,,2-5,,
9:23.0,Turnover by B. Bogdanovic (bad pass; steal by P. George),,2-5,,
9:18.0,,,2-7,2,G. Robinson makes 2-pt shot from 3 ft (assist by P. George)
9:13.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by M. Turner),,2-7,,
9:13.0,Offensive rebound by Team,,2-7,,
9:10.0,B. Lopez misses 3-pt shot from 26 ft,,2-7,,
9:09.0,,,2-7,,Defensive rebound by T. Young
8:59.0,,,2-9,2,P. George makes 2-pt shot from 11 ft
8:43.0,J. Harris misses 3-pt shot from 26 ft,,2-9,,
8:42.0,,,2-9,,Defensive rebound by J. Teague
8:38.0,Violation by I. Whitehead (kicked ball),,2-9,,
8:35.0,,,2-9,,P. George misses 2-pt shot from 21 ft
8:34.0,Defensive rebound by B. Bogdanovic,,2-9,,
8:24.0,T. Booker makes 3-pt shot from 27 ft (assist by B. Bogdanovic),3,5-9,,
8:11.0,,,5-9,,Shooting foul by J. Harris (drawn by P. George)
8:11.0,,,5-10,1,P. George makes free throw 1 of 3
8:11.0,,,5-10,,P. George misses free throw 2 of 3
8:11.0,,,5-10,,Offensive rebound by Team
8:11.0,,,5-11,1,P. George makes free throw 3 of 3
7:55.0,T. Booker misses 2-pt shot from 16 ft,,5-11,,
7:54.0,,,5-11,,Defensive rebound by G. Robinson
7:45.0,,,5-13,2,T. Young makes 2-pt shot from 1 ft (assist by J. Teague)
7:45.0,Brooklyn full timeout,,5-13,,
7:45.0,S. Kilpatrick enters the game for J. Harris,,5-13,,
7:34.0,Turnover by B. Lopez (bad pass; steal by P. George),,5-13,,
7:28.0,,,5-16,3,J. Teague makes 3-pt shot from 25 ft (assist by P. George)
7:12.0,B. Bogdanovic misses 2-pt shot at rim (block by M. Turner),,5-16,,
7:11.0,,,5-16,,Defensive rebound by J. Teague
7:04.0,,,5-16,,G. Robinson misses 3-pt shot from 24 ft
7:03.0,Defensive rebound by B. Lopez,,5-16,,
6:56.0,B. Bogdanovic misses 3-pt shot from 24 ft,,5-16,,
6:56.0,,,5-16,,Defensive rebound by G. Robinson
6:44.0,,,5-16,,T. Young misses 2-pt shot from 5 ft
6:43.0,Defensive rebound by I. Whitehead,,5-16,,
6:36.0,I. Whitehead makes 3-pt shot from 28 ft (assist by B. Bogdanovic),3,8-16,,
6:08.0,,,8-19,3,T. Young makes 3-pt shot from 23 ft (assist by G. Robinson)
5:51.0,T. Booker makes 2-pt shot from 7 ft,2,10-19,,
5:43.0,,,10-21,2,G. Robinson makes 2-pt shot at rim (assist by J. Teague)
5:43.0,,,10-21,,Shooting foul by S. Kilpatrick (drawn by G. Robinson)
5:43.0,,,10-21,,G. Robinson misses free throw 1 of 1
5:43.0,Defensive rebound by T. Booker,,10-21,,
5:43.0,S. Dinwiddie enters the game for B. Bogdanovic,,10-21,,
5:43.0,C. LeVert enters the game for B. Lopez,,10-21,,
5:43.0,L. Scola enters the game for I. Whitehead,,10-21,,
5:18.0,T. Booker makes 2-pt shot from 2 ft (assist by L. Scola),2,12-21,,
