time,LA Lakers,pts.away,score,pts.home,Charlotte
2:49.0,N. Young makes 2-pt shot from 10 ft,2,113-110,,
2:27.0,,,113-110,,M. Belinelli misses 2-pt shot from 4 ft
2:24.0,,,113-110,,Offensive rebound by K. Walker
2:22.0,,,113-113,3,M. Belinelli makes 3-pt shot from 25 ft (assist by K. Walker)
2:00.0,J. Randle misses 2-pt shot from 2 ft,,113-113,,
1:59.0,,,113-113,,Defensive rebound by N. Batum
1:50.0,,,113-113,,N. Batum misses 2-pt shot from 9 ft
1:49.0,Defensive rebound by J. Randle,,113-113,,
1:35.0,N. Young misses 3-pt shot from 25 ft,,113-113,,
1:33.0,,,113-113,,Defensive rebound by N. Batum
1:19.0,,,113-113,,K. Walker misses 2-pt shot from 1 ft
1:18.0,,,113-113,,Offensive rebound by K. Walker
1:15.0,,,113-113,,M. Belinelli misses 3-pt shot from 23 ft
1:14.0,Defensive rebound by J. Clarkson,,113-113,,
1:04.0,LA Lakers full timeout,,113-113,,
1:04.0,L. Williams enters the game for B. Ingram,,113-113,,
0:53.0,N. Young misses 2-pt shot from 19 ft,,113-113,,
0:51.0,,,113-113,,Defensive rebound by M. Williams
0:30.0,,,113-113,,K. Walker misses 3-pt shot from 26 ft
0:28.0,,,113-113,,Offensive rebound by K. Walker
0:13.0,,,113-115,2,N. Batum makes 2-pt shot from 8 ft
0:13.0,LA Lakers full timeout,,113-115,,
0:13.0,,,113-115,,M. Kidd-Gilchrist enters the game for M. Belinelli
0:09.0,N. Young misses 3-pt shot from 25 ft,,113-115,,
0:09.0,,,113-115,,Defensive rebound by K. Walker
0:09.0,Personal foul by J. Randle (drawn by K. Walker),,113-115,,
0:09.0,,,113-115,,M. Belinelli enters the game for M. Kidd-Gilchrist
0:09.0,,,113-115,,Charlotte full timeout
0:09.0,,,113-115,,F. Kaminsky enters the game for M. Williams
0:09.0,B. Ingram enters the game for L. Williams,,113-115,,
0:06.0,Personal take foul by J. Clarkson (drawn by N. Batum),,113-115,,
0:06.0,,,113-116,1,N. Batum makes free throw 1 of 2
0:06.0,,,113-117,1,N. Batum makes free throw 2 of 2
0:06.0,,,113-116,,M. Kidd-Gilchrist enters the game for C. Zeller
0:06.0,,,113-116,,M. Williams enters the game for F. Kaminsky
0:06.0,D. Russell enters the game for J. Randle,,113-116,,
0:06.0,L. Williams enters the game for B. Ingram,,113-116,,
0:03.0,,,113-117,,Personal take foul by K. Walker (drawn by D. Russell)
0:00.0,D. Russell misses 3-pt shot from 28 ft,,113-117,,
0:00.0,Offensive rebound by Team,,113-117,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
