time,LA Lakers,pts.away,score,pts.home,Charlotte
2:03.0,,,31-27,,Defensive rebound by R. Hibbert
1:56.0,,,31-29,2,R. Sessions makes 2-pt shot from 16 ft
1:44.0,L. Nance makes 2-pt shot from 2 ft (assist by L. Williams),2,33-29,,
1:32.0,,,33-31,2,R. Hibbert makes 2-pt shot from 2 ft (assist by R. Sessions)
1:21.0,J. Clarkson makes 3-pt shot from 24 ft (assist by L. Williams),3,36-31,,
1:05.0,,,36-31,,M. Belinelli misses 2-pt shot from 20 ft
1:04.0,Defensive rebound by I. Zubac,,36-31,,
0:58.0,Shooting foul by F. Kaminsky,,36-31,,
0:58.0,L. Williams makes free throw 1 of 2,1,37-31,,
0:58.0,L. Williams makes free throw 2 of 2,1,38-31,,
0:46.0,,,38-33,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by N. Batum)
0:37.0,L. Williams misses 2-pt shot from 12 ft (block by R. Hibbert),,38-33,,
0:34.0,Offensive rebound by L. Williams,,38-33,,
0:34.0,Jump ball: R. Sessions vs. L. Williams (R. Hibbert gains possession),,,,Jump ball: R. Sessions vs. L. Williams (R. Hibbert gains possession)
0:34.0,Turnover by L. Williams (lost ball),,38-33,,
0:12.0,,,38-35,2,R. Hibbert makes 2-pt shot at rim (assist by N. Batum)
0:01.0,L. Nance makes 3-pt shot from 25 ft (assist by L. Williams),3,41-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,J. Clarkson makes 3-pt shot from 25 ft,3,44-35,,
11:36.0,,,44-35,,R. Sessions misses 2-pt shot from 19 ft
11:34.0,Defensive rebound by B. Ingram,,44-35,,
11:22.0,J. Clarkson makes 3-pt shot from 24 ft (assist by L. Williams),3,47-35,,
11:01.0,,,47-35,,J. Lamb misses 3-pt shot from 27 ft
11:01.0,,,47-35,,Offensive rebound by Team
11:01.0,,,47-35,,Charlotte full timeout
10:52.0,,,47-35,,R. Hibbert misses 2-pt shot from 6 ft
10:51.0,Defensive rebound by B. Ingram,,47-35,,
10:39.0,Shooting foul by R. Hibbert (drawn by L. Nance),,47-35,,
10:39.0,L. Nance misses free throw 1 of 2,,47-35,,
10:39.0,Offensive rebound by Team,,47-35,,
10:39.0,L. Nance makes free throw 2 of 2,1,48-35,,
10:23.0,,,48-35,,J. Lamb misses 2-pt shot from 10 ft
10:21.0,Defensive rebound by L. Deng,,48-35,,
10:05.0,L. Williams misses 2-pt shot from 18 ft,,48-35,,
10:02.0,Offensive rebound by B. Ingram,,48-35,,
10:01.0,L. Nance makes 2-pt shot at rim (assist by B. Ingram),2,50-35,,
9:46.0,,,50-35,,Shooting foul by B. Ingram (drawn by F. Kaminsky)
9:46.0,,,50-35,,F. Kaminsky misses free throw 1 of 2
9:46.0,,,50-35,,Offensive rebound by Team
9:46.0,,,50-35,,F. Kaminsky misses free throw 2 of 2
9:44.0,Defensive rebound by L. Deng,,50-35,,
9:30.0,J. Clarkson makes 3-pt shot from 25 ft (assist by L. Deng),3,53-35,,
9:13.0,,,53-37,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by R. Sessions)
9:03.0,,,53-37,,Personal foul by R. Sessions (drawn by B. Ingram)
9:00.0,,,53-37,,Personal foul by J. Lamb (drawn by B. Ingram)
9:00.0,,,53-37,,K. Walker enters the game for R. Sessions
8:52.0,B. Ingram misses 2-pt shot from 1 ft,,53-37,,
8:51.0,,,53-37,,Defensive rebound by F. Kaminsky
8:38.0,,,53-37,,Shooting foul by L. Williams (drawn by F. Kaminsky)
8:38.0,,,53-38,1,F. Kaminsky makes free throw 1 of 2
8:38.0,LA Lakers full timeout,,53-38,,
8:38.0,,,53-39,1,F. Kaminsky makes free throw 2 of 2
8:27.0,J. Clarkson misses 2-pt shot from 6 ft,,53-39,,
8:25.0,,,53-39,,Defensive rebound by F. Kaminsky
8:07.0,,,53-39,,F. Kaminsky misses 3-pt shot from 24 ft
8:05.0,Defensive rebound by L. Nance,,53-39,,
8:01.0,L. Deng makes 2-pt shot from 1 ft (assist by L. Nance),2,55-39,,
7:47.0,,,55-39,,M. Belinelli misses 3-pt shot from 26 ft
7:46.0,Defensive rebound by L. Deng,,55-39,,
7:35.0,L. Nance makes 2-pt shot from 18 ft (assist by J. Clarkson),2,57-39,,
7:18.0,,,57-42,3,K. Walker makes 3-pt shot from 25 ft (assist by M. Belinelli)
7:10.0,J. Clarkson misses 3-pt shot from 25 ft,,57-42,,
7:08.0,,,57-42,,Defensive rebound by F. Kaminsky
7:00.0,,,57-42,,K. Walker misses 2-pt shot at rim
6:58.0,,,57-42,,Offensive rebound by K. Walker
6:57.0,,,57-42,,M. Belinelli misses 2-pt shot from 18 ft
6:57.0,Defensive rebound by Team,,57-42,,
6:57.0,,,57-42,,Loose ball foul by F. Kaminsky (drawn by B. Ingram)
6:57.0,N. Young enters the game for B. Ingram,,57-42,,
6:57.0,,,57-42,,M. Williams enters the game for R. Hibbert
6:40.0,L. Deng makes 2-pt shot from 1 ft (assist by L. Williams),2,59-42,,
6:25.0,,,59-42,,J. Lamb misses 2-pt shot from 19 ft
6:24.0,Defensive rebound by L. Nance,,59-42,,
6:18.0,L. Williams makes 2-pt shot from 4 ft,2,61-42,,
6:11.0,,,61-42,,Charlotte full timeout
6:11.0,,,61-42,,N. Batum enters the game for F. Kaminsky
6:11.0,,,61-42,,M. Kidd-Gilchrist enters the game for J. Lamb
5:52.0,,,61-44,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft
5:30.0,J. Clarkson makes 2-pt shot from 1 ft,2,63-44,,
5:09.0,,,63-44,,M. Kidd-Gilchrist misses 2-pt shot at rim (block by J. Clarkson)
5:09.0,,,63-44,,Offensive rebound by Team
5:09.0,D. Russell enters the game for L. Williams,,63-44,,
5:09.0,J. Randle enters the game for J. Clarkson,,63-44,,
5:06.0,,,63-46,2,M. Williams makes 2-pt shot from 1 ft (assist by N. Batum)
4:55.0,Turnover by D. Russell (traveling),,63-46,,
4:35.0,,,63-46,,K. Walker misses 2-pt shot from 15 ft
4:34.0,,,63-46,,Offensive rebound by Team
4:29.0,,,63-46,,Turnover by M. Kidd-Gilchrist (traveling)
4:13.0,Turnover by J. Randle (lost ball; steal by M. Kidd-Gilchrist),,63-46,,
3:53.0,,,63-48,2,M. Williams makes 2-pt shot from 2 ft (assist by N. Batum)
3:41.0,J. Randle misses 2-pt shot from 2 ft,,63-48,,
3:40.0,,,63-48,,Defensive rebound by Team
3:40.0,Loose ball foul by J. Randle (drawn by M. Kidd-Gilchrist),,63-48,,
3:28.0,,,63-51,3,N. Batum makes 3-pt shot from 24 ft (assist by K. Walker)
3:28.0,LA Lakers full timeout,,63-51,,
3:28.0,J. Clarkson enters the game for J. Randle,,63-51,,
3:28.0,B. Ingram enters the game for D. Russell,,63-51,,
3:17.0,N. Young misses 2-pt shot from 19 ft,,63-51,,
3:15.0,Offensive rebound by L. Nance,,63-51,,
3:01.0,B. Ingram makes 2-pt shot from 1 ft,2,65-51,,
2:38.0,,,65-54,3,K. Walker makes 3-pt shot from 25 ft (assist by M. Williams)
2:13.0,N. Young makes 2-pt shot at rim (assist by L. Nance),2,67-54,,
2:01.0,,,67-54,,K. Walker misses 2-pt shot from 1 ft
1:59.0,Defensive rebound by L. Deng,,67-54,,
1:37.0,L. Deng misses 2-pt shot from 10 ft,,67-54,,
1:36.0,,,67-54,,Defensive rebound by M. Kidd-Gilchrist
1:17.0,,,67-54,,M. Williams misses 3-pt shot from 24 ft
1:16.0,Defensive rebound by L. Deng,,67-54,,
1:10.0,N. Young makes 3-pt shot from 25 ft (assist by J. Clarkson),3,70-54,,
0:44.0,,,70-56,2,M. Williams makes 2-pt shot from 7 ft (assist by N. Batum)
0:35.0,L. Deng misses 3-pt shot from 23 ft,,70-56,,
0:33.0,Offensive rebound by L. Nance,,70-56,,
0:30.0,N. Young makes 3-pt shot from 25 ft (assist by B. Ingram),3,73-56,,
0:06.0,,,73-59,3,K. Walker makes 3-pt shot from 25 ft
0:00.0,J. Clarkson misses 3-pt shot from 25 ft,,73-59,,
0:00.0,Offensive rebound by Team,,73-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,D. Russell makes 2-pt shot from 16 ft,2,75-59,,
11:36.0,,,75-59,,Shooting foul by T. Mozgov (drawn by C. Zeller)
11:36.0,,,75-60,1,C. Zeller makes free throw 1 of 2
11:36.0,,,75-60,,C. Zeller misses free throw 2 of 2
11:34.0,Defensive rebound by T. Mozgov,,75-60,,
11:22.0,D. Russell makes 2-pt shot at rim,2,77-60,,
11:22.0,,,77-60,,Charlotte full timeout
11:05.0,,,77-62,2,K. Walker makes 2-pt shot from 19 ft
10:52.0,Turnover by J. Randle (bad pass; steal by C. Zeller),,77-62,,
10:47.0,,,77-64,2,K. Walker makes 2-pt shot at rim (assist by N. Batum)
10:29.0,N. Young misses 2-pt shot from 19 ft,,77-64,,
10:27.0,,,77-64,,Defensive rebound by M. Williams
10:20.0,,,77-66,2,N. Batum makes 2-pt shot from 17 ft
10:04.0,J. Randle misses 2-pt shot from 1 ft,,77-66,,
10:01.0,,,77-66,,Defensive rebound by M. Kidd-Gilchrist
9:48.0,,,77-69,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
9:48.0,LA Lakers full timeout,,77-69,,
9:26.0,L. Deng misses 3-pt shot from 23 ft,,77-69,,
9:26.0,,,77-69,,Defensive rebound by Team
9:03.0,,,77-71,2,N. Batum makes 2-pt shot at rim (assist by K. Walker)
8:49.0,N. Young misses 3-pt shot from 25 ft,,77-71,,
8:47.0,Offensive rebound by T. Mozgov,,77-71,,
8:47.0,,,77-71,,Personal foul by K. Walker (drawn by T. Mozgov)
8:41.0,N. Young misses 2-pt shot from 15 ft,,77-71,,
8:39.0,,,77-71,,Defensive rebound by M. Kidd-Gilchrist
8:30.0,,,77-73,2,K. Walker makes 2-pt shot from 1 ft
8:19.0,J. Randle misses 2-pt shot at rim,,77-73,,
8:17.0,,,77-73,,Defensive rebound by C. Zeller
8:09.0,,,77-73,,K. Walker misses 3-pt shot from 24 ft
8:07.0,,,77-73,,Offensive rebound by C. Zeller
8:00.0,,,77-75,2,N. Batum makes 2-pt shot from 1 ft (assist by M. Williams)
7:59.0,LA Lakers full timeout,,77-75,,
7:59.0,J. Clarkson enters the game for J. Randle,,77-75,,
7:59.0,L. Nance enters the game for T. Mozgov,,77-75,,
7:59.0,L. Williams enters the game for D. Russell,,77-75,,
7:42.0,N. Young makes 3-pt shot from 29 ft (assist by J. Clarkson),3,80-75,,
7:27.0,,,80-77,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
7:10.0,Turnover by L. Nance (bad pass; steal by N. Batum),,80-77,,
7:04.0,,,80-77,,K. Walker misses 2-pt shot from 1 ft
7:01.0,,,80-77,,Offensive rebound by M. Kidd-Gilchrist
7:01.0,,,80-77,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by L. Deng)
7:00.0,,,80-77,,Offensive rebound by C. Zeller
7:00.0,,,80-77,,C. Zeller misses 2-pt shot at rim (block by L. Deng)
7:00.0,,,80-77,,Offensive rebound by Team
6:52.0,,,80-77,,Turnover by N. Batum (bad pass; steal by L. Nance)
6:45.0,N. Young misses 3-pt shot from 25 ft,,80-77,,
6:44.0,,,80-77,,Defensive rebound by K. Walker
6:36.0,,,80-79,2,K. Walker makes 2-pt shot from 1 ft
6:15.0,Turnover by J. Clarkson (step out of bounds),,80-79,,
6:02.0,Loose ball foul by L. Deng (drawn by M. Williams),,80-79,,
5:53.0,,,80-82,3,K. Walker makes 3-pt shot from 25 ft
5:42.0,,,80-82,,Personal foul by N. Batum
5:34.0,N. Young makes 2-pt shot at rim (assist by J. Clarkson),2,82-82,,
5:34.0,Shooting foul by M. Williams (drawn by N. Young),,82-82,,
5:34.0,N. Young makes free throw 1 of 1,1,83-82,,
5:20.0,,,83-84,2,C. Zeller makes 2-pt shot from 1 ft (assist by N. Batum)
5:07.0,Offensive charge foul by L. Deng,,83-84,,
5:07.0,Turnover by L. Deng (offensive foul),,83-84,,
5:07.0,B. Ingram enters the game for L. Deng,,83-84,,
4:57.0,,,83-86,2,K. Walker makes 2-pt shot from 21 ft
4:47.0,L. Williams misses 2-pt shot from 15 ft,,83-86,,
4:45.0,,,83-86,,Defensive rebound by M. Williams
4:33.0,,,83-86,,Turnover by K. Walker (bad pass; steal by L. Williams)
4:28.0,J. Clarkson misses 2-pt shot from 2 ft,,83-86,,
4:28.0,,,83-86,,Defensive rebound by Team
4:28.0,Loose ball foul by L. Nance (drawn by N. Batum),,83-86,,
4:19.0,Personal foul by L. Nance (drawn by C. Zeller),,83-86,,
4:19.0,,,83-86,,M. Belinelli enters the game for M. Kidd-Gilchrist
4:17.0,,,83-86,,Turnover by N. Batum (bad pass; steal by L. Nance)
4:15.0,Turnover by L. Nance (bad pass),,83-86,,
4:15.0,Loose ball foul by L. Nance (drawn by C. Zeller),,83-86,,
4:15.0,,,83-87,1,C. Zeller makes free throw 1 of 2
4:15.0,,,83-88,1,C. Zeller makes free throw 2 of 2
4:15.0,J. Randle enters the game for L. Nance,,83-87,,
3:53.0,B. Ingram makes 2-pt shot from 20 ft (assist by L. Williams),2,85-88,,
3:36.0,,,85-88,,N. Batum misses 3-pt shot from 25 ft
3:35.0,Defensive rebound by N. Young,,85-88,,
3:28.0,L. Williams misses 2-pt shot from 3 ft (block by M. Belinelli),,85-88,,
3:28.0,Offensive rebound by Team,,85-88,,
3:28.0,D. Russell enters the game for N. Young,,85-88,,
3:28.0,,,85-88,,M. Kidd-Gilchrist enters the game for M. Williams
3:23.0,D. Russell makes 2-pt shot from 15 ft,2,87-88,,
3:07.0,,,87-88,,M. Kidd-Gilchrist misses 2-pt shot from 3 ft (block by J. Randle)
3:06.0,Defensive rebound by J. Randle,,87-88,,
2:59.0,J. Clarkson makes 3-pt shot from 25 ft (assist by L. Williams),3,90-88,,
2:42.0,,,90-88,,K. Walker misses 2-pt shot from 1 ft (block by L. Williams)
2:40.0,Defensive rebound by J. Randle,,90-88,,
2:37.0,J. Randle makes 2-pt shot at rim,2,92-88,,
2:36.0,,,92-88,,Charlotte full timeout
2:36.0,,,92-88,,F. Kaminsky enters the game for C. Zeller
2:34.0,Violation by Team (jump ball),,92-88,,
2:25.0,,,92-88,,Turnover by N. Batum (lost ball)
2:12.0,Turnover by L. Williams (bad pass),,92-88,,
2:00.0,,,92-88,,K. Walker misses 3-pt shot from 25 ft
1:58.0,,,92-88,,Offensive rebound by M. Kidd-Gilchrist
1:58.0,,,92-88,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by J. Randle)
1:55.0,Defensive rebound by J. Clarkson,,92-88,,
1:47.0,J. Randle makes 2-pt shot from 1 ft (assist by J. Clarkson),2,94-88,,
1:33.0,,,94-88,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by J. Randle)
1:31.0,Defensive rebound by J. Randle,,94-88,,
1:26.0,J. Randle misses 2-pt shot at rim,,94-88,,
1:24.0,,,94-88,,Defensive rebound by N. Batum
1:11.0,,,94-88,,Shooting foul by J. Randle (drawn by N. Batum)
1:11.0,,,94-89,1,N. Batum makes free throw 1 of 2
1:11.0,,,94-90,1,N. Batum makes free throw 2 of 2
0:54.0,D. Russell misses 2-pt shot from 9 ft,,94-90,,
0:52.0,,,94-90,,Defensive rebound by M. Kidd-Gilchrist
0:46.0,,,94-92,2,K. Walker makes 2-pt shot from 1 ft
0:35.0,L. Williams makes 2-pt shot from 14 ft,2,96-92,,
0:22.0,,,96-94,2,N. Batum makes 2-pt shot from 1 ft (assist by K. Walker)
0:00.0,J. Randle misses 2-pt shot from 2 ft,,96-94,,
0:00.0,Offensive rebound by Team,,96-94,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,96-96,2,F. Kaminsky makes 2-pt shot at rim (assist by M. Belinelli)
11:31.0,Turnover by D. Russell (bad pass; steal by F. Kaminsky),,96-96,,
11:24.0,,,96-96,,M. Belinelli misses 3-pt shot from 26 ft
11:22.0,Defensive rebound by J. Clarkson,,96-96,,
11:14.0,Shooting foul by K. Walker (drawn by D. Russell),,96-96,,
11:14.0,D. Russell makes free throw 1 of 2,1,97-96,,
11:14.0,D. Russell makes free throw 2 of 2,1,98-96,,
10:54.0,,,98-96,,Turnover by K. Walker (bad pass; steal by L. Williams)
10:45.0,B. Ingram misses 3-pt shot from 25 ft,,98-96,,
10:43.0,,,98-96,,Defensive rebound by J. Lamb
10:35.0,,,98-96,,Shooting foul by B. Ingram (drawn by J. Lamb)
10:35.0,,,98-97,1,J. Lamb makes free throw 1 of 2
10:35.0,,,98-98,1,J. Lamb makes free throw 2 of 2
10:14.0,L. Williams misses 3-pt shot from 26 ft,,98-98,,
10:13.0,,,98-98,,Defensive rebound by J. Lamb
9:58.0,,,98-98,,J. Lamb misses 2-pt shot from 11 ft
9:57.0,Defensive rebound by D. Russell,,98-98,,
9:43.0,J. Clarkson makes 2-pt shot from 1 ft,2,100-98,,
9:27.0,,,100-101,3,M. Belinelli makes 3-pt shot from 25 ft (assist by K. Walker)
9:01.0,D. Russell makes 3-pt shot from 25 ft (assist by L. Williams),3,103-101,,
8:43.0,,,103-101,,Turnover by M. Belinelli (bad pass; steal by J. Clarkson)
8:37.0,L. Williams misses 3-pt shot from 28 ft,,103-101,,
8:34.0,,,103-101,,Defensive rebound by M. Kidd-Gilchrist
8:26.0,,,103-101,,K. Walker misses 2-pt shot from 1 ft (block by J. Randle)
8:23.0,,,103-101,,Offensive rebound by M. Kidd-Gilchrist
8:22.0,,,103-101,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
8:20.0,,,103-101,,Offensive rebound by M. Kidd-Gilchrist
8:20.0,,,103-101,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by D. Russell)
8:18.0,,,103-101,,Offensive rebound by J. Lamb
8:18.0,,,103-101,,J. Lamb misses 2-pt shot at rim
8:15.0,,,103-101,,Offensive rebound by K. Walker
7:58.0,,,103-101,,J. Lamb misses 2-pt shot from 7 ft
7:56.0,,,103-101,,Offensive rebound by M. Kidd-Gilchrist
7:38.0,,,103-101,,F. Kaminsky misses 2-pt shot from 5 ft
7:36.0,Defensive rebound by D. Russell,,103-101,,
7:23.0,J. Clarkson makes 3-pt shot from 23 ft (assist by D. Russell),3,106-101,,
6:59.0,,,106-101,,Shooting foul by J. Clarkson (drawn by M. Belinelli)
6:59.0,Official timeout,,106-101,,
6:59.0,,,106-102,1,M. Belinelli makes free throw 1 of 3
6:59.0,,,106-103,1,M. Belinelli makes free throw 2 of 3
6:59.0,,,106-103,,M. Belinelli misses free throw 3 of 3
6:59.0,,,106-101,,C. Zeller enters the game for M. Kidd-Gilchrist
6:59.0,,,106-101,,N. Batum enters the game for F. Kaminsky
6:59.0,,,106-101,,M. Williams enters the game for J. Lamb
6:59.0,L. Deng enters the game for J. Clarkson,,106-101,,
6:57.0,Defensive rebound by J. Randle,,106-103,,
6:44.0,L. Williams makes 2-pt shot at rim (assist by B. Ingram),2,108-103,,
6:20.0,,,108-103,,K. Walker misses 3-pt shot from 28 ft
6:18.0,Defensive rebound by L. Williams,,108-103,,
6:08.0,D. Russell misses 3-pt shot from 25 ft,,108-103,,
6:06.0,,,108-103,,Defensive rebound by Team
5:39.0,,,108-103,,K. Walker misses 2-pt shot from 1 ft
5:38.0,,,108-103,,Offensive rebound by M. Williams
5:38.0,,,108-105,2,M. Williams makes 2-pt shot from 1 ft
5:23.0,Shooting foul by K. Walker,,108-105,,
5:23.0,,,108-105,,Charlotte full timeout
5:23.0,L. Williams makes free throw 1 of 3,1,109-105,,
5:23.0,L. Williams makes free throw 2 of 3,1,110-105,,
5:23.0,L. Williams makes free throw 3 of 3,1,111-105,,
5:06.0,,,111-105,,M. Williams misses 2-pt shot from 5 ft (block by L. Deng)
5:04.0,,,111-105,,Offensive rebound by M. Williams
5:04.0,,,111-105,,M. Williams misses 2-pt shot from 1 ft (block by D. Russell)
5:02.0,Defensive rebound by B. Ingram,,111-105,,
4:47.0,L. Deng misses 2-pt shot from 22 ft,,111-105,,
4:46.0,,,111-105,,Defensive rebound by M. Belinelli
4:39.0,,,111-105,,M. Williams misses 3-pt shot from 25 ft
4:37.0,Defensive rebound by D. Russell,,111-105,,
4:26.0,D. Russell misses 2-pt shot from 15 ft,,111-105,,
4:25.0,,,111-105,,Defensive rebound by C. Zeller
4:14.0,,,111-105,,C. Zeller misses 2-pt shot from 2 ft
4:13.0,Defensive rebound by D. Russell,,111-105,,
3:57.0,L. Williams misses 3-pt shot from 28 ft,,111-105,,
3:56.0,,,111-105,,Defensive rebound by C. Zeller
3:44.0,,,111-105,,C. Zeller misses 2-pt shot from 2 ft (block by J. Randle)
3:44.0,,,111-105,,Offensive rebound by Team
3:44.0,N. Young enters the game for D. Russell,,111-105,,
3:44.0,J. Clarkson enters the game for L. Williams,,111-105,,
3:40.0,,,111-108,3,M. Belinelli makes 3-pt shot from 24 ft (assist by C. Zeller)
3:22.0,Offensive charge foul by J. Randle,,111-108,,
3:22.0,Turnover by J. Randle (offensive foul),,111-108,,
3:06.0,,,111-110,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
3:06.0,LA Lakers full timeout,,111-110,,
