time,Milwaukee,pts.away,score,pts.home,Phoenix
8:39.0,,,112-95,1,P. Tucker makes free throw 1 of 1
8:39.0,,,112-94,,M. Chriss enters the game for T. Warren
8:39.0,J. Henson enters the game for G. Monroe,,112-94,,
8:22.0,Turnover by M. Brogdon (lost ball; steal by P. Tucker),,112-95,,
8:16.0,,,112-95,,M. Chriss misses 2-pt shot at rim
8:14.0,,,112-95,,Offensive rebound by T. Chandler
7:52.0,,,112-95,,E. Bledsoe misses 2-pt shot from 23 ft
7:51.0,Defensive rebound by G. Antetokounmpo,,112-95,,
7:35.0,Shooting foul by T. Chandler (drawn by J. Henson),,112-95,,
7:35.0,J. Henson misses free throw 1 of 2,,112-95,,
7:35.0,Offensive rebound by Team,,112-95,,
7:35.0,J. Henson makes free throw 2 of 2,1,113-95,,
7:23.0,,,113-95,,Turnover by T. Chandler (bad pass; steal by J. Terry)
7:14.0,M. Brogdon makes 3-pt shot from 25 ft (assist by J. Terry),3,116-95,,
7:14.0,,,116-95,,Phoenix full timeout
7:14.0,,,116-95,,T. Warren enters the game for T. Chandler
6:58.0,,,116-97,2,M. Chriss makes 2-pt shot from 11 ft (assist by E. Bledsoe)
6:40.0,J. Henson makes 2-pt shot at rim (assist by J. Terry),2,118-97,,
6:26.0,,,118-99,2,E. Bledsoe makes 2-pt shot from 5 ft
6:11.0,Shooting foul by D. Booker (drawn by J. Terry),,118-99,,
6:11.0,J. Terry makes free throw 1 of 2,1,119-99,,
6:11.0,J. Terry makes free throw 2 of 2,1,120-99,,
5:59.0,,,120-101,2,M. Chriss makes 2-pt shot at rim (assist by P. Tucker)
5:36.0,M. Brogdon makes 2-pt shot from 1 ft,2,122-101,,
5:26.0,Personal foul by M. Teletovic (drawn by E. Bledsoe),,122-101,,
5:26.0,,,122-102,1,E. Bledsoe makes free throw 1 of 2
5:26.0,,,122-103,1,E. Bledsoe makes free throw 2 of 2
5:13.0,G. Antetokounmpo makes 2-pt shot from 17 ft (assist by M. Brogdon),2,124-103,,
4:54.0,,,124-103,,E. Bledsoe misses 2-pt shot from 3 ft (block by G. Antetokounmpo)
4:53.0,Defensive rebound by J. Henson,,124-103,,
4:48.0,G. Antetokounmpo misses 2-pt shot from 1 ft (block by M. Chriss),,124-103,,
4:47.0,,,124-103,,Defensive rebound by T. Warren
4:43.0,,,124-103,,Shooting foul by J. Henson (drawn by M. Chriss)
4:43.0,,,124-103,,M. Chriss misses free throw 1 of 2
4:43.0,,,124-103,,Offensive rebound by Team
4:43.0,,,124-103,,M. Chriss misses free throw 2 of 2
4:43.0,Defensive rebound by G. Antetokounmpo,,124-103,,
4:22.0,J. Terry makes 3-pt shot from 22 ft (assist by J. Henson),3,127-103,,
4:08.0,,,127-105,2,T. Warren makes 2-pt shot from 3 ft
3:53.0,M. Brogdon makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,129-105,,
3:53.0,Shooting foul by P. Tucker (drawn by M. Brogdon),,129-105,,
3:53.0,M. Brogdon misses free throw 1 of 1,,129-105,,
3:53.0,R. Vaughn enters the game for J. Terry,,129-105,,
3:52.0,,,129-105,,Defensive rebound by E. Bledsoe
3:44.0,,,129-105,,E. Bledsoe misses 3-pt shot from 25 ft
3:42.0,Defensive rebound by R. Vaughn,,129-105,,
3:33.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,129-105,,
3:31.0,Offensive rebound by M. Brogdon,,129-105,,
3:31.0,M. Brogdon misses 2-pt shot from 5 ft,,129-105,,
3:30.0,,,129-105,,Defensive rebound by M. Chriss
3:15.0,,,129-105,,M. Chriss misses 2-pt shot from 2 ft (block by J. Henson)
3:14.0,Defensive rebound by M. Brogdon,,129-105,,
3:10.0,M. Teletovic makes 2-pt shot from 2 ft,2,131-105,,
3:08.0,,,131-105,,Phoenix full timeout
3:08.0,Milwaukee full timeout,,131-105,,
3:08.0,,,131-105,,T. Ulis enters the game for T. Warren
3:08.0,,,131-105,,D. Jones enters the game for D. Booker
3:08.0,,,131-105,,A. Williams enters the game for E. Bledsoe
3:08.0,,,131-105,,A. Len enters the game for P. Tucker
3:08.0,T. Maker enters the game for G. Antetokounmpo,,131-105,,
3:08.0,M. Beasley enters the game for J. Henson,,131-105,,
2:56.0,,,131-105,,Offensive charge foul by A. Williams
2:56.0,,,131-105,,Turnover by A. Williams (offensive foul)
2:37.0,R. Vaughn misses 2-pt shot from 12 ft (block by D. Jones),,131-105,,
2:37.0,,,131-105,,Defensive rebound by M. Chriss
2:31.0,Personal foul by M. Teletovic (drawn by M. Chriss),,131-105,,
2:31.0,,,131-106,1,M. Chriss makes free throw 1 of 2
2:31.0,,,131-107,1,M. Chriss makes free throw 2 of 2
2:12.0,M. Beasley makes 2-pt shot from 21 ft (assist by R. Vaughn),2,133-107,,
1:53.0,,,133-107,,M. Chriss misses 2-pt shot at rim
1:53.0,,,133-107,,Offensive rebound by Team
1:53.0,Personal foul by M. Teletovic (drawn by A. Williams),,133-107,,
1:53.0,,,133-108,1,A. Williams makes free throw 1 of 2
1:53.0,,,133-108,,A. Williams misses free throw 2 of 2
1:52.0,Defensive rebound by Team,,133-108,,
1:34.0,T. Maker misses 2-pt shot from 19 ft,,133-108,,
1:33.0,,,133-108,,Defensive rebound by M. Chriss
1:23.0,,,133-108,,A. Williams misses 2-pt shot from 3 ft
1:22.0,,,133-108,,Offensive rebound by A. Len
1:22.0,,,133-110,2,A. Len makes 2-pt shot from 2 ft
1:06.0,,,133-110,,Personal foul by A. Len (drawn by M. Teletovic)
1:06.0,M. Teletovic makes free throw 1 of 2,1,134-110,,
1:06.0,M. Teletovic makes free throw 2 of 2,1,135-110,,
0:51.0,,,135-110,,T. Ulis misses 2-pt shot from 20 ft
0:51.0,Defensive rebound by Team,,135-110,,
0:36.0,M. Beasley makes 2-pt shot from 10 ft (assist by M. Teletovic),2,137-110,,
0:22.0,,,137-112,2,M. Chriss makes 2-pt shot from 9 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
