time,Milwaukee,pts.away,score,pts.home,Phoenix
2:56.0,,,29-18,,Personal foul by A. Len (drawn by M. Teletovic)
2:56.0,Milwaukee full timeout,,29-18,,
2:56.0,M. Teletovic makes free throw 1 of 2,1,30-18,,
2:56.0,M. Teletovic makes free throw 2 of 2,1,31-18,,
2:54.0,,,31-18,,Turnover by E. Bledsoe (lost ball)
2:45.0,T. Snell makes 2-pt shot from 14 ft (assist by M. Brogdon),2,33-18,,
2:29.0,,,33-18,,Turnover by D. Booker (bad pass; steal by M. Brogdon)
2:26.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Teletovic),2,35-18,,
2:26.0,Shooting foul by D. Booker (drawn by G. Antetokounmpo),,35-18,,
2:26.0,G. Antetokounmpo makes free throw 1 of 1,1,36-18,,
2:26.0,,,35-18,,B. Knight enters the game for D. Booker
2:26.0,,,35-18,,L. Barbosa enters the game for E. Bledsoe
2:26.0,J. Terry enters the game for T. Snell,,35-18,,
2:04.0,,,36-18,,Turnover by B. Knight (bad pass; steal by G. Monroe)
1:58.0,G. Antetokounmpo makes 2-pt shot at rim,2,38-18,,
1:44.0,,,38-18,,B. Knight misses 2-pt shot from 21 ft
1:44.0,Defensive rebound by G. Antetokounmpo,,38-18,,
1:37.0,M. Teletovic makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,41-18,,
1:16.0,,,41-18,,A. Len misses 2-pt shot at rim (block by G. Monroe)
1:15.0,,,41-18,,Offensive rebound by Team
1:15.0,J. Parker enters the game for G. Antetokounmpo,,41-18,,
1:09.0,,,41-20,2,L. Barbosa makes 2-pt shot from 1 ft
0:53.0,Turnover by G. Monroe (bad pass; steal by P. Tucker),,41-20,,
0:47.0,,,41-23,3,P. Tucker makes 3-pt shot from 23 ft (assist by B. Knight)
0:44.0,,,41-23,,Personal foul by B. Knight (drawn by M. Brogdon)
0:44.0,M. Brogdon makes free throw 1 of 2,1,42-23,,
0:44.0,M. Brogdon makes free throw 2 of 2,1,43-23,,
0:30.0,,,43-25,2,L. Barbosa makes 2-pt shot from 1 ft
0:14.0,M. Brogdon makes 2-pt shot from 13 ft,2,45-25,,
0:05.0,,,45-25,,B. Knight misses 3-pt shot from 25 ft
0:05.0,Defensive rebound by M. Teletovic,,45-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,45-27,2,A. Len makes 2-pt shot from 17 ft (assist by L. Barbosa)
11:35.0,,,45-27,,Violation by P. Tucker (kicked ball)
11:29.0,M. Teletovic makes 3-pt shot from 27 ft (assist by M. Brogdon),3,48-27,,
11:12.0,,,48-27,,J. Dudley misses 2-pt shot from 20 ft
11:12.0,Defensive rebound by M. Brogdon,,48-27,,
11:03.0,J. Parker makes 2-pt shot at rim (assist by M. Brogdon),2,50-27,,
10:47.0,,,50-27,,J. Dudley misses 3-pt shot from 24 ft
10:47.0,Defensive rebound by J. Parker,,50-27,,
10:32.0,J. Parker misses 3-pt shot from 25 ft,,50-27,,
10:32.0,,,50-27,,Defensive rebound by J. Dudley
10:24.0,,,50-29,2,B. Knight makes 2-pt shot from 18 ft
10:05.0,M. Teletovic makes 2-pt shot from 1 ft (assist by G. Monroe),2,52-29,,
9:55.0,,,52-31,2,A. Len makes 2-pt shot at rim (assist by B. Knight)
9:40.0,,,52-31,,Personal foul by B. Knight (drawn by M. Brogdon)
9:40.0,,,52-31,,T. Warren enters the game for J. Dudley
9:40.0,M. Beasley enters the game for M. Teletovic,,52-31,,
9:33.0,M. Brogdon misses 2-pt shot from 1 ft,,52-31,,
9:33.0,Offensive rebound by Team,,52-31,,
9:33.0,,,52-31,,Loose ball foul by A. Len (drawn by G. Monroe)
9:27.0,Shooting foul by T. Warren (drawn by J. Parker),,52-31,,
9:27.0,J. Parker makes free throw 1 of 2,1,53-31,,
9:27.0,J. Parker misses free throw 2 of 2,,53-31,,
9:26.0,,,53-31,,Defensive rebound by P. Tucker
9:10.0,,,53-31,,B. Knight misses 3-pt shot from 26 ft
9:09.0,Defensive rebound by M. Beasley,,53-31,,
8:57.0,M. Beasley makes 2-pt shot from 3 ft,2,55-31,,
8:51.0,,,55-31,,Phoenix full timeout
8:51.0,,,55-31,,E. Bledsoe enters the game for A. Len
8:51.0,,,55-31,,T. Chandler enters the game for B. Knight
8:51.0,,,55-31,,D. Booker enters the game for L. Barbosa
8:51.0,J. Henson enters the game for G. Monroe,,55-31,,
8:36.0,,,55-33,2,E. Bledsoe makes 2-pt shot from 2 ft
8:18.0,,,55-33,,Personal foul by P. Tucker (drawn by J. Henson)
8:05.0,J. Henson misses 2-pt shot from 3 ft,,55-33,,
8:04.0,Offensive rebound by J. Terry,,55-33,,
7:57.0,M. Brogdon misses 2-pt shot from 18 ft,,55-33,,
7:56.0,,,55-33,,Defensive rebound by T. Warren
7:41.0,,,55-33,,P. Tucker misses 3-pt shot from 24 ft
7:41.0,Defensive rebound by J. Parker,,55-33,,
7:34.0,J. Terry makes 3-pt shot from 25 ft (assist by J. Parker),3,58-33,,
7:14.0,,,58-36,3,D. Booker makes 3-pt shot from 23 ft (assist by T. Chandler)
7:03.0,Turnover by J. Henson (lost ball; steal by P. Tucker),,58-36,,
6:58.0,,,58-38,2,P. Tucker makes 2-pt shot from 2 ft (assist by D. Booker)
6:39.0,M. Beasley misses 2-pt shot from 7 ft,,58-38,,
6:39.0,Offensive rebound by J. Henson,,58-38,,
6:39.0,,,58-38,,Personal foul by P. Tucker (drawn by J. Henson)
6:39.0,J. Henson makes free throw 1 of 2,1,59-38,,
6:39.0,J. Henson makes free throw 2 of 2,1,60-38,,
6:39.0,T. Snell enters the game for M. Brogdon,,59-38,,
6:39.0,M. Dellavedova enters the game for J. Terry,,59-38,,
6:29.0,,,60-40,2,D. Booker makes 2-pt shot from 21 ft (assist by T. Warren)
6:16.0,Turnover by J. Henson (bad pass),,60-40,,
6:04.0,,,60-43,3,D. Booker makes 3-pt shot from 26 ft (assist by E. Bledsoe)
6:03.0,Milwaukee full timeout,,60-43,,
6:03.0,G. Antetokounmpo enters the game for M. Beasley,,60-43,,
5:51.0,Turnover by T. Snell (bad pass),,60-43,,
5:42.0,,,60-43,,E. Bledsoe misses 2-pt shot from 19 ft
5:40.0,Defensive rebound by G. Antetokounmpo,,60-43,,
5:33.0,Turnover by M. Dellavedova (bad pass),,60-43,,
