time,Chicago,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. M. Plumlee (T. Gibson gains possession),,,,Jump ball: R. Lopez vs. M. Plumlee (T. Gibson gains possession)
11:44.0,R. Lopez makes 2-pt shot from 8 ft,2,2-0,,
11:28.0,,,2-0,,D. Lillard misses 2-pt shot from 16 ft
11:27.0,Defensive rebound by T. Gibson,,2-0,,
11:15.0,J. Butler makes 2-pt shot from 7 ft,2,4-0,,
10:56.0,,,4-0,,Turnover by C. McCollum (bad pass; steal by D. Wade)
10:51.0,D. Wade makes 2-pt shot from 1 ft,2,6-0,,
10:40.0,,,6-0,,C. McCollum misses 2-pt shot from 3 ft
10:39.0,Defensive rebound by R. Lopez,,6-0,,
10:33.0,D. Wade misses 2-pt shot from 2 ft,,6-0,,
10:32.0,Offensive rebound by T. Gibson,,6-0,,
10:32.0,T. Gibson makes 2-pt shot from 1 ft,2,8-0,,
10:32.0,,,8-0,,Portland full timeout
10:16.0,,,8-0,,D. Lillard misses 2-pt shot from 2 ft (block by T. Gibson)
10:15.0,Defensive rebound by R. Lopez,,8-0,,
10:02.0,T. Gibson misses 2-pt shot from 13 ft,,8-0,,
10:02.0,,,8-0,,Defensive rebound by M. Harkless
9:54.0,,,8-0,,C. McCollum misses 3-pt shot from 25 ft
9:53.0,Defensive rebound by R. Lopez,,8-0,,
9:46.0,Shooting foul by M. Harkless (drawn by J. Butler),,8-0,,
9:46.0,J. Butler makes free throw 1 of 2,1,9-0,,
9:46.0,J. Butler makes free throw 2 of 2,1,10-0,,
9:33.0,,,10-0,,M. Leonard misses 3-pt shot from 25 ft
9:32.0,Defensive rebound by J. Butler,,10-0,,
9:18.0,J. Butler misses 2-pt shot from 18 ft,,10-0,,
9:17.0,,,10-0,,Defensive rebound by C. McCollum
9:09.0,,,10-0,,D. Lillard misses 3-pt shot from 25 ft
9:09.0,Defensive rebound by R. Lopez,,10-0,,
8:58.0,D. Wade misses 2-pt shot from 8 ft,,10-0,,
