time,Dallas,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. N. Noel (Y. Ferrell gains possession),,,,Jump ball: W. Cauley-Stein vs. N. Noel (Y. Ferrell gains possession)
11:42.0,N. Brussino misses 2-pt shot from 17 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by L. Galloway
11:15.0,,,0-3,3,L. Galloway makes 3-pt shot from 25 ft (assist by B. Hield)
10:57.0,H. Barnes makes 2-pt shot from 16 ft,2,2-3,,
10:41.0,,,2-3,,Shooting foul by N. Noel (drawn by L. Galloway)
10:41.0,,,2-4,1,L. Galloway makes free throw 1 of 2
10:41.0,,,2-4,,L. Galloway misses free throw 2 of 2
10:39.0,,,2-4,,Offensive rebound by L. Galloway
10:37.0,,,2-4,,Turnover by L. Galloway (bad pass)
10:19.0,Shooting foul by S. Labissiere (drawn by N. Noel),,2-4,,
10:19.0,N. Noel misses free throw 1 of 2,,2-4,,
10:19.0,Offensive rebound by Team,,2-4,,
10:19.0,N. Noel makes free throw 2 of 2,1,3-4,,
10:04.0,,,3-4,,B. Hield misses 2-pt shot from 18 ft
10:04.0,Defensive rebound by N. Brussino,,3-4,,
9:54.0,N. Noel makes 2-pt shot from 7 ft (assist by Y. Ferrell),2,5-4,,
9:37.0,,,5-6,2,W. Cauley-Stein makes 2-pt shot from 5 ft (assist by T. Evans)
9:14.0,Turnover by N. Noel (lost ball),,5-6,,
9:01.0,,,5-6,,T. Evans misses 2-pt shot from 22 ft
9:00.0,Defensive rebound by N. Noel,,5-6,,
8:51.0,Y. Ferrell misses 3-pt shot from 25 ft,,5-6,,
8:51.0,,,5-6,,Defensive rebound by L. Galloway
8:37.0,,,5-6,,W. Cauley-Stein misses 2-pt shot from 6 ft
8:36.0,,,5-6,,Offensive rebound by Team
8:32.0,,,5-9,3,B. Hield makes 3-pt shot from 24 ft (assist by T. Evans)
8:18.0,D. Powell misses 3-pt shot from 24 ft,,5-9,,
8:17.0,,,5-9,,Defensive rebound by W. Cauley-Stein
8:08.0,,,5-9,,S. Labissiere misses 2-pt shot from 13 ft
8:07.0,Defensive rebound by D. Powell,,5-9,,
7:55.0,Turnover by Y. Ferrell (bad pass; steal by T. Evans),,5-9,,
7:52.0,,,5-11,2,T. Evans makes 2-pt shot at rim
7:26.0,D. Powell makes 2-pt shot from 4 ft,2,7-11,,
7:20.0,,,7-11,,G. Papagiannis enters the game for S. Labissiere
7:07.0,,,7-13,2,L. Galloway makes 2-pt shot from 20 ft
6:48.0,Y. Ferrell misses 3-pt shot from 25 ft,,7-13,,
6:47.0,,,7-13,,Defensive rebound by B. Hield
6:38.0,,,7-13,,B. Hield misses 2-pt shot from 20 ft
6:36.0,,,7-13,,Offensive rebound by G. Papagiannis
6:30.0,,,7-13,,T. Evans misses 2-pt shot from 4 ft
6:29.0,,,7-13,,Offensive rebound by G. Papagiannis
6:29.0,,,7-15,2,G. Papagiannis makes 2-pt shot from 3 ft
6:29.0,Dallas full timeout,,7-15,,
6:20.0,N. Brussino misses 3-pt shot from 25 ft,,7-15,,
6:19.0,,,7-15,,Defensive rebound by W. Cauley-Stein
6:06.0,,,7-15,,W. Cauley-Stein misses 2-pt shot from 3 ft
6:05.0,,,7-15,,Offensive rebound by W. Cauley-Stein
6:03.0,,,7-17,2,W. Cauley-Stein makes 2-pt shot from 2 ft
5:54.0,,,7-17,,Personal foul by G. Papagiannis (drawn by N. Noel)
5:54.0,,,7-17,,G. Temple enters the game for L. Galloway
5:54.0,J. Barea enters the game for N. Brussino,,7-17,,
5:54.0,D. Harris enters the game for Y. Ferrell,,7-17,,
5:54.0,D. Finney-Smith enters the game for D. Powell,,7-17,,
5:39.0,D. Finney-Smith misses 3-pt shot from 25 ft,,7-17,,
5:39.0,,,7-17,,Defensive rebound by G. Temple
5:31.0,,,7-17,,T. Evans misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by N. Noel,,7-17,,
5:15.0,D. Harris misses 3-pt shot from 25 ft,,7-17,,
5:14.0,,,7-17,,Defensive rebound by T. Evans
5:01.0,,,7-17,,G. Papagiannis misses 2-pt shot from 10 ft
5:01.0,Defensive rebound by N. Noel,,7-17,,
4:55.0,D. Harris makes 2-pt shot from 3 ft (assist by J. Barea),2,9-17,,
4:35.0,,,9-17,,Turnover by G. Temple (bad pass; steal by D. Finney-Smith)
4:25.0,Turnover by J. Barea (bad pass; steal by G. Temple),,9-17,,
4:20.0,,,9-17,,T. Evans misses 2-pt shot from 3 ft
4:17.0,Defensive rebound by J. Barea,,9-17,,
4:04.0,N. Noel misses 2-pt shot from 9 ft,,9-17,,
4:03.0,,,9-17,,Defensive rebound by W. Cauley-Stein
3:53.0,,,9-19,2,G. Papagiannis makes 2-pt shot at rim (assist by G. Temple)
3:37.0,D. Harris misses 3-pt shot from 23 ft,,9-19,,
3:37.0,,,9-19,,Defensive rebound by W. Cauley-Stein
3:23.0,,,9-19,,G. Temple misses 3-pt shot from 24 ft
3:21.0,Defensive rebound by Team,,9-19,,
3:21.0,,,9-19,,B. McLemore enters the game for T. Evans
3:13.0,,,9-19,,Personal foul by B. McLemore (drawn by D. Harris)
3:13.0,A. Hammons enters the game for N. Noel,,9-19,,
2:58.0,J. Barea makes 3-pt shot from 27 ft,3,12-19,,
2:54.0,,,12-19,,Sacramento full timeout
2:54.0,,,12-19,,S. Labissiere enters the game for W. Cauley-Stein
2:40.0,,,12-19,,B. Hield misses 2-pt shot from 18 ft
2:40.0,,,12-19,,Offensive rebound by S. Labissiere
2:36.0,,,12-19,,Turnover by S. Labissiere (lost ball)
2:36.0,Jump ball: A. Hammons vs. S. Labissiere (H. Barnes gains possession),,,,Jump ball: A. Hammons vs. S. Labissiere (H. Barnes gains possession)
2:16.0,H. Barnes makes 2-pt shot from 18 ft,2,14-19,,
2:03.0,Personal foul by D. Harris (drawn by G. Papagiannis),,14-19,,
2:03.0,,,14-19,,L. Galloway enters the game for B. Hield
1:49.0,,,14-19,,L. Galloway misses 3-pt shot from 25 ft
1:49.0,Defensive rebound by A. Hammons,,14-19,,
1:28.0,J. Barea misses 2-pt shot from 9 ft,,14-19,,
1:27.0,Offensive rebound by A. Hammons,,14-19,,
1:23.0,D. Finney-Smith misses 3-pt shot from 28 ft,,14-19,,
1:22.0,,,14-19,,Defensive rebound by G. Temple
