time,Denver,pts.away,score,pts.home,Golden State
8:17.0,,,11-11,2,Z. Pachulia makes 2-pt shot from 6 ft (assist by K. Durant)
8:04.0,,,11-11,,Personal foul by K. Thompson (drawn by E. Mudiay)
8:00.0,Turnover by N. Jokic (bad pass; steal by K. Durant),,11-11,,
7:52.0,,,11-14,3,K. Thompson makes 3-pt shot from 28 ft
7:29.0,G. Harris makes 2-pt shot from 2 ft,2,13-14,,
7:19.0,,,13-14,,Z. Pachulia misses 2-pt shot from 18 ft
7:19.0,Defensive rebound by D. Gallinari,,13-14,,
7:09.0,Shooting foul by Z. Pachulia (drawn by N. Jokic),,13-14,,
7:09.0,N. Jokic makes free throw 1 of 2,1,14-14,,
7:09.0,N. Jokic makes free throw 2 of 2,1,15-14,,
6:52.0,,,15-14,,K. Thompson misses 2-pt shot from 18 ft
6:52.0,Defensive rebound by E. Mudiay,,15-14,,
6:43.0,D. Gallinari misses 2-pt shot from 4 ft,,15-14,,
6:42.0,,,15-14,,Defensive rebound by D. Green
6:35.0,,,15-16,2,K. Durant makes 2-pt shot at rim (assist by D. Green)
6:26.0,Turnover by W. Chandler (step out of bounds),,15-16,,
6:21.0,,,15-16,,Golden State full timeout
6:14.0,,,15-19,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
5:55.0,W. Chandler misses 2-pt shot from 13 ft,,15-19,,
5:55.0,,,15-19,,Defensive rebound by Z. Pachulia
5:39.0,,,15-22,3,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green)
5:37.0,Denver full timeout,,15-22,,
5:37.0,W. Barton enters the game for W. Chandler,,15-22,,
5:19.0,N. Jokic makes 2-pt shot from 4 ft (assist by G. Harris),2,17-22,,
5:10.0,,,17-22,,Turnover by D. Green (bad pass; steal by D. Gallinari)
5:04.0,Shooting foul by S. Curry (drawn by D. Gallinari),,17-22,,
5:04.0,D. Gallinari makes free throw 1 of 2,1,18-22,,
5:04.0,D. Gallinari misses free throw 2 of 2,,18-22,,
5:04.0,,,18-22,,A. Iguodala enters the game for K. Durant
5:04.0,,,18-22,,J. McGee enters the game for Z. Pachulia
5:03.0,,,18-22,,Defensive rebound by J. McGee
4:43.0,,,18-22,,Turnover by D. Green (lost ball; steal by G. Harris)
4:37.0,W. Barton misses 3-pt shot from 27 ft,,18-22,,
4:36.0,,,18-22,,Defensive rebound by S. Curry
4:27.0,,,18-22,,Turnover by A. Iguodala (bad pass; steal by G. Harris)
4:19.0,W. Barton misses 3-pt shot from 26 ft,,18-22,,
4:18.0,Offensive rebound by N. Jokic,,18-22,,
4:11.0,N. Jokic makes 2-pt shot from 6 ft (assist by G. Harris),2,20-22,,
4:07.0,,,20-22,,Golden State full timeout
3:58.0,,,20-24,2,J. McGee makes 2-pt shot at rim (assist by S. Curry)
3:58.0,,,20-24,,Shooting foul by N. Jokic (drawn by J. McGee)
3:58.0,,,20-24,,J. McGee misses free throw 1 of 1
3:58.0,J. Nurkic enters the game for N. Jokic,,20-24,,
3:56.0,Defensive rebound by J. Nurkic,,20-24,,
3:40.0,E. Mudiay makes 2-pt shot from 2 ft (assist by G. Harris),2,22-24,,
3:24.0,,,22-26,2,J. McGee makes 2-pt shot at rim (assist by A. Iguodala)
3:07.0,G. Harris misses 2-pt shot from 7 ft (block by K. Thompson),,22-26,,
3:06.0,,,22-26,,Defensive rebound by K. Thompson
2:59.0,Personal foul by W. Barton (drawn by K. Thompson),,22-26,,
2:59.0,J. Nelson enters the game for E. Mudiay,,22-26,,
2:59.0,,,22-26,,I. Clark enters the game for K. Thompson
2:53.0,,,22-26,,Turnover by S. Curry (bad pass; steal by J. Nurkic)
2:43.0,J. Nurkic makes 2-pt shot from 1 ft (assist by W. Barton),2,24-26,,
2:24.0,,,24-26,,S. Curry misses 2-pt shot from 2 ft
2:24.0,Defensive rebound by D. Gallinari,,24-26,,
2:14.0,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Gallinari),2,26-26,,
1:59.0,,,26-29,3,I. Clark makes 3-pt shot from 26 ft (assist by S. Curry)
1:43.0,W. Barton misses 2-pt shot from 18 ft,,26-29,,
1:42.0,,,26-29,,Defensive rebound by Team
1:42.0,Loose ball foul by J. Nurkic (drawn by J. McGee),,26-29,,
1:42.0,,,26-30,1,J. McGee makes free throw 1 of 2
1:42.0,,,26-30,,J. McGee misses free throw 2 of 2
1:42.0,W. Chandler enters the game for G. Harris,,26-30,,
1:42.0,J. Murray enters the game for D. Gallinari,,26-30,,
1:42.0,,,26-30,,K. Durant enters the game for D. Green
1:41.0,Defensive rebound by J. Murray,,26-30,,
1:26.0,W. Barton makes 2-pt shot at rim (assist by J. Murray),2,28-30,,
1:07.0,,,28-30,,K. Durant misses 2-pt shot from 9 ft
1:07.0,Defensive rebound by J. Nurkic,,28-30,,
0:59.0,W. Barton makes 3-pt shot from 26 ft (assist by J. Nurkic),3,31-30,,
0:53.0,,,31-32,2,S. Curry makes 2-pt shot from 1 ft
0:53.0,,,31-32,,Shooting foul by J. Nelson (drawn by S. Curry)
0:53.0,,,31-33,1,S. Curry makes free throw 1 of 1
0:34.0,Turnover by J. Nelson (bad pass; steal by I. Clark),,31-33,,
0:28.0,,,31-33,,S. Curry misses 3-pt shot from 27 ft
0:28.0,,,31-33,,Offensive rebound by A. Iguodala
0:06.0,,,31-35,2,K. Durant makes 2-pt shot from 20 ft (assist by I. Clark)
0:00.0,J. Nelson makes 2-pt shot from 18 ft,2,33-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,J. Nelson makes 2-pt shot from 2 ft,2,35-35,,
11:47.0,Shooting foul by I. Clark (drawn by J. Nelson),,35-35,,
11:47.0,J. Nelson makes free throw 1 of 1,1,36-35,,
11:28.0,,,36-37,2,A. Iguodala makes 2-pt shot from 1 ft (assist by D. West)
11:18.0,J. Nurkic makes 2-pt shot at rim (assist by J. Nelson),2,38-37,,
10:59.0,,,38-40,3,I. Clark makes 3-pt shot from 26 ft (assist by A. Iguodala)
10:48.0,Turnover by J. Nelson (bad pass; steal by I. Clark),,38-40,,
10:42.0,,,38-42,2,I. Clark makes 2-pt shot from 1 ft (assist by S. Livingston)
10:24.0,W. Chandler makes 2-pt shot from 1 ft,2,40-42,,
10:11.0,,,40-42,,Shooting foul by J. Nelson (drawn by I. Clark)
10:11.0,,,40-43,1,I. Clark makes free throw 1 of 2
10:11.0,,,40-44,1,I. Clark makes free throw 2 of 2
9:59.0,J. Murray misses 3-pt shot from 27 ft,,40-44,,
9:58.0,,,40-44,,Defensive rebound by K. Durant
9:51.0,,,40-44,,K. Durant misses 2-pt shot from 3 ft
9:50.0,Defensive rebound by W. Barton,,40-44,,
9:45.0,J. Murray makes 2-pt shot at rim (assist by W. Barton),2,42-44,,
9:27.0,,,42-46,2,I. Clark makes 2-pt shot from 13 ft (assist by K. Durant)
9:19.0,Turnover by J. Nelson (lost ball),,42-46,,
9:02.0,,,42-46,,S. Livingston misses 2-pt shot from 15 ft
9:01.0,Defensive rebound by W. Barton,,42-46,,
8:48.0,J. Nurkic makes 2-pt shot from 3 ft (assist by J. Nelson),2,44-46,,
8:35.0,,,44-46,,K. Durant misses 2-pt shot from 14 ft
8:35.0,Defensive rebound by J. Nurkic,,44-46,,
8:26.0,Shooting foul by K. Durant (drawn by W. Chandler),,44-46,,
8:26.0,Official timeout,,44-46,,
8:26.0,W. Chandler misses free throw 1 of 3,,44-46,,
8:26.0,Offensive rebound by Team,,44-46,,
8:26.0,W. Chandler makes free throw 2 of 3,1,45-46,,
8:26.0,W. Chandler makes free throw 3 of 3,1,46-46,,
8:26.0,,,44-46,,K. Thompson enters the game for A. Iguodala
8:09.0,,,46-46,,K. Durant misses 2-pt shot from 19 ft
8:08.0,Defensive rebound by J. Murray,,46-46,,
8:03.0,W. Barton makes 2-pt shot at rim (assist by J. Murray),2,48-46,,
7:40.0,,,48-48,2,K. Durant makes 2-pt shot from 17 ft
7:24.0,W. Chandler misses 3-pt shot from 25 ft,,48-48,,
7:23.0,Offensive rebound by W. Barton,,48-48,,
7:07.0,J. Murray makes 3-pt shot from 23 ft (assist by W. Chandler),3,51-48,,
6:47.0,,,51-51,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. West)
6:37.0,J. Nelson misses 3-pt shot from 25 ft,,51-51,,
6:37.0,,,51-51,,Defensive rebound by Team
6:37.0,Loose ball foul by J. Nurkic (drawn by D. West),,51-51,,
6:37.0,E. Mudiay enters the game for J. Nelson,,51-51,,
6:37.0,,,51-51,,Z. Pachulia enters the game for K. Durant
6:37.0,D. Gallinari enters the game for W. Chandler,,51-51,,
6:37.0,,,51-51,,D. Green enters the game for D. West
6:23.0,,,51-51,,Z. Pachulia misses 2-pt shot from 14 ft
6:21.0,,,51-51,,Offensive rebound by S. Livingston
6:21.0,,,51-51,,S. Livingston misses 2-pt shot from 1 ft
6:19.0,Defensive rebound by D. Gallinari,,51-51,,
6:16.0,Shooting foul by D. Green (drawn by J. Nurkic),,51-51,,
6:16.0,J. Nurkic misses free throw 1 of 2,,51-51,,
6:16.0,Offensive rebound by Team,,51-51,,
6:16.0,,,51-51,,Golden State full timeout
6:16.0,J. Nurkic makes free throw 2 of 2,1,52-51,,
6:16.0,,,51-51,,S. Curry enters the game for I. Clark
6:03.0,,,52-51,,K. Thompson misses 3-pt shot from 25 ft
6:03.0,Defensive rebound by J. Murray,,52-51,,
5:42.0,E. Mudiay misses 2-pt shot from 13 ft,,52-51,,
5:42.0,Offensive rebound by Team,,52-51,,
5:42.0,,,52-51,,Loose ball foul by Z. Pachulia (drawn by J. Nurkic)
5:42.0,G. Harris enters the game for W. Barton,,52-51,,
5:34.0,J. Nurkic misses 2-pt shot from 20 ft,,52-51,,
5:34.0,,,52-51,,Defensive rebound by K. Thompson
5:16.0,,,52-53,2,S. Curry makes 2-pt shot from 21 ft (assist by D. Green)
5:00.0,E. Mudiay misses 2-pt shot from 8 ft,,52-53,,
4:59.0,,,52-53,,Defensive rebound by Z. Pachulia
4:54.0,,,52-56,3,S. Curry makes 3-pt shot from 34 ft
4:42.0,D. Gallinari makes 3-pt shot from 26 ft (assist by J. Nurkic),3,55-56,,
4:27.0,,,55-56,,K. Thompson misses 2-pt shot from 9 ft
4:27.0,Defensive rebound by D. Gallinari,,55-56,,
4:19.0,J. Murray misses 3-pt shot from 24 ft,,55-56,,
4:18.0,,,55-56,,Defensive rebound by K. Thompson
4:07.0,,,55-56,,Z. Pachulia misses 2-pt shot from 2 ft (block by J. Nurkic)
4:06.0,,,55-56,,Offensive rebound by Z. Pachulia
4:03.0,,,55-58,2,Z. Pachulia makes 2-pt shot from 4 ft
3:52.0,J. Murray misses 2-pt shot from 12 ft,,55-58,,
3:50.0,,,55-58,,Defensive rebound by Z. Pachulia
3:42.0,,,55-60,2,D. Green makes 2-pt shot at rim (assist by S. Livingston)
3:42.0,Denver full timeout,,55-60,,
3:42.0,N. Jokic enters the game for J. Nurkic,,55-60,,
3:42.0,W. Chandler enters the game for J. Murray,,55-60,,
3:18.0,G. Harris misses 2-pt shot from 7 ft,,55-60,,
3:17.0,Offensive rebound by G. Harris,,55-60,,
3:16.0,Shooting foul by Z. Pachulia (drawn by G. Harris),,55-60,,
3:16.0,G. Harris misses free throw 1 of 2,,55-60,,
3:16.0,Offensive rebound by Team,,55-60,,
3:16.0,G. Harris makes free throw 2 of 2,1,56-60,,
3:16.0,,,55-60,,K. Durant enters the game for Z. Pachulia
3:06.0,,,56-60,,S. Curry misses 3-pt shot from 28 ft
3:05.0,,,56-60,,Offensive rebound by D. Green
3:00.0,,,56-62,2,K. Durant makes 2-pt shot at rim (assist by D. Green)
2:37.0,G. Harris makes 2-pt shot from 16 ft,2,58-62,,
2:27.0,,,58-62,,K. Durant misses 3-pt shot from 26 ft
2:25.0,Defensive rebound by D. Gallinari,,58-62,,
2:11.0,W. Chandler makes 2-pt shot from 1 ft (assist by N. Jokic),2,60-62,,
2:05.0,,,60-64,2,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green)
2:05.0,,,60-64,,Shooting foul by E. Mudiay (drawn by K. Thompson)
2:05.0,,,60-65,1,K. Thompson makes free throw 1 of 1
2:05.0,W. Barton enters the game for N. Jokic,,60-64,,
2:05.0,,,60-64,,A. Iguodala enters the game for S. Livingston
1:44.0,G. Harris misses 3-pt shot from 25 ft,,60-65,,
1:44.0,,,60-65,,Defensive rebound by D. Green
1:39.0,,,60-65,,Turnover by K. Durant (lost ball)
1:19.0,D. Gallinari misses 3-pt shot from 24 ft,,60-65,,
1:19.0,,,60-65,,Defensive rebound by K. Durant
1:11.0,,,60-65,,S. Curry misses 2-pt shot from 3 ft
1:11.0,Defensive rebound by Team,,60-65,,
1:00.0,W. Chandler misses 2-pt shot from 8 ft,,60-65,,
0:59.0,Offensive rebound by D. Gallinari,,60-65,,
0:56.0,D. Gallinari makes 2-pt shot from 19 ft,2,62-65,,
0:41.0,,,62-65,,Turnover by D. Green (bad pass; steal by D. Gallinari)
0:37.0,Turnover by D. Gallinari (bad pass),,62-65,,
0:33.0,,,62-65,,D. Green misses 3-pt shot from 30 ft
0:33.0,Defensive rebound by W. Barton,,62-65,,
0:12.0,G. Harris misses 2-pt shot from 2 ft,,62-65,,
0:11.0,Offensive rebound by W. Barton,,62-65,,
0:11.0,W. Barton makes 2-pt shot from 1 ft,2,64-65,,
0:06.0,Personal foul by D. Gallinari (drawn by K. Durant),,64-65,,
0:02.0,,,64-68,3,K. Durant makes 3-pt shot from 27 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,N. Jokic makes 2-pt shot from 13 ft (assist by D. Gallinari),2,66-68,,
11:27.0,,,66-70,2,S. Curry makes 2-pt shot from 19 ft
11:18.0,E. Mudiay misses 2-pt shot from 2 ft,,66-70,,
11:18.0,Offensive rebound by Team,,66-70,,
11:18.0,,,66-70,,Loose ball foul by S. Curry (drawn by N. Jokic)
11:10.0,E. Mudiay makes 2-pt shot from 1 ft,2,68-70,,
10:57.0,,,68-70,,Shooting foul by G. Harris (drawn by D. Green)
10:57.0,,,68-70,,D. Green misses free throw 1 of 2
10:57.0,,,68-70,,Offensive rebound by Team
10:57.0,,,68-71,1,D. Green makes free throw 2 of 2
10:33.0,W. Chandler misses 3-pt shot from 26 ft,,68-71,,
10:32.0,Offensive rebound by Team,,68-71,,
10:32.0,Turnover by Team (shot clock),,68-71,,
10:10.0,,,68-73,2,K. Durant makes 2-pt shot from 10 ft
9:55.0,W. Chandler misses 3-pt shot from 25 ft,,68-73,,
9:54.0,Offensive rebound by N. Jokic,,68-73,,
9:53.0,N. Jokic misses 2-pt shot from 4 ft,,68-73,,
9:51.0,,,68-73,,Defensive rebound by S. Curry
9:39.0,,,68-76,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green)
9:12.0,N. Jokic misses 2-pt shot from 8 ft,,68-76,,
9:10.0,,,68-76,,Defensive rebound by D. Green
8:53.0,,,68-76,,K. Durant misses 2-pt shot from 18 ft
8:53.0,Defensive rebound by N. Jokic,,68-76,,
8:46.0,Shooting foul by D. Green (drawn by D. Gallinari),,68-76,,
8:46.0,D. Gallinari makes free throw 1 of 2,1,69-76,,
8:46.0,D. Gallinari makes free throw 2 of 2,1,70-76,,
8:35.0,,,70-76,,S. Curry misses 2-pt shot from 19 ft
8:34.0,,,70-76,,Offensive rebound by Z. Pachulia
8:34.0,,,70-76,,Shooting foul by G. Harris (drawn by Z. Pachulia)
8:34.0,,,70-77,1,Z. Pachulia makes free throw 1 of 2
8:34.0,,,70-78,1,Z. Pachulia makes free throw 2 of 2
8:18.0,Offensive charge foul by W. Chandler,,70-78,,
8:18.0,Turnover by W. Chandler (offensive foul),,70-78,,
8:08.0,,,70-80,2,K. Durant makes 2-pt shot from 2 ft
8:08.0,Denver full timeout,,70-80,,
7:54.0,D. Gallinari misses 2-pt shot from 14 ft,,70-80,,
7:53.0,,,70-80,,Defensive rebound by K. Thompson
7:28.0,,,70-80,,S. Curry misses 3-pt shot from 29 ft
7:28.0,Defensive rebound by Team,,70-80,,
7:04.0,W. Chandler makes 2-pt shot from 19 ft,2,72-80,,
6:52.0,,,72-82,2,K. Durant makes 2-pt shot at rim (assist by D. Green)
6:35.0,W. Chandler misses 3-pt shot from 23 ft,,72-82,,
6:35.0,,,72-82,,Defensive rebound by D. Green
6:23.0,,,72-82,,K. Thompson misses 2-pt shot from 2 ft
6:19.0,,,72-82,,Offensive rebound by Z. Pachulia
6:13.0,,,72-82,,K. Thompson misses 3-pt shot from 24 ft
6:12.0,Defensive rebound by D. Gallinari,,72-82,,
6:03.0,E. Mudiay misses 3-pt shot from 25 ft,,72-82,,
6:02.0,,,72-82,,Defensive rebound by D. Green
5:52.0,,,72-82,,Z. Pachulia misses 2-pt shot from 3 ft
5:51.0,Defensive rebound by E. Mudiay,,72-82,,
5:46.0,D. Gallinari misses 3-pt shot from 25 ft,,72-82,,
5:45.0,Offensive rebound by W. Chandler,,72-82,,
5:42.0,G. Harris makes 2-pt shot from 2 ft (assist by E. Mudiay),2,74-82,,
5:33.0,,,74-82,,Golden State full timeout
5:33.0,W. Barton enters the game for W. Chandler,,74-82,,
5:33.0,,,74-82,,J. McGee enters the game for Z. Pachulia
5:25.0,,,74-82,,S. Curry misses 3-pt shot from 26 ft
5:22.0,,,74-82,,Offensive rebound by J. McGee
5:22.0,,,74-84,2,J. McGee makes 2-pt shot at rim
5:03.0,D. Gallinari misses 2-pt shot from 11 ft,,74-84,,
5:02.0,,,74-84,,Defensive rebound by K. Durant
4:50.0,,,74-84,,Turnover by S. Curry (bad pass; steal by E. Mudiay)
4:43.0,W. Barton makes 2-pt shot from 2 ft (assist by E. Mudiay),2,76-84,,
4:34.0,,,76-86,2,J. McGee makes 2-pt shot from 1 ft (assist by S. Curry)
4:23.0,E. Mudiay makes 2-pt shot from 17 ft (assist by W. Barton),2,78-86,,
4:06.0,,,78-86,,K. Thompson misses 2-pt shot from 14 ft
4:06.0,Defensive rebound by W. Barton,,78-86,,
3:56.0,N. Jokic misses 3-pt shot from 26 ft,,78-86,,
3:56.0,,,78-86,,Defensive rebound by D. Green
3:47.0,,,78-86,,K. Durant misses 3-pt shot from 27 ft
3:46.0,Defensive rebound by N. Jokic,,78-86,,
3:37.0,W. Barton misses 3-pt shot from 27 ft,,78-86,,
3:36.0,,,78-86,,Defensive rebound by J. McGee
3:23.0,,,78-86,,D. Green misses 2-pt shot from 6 ft
3:23.0,Defensive rebound by N. Jokic,,78-86,,
3:17.0,N. Jokic makes 2-pt shot at rim,2,80-86,,
3:17.0,,,80-86,,Golden State full timeout
3:17.0,,,80-86,,A. Iguodala enters the game for K. Durant
3:17.0,,,80-86,,I. Clark enters the game for K. Thompson
3:17.0,J. Nelson enters the game for E. Mudiay,,80-86,,
3:06.0,,,80-88,2,S. Curry makes 2-pt shot from 2 ft (assist by D. Green)
2:44.0,N. Jokic misses 2-pt shot from 7 ft,,80-88,,
2:43.0,Offensive rebound by N. Jokic,,80-88,,
2:43.0,N. Jokic misses 2-pt shot from 2 ft,,80-88,,
2:42.0,Offensive rebound by N. Jokic,,80-88,,
2:42.0,N. Jokic misses 2-pt shot from 3 ft,,80-88,,
2:41.0,Offensive rebound by N. Jokic,,80-88,,
2:41.0,N. Jokic misses 2-pt shot from 1 ft,,80-88,,
2:40.0,Offensive rebound by N. Jokic,,80-88,,
2:40.0,N. Jokic misses 2-pt shot from 1 ft,,80-88,,
2:39.0,Offensive rebound by N. Jokic,,80-88,,
2:38.0,N. Jokic misses 2-pt shot from 2 ft,,80-88,,
2:36.0,Offensive rebound by G. Harris,,80-88,,
2:23.0,D. Gallinari misses 3-pt shot from 26 ft,,80-88,,
2:22.0,Offensive rebound by N. Jokic,,80-88,,
2:20.0,Turnover by N. Jokic (lost ball),,80-88,,
2:10.0,,,80-88,,S. Curry misses 3-pt shot from 30 ft
2:09.0,Defensive rebound by W. Barton,,80-88,,
2:03.0,G. Harris misses 3-pt shot from 27 ft,,80-88,,
2:02.0,,,80-88,,Defensive rebound by J. McGee
1:55.0,,,80-88,,D. Green misses 2-pt shot from 1 ft
1:54.0,Defensive rebound by N. Jokic,,80-88,,
1:41.0,Turnover by W. Barton (lost ball; steal by J. McGee),,80-88,,
1:38.0,,,80-88,,Shooting foul by J. Nelson (drawn by S. Curry)
1:38.0,,,80-89,1,S. Curry makes free throw 1 of 2
1:38.0,,,80-90,1,S. Curry makes free throw 2 of 2
1:38.0,J. Nurkic enters the game for D. Gallinari,,80-89,,
1:38.0,J. Murray enters the game for N. Jokic,,80-89,,
1:38.0,W. Chandler enters the game for G. Harris,,80-89,,
1:38.0,,,80-89,,D. West enters the game for J. McGee
1:14.0,J. Nurkic misses 2-pt shot from 9 ft,,80-90,,
1:14.0,,,80-90,,Defensive rebound by D. Green
0:59.0,,,80-92,2,S. Curry makes 2-pt shot from 16 ft
0:47.0,J. Nelson misses 3-pt shot from 25 ft,,80-92,,
0:46.0,,,80-92,,Defensive rebound by Team
0:45.0,Personal foul by J. Nurkic (drawn by D. Green),,80-92,,
0:45.0,,,80-93,1,D. Green makes free throw 1 of 2
0:45.0,,,80-94,1,D. Green makes free throw 2 of 2
0:31.0,W. Chandler makes 3-pt shot from 23 ft (assist by J. Nelson),3,83-94,,
0:14.0,,,83-94,,A. Iguodala misses 3-pt shot from 24 ft
0:13.0,Defensive rebound by J. Nurkic,,83-94,,
0:05.0,J. Nurkic makes 2-pt shot from 3 ft (assist by W. Barton),2,85-94,,
0:01.0,,,85-94,,A. Iguodala misses 2-pt shot from 10 ft
0:00.0,,,85-94,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,85-96,2,K. Thompson makes 2-pt shot at rim (assist by D. West)
11:34.0,Turnover by J. Nurkic (lost ball; steal by A. Iguodala),,85-96,,
11:21.0,,,85-96,,D. West misses 2-pt shot from 19 ft
11:21.0,Defensive rebound by W. Chandler,,85-96,,
11:08.0,W. Chandler makes 3-pt shot from 28 ft (assist by J. Nelson),3,88-96,,
10:47.0,,,88-96,,D. West misses 2-pt shot from 18 ft
10:47.0,Defensive rebound by J. Nurkic,,88-96,,
10:39.0,Turnover by W. Barton (bad pass; steal by A. Iguodala),,88-96,,
10:33.0,,,88-96,,S. Livingston misses 2-pt shot from 16 ft
10:33.0,,,88-96,,Offensive rebound by D. West
10:30.0,,,88-96,,D. West misses 2-pt shot from 3 ft
10:28.0,,,88-96,,Offensive rebound by S. Livingston
10:28.0,,,88-98,2,S. Livingston makes 2-pt shot from 1 ft
10:08.0,W. Chandler makes 2-pt shot from 4 ft (assist by J. Murray),2,90-98,,
10:01.0,,,90-100,2,S. Livingston makes 2-pt shot from 17 ft
10:01.0,,,90-100,,Shooting foul by J. Nelson (drawn by S. Livingston)
10:01.0,,,90-100,,S. Livingston misses free throw 1 of 1
9:59.0,Defensive rebound by J. Nurkic,,90-100,,
9:51.0,Turnover by J. Nelson (traveling),,90-100,,
9:37.0,,,90-102,2,K. Thompson makes 2-pt shot from 14 ft (assist by A. Iguodala)
9:37.0,Denver full timeout,,90-102,,
9:22.0,W. Chandler makes 2-pt shot from 20 ft (assist by J. Nurkic),2,92-102,,
9:08.0,Personal foul by W. Barton (drawn by K. Thompson),,92-102,,
9:03.0,,,92-102,,K. Thompson misses 2-pt shot from 2 ft
9:03.0,Defensive rebound by Team,,92-102,,
8:45.0,W. Barton makes 3-pt shot from 27 ft (assist by W. Chandler),3,95-102,,
8:27.0,,,95-104,2,K. Durant makes 2-pt shot from 16 ft
8:13.0,W. Chandler makes 3-pt shot from 26 ft (assist by J. Nurkic),3,98-104,,
7:57.0,,,98-106,2,A. Iguodala makes 2-pt shot at rim (assist by S. Livingston)
7:33.0,W. Chandler misses 2-pt shot from 10 ft (block by K. Durant),,98-106,,
7:32.0,,,98-106,,Defensive rebound by D. West
7:28.0,,,98-106,,Turnover by K. Durant (lost ball; steal by W. Chandler)
7:25.0,Offensive charge foul by W. Chandler,,98-106,,
7:25.0,Turnover by W. Chandler (offensive foul),,98-106,,
7:25.0,,,98-106,,I. Clark enters the game for A. Iguodala
7:11.0,,,98-108,2,D. West makes 2-pt shot from 2 ft (assist by S. Livingston)
7:10.0,Denver full timeout,,98-108,,
7:10.0,,,98-108,,D. Green enters the game for K. Durant
6:57.0,Shooting foul by D. West (drawn by W. Chandler),,98-108,,
6:57.0,J. Nurkic makes free throw 1 of 2,1,99-108,,
6:57.0,J. Nurkic makes free throw 2 of 2,1,100-108,,
6:39.0,,,100-110,2,S. Livingston makes 2-pt shot from 14 ft
6:28.0,J. Murray misses 3-pt shot from 27 ft,,100-110,,
6:27.0,,,100-110,,Defensive rebound by S. Livingston
6:19.0,E. Mudiay enters the game for J. Nelson,,100-110,,
6:19.0,,,100-110,,Z. Pachulia enters the game for D. West
6:07.0,,,100-113,3,D. Green makes 3-pt shot from 27 ft (assist by K. Thompson)
5:43.0,E. Mudiay misses 3-pt shot from 23 ft,,100-113,,
5:43.0,,,100-113,,Defensive rebound by Z. Pachulia
5:39.0,,,100-113,,Turnover by Z. Pachulia (bad pass; steal by J. Murray)
5:36.0,J. Murray misses 3-pt shot from 27 ft,,100-113,,
5:34.0,Offensive rebound by J. Murray,,100-113,,
5:23.0,J. Nurkic makes 2-pt shot from 1 ft,2,102-113,,
5:04.0,,,102-115,2,K. Thompson makes 2-pt shot from 16 ft (assist by D. Green)
