time,Memphis,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Nance vs. B. Wright (B. Ingram gains possession),,,,Jump ball: L. Nance vs. B. Wright (B. Ingram gains possession)
11:54.0,,,0-2,2,B. Ingram makes 2-pt shot from 1 ft
11:36.0,W. Selden makes 2-pt shot from 2 ft (assist by J. Ennis),2,2-2,,
11:18.0,,,2-2,,Turnover by D. Russell (bad pass)
11:01.0,T. Allen misses 2-pt shot from 4 ft (block by L. Nance),,2-2,,
11:00.0,Offensive rebound by T. Allen,,2-2,,
10:54.0,W. Selden misses 2-pt shot from 12 ft,,2-2,,
10:51.0,,,2-2,,Defensive rebound by J. Randle
10:45.0,,,2-5,3,J. Randle makes 3-pt shot from 27 ft (assist by J. Clarkson)
10:23.0,B. Wright misses 2-pt shot from 3 ft (block by J. Randle),,2-5,,
10:19.0,,,2-5,,Defensive rebound by D. Russell
10:05.0,,,2-5,,J. Clarkson misses 3-pt shot from 26 ft
10:04.0,Defensive rebound by W. Selden,,2-5,,
9:53.0,M. Conley misses 2-pt shot from 5 ft,,2-5,,
9:51.0,,,2-5,,Defensive rebound by J. Randle
9:45.0,,,2-5,,B. Ingram misses 3-pt shot from 24 ft
9:42.0,Defensive rebound by M. Conley,,2-5,,
9:38.0,T. Allen makes 2-pt shot from 2 ft (assist by M. Conley),2,4-5,,
9:26.0,,,4-5,,J. Randle misses 3-pt shot from 26 ft
9:25.0,Defensive rebound by J. Ennis,,4-5,,
9:08.0,T. Allen makes 3-pt shot from 26 ft (assist by M. Conley),3,7-5,,
8:40.0,,,7-7,2,D. Russell makes 2-pt shot from 3 ft (assist by J. Clarkson)
8:31.0,,,7-7,,Personal foul by D. Russell (drawn by T. Allen)
8:23.0,B. Wright makes 2-pt shot at rim (assist by M. Conley),2,9-7,,
8:13.0,,,9-7,,D. Russell misses 2-pt shot from 24 ft
8:11.0,Defensive rebound by W. Selden,,9-7,,
8:05.0,W. Selden makes 2-pt shot from 1 ft,2,11-7,,
7:51.0,,,11-7,,Turnover by L. Nance (bad pass; steal by M. Conley)
7:46.0,J. Ennis makes 2-pt shot at rim (assist by W. Selden),2,13-7,,
7:46.0,,,13-7,,LA Lakers full timeout
7:27.0,,,13-10,3,J. Clarkson makes 3-pt shot from 27 ft (assist by B. Ingram)
7:05.0,M. Conley misses 3-pt shot from 27 ft,,13-10,,
7:04.0,,,13-10,,Defensive rebound by D. Russell
6:58.0,,,13-10,,D. Russell misses 2-pt shot from 10 ft
6:55.0,,,13-10,,Offensive rebound by L. Nance
6:43.0,,,13-10,,J. Clarkson misses 2-pt shot from 16 ft
6:40.0,Defensive rebound by J. Ennis,,13-10,,
6:29.0,T. Allen makes 2-pt shot from 5 ft,2,15-10,,
6:14.0,,,15-10,,B. Ingram misses 2-pt shot from 6 ft
6:13.0,Defensive rebound by J. Ennis,,15-10,,
6:08.0,,,15-10,,Shooting block foul by L. Nance (drawn by M. Conley)
6:08.0,M. Conley makes free throw 1 of 2,1,16-10,,
6:08.0,M. Conley makes free throw 2 of 2,1,17-10,,
5:56.0,,,17-10,,Turnover by D. Russell (bad pass; steal by T. Allen)
5:50.0,M. Conley misses 3-pt shot from 25 ft,,17-10,,
5:46.0,,,17-10,,Defensive rebound by L. Nance
5:40.0,,,17-10,,B. Ingram misses 2-pt shot from 1 ft
5:39.0,,,17-10,,Offensive rebound by Team
5:39.0,Loose ball foul by W. Selden (drawn by B. Ingram),,17-10,,
5:39.0,W. Baldwin enters the game for M. Conley,,17-10,,
5:35.0,,,17-10,,J. Clarkson misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by J. Ennis,,17-10,,
