time,Indiana,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. M. Turner (P. George gains possession),,,,Jump ball: M. Gortat vs. M. Turner (P. George gains possession)
11:37.0,P. George makes 3-pt shot from 23 ft (assist by G. Robinson),3,3-0,,
11:22.0,,,3-0,,M. Gortat misses 2-pt shot from 7 ft
11:21.0,Defensive rebound by T. Young,,3-0,,
11:15.0,Turnover by J. Teague (bad pass),,3-0,,
10:58.0,,,3-2,2,M. Morris makes 2-pt shot from 11 ft (assist by B. Beal)
10:45.0,G. Robinson misses 2-pt shot from 20 ft,,3-2,,
10:45.0,,,3-2,,Defensive rebound by J. Wall
10:28.0,,,3-2,,B. Beal misses 2-pt shot from 1 ft (block by M. Turner)
10:27.0,Defensive rebound by M. Turner,,3-2,,
10:20.0,M. Turner makes 2-pt shot at rim (assist by J. Teague),2,5-2,,
10:03.0,,,5-2,,Shooting foul by P. George (drawn by M. Gortat)
10:03.0,,,5-3,1,M. Gortat makes free throw 1 of 2
10:03.0,,,5-4,1,M. Gortat makes free throw 2 of 2
9:42.0,T. Young misses 3-pt shot from 23 ft,,5-4,,
9:41.0,,,5-4,,Defensive rebound by J. Wall
9:35.0,,,5-6,2,J. Wall makes 2-pt shot from 15 ft
9:20.0,M. Turner makes 2-pt shot from 1 ft (assist by J. Teague),2,7-6,,
9:20.0,Shooting foul by M. Gortat (drawn by M. Turner),,7-6,,
9:20.0,M. Turner makes free throw 1 of 1,1,8-6,,
9:08.0,,,8-8,2,B. Beal makes 2-pt shot from 16 ft
8:44.0,J. Teague makes 3-pt shot from 26 ft (assist by G. Robinson),3,11-8,,
8:26.0,,,11-8,,M. Gortat misses 2-pt shot from 9 ft
8:25.0,,,11-8,,Offensive rebound by M. Morris
8:23.0,,,11-8,,M. Morris misses 2-pt shot from 1 ft (block by M. Turner)
8:21.0,Defensive rebound by M. Turner,,11-8,,
8:16.0,P. George misses 2-pt shot from 15 ft,,11-8,,
8:14.0,Offensive rebound by T. Young,,11-8,,
8:14.0,T. Young makes 2-pt shot from 1 ft,2,13-8,,
7:56.0,,,13-8,,Turnover by J. Wall (bad pass; steal by J. Teague)
7:46.0,M. Turner misses 2-pt shot from 19 ft,,13-8,,
7:45.0,,,13-8,,Defensive rebound by J. Wall
7:38.0,,,13-11,3,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall)
7:19.0,,,13-11,,Personal foul by O. Porter (drawn by J. Teague)
7:15.0,P. George misses 3-pt shot from 26 ft,,13-11,,
7:14.0,,,13-11,,Defensive rebound by M. Morris
7:07.0,,,13-11,,J. Wall misses 2-pt shot from 19 ft
7:06.0,Defensive rebound by M. Turner,,13-11,,
6:58.0,T. Young makes 2-pt shot from 5 ft (assist by P. George),2,15-11,,
6:58.0,Shooting foul by M. Morris (drawn by T. Young),,15-11,,
6:58.0,T. Young misses free throw 1 of 1,,15-11,,
6:57.0,,,15-11,,Defensive rebound by M. Gortat
6:42.0,,,15-13,2,B. Beal makes 2-pt shot from 18 ft (assist by M. Morris)
6:31.0,,,15-13,,Personal foul by O. Porter (drawn by P. George)
6:31.0,,,15-13,,K. Oubre enters the game for O. Porter
6:23.0,P. George makes 2-pt shot from 16 ft,2,17-13,,
6:05.0,,,17-13,,Turnover by M. Morris (bad pass)
5:51.0,Shooting foul by M. Morris (drawn by T. Young),,17-13,,
5:51.0,,,17-13,,Washington full timeout
5:51.0,T. Young misses free throw 1 of 2,,17-13,,
5:51.0,Offensive rebound by Team,,17-13,,
5:51.0,T. Young makes free throw 2 of 2,1,18-13,,
5:51.0,,,17-13,,J. Smith enters the game for M. Morris
5:38.0,,,18-15,2,B. Beal makes 2-pt shot from 17 ft
5:13.0,G. Robinson makes 2-pt shot from 20 ft (assist by T. Young),2,20-15,,
4:56.0,,,20-15,,J. Wall misses 2-pt shot from 1 ft (block by M. Turner)
4:54.0,Defensive rebound by M. Turner,,20-15,,
4:46.0,M. Turner misses 3-pt shot from 27 ft,,20-15,,
4:45.0,,,20-15,,Defensive rebound by B. Beal
4:34.0,,,20-15,,Turnover by K. Oubre (bad pass; steal by T. Young)
4:17.0,P. George makes 2-pt shot from 20 ft (assist by J. Teague),2,22-15,,
4:05.0,,,22-17,2,M. Gortat makes 2-pt shot from 16 ft (assist by B. Beal)
3:48.0,K. Seraphin enters the game for G. Robinson,,22-17,,
3:48.0,M. Ellis enters the game for T. Young,,22-17,,
3:47.0,Turnover by M. Ellis (bad pass; steal by J. Wall),,22-17,,
3:32.0,,,22-20,3,J. Smith makes 3-pt shot from 22 ft (assist by J. Wall)
3:13.0,M. Turner misses 2-pt shot from 18 ft,,22-20,,
3:12.0,,,22-20,,Defensive rebound by J. Smith
3:02.0,,,22-20,,J. Wall misses 2-pt shot from 17 ft
3:01.0,Defensive rebound by K. Seraphin,,22-20,,
2:44.0,K. Seraphin misses 2-pt shot from 11 ft,,22-20,,
2:43.0,,,22-20,,Defensive rebound by J. Wall
2:28.0,,,22-20,,B. Beal misses 2-pt shot from 3 ft
2:27.0,Defensive rebound by K. Seraphin,,22-20,,
2:21.0,P. George misses 2-pt shot from 17 ft,,22-20,,
2:19.0,,,22-20,,Defensive rebound by M. Gortat
2:10.0,,,22-20,,J. Wall misses 2-pt shot from 2 ft
2:09.0,Defensive rebound by P. George,,22-20,,
2:06.0,,,22-20,,Personal foul by K. Oubre (drawn by P. George)
2:06.0,Indiana full timeout,,22-20,,
2:06.0,P. George makes free throw 1 of 2,1,23-20,,
2:06.0,P. George makes free throw 2 of 2,1,24-20,,
2:06.0,,,22-20,,T. Burke enters the game for J. Wall
2:06.0,A. Jefferson enters the game for M. Turner,,22-20,,
2:06.0,A. Brooks enters the game for J. Teague,,22-20,,
1:52.0,,,24-20,,Shooting foul by P. George (drawn by B. Beal)
1:52.0,,,24-20,,B. Beal misses free throw 1 of 2
1:52.0,,,24-20,,Offensive rebound by Team
1:52.0,,,24-20,,B. Beal misses free throw 2 of 2
1:52.0,C. Miles enters the game for P. George,,24-20,,
1:51.0,Defensive rebound by K. Seraphin,,24-20,,
1:32.0,Turnover by C. Miles (bad pass; steal by B. Beal),,24-20,,
1:29.0,,,24-20,,Shooting foul by M. Ellis (drawn by B. Beal)
1:29.0,,,24-21,1,B. Beal makes free throw 1 of 2
1:29.0,,,24-21,,B. Beal misses free throw 2 of 2
1:29.0,,,24-21,,A. Nicholson enters the game for M. Gortat
1:28.0,,,24-21,,Offensive rebound by A. Nicholson
1:15.0,,,24-21,,T. Burke misses 3-pt shot from 26 ft
1:14.0,Defensive rebound by C. Miles,,24-21,,
1:01.0,,,24-21,,Personal block foul by A. Nicholson (drawn by A. Jefferson)
1:01.0,A. Jefferson misses free throw 1 of 2,,24-21,,
1:01.0,Offensive rebound by Team,,24-21,,
1:01.0,A. Jefferson makes free throw 2 of 2,1,25-21,,
0:43.0,,,25-21,,T. Burke misses 2-pt shot from 4 ft (block by A. Brooks)
0:42.0,Defensive rebound by Team,,25-21,,
0:24.0,M. Ellis misses 3-pt shot from 23 ft,,25-21,,
0:23.0,,,25-21,,Defensive rebound by T. Burke
0:17.0,,,25-21,,K. Oubre misses 2-pt shot from 9 ft
0:16.0,,,25-21,,Offensive rebound by J. Smith
0:16.0,,,25-23,2,J. Smith makes 2-pt shot from 2 ft
0:00.0,A. Brooks misses 2-pt shot from 10 ft,,25-23,,
0:00.0,Offensive rebound by Team,,25-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,25-23,,T. Burke misses 2-pt shot from 20 ft
11:34.0,Defensive rebound by A. Jefferson,,25-23,,
11:28.0,M. Ellis misses 2-pt shot from 5 ft,,25-23,,
11:26.0,,,25-23,,Defensive rebound by J. Smith
11:20.0,,,25-23,,T. Burke misses 3-pt shot from 24 ft
11:18.0,,,25-23,,Offensive rebound by M. Thornton
11:13.0,,,25-26,3,M. Thornton makes 3-pt shot from 27 ft
10:52.0,M. Ellis makes 2-pt shot from 1 ft (assist by C. Miles),2,27-26,,
10:38.0,,,27-26,,A. Nicholson misses 2-pt shot from 9 ft
10:37.0,,,27-26,,Offensive rebound by T. Burke
10:25.0,,,27-26,,Turnover by K. Oubre (lost ball)
10:25.0,T. Young enters the game for K. Seraphin,,27-26,,
10:11.0,Turnover by A. Jefferson (lost ball; steal by A. Nicholson),,27-26,,
9:53.0,,,27-26,,M. Thornton misses 3-pt shot from 26 ft
9:53.0,,,27-26,,Offensive rebound by J. Smith
9:47.0,,,27-26,,T. Burke misses 3-pt shot from 25 ft
9:46.0,Defensive rebound by A. Jefferson,,27-26,,
9:41.0,C. Miles makes 3-pt shot from 27 ft (assist by A. Brooks),3,30-26,,
9:24.0,Personal foul by M. Ellis (drawn by M. Thornton),,30-26,,
9:19.0,,,30-26,,M. Thornton misses 2-pt shot from 15 ft
9:18.0,Defensive rebound by A. Jefferson,,30-26,,
9:07.0,C. Miles misses 3-pt shot from 24 ft,,30-26,,
9:07.0,,,30-26,,Defensive rebound by M. Thornton
9:07.0,Loose ball foul by A. Jefferson (drawn by M. Thornton),,30-26,,
8:58.0,,,30-28,2,K. Oubre makes 2-pt shot from 19 ft (assist by J. Smith)
8:41.0,C. Miles misses 3-pt shot from 27 ft,,30-28,,
8:40.0,,,30-28,,Defensive rebound by M. Thornton
8:31.0,,,30-30,2,J. Smith makes 2-pt shot from 2 ft (assist by M. Thornton)
8:09.0,Turnover by T. Young (bad pass),,30-30,,
8:09.0,Official timeout,,30-30,,
7:59.0,Personal foul by M. Ellis (drawn by M. Thornton),,30-30,,
7:59.0,P. George enters the game for M. Ellis,,30-30,,
7:51.0,,,30-30,,J. Smith misses 2-pt shot from 17 ft
7:49.0,,,30-30,,Offensive rebound by A. Nicholson
7:45.0,,,30-30,,K. Oubre misses 3-pt shot from 27 ft
7:45.0,Defensive rebound by Team,,30-30,,
7:45.0,,,30-30,,Loose ball foul by J. Smith (drawn by P. George)
7:45.0,,,30-30,,J. Wall enters the game for T. Burke
7:45.0,,,30-30,,M. Morris enters the game for J. Smith
7:45.0,J. Teague enters the game for A. Brooks,,30-30,,
7:26.0,P. George makes 3-pt shot from 25 ft (assist by J. Teague),3,33-30,,
7:12.0,,,33-32,2,A. Nicholson makes 2-pt shot from 14 ft (assist by M. Thornton)
6:56.0,P. George misses 2-pt shot from 14 ft,,33-32,,
6:55.0,Offensive rebound by A. Jefferson,,33-32,,
6:55.0,A. Jefferson makes 2-pt shot from 2 ft,2,35-32,,
6:55.0,Shooting foul by A. Nicholson (drawn by A. Jefferson),,35-32,,
6:55.0,A. Jefferson misses free throw 1 of 1,,35-32,,
6:55.0,,,35-32,,O. Porter enters the game for K. Oubre
6:55.0,,,35-32,,M. Gortat enters the game for A. Nicholson
6:54.0,,,35-32,,Defensive rebound by M. Gortat
6:41.0,,,35-34,2,J. Wall makes 2-pt shot from 1 ft
6:18.0,J. Teague misses 3-pt shot from 27 ft,,35-34,,
6:17.0,,,35-34,,Defensive rebound by M. Gortat
6:10.0,,,35-34,,M. Thornton misses 2-pt shot at rim
6:10.0,,,35-34,,Offensive rebound by M. Morris
6:09.0,,,35-34,,M. Morris misses 2-pt shot from 1 ft
6:08.0,Defensive rebound by A. Jefferson,,35-34,,
6:00.0,,,35-34,,Personal foul by M. Thornton (drawn by P. George)
6:00.0,M. Turner enters the game for A. Jefferson,,35-34,,
5:52.0,,,35-34,,Personal foul by M. Thornton (drawn by C. Miles)
5:52.0,,,35-34,,Washington full timeout
5:52.0,,,35-34,,B. Beal enters the game for M. Thornton
5:38.0,C. Miles misses 3-pt shot from 26 ft,,35-34,,
5:37.0,,,35-34,,Defensive rebound by J. Wall
5:24.0,,,35-36,2,M. Morris makes 2-pt shot from 2 ft (assist by J. Wall)
5:10.0,P. George makes 2-pt shot from 16 ft (assist by J. Teague),2,37-36,,
5:01.0,,,37-36,,Shooting foul by C. Miles (drawn by M. Gortat)
5:01.0,,,37-37,1,M. Gortat makes free throw 1 of 2
5:01.0,,,37-37,,M. Gortat misses free throw 2 of 2
5:00.0,Defensive rebound by M. Turner,,37-37,,
4:41.0,J. Teague misses 2-pt shot from 18 ft,,37-37,,
4:39.0,,,37-37,,Defensive rebound by M. Gortat
4:28.0,,,37-37,,B. Beal misses 3-pt shot from 24 ft
4:27.0,,,37-37,,Offensive rebound by M. Gortat
4:22.0,,,37-39,2,O. Porter makes 2-pt shot from 19 ft (assist by M. Gortat)
4:03.0,C. Miles makes 3-pt shot from 27 ft (assist by T. Young),3,40-39,,
3:47.0,,,40-39,,Shooting foul by P. George (drawn by O. Porter)
3:47.0,,,40-40,1,O. Porter makes free throw 1 of 2
3:47.0,,,40-41,1,O. Porter makes free throw 2 of 2
3:47.0,G. Robinson enters the game for P. George,,40-40,,
3:31.0,T. Young misses 3-pt shot from 26 ft,,40-41,,
3:28.0,,,40-41,,Defensive rebound by J. Wall
3:24.0,,,40-43,2,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall)
3:06.0,C. Miles misses 2-pt shot from 7 ft,,40-43,,
3:05.0,,,40-43,,Defensive rebound by M. Morris
2:57.0,Personal foul by M. Turner (drawn by M. Gortat),,40-43,,
2:57.0,Indiana full timeout,,40-43,,
2:57.0,,,40-44,1,M. Gortat makes free throw 1 of 2
2:57.0,,,40-45,1,M. Gortat makes free throw 2 of 2
2:47.0,Turnover by M. Turner (lost ball; steal by M. Gortat),,40-45,,
2:40.0,,,40-45,,Turnover by O. Porter (lost ball; steal by T. Young)
2:34.0,Shooting foul by M. Morris (drawn by M. Turner),,40-45,,
2:34.0,M. Turner makes free throw 1 of 2,1,41-45,,
2:34.0,M. Turner makes free throw 2 of 2,1,42-45,,
2:34.0,,,41-45,,J. Smith enters the game for M. Morris
2:23.0,,,42-48,3,J. Wall makes 3-pt shot from 24 ft (assist by M. Gortat)
2:11.0,Turnover by T. Young (bad pass; steal by B. Beal),,42-48,,
2:06.0,Personal block foul by J. Teague (drawn by O. Porter),,42-48,,
2:06.0,,,42-49,1,O. Porter makes free throw 1 of 2
2:06.0,,,42-50,1,O. Porter makes free throw 2 of 2
1:41.0,J. Teague makes 2-pt shot from 8 ft,2,44-50,,
1:33.0,,,44-50,,Shooting foul by J. Teague (drawn by J. Wall)
1:33.0,,,44-52,2,J. Wall makes 2-pt shot from 11 ft
1:33.0,,,44-53,1,J. Wall makes free throw 1 of 1
1:33.0,,,44-52,,T. Burke enters the game for O. Porter
1:18.0,J. Teague misses 2-pt shot from 9 ft (block by T. Burke),,44-53,,
1:16.0,Offensive rebound by J. Teague,,44-53,,
1:14.0,J. Teague makes 2-pt shot from 7 ft,2,46-53,,
0:55.0,,,46-53,,B. Beal misses 3-pt shot from 27 ft
0:54.0,,,46-53,,Offensive rebound by M. Gortat
0:53.0,,,46-55,2,M. Gortat makes 2-pt shot from 8 ft
0:53.0,,,46-55,,Shooting foul by C. Miles (drawn by M. Gortat)
0:53.0,Indiana full timeout,,46-55,,
0:53.0,,,46-55,,M. Gortat misses free throw 1 of 1
0:53.0,,,46-55,,Offensive rebound by J. Wall
0:53.0,A. Brooks enters the game for J. Teague,,46-55,,
