time,Toronto,pts.away,score,pts.home,Oklahoma City
6:27.0,D. DeRozan misses 2-pt shot from 3 ft,,4-14,,
6:26.0,,,4-14,,Defensive rebound by D. Sabonis
6:10.0,,,4-14,,V. Oladipo misses 3-pt shot from 24 ft
6:09.0,,,4-14,,Offensive rebound by S. Adams
6:07.0,P. Patterson enters the game for P. Siakam,,4-14,,
6:07.0,Jump ball: S. Adams vs. J. Poeltl (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. J. Poeltl (V. Oladipo gains possession)
5:56.0,,,4-16,2,A. Roberson makes 2-pt shot from 2 ft (assist by D. Sabonis)
5:38.0,D. DeRozan misses 2-pt shot from 1 ft,,4-16,,
5:37.0,,,4-16,,Defensive rebound by S. Adams
5:33.0,,,4-16,,Turnover by V. Oladipo (traveling)
5:33.0,,,4-16,,E. Kanter enters the game for D. Sabonis
5:33.0,,,4-16,,K. Singler enters the game for V. Oladipo
5:20.0,K. Lowry misses 2-pt shot from 18 ft,,4-16,,
5:20.0,,,4-16,,Defensive rebound by K. Singler
5:10.0,,,4-16,,R. Westbrook misses 2-pt shot from 10 ft
5:09.0,Defensive rebound by P. Patterson,,4-16,,
5:08.0,,,4-16,,Personal foul by A. Roberson (drawn by K. Lowry)
5:08.0,N. Powell enters the game for D. Carroll,,4-16,,
5:08.0,L. Nogueira enters the game for J. Poeltl,,4-16,,
5:08.0,,,4-16,,A. Abrines enters the game for A. Roberson
4:59.0,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry),2,6-16,,
4:48.0,,,6-16,,Shooting foul by N. Powell (drawn by R. Westbrook)
4:48.0,,,6-17,1,R. Westbrook makes free throw 1 of 2
4:48.0,,,6-18,1,R. Westbrook makes free throw 2 of 2
4:28.0,D. DeRozan makes 2-pt shot from 14 ft,2,8-18,,
4:13.0,,,8-18,,Turnover by A. Abrines (lost ball; steal by P. Patterson)
4:06.0,Turnover by K. Lowry (lost ball),,8-18,,
3:50.0,,,8-21,3,A. Abrines makes 3-pt shot from 25 ft (assist by K. Singler)
3:22.0,N. Powell makes 2-pt shot from 1 ft,2,10-21,,
3:08.0,,,10-23,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
2:44.0,K. Lowry makes 3-pt shot from 25 ft,3,13-23,,
2:28.0,,,13-23,,R. Westbrook misses 3-pt shot from 24 ft
2:27.0,Defensive rebound by L. Nogueira,,13-23,,
2:11.0,D. DeRozan makes 2-pt shot from 3 ft,2,15-23,,
2:04.0,,,15-23,,Oklahoma City full timeout
2:04.0,C. Joseph enters the game for K. Lowry,,15-23,,
2:04.0,,,15-23,,J. Lauvergne enters the game for S. Adams
2:04.0,,,15-23,,S. Christon enters the game for R. Westbrook
1:56.0,,,15-23,,K. Singler misses 3-pt shot from 25 ft
1:55.0,Defensive rebound by N. Powell,,15-23,,
1:49.0,P. Patterson misses 3-pt shot from 25 ft,,15-23,,
1:48.0,,,15-23,,Defensive rebound by S. Christon
1:37.0,,,15-25,2,E. Kanter makes 2-pt shot from 3 ft (assist by S. Christon)
1:19.0,D. DeRozan misses 2-pt shot from 14 ft,,15-25,,
1:18.0,,,15-25,,Defensive rebound by K. Singler
1:08.0,,,15-25,,J. Lauvergne misses 2-pt shot from 16 ft
1:08.0,,,15-25,,Offensive rebound by Team
1:08.0,Loose ball foul by P. Patterson (drawn by E. Kanter),,15-25,,
1:06.0,Personal foul by L. Nogueira (drawn by E. Kanter),,15-25,,
1:06.0,,,15-26,1,E. Kanter makes free throw 1 of 2
1:06.0,,,15-27,1,E. Kanter makes free throw 2 of 2
0:54.0,Shooting foul by J. Lauvergne (drawn by D. DeRozan),,15-27,,
0:54.0,D. DeRozan misses free throw 1 of 2,,15-27,,
0:54.0,Offensive rebound by Team,,15-27,,
0:54.0,D. DeRozan makes free throw 2 of 2,1,16-27,,
0:38.0,,,16-27,,Turnover by J. Lauvergne (bad pass)
0:33.0,C. Joseph makes 2-pt shot from 1 ft,2,18-27,,
0:18.0,,,18-27,,Turnover by E. Kanter (traveling)
0:18.0,,,18-27,,V. Oladipo enters the game for A. Abrines
0:02.0,D. DeRozan makes 2-pt shot from 16 ft,2,20-27,,
0:00.0,,,20-27,,S. Christon misses 3-pt shot from 59 ft
0:00.0,,,20-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry),2,22-27,,
11:20.0,,,22-27,,Turnover by E. Kanter (lost ball; steal by L. Nogueira)
11:11.0,Shooting foul by K. Singler (drawn by K. Lowry),,22-27,,
11:11.0,K. Lowry makes free throw 1 of 2,1,23-27,,
11:11.0,K. Lowry makes free throw 2 of 2,1,24-27,,
11:11.0,,,23-27,,A. Morrow enters the game for K. Singler
10:52.0,,,24-27,,Turnover by A. Morrow (bad pass; steal by C. Joseph)
10:47.0,N. Powell makes 2-pt shot at rim (assist by K. Lowry),2,26-27,,
10:47.0,,,26-27,,Oklahoma City full timeout
10:33.0,Def 3 sec tech foul by L. Nogueira,,26-27,,
10:33.0,,,26-28,1,V. Oladipo makes technical free throw
10:33.0,,,26-28,,D. Sabonis enters the game for J. Lauvergne
10:26.0,,,26-28,,Offensive foul by S. Christon
10:26.0,,,26-28,,Turnover by S. Christon (offensive foul)
10:12.0,C. Joseph makes 3-pt shot from 24 ft (assist by P. Patterson),3,29-28,,
9:51.0,,,29-28,,D. Sabonis misses 3-pt shot from 24 ft
9:51.0,,,29-28,,Offensive rebound by V. Oladipo
9:44.0,,,29-31,3,V. Oladipo makes 3-pt shot from 25 ft (assist by S. Christon)
9:27.0,N. Powell makes 2-pt shot at rim,2,31-31,,
9:27.0,Shooting foul by E. Kanter (drawn by N. Powell),,31-31,,
9:27.0,N. Powell misses free throw 1 of 1,,31-31,,
9:27.0,,,31-31,,R. Westbrook enters the game for S. Christon
9:27.0,,,31-31,,S. Adams enters the game for E. Kanter
9:27.0,J. Poeltl enters the game for L. Nogueira,,31-31,,
9:26.0,,,31-31,,Defensive rebound by R. Westbrook
9:09.0,,,31-31,,A. Morrow misses 3-pt shot from 25 ft
9:08.0,Defensive rebound by K. Lowry,,31-31,,
9:02.0,K. Lowry misses 3-pt shot from 25 ft,,31-31,,
9:01.0,,,31-31,,Defensive rebound by Team
9:01.0,Loose ball foul by J. Poeltl (drawn by S. Adams),,31-31,,
8:52.0,,,31-31,,Shooting foul by N. Powell (drawn by R. Westbrook)
8:52.0,,,31-32,1,R. Westbrook makes free throw 1 of 2
8:52.0,,,31-33,1,R. Westbrook makes free throw 2 of 2
8:37.0,P. Patterson misses 3-pt shot from 23 ft,,31-33,,
8:37.0,Offensive rebound by Team,,31-33,,
8:37.0,,,31-33,,Loose ball foul by S. Adams (drawn by J. Poeltl)
8:24.0,Turnover by K. Lowry (bad pass; steal by R. Westbrook),,31-33,,
8:21.0,Personal foul by C. Joseph (drawn by R. Westbrook),,31-33,,
8:09.0,,,31-35,2,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook)
7:56.0,N. Powell misses 3-pt shot from 23 ft,,31-35,,
7:55.0,,,31-35,,Defensive rebound by A. Morrow
7:49.0,,,31-37,2,A. Morrow makes 2-pt shot from 15 ft (assist by V. Oladipo)
7:39.0,Toronto full timeout,,31-37,,
7:39.0,D. DeRozan enters the game for P. Patterson,,31-37,,
7:39.0,D. Carroll enters the game for C. Joseph,,31-37,,
7:32.0,N. Powell makes 2-pt shot from 1 ft,2,33-37,,
7:21.0,Shooting block foul by D. DeRozan (drawn by S. Adams),,33-37,,
7:21.0,,,33-38,1,S. Adams makes free throw 1 of 2
7:21.0,,,33-39,1,S. Adams makes free throw 2 of 2
7:04.0,J. Poeltl makes 2-pt shot at rim (assist by K. Lowry),2,35-39,,
6:51.0,,,35-39,,S. Adams misses 2-pt shot from 3 ft
6:50.0,,,35-39,,Offensive rebound by R. Westbrook
6:50.0,,,35-41,2,R. Westbrook makes 2-pt shot from 1 ft
6:27.0,N. Powell misses 2-pt shot from 1 ft (block by S. Adams),,35-41,,
6:26.0,,,35-41,,Defensive rebound by S. Adams
6:22.0,,,35-41,,Shooting foul by D. Carroll (drawn by R. Westbrook)
6:22.0,,,35-42,1,R. Westbrook makes free throw 1 of 2
6:22.0,,,35-43,1,R. Westbrook makes free throw 2 of 2
6:22.0,,,35-42,,J. Grant enters the game for A. Morrow
6:11.0,Shooting foul by S. Adams (drawn by D. DeRozan),,35-43,,
6:11.0,D. DeRozan misses free throw 1 of 2,,35-43,,
6:11.0,Offensive rebound by Team,,35-43,,
6:11.0,D. DeRozan makes free throw 2 of 2,1,36-43,,
5:58.0,,,36-45,2,R. Westbrook makes 2-pt shot from 12 ft
5:47.0,Shooting foul by J. Grant (drawn by D. DeRozan),,36-45,,
5:47.0,D. DeRozan misses free throw 1 of 2,,36-45,,
5:47.0,Offensive rebound by Team,,36-45,,
5:47.0,D. DeRozan makes free throw 2 of 2,1,37-45,,
5:47.0,P. Patterson enters the game for N. Powell,,36-45,,
5:33.0,,,37-45,,V. Oladipo misses 2-pt shot from 4 ft
5:33.0,Defensive rebound by K. Lowry,,37-45,,
5:25.0,D. DeRozan makes 2-pt shot from 6 ft,2,39-45,,
5:13.0,,,39-45,,Shooting foul by K. Lowry (drawn by R. Westbrook)
5:13.0,,,39-46,1,R. Westbrook makes free throw 1 of 2
5:13.0,,,39-46,,R. Westbrook misses free throw 2 of 2
5:13.0,,,39-46,,A. Roberson enters the game for V. Oladipo
5:12.0,Defensive rebound by P. Patterson,,39-46,,
4:54.0,J. Poeltl misses 2-pt shot from 2 ft (block by R. Westbrook),,39-46,,
4:53.0,,,39-46,,Defensive rebound by R. Westbrook
4:48.0,,,39-46,,Turnover by R. Westbrook (bad pass; steal by P. Patterson)
4:44.0,Shooting foul by D. Sabonis (drawn by D. DeRozan),,39-46,,
4:44.0,D. DeRozan makes free throw 1 of 2,1,40-46,,
4:44.0,D. DeRozan makes free throw 2 of 2,1,41-46,,
4:44.0,L. Nogueira enters the game for J. Poeltl,,40-46,,
4:26.0,,,41-46,,R. Westbrook misses 3-pt shot from 25 ft
4:26.0,Defensive rebound by K. Lowry,,41-46,,
4:20.0,K. Lowry misses 2-pt shot from 2 ft (block by A. Roberson),,41-46,,
4:20.0,,,41-46,,Defensive rebound by S. Adams
4:14.0,,,41-46,,R. Westbrook misses 2-pt shot from 4 ft
4:14.0,Defensive rebound by D. Carroll,,41-46,,
3:56.0,D. Carroll makes 3-pt shot from 25 ft (assist by K. Lowry),3,44-46,,
3:48.0,,,44-46,,Oklahoma City full timeout
3:48.0,,,44-46,,V. Oladipo enters the game for J. Grant
3:40.0,,,44-46,,A. Roberson misses 3-pt shot from 23 ft
3:39.0,Defensive rebound by D. Carroll,,44-46,,
3:34.0,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry),2,46-46,,
3:10.0,,,46-46,,R. Westbrook misses 2-pt shot from 10 ft
3:09.0,Defensive rebound by D. DeRozan,,46-46,,
3:01.0,D. DeRozan misses 2-pt shot from 11 ft,,46-46,,
3:00.0,,,46-46,,Defensive rebound by V. Oladipo
2:54.0,,,46-49,3,V. Oladipo makes 3-pt shot from 26 ft
2:30.0,D. Carroll misses 2-pt shot from 4 ft,,46-49,,
2:29.0,Offensive rebound by L. Nogueira,,46-49,,
2:26.0,D. Carroll makes 2-pt shot from 1 ft (assist by L. Nogueira),2,48-49,,
2:13.0,,,48-49,,Turnover by R. Westbrook (lost ball; steal by L. Nogueira)
2:07.0,P. Patterson makes 3-pt shot from 25 ft (assist by K. Lowry),3,51-49,,
1:49.0,,,51-49,,R. Westbrook misses 2-pt shot from 2 ft
1:48.0,Defensive rebound by L. Nogueira,,51-49,,
1:42.0,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry),2,53-49,,
1:42.0,,,53-49,,Oklahoma City full timeout
1:42.0,,,53-49,,Technical foul by Team
1:42.0,D. DeRozan makes technical free throw,1,54-49,,
1:42.0,C. Joseph enters the game for K. Lowry,,53-49,,
1:19.0,,,54-52,3,R. Westbrook makes 3-pt shot from 25 ft
1:00.0,D. DeRozan makes 2-pt shot from 14 ft,2,56-52,,
0:50.0,,,56-52,,R. Westbrook misses 2-pt shot from 1 ft
0:50.0,Defensive rebound by L. Nogueira,,56-52,,
0:43.0,D. Carroll makes 3-pt shot from 24 ft (assist by D. DeRozan),3,59-52,,
0:29.0,,,59-55,3,R. Westbrook makes 3-pt shot from 25 ft
0:05.0,P. Patterson makes 3-pt shot from 25 ft (assist by C. Joseph),3,62-55,,
0:01.0,,,62-55,,Turnover by R. Westbrook (lost ball; steal by D. DeRozan)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,D. DeRozan misses 3-pt shot from 25 ft,,62-55,,
11:39.0,,,62-55,,Defensive rebound by V. Oladipo
11:21.0,,,62-55,,R. Westbrook misses 3-pt shot from 25 ft
11:20.0,Defensive rebound by L. Nogueira,,62-55,,
11:15.0,,,62-55,,Personal foul by R. Westbrook (drawn by P. Siakam)
11:04.0,K. Lowry misses 3-pt shot from 25 ft,,62-55,,
11:01.0,,,62-55,,Defensive rebound by A. Roberson
10:53.0,,,62-57,2,V. Oladipo makes 2-pt shot from 1 ft
10:40.0,Toronto full timeout,,62-57,,
10:27.0,L. Nogueira makes 2-pt shot at rim (assist by D. DeRozan),2,64-57,,
10:09.0,,,64-57,,Turnover by S. Adams (3 sec)
9:51.0,D. DeRozan makes 2-pt shot from 7 ft,2,66-57,,
9:30.0,Violation by L. Nogueira (def goaltending),,66-57,,
9:30.0,,,66-59,2,D. Sabonis makes 2-pt shot from 4 ft
9:19.0,Turnover by K. Lowry (bad pass; steal by V. Oladipo),,66-59,,
9:11.0,,,66-59,,D. Sabonis misses 3-pt shot from 25 ft
9:11.0,,,66-59,,Offensive rebound by S. Adams
9:04.0,,,66-59,,Turnover by A. Roberson (lost ball; steal by D. DeRozan)
8:58.0,D. Carroll misses 3-pt shot from 26 ft,,66-59,,
8:57.0,,,66-59,,Defensive rebound by S. Adams
8:50.0,,,66-59,,V. Oladipo misses 3-pt shot from 26 ft
8:49.0,Defensive rebound by P. Siakam,,66-59,,
8:42.0,D. Carroll makes 2-pt shot at rim (assist by K. Lowry),2,68-59,,
8:33.0,Personal block foul by L. Nogueira (drawn by R. Westbrook),,68-59,,
8:25.0,Violation by P. Siakam (kicked ball),,68-59,,
8:11.0,,,68-59,,V. Oladipo misses 2-pt shot from 13 ft
8:11.0,,,68-59,,Offensive rebound by Team
8:11.0,,,68-59,,Turnover by Team (shot clock)
7:57.0,P. Siakam makes 2-pt shot from 9 ft (assist by K. Lowry),2,70-59,,
7:57.0,,,70-59,,Oklahoma City full timeout
7:44.0,,,70-59,,V. Oladipo misses 3-pt shot from 25 ft
7:43.0,,,70-59,,Offensive rebound by S. Adams
7:29.0,,,70-59,,Shooting foul by L. Nogueira (drawn by R. Westbrook)
7:29.0,,,70-60,1,R. Westbrook makes free throw 1 of 2
7:29.0,,,70-61,1,R. Westbrook makes free throw 2 of 2
7:14.0,Turnover by D. DeRozan (lost ball; steal by S. Adams),,70-61,,
7:10.0,,,70-61,,A. Roberson misses 2-pt shot at rim
7:09.0,,,70-61,,Offensive rebound by V. Oladipo
7:06.0,,,70-61,,V. Oladipo misses 2-pt shot from 2 ft (block by P. Siakam)
7:05.0,Defensive rebound by P. Siakam,,70-61,,
6:59.0,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan),3,73-61,,
6:37.0,,,73-61,,Oklahoma City full timeout
6:34.0,,,73-61,,Shooting foul by P. Siakam (drawn by R. Westbrook)
6:34.0,,,73-62,1,R. Westbrook makes free throw 1 of 2
6:34.0,,,73-63,1,R. Westbrook makes free throw 2 of 2
6:16.0,D. DeRozan misses 2-pt shot from 15 ft,,73-63,,
6:16.0,,,73-63,,Defensive rebound by R. Westbrook
6:11.0,,,73-63,,R. Westbrook misses 2-pt shot from 1 ft (block by P. Siakam)
6:10.0,Defensive rebound by D. DeRozan,,73-63,,
5:58.0,P. Siakam makes 2-pt shot at rim (assist by K. Lowry),2,75-63,,
5:35.0,,,75-63,,A. Roberson misses 2-pt shot at rim (block by L. Nogueira)
5:34.0,Defensive rebound by P. Siakam,,75-63,,
5:21.0,K. Lowry misses 2-pt shot from 15 ft,,75-63,,
5:20.0,,,75-63,,Defensive rebound by S. Adams
5:11.0,,,75-63,,A. Roberson misses 2-pt shot at rim
5:10.0,,,75-63,,Offensive rebound by S. Adams
5:10.0,Personal foul by K. Lowry (drawn by S. Adams),,75-63,,
5:10.0,,,75-63,,A. Morrow enters the game for A. Roberson
5:10.0,,,75-63,,J. Grant enters the game for V. Oladipo
5:10.0,P. Patterson enters the game for P. Siakam,,75-63,,
5:10.0,J. Poeltl enters the game for L. Nogueira,,75-63,,
5:02.0,,,75-63,,R. Westbrook misses 3-pt shot from 25 ft
5:01.0,,,75-63,,Offensive rebound by Team
4:58.0,,,75-63,,A. Morrow misses 3-pt shot from 22 ft
4:56.0,,,75-63,,Offensive rebound by S. Adams
4:50.0,Personal foul by P. Patterson (drawn by S. Adams),,75-63,,
4:50.0,,,75-64,1,S. Adams makes free throw 1 of 2
4:50.0,,,75-65,1,S. Adams makes free throw 2 of 2
4:50.0,N. Powell enters the game for D. Carroll,,75-64,,
4:31.0,P. Patterson misses 2-pt shot from 15 ft,,75-65,,
4:30.0,,,75-65,,Defensive rebound by S. Adams
4:21.0,,,75-65,,Turnover by R. Westbrook (lost ball; steal by N. Powell)
4:16.0,N. Powell misses 2-pt shot from 1 ft,,75-65,,
4:15.0,,,75-65,,Defensive rebound by J. Grant
3:58.0,,,75-65,,S. Adams misses 2-pt shot from 1 ft
3:57.0,Defensive rebound by K. Lowry,,75-65,,
3:51.0,K. Lowry makes 3-pt shot from 25 ft,3,78-65,,
3:31.0,,,78-67,2,J. Grant makes 2-pt shot from 1 ft (assist by S. Adams)
3:08.0,P. Patterson misses 3-pt shot from 24 ft,,78-67,,
3:08.0,Offensive rebound by K. Lowry,,78-67,,
3:01.0,K. Lowry makes 3-pt shot from 25 ft (assist by P. Patterson),3,81-67,,
2:37.0,,,81-70,3,R. Westbrook makes 3-pt shot from 26 ft (assist by D. Sabonis)
2:15.0,P. Patterson makes 3-pt shot from 23 ft (assist by D. DeRozan),3,84-70,,
1:54.0,,,84-73,3,J. Grant makes 3-pt shot from 23 ft (assist by R. Westbrook)
1:43.0,P. Patterson misses 3-pt shot from 24 ft,,84-73,,
1:42.0,,,84-73,,Defensive rebound by J. Grant
1:33.0,,,84-73,,R. Westbrook misses 3-pt shot from 25 ft
1:32.0,Defensive rebound by N. Powell,,84-73,,
1:28.0,C. Joseph enters the game for K. Lowry,,84-73,,
1:28.0,,,84-73,,S. Christon enters the game for D. Sabonis
1:28.0,,,84-73,,E. Kanter enters the game for S. Adams
1:28.0,,,84-73,,J. Lauvergne enters the game for R. Westbrook
1:14.0,P. Patterson makes 2-pt shot from 17 ft (assist by D. DeRozan),2,86-73,,
1:01.0,,,86-73,,Offensive foul by E. Kanter
1:01.0,,,86-73,,Turnover by E. Kanter (offensive foul)
0:51.0,D. DeRozan misses 3-pt shot from 23 ft,,86-73,,
0:50.0,Offensive rebound by J. Poeltl,,86-73,,
0:45.0,,,86-73,,V. Oladipo enters the game for A. Morrow
0:36.0,D. DeRozan misses 2-pt shot from 2 ft (block by J. Grant),,86-73,,
0:36.0,,,86-73,,Defensive rebound by Team
0:22.0,,,86-73,,Shooting foul by J. Poeltl (drawn by J. Grant)
0:22.0,,,86-74,1,J. Grant makes free throw 1 of 2
0:22.0,,,86-75,1,J. Grant makes free throw 2 of 2
0:14.0,,,86-75,,Personal foul by S. Christon (drawn by C. Joseph)
0:00.0,D. DeRozan makes 2-pt shot from 19 ft,2,88-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,88-75,,Turnover by J. Grant (lost ball)
11:34.0,Turnover by J. Poeltl (lost ball),,88-75,,
11:14.0,,,88-77,2,E. Kanter makes 2-pt shot from 5 ft
10:55.0,K. Lowry misses 3-pt shot from 25 ft,,88-77,,
10:54.0,,,88-77,,Defensive rebound by V. Oladipo
10:37.0,,,88-77,,V. Oladipo misses 2-pt shot from 1 ft (block by K. Lowry)
10:36.0,Defensive rebound by P. Patterson,,88-77,,
10:34.0,Shooting foul by J. Grant (drawn by N. Powell),,88-77,,
10:34.0,N. Powell misses free throw 1 of 2,,88-77,,
10:34.0,Offensive rebound by Team,,88-77,,
10:34.0,N. Powell makes free throw 2 of 2,1,89-77,,
10:25.0,Personal foul by J. Poeltl (drawn by E. Kanter),,89-77,,
10:25.0,,,89-77,,R. Westbrook enters the game for J. Grant
10:17.0,,,89-80,3,V. Oladipo makes 3-pt shot from 25 ft (assist by R. Westbrook)
9:56.0,J. Poeltl misses 2-pt shot from 2 ft,,89-80,,
9:55.0,,,89-80,,Defensive rebound by S. Christon
9:43.0,,,89-80,,R. Westbrook misses 2-pt shot from 2 ft (block by J. Poeltl)
9:43.0,,,89-80,,Offensive rebound by R. Westbrook
9:43.0,,,89-80,,Oklahoma City full timeout
9:43.0,L. Nogueira enters the game for J. Poeltl,,89-80,,
9:32.0,,,89-80,,V. Oladipo misses 2-pt shot from 3 ft
9:32.0,,,89-80,,Offensive rebound by V. Oladipo
9:32.0,,,89-80,,Turnover by Team (shot clock)
9:22.0,C. Joseph misses 2-pt shot from 2 ft (block by R. Westbrook),,89-80,,
9:21.0,Offensive rebound by Team,,89-80,,
9:07.0,K. Lowry misses 2-pt shot from 18 ft,,89-80,,
9:06.0,,,89-80,,Defensive rebound by S. Christon
8:58.0,Personal foul by L. Nogueira (drawn by E. Kanter),,89-80,,
8:51.0,,,89-82,2,E. Kanter makes 2-pt shot from 2 ft (assist by R. Westbrook)
8:26.0,Turnover by Team (shot clock),,89-82,,
8:13.0,,,89-84,2,R. Westbrook makes 2-pt shot from 1 ft
8:06.0,Toronto full timeout,,89-84,,
8:06.0,D. DeRozan enters the game for C. Joseph,,89-84,,
7:58.0,D. DeRozan makes 2-pt shot from 21 ft (assist by P. Patterson),2,91-84,,
7:45.0,Personal foul by N. Powell (drawn by R. Westbrook),,91-84,,
7:36.0,,,91-84,,R. Westbrook misses 2-pt shot from 8 ft (block by L. Nogueira)
7:36.0,Defensive rebound by Team,,91-84,,
7:36.0,,,91-84,,Loose ball foul by E. Kanter (drawn by P. Patterson)
7:20.0,K. Lowry misses 2-pt shot from 1 ft,,91-84,,
7:18.0,Offensive rebound by L. Nogueira,,91-84,,
7:18.0,L. Nogueira makes 2-pt shot from 2 ft,2,93-84,,
7:04.0,,,93-86,2,R. Westbrook makes 2-pt shot from 1 ft
6:43.0,K. Lowry misses 3-pt shot from 23 ft,,93-86,,
6:42.0,,,93-86,,Defensive rebound by R. Westbrook
6:33.0,,,93-86,,J. Lauvergne misses 3-pt shot from 25 ft
6:31.0,Defensive rebound by K. Lowry,,93-86,,
6:26.0,Shooting foul by J. Lauvergne (drawn by D. DeRozan),,93-86,,
6:26.0,D. DeRozan makes free throw 1 of 2,1,94-86,,
6:26.0,D. DeRozan makes free throw 2 of 2,1,95-86,,
6:26.0,,,94-86,,S. Adams enters the game for J. Lauvergne
6:26.0,C. Joseph enters the game for N. Powell,,94-86,,
6:18.0,,,95-89,3,V. Oladipo makes 3-pt shot from 23 ft (assist by R. Westbrook)
5:54.0,C. Joseph misses 2-pt shot from 2 ft,,95-89,,
5:54.0,Offensive rebound by Team,,95-89,,
5:50.0,P. Patterson makes 2-pt shot from 21 ft (assist by C. Joseph),2,97-89,,
5:37.0,,,97-89,,Shooting foul by P. Patterson (drawn by R. Westbrook)
5:37.0,,,97-90,1,R. Westbrook makes free throw 1 of 2
5:37.0,,,97-91,1,R. Westbrook makes free throw 2 of 2
5:25.0,Shooting foul by V. Oladipo (drawn by D. DeRozan),,97-91,,
5:25.0,D. DeRozan makes free throw 1 of 2,1,98-91,,
5:25.0,D. DeRozan makes free throw 2 of 2,1,99-91,,
5:19.0,,,99-93,2,R. Westbrook makes 2-pt shot from 1 ft
5:04.0,P. Patterson misses 3-pt shot from 24 ft,,99-93,,
5:04.0,,,99-93,,Defensive rebound by V. Oladipo
4:50.0,Personal block foul by L. Nogueira (drawn by R. Westbrook),,99-93,,
4:50.0,,,99-93,,R. Westbrook misses free throw 1 of 2
4:50.0,,,99-93,,Offensive rebound by Team
4:50.0,,,99-93,,R. Westbrook misses free throw 2 of 2
4:49.0,,,99-93,,Offensive rebound by S. Adams
4:48.0,,,99-93,,Shooting foul by D. DeRozan (drawn by S. Adams)
4:48.0,,,99-93,,Technical foul by S. Adams
4:48.0,Technical foul by D. DeRozan (drawn by S. Adams),,99-93,,
4:48.0,,,99-94,1,S. Adams makes free throw 1 of 2
4:48.0,,,99-95,1,S. Adams makes free throw 2 of 2
