time,Sacramento,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. M. Plumlee (T. Lawson gains possession),,,,Jump ball: K. Koufos vs. M. Plumlee (T. Lawson gains possession)
11:46.0,A. Afflalo misses 3-pt shot from 24 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by M. Plumlee
11:28.0,,,0-3,3,W. Chandler makes 3-pt shot from 23 ft (assist by M. Plumlee)
11:07.0,W. Cauley-Stein misses 2-pt shot from 16 ft,,0-3,,
11:07.0,,,0-3,,Defensive rebound by G. Harris
10:50.0,,,0-6,3,D. Gallinari makes 3-pt shot from 25 ft (assist by W. Chandler)
10:32.0,D. Collison misses 2-pt shot from 5 ft,,0-6,,
10:31.0,,,0-6,,Defensive rebound by M. Plumlee
10:30.0,,,0-6,,Turnover by M. Plumlee (lost ball)
10:21.0,W. Cauley-Stein misses 2-pt shot at rim (block by M. Plumlee),,0-6,,
10:20.0,Offensive rebound by Team,,0-6,,
10:09.0,K. Koufos makes 2-pt shot from 6 ft (assist by D. Collison),2,2-6,,
9:46.0,,,2-6,,J. Nelson misses 2-pt shot from 10 ft
9:45.0,Defensive rebound by K. Koufos,,2-6,,
9:35.0,D. Collison misses 2-pt shot from 16 ft,,2-6,,
9:34.0,,,2-6,,Defensive rebound by M. Plumlee
9:28.0,,,2-8,2,G. Harris makes 2-pt shot from 1 ft (assist by M. Plumlee)
9:13.0,T. Lawson misses 3-pt shot from 25 ft,,2-8,,
9:13.0,Offensive rebound by K. Koufos,,2-8,,
9:08.0,D. Collison makes 3-pt shot from 27 ft (assist by A. Afflalo),3,5-8,,
8:56.0,,,5-10,2,J. Nelson makes 2-pt shot from 16 ft
8:42.0,T. Lawson makes 3-pt shot from 27 ft (assist by D. Collison),3,8-10,,
8:33.0,,,8-10,,G. Harris misses 3-pt shot from 26 ft
8:31.0,Defensive rebound by W. Cauley-Stein,,8-10,,
8:15.0,K. Koufos misses 2-pt shot from 14 ft,,8-10,,
8:13.0,,,8-10,,Defensive rebound by W. Chandler
8:05.0,,,8-10,,Turnover by W. Chandler (lost ball; steal by T. Lawson)
7:59.0,W. Cauley-Stein makes 2-pt shot at rim (assist by T. Lawson),2,10-10,,
7:44.0,,,10-10,,Shooting foul by W. Cauley-Stein (drawn by D. Gallinari)
7:44.0,,,10-11,1,D. Gallinari makes free throw 1 of 2
7:44.0,,,10-12,1,D. Gallinari makes free throw 2 of 2
7:44.0,A. Tolliver enters the game for W. Cauley-Stein,,10-11,,
7:20.0,D. Collison makes 2-pt shot from 17 ft,2,12-12,,
7:03.0,,,12-12,,M. Plumlee misses 2-pt shot from 2 ft (block by K. Koufos)
7:03.0,Defensive rebound by A. Tolliver,,12-12,,
6:41.0,A. Afflalo misses 2-pt shot from 3 ft,,12-12,,
6:40.0,,,12-12,,Defensive rebound by D. Gallinari
6:31.0,,,12-15,3,W. Chandler makes 3-pt shot from 25 ft
6:07.0,K. Koufos makes 2-pt shot from 4 ft (assist by D. Collison),2,14-15,,
5:53.0,,,14-15,,Shooting foul by K. Koufos (drawn by W. Chandler)
5:53.0,,,14-17,2,W. Chandler makes 2-pt shot from 15 ft (assist by G. Harris)
5:53.0,,,14-17,,Denver full timeout
5:53.0,,,14-18,1,W. Chandler makes free throw 1 of 1
5:53.0,,,14-17,,W. Barton enters the game for G. Harris
5:53.0,B. McLemore enters the game for T. Lawson,,14-17,,
5:35.0,,,14-18,,Personal foul by M. Plumlee (drawn by D. Collison)
5:20.0,A. Afflalo misses 2-pt shot from 22 ft,,14-18,,
5:19.0,,,14-18,,Defensive rebound by W. Barton
4:59.0,,,14-20,2,W. Chandler makes 2-pt shot from 2 ft (assist by M. Plumlee)
4:39.0,A. Tolliver misses 3-pt shot from 26 ft,,14-20,,
4:37.0,Offensive rebound by K. Koufos,,14-20,,
4:31.0,K. Koufos misses 2-pt shot from 1 ft,,14-20,,
4:29.0,,,14-20,,Defensive rebound by D. Gallinari
4:22.0,,,14-20,,W. Chandler misses 3-pt shot from 25 ft
4:21.0,Defensive rebound by B. McLemore,,14-20,,
4:05.0,K. Koufos makes 2-pt shot from 5 ft (assist by A. Tolliver),2,16-20,,
3:53.0,,,16-20,,M. Plumlee misses 2-pt shot from 4 ft
3:52.0,Defensive rebound by K. Koufos,,16-20,,
3:49.0,,,16-20,,Personal foul by W. Barton (drawn by B. McLemore)
3:49.0,,,16-20,,D. Arthur enters the game for M. Plumlee
3:49.0,T. Evans enters the game for K. Koufos,,16-20,,
3:49.0,S. Labissiere enters the game for A. Afflalo,,16-20,,
3:49.0,,,16-20,,J. Murray enters the game for J. Nelson
3:34.0,Turnover by B. McLemore (lost ball; steal by D. Arthur),,16-20,,
3:21.0,,,16-20,,W. Barton misses 2-pt shot from 6 ft
3:21.0,Defensive rebound by T. Evans,,16-20,,
3:11.0,T. Evans makes 2-pt shot from 1 ft,2,18-20,,
2:58.0,,,18-22,2,W. Chandler makes 2-pt shot from 2 ft (assist by D. Arthur)
2:34.0,B. McLemore makes 2-pt shot from 18 ft (assist by D. Collison),2,20-22,,
2:15.0,,,20-22,,D. Arthur misses 2-pt shot from 21 ft
2:13.0,Defensive rebound by S. Labissiere,,20-22,,
2:08.0,Shooting foul by D. Arthur (drawn by D. Collison),,20-22,,
2:08.0,Sacramento full timeout,,20-22,,
2:08.0,D. Collison makes free throw 1 of 2,1,21-22,,
2:08.0,D. Collison makes free throw 2 of 2,1,22-22,,
2:08.0,,,20-22,,G. Harris enters the game for D. Gallinari
1:46.0,,,22-22,,G. Harris misses 2-pt shot from 5 ft
1:45.0,,,22-22,,Offensive rebound by Team
1:45.0,T. Lawson enters the game for D. Collison,,22-22,,
1:44.0,,,22-22,,Turnover by Team (bad pass)
1:23.0,T. Evans misses 2-pt shot from 3 ft,,22-22,,
1:22.0,,,22-22,,Defensive rebound by D. Arthur
1:05.0,,,22-22,,W. Barton misses 3-pt shot from 25 ft
1:03.0,Defensive rebound by A. Tolliver,,22-22,,
0:55.0,A. Tolliver misses 2-pt shot from 2 ft,,22-22,,
0:54.0,Offensive rebound by A. Tolliver,,22-22,,
0:54.0,Turnover by A. Tolliver (offensive goaltending),,22-22,,
0:54.0,W. Cauley-Stein enters the game for A. Tolliver,,22-22,,
0:39.0,,,22-25,3,W. Chandler makes 3-pt shot from 27 ft (assist by W. Barton)
0:32.0,,,22-25,,Violation by W. Chandler (kicked ball)
0:22.0,S. Labissiere makes 2-pt shot from 16 ft (assist by T. Evans),2,24-25,,
0:05.0,,,24-25,,J. Murray misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by B. McLemore,,24-25,,
0:01.0,B. McLemore misses 3-pt shot from 44 ft,,24-25,,
0:00.0,Offensive rebound by Team,,24-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,24-25,,J. Hernangomez misses 3-pt shot from 25 ft
11:41.0,Defensive rebound by T. Evans,,24-25,,
11:33.0,,,24-25,,Personal foul by J. Murray (drawn by T. Lawson)
11:24.0,Turnover by T. Evans (bad pass),,24-25,,
11:15.0,,,24-27,2,D. Gallinari makes 2-pt shot from 16 ft
11:15.0,,,24-27,,Shooting foul by W. Cauley-Stein (drawn by D. Gallinari)
11:15.0,,,24-28,1,D. Gallinari makes free throw 1 of 1
11:15.0,B. Hield enters the game for B. McLemore,,24-27,,
10:48.0,S. Labissiere makes 2-pt shot from 17 ft,2,26-28,,
10:28.0,,,26-28,,Turnover by W. Barton (bad pass; steal by W. Cauley-Stein)
10:23.0,Shooting foul by W. Barton (drawn by B. Hield),,26-28,,
10:23.0,B. Hield misses free throw 1 of 3,,26-28,,
10:23.0,Offensive rebound by Team,,26-28,,
10:23.0,B. Hield makes free throw 2 of 3,1,27-28,,
10:23.0,B. Hield makes free throw 3 of 3,1,28-28,,
10:07.0,,,28-31,3,D. Arthur makes 3-pt shot from 26 ft (assist by W. Barton)
9:43.0,T. Lawson misses 2-pt shot from 16 ft,,28-31,,
9:43.0,,,28-31,,Defensive rebound by Team
9:28.0,,,28-31,,Turnover by J. Murray (bad pass)
9:17.0,,,28-31,,Personal foul by W. Barton (drawn by T. Evans)
9:17.0,,,28-31,,W. Chandler enters the game for W. Barton
9:16.0,,,28-31,,Personal foul by W. Chandler (drawn by T. Evans)
9:09.0,W. Cauley-Stein makes 2-pt shot at rim (assist by T. Evans),2,30-31,,
8:50.0,,,30-33,2,W. Chandler makes 2-pt shot from 2 ft (assist by D. Gallinari)
8:39.0,Turnover by S. Labissiere (traveling),,30-33,,
8:39.0,Official timeout,,30-33,,
8:27.0,,,30-36,3,D. Gallinari makes 3-pt shot from 25 ft (assist by W. Chandler)
8:00.0,T. Evans misses 2-pt shot from 5 ft,,30-36,,
8:00.0,,,30-36,,Defensive rebound by W. Chandler
7:51.0,,,30-38,2,D. Arthur makes 2-pt shot from 2 ft (assist by J. Murray)
7:33.0,B. Hield makes 2-pt shot from 13 ft,2,32-38,,
7:26.0,,,32-38,,Shooting foul by W. Cauley-Stein (drawn by D. Arthur)
7:26.0,,,32-39,1,D. Arthur makes free throw 1 of 2
7:26.0,,,32-40,1,D. Arthur makes free throw 2 of 2
7:26.0,A. Afflalo enters the game for T. Evans,,32-39,,
7:26.0,A. Tolliver enters the game for W. Cauley-Stein,,32-39,,
7:07.0,Turnover by B. Hield (bad pass; steal by J. Hernangomez),,32-40,,
6:59.0,,,32-40,,D. Arthur misses 2-pt shot from 13 ft
6:59.0,Defensive rebound by Team,,32-40,,
6:59.0,,,32-40,,M. Plumlee enters the game for D. Arthur
6:44.0,S. Labissiere misses 2-pt shot at rim,,32-40,,
6:44.0,Offensive rebound by T. Lawson,,32-40,,
6:44.0,,,32-40,,Personal foul by D. Gallinari (drawn by T. Lawson)
6:44.0,T. Lawson makes free throw 1 of 2,1,33-40,,
6:44.0,T. Lawson makes free throw 2 of 2,1,34-40,,
6:44.0,,,33-40,,G. Harris enters the game for D. Gallinari
6:30.0,,,34-42,2,G. Harris makes 2-pt shot from 1 ft (assist by J. Murray)
6:05.0,B. Hield makes 2-pt shot from 15 ft,2,36-42,,
5:54.0,Personal foul by S. Labissiere (drawn by M. Plumlee),,36-42,,
5:54.0,,,36-42,,Denver full timeout
5:54.0,,,36-42,,J. Nelson enters the game for J. Murray
5:54.0,K. Koufos enters the game for S. Labissiere,,36-42,,
5:45.0,,,36-42,,M. Plumlee misses 2-pt shot from 2 ft
5:44.0,,,36-42,,Offensive rebound by W. Chandler
5:44.0,,,36-42,,W. Chandler misses 2-pt shot from 2 ft
5:43.0,Defensive rebound by K. Koufos,,36-42,,
5:26.0,Turnover by K. Koufos (lost ball; steal by G. Harris),,36-42,,
5:26.0,Clear path foul by K. Koufos,,36-42,,
5:26.0,,,36-42,,J. Hernangomez misses clear path free throw 1 of 2
5:26.0,,,36-42,,Offensive rebound by Team
5:26.0,,,36-43,1,J. Hernangomez makes clear path free throw 2 of 2
5:10.0,,,36-43,,M. Plumlee misses 2-pt shot from 1 ft
5:08.0,,,36-43,,Offensive rebound by J. Hernangomez
5:08.0,,,36-45,2,J. Hernangomez makes 2-pt shot from 2 ft
4:59.0,T. Lawson misses 2-pt shot from 13 ft,,36-45,,
4:58.0,Offensive rebound by K. Koufos,,36-45,,
4:58.0,K. Koufos misses 2-pt shot from 1 ft (block by W. Chandler),,36-45,,
4:57.0,,,36-45,,Defensive rebound by M. Plumlee
4:49.0,,,36-48,3,G. Harris makes 3-pt shot from 26 ft (assist by M. Plumlee)
4:29.0,K. Koufos makes 2-pt shot at rim (assist by A. Tolliver),2,38-48,,
4:17.0,,,38-48,,Turnover by M. Plumlee (bad pass; steal by A. Afflalo)
4:09.0,B. Hield makes 3-pt shot from 25 ft (assist by T. Lawson),3,41-48,,
3:55.0,,,41-48,,W. Chandler misses 2-pt shot from 16 ft
3:54.0,Defensive rebound by T. Lawson,,41-48,,
3:54.0,,,41-48,,Personal foul by M. Plumlee (drawn by T. Lawson)
3:54.0,T. Lawson makes free throw 1 of 2,1,42-48,,
3:54.0,T. Lawson makes free throw 2 of 2,1,43-48,,
