time,Milwaukee,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Henson (J. Wall gains possession),,,,Jump ball: M. Gortat vs. J. Henson (J. Wall gains possession)
11:41.0,,,0-0,,Turnover by J. Wall (bad pass; steal by M. Dellavedova)
11:33.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova),2,2-0,,
11:17.0,,,2-0,,J. Wall misses 2-pt shot from 2 ft
11:16.0,Defensive rebound by G. Antetokounmpo,,2-0,,
11:06.0,T. Snell makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,5-0,,
10:53.0,,,5-0,,Turnover by O. Porter (bad pass; steal by M. Dellavedova)
10:46.0,J. Henson makes 2-pt shot from 3 ft (assist by M. Dellavedova),2,7-0,,
10:37.0,,,7-0,,Shooting foul by J. Henson (drawn by O. Porter)
10:37.0,,,7-0,,O. Porter misses free throw 1 of 2
10:37.0,,,7-0,,Offensive rebound by Team
10:37.0,,,7-1,1,O. Porter makes free throw 2 of 2
10:18.0,Turnover by G. Antetokounmpo (bad pass; steal by J. Wall),,7-1,,
10:12.0,,,7-1,,Turnover by J. Wall (bad pass; steal by T. Snell)
10:07.0,Turnover by T. Snell (lost ball; steal by B. Beal),,7-1,,
10:00.0,,,7-3,2,O. Porter makes 2-pt shot from 1 ft (assist by B. Beal)
9:34.0,T. Snell misses 2-pt shot from 16 ft,,7-3,,
9:32.0,,,7-3,,Defensive rebound by M. Morris
9:22.0,,,7-6,3,O. Porter makes 3-pt shot from 23 ft (assist by J. Wall)
9:06.0,J. Henson misses 2-pt shot from 8 ft,,7-6,,
9:05.0,,,7-6,,Defensive rebound by O. Porter
8:54.0,,,7-6,,B. Beal misses 3-pt shot from 26 ft
8:53.0,Defensive rebound by M. Dellavedova,,7-6,,
8:43.0,T. Snell makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,10-6,,
8:27.0,,,10-6,,O. Porter misses 2-pt shot from 14 ft
8:26.0,Defensive rebound by T. Snell,,10-6,,
8:05.0,G. Antetokounmpo makes 2-pt shot from 19 ft,2,12-6,,
7:56.0,,,12-9,3,M. Morris makes 3-pt shot from 24 ft (assist by J. Wall)
7:43.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,12-9,,
7:43.0,,,12-9,,Defensive rebound by M. Gortat
7:31.0,,,12-9,,M. Morris misses 2-pt shot from 15 ft
7:29.0,Defensive rebound by J. Parker,,12-9,,
7:17.0,J. Henson makes 2-pt shot from 8 ft,2,14-9,,
7:07.0,M. Brogdon enters the game for J. Henson,,14-9,,
7:07.0,G. Monroe enters the game for M. Dellavedova,,14-9,,
6:58.0,,,14-11,2,M. Morris makes 2-pt shot from 2 ft (assist by B. Beal)
6:40.0,Turnover by J. Parker (bad pass; steal by M. Morris),,14-11,,
6:35.0,,,14-11,,J. Wall misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
6:35.0,,,14-11,,Offensive rebound by Team
6:31.0,,,14-11,,B. Beal misses 2-pt shot from 19 ft
6:29.0,Defensive rebound by G. Monroe,,14-11,,
6:15.0,J. Parker misses 3-pt shot from 24 ft,,14-11,,
6:14.0,,,14-11,,Defensive rebound by M. Gortat
6:03.0,,,14-13,2,M. Morris makes 2-pt shot at rim (assist by M. Gortat)
5:42.0,G. Antetokounmpo misses 2-pt shot from 17 ft,,14-13,,
5:41.0,,,14-13,,Defensive rebound by M. Gortat
5:36.0,,,14-13,,Washington full timeout
5:36.0,M. Beasley enters the game for G. Antetokounmpo,,14-13,,
5:36.0,,,14-13,,K. Oubre enters the game for B. Beal
5:36.0,,,14-13,,B. Beal enters the game for M. Morris
5:24.0,,,14-13,,B. Beal misses 3-pt shot from 25 ft
5:23.0,Defensive rebound by J. Parker,,14-13,,
5:04.0,G. Monroe makes 2-pt shot from 5 ft,2,16-13,,
5:04.0,Shooting foul by K. Oubre (drawn by G. Monroe),,16-13,,
5:04.0,G. Monroe makes free throw 1 of 1,1,17-13,,
4:49.0,,,17-13,,O. Porter misses 3-pt shot from 25 ft
4:47.0,,,17-13,,Offensive rebound by M. Gortat
4:35.0,,,17-16,3,K. Oubre makes 3-pt shot from 25 ft (assist by M. Gortat)
4:19.0,M. Beasley misses 2-pt shot from 15 ft,,17-16,,
4:17.0,,,17-16,,Defensive rebound by O. Porter
4:16.0,,,17-16,,Turnover by O. Porter (lost ball)
4:04.0,J. Parker misses 2-pt shot from 21 ft,,17-16,,
4:03.0,,,17-16,,Defensive rebound by O. Porter
3:57.0,,,17-19,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
3:37.0,M. Beasley makes 2-pt shot from 21 ft (assist by J. Parker),2,19-19,,
3:20.0,,,19-21,2,O. Porter makes 2-pt shot at rim (assist by J. Wall)
3:10.0,J. Parker misses 2-pt shot from 17 ft,,19-21,,
3:09.0,,,19-21,,Defensive rebound by M. Gortat
3:01.0,Personal foul by M. Beasley (drawn by J. Wall),,19-21,,
2:53.0,,,19-21,,Turnover by B. Beal (bad pass; steal by M. Beasley)
2:45.0,J. Parker misses 2-pt shot from 2 ft (block by J. Wall),,19-21,,
2:43.0,,,19-21,,Defensive rebound by O. Porter
2:40.0,,,19-23,2,M. Gortat makes 2-pt shot at rim (assist by K. Oubre)
2:27.0,J. Parker makes 2-pt shot at rim,2,21-23,,
2:16.0,,,21-23,,Turnover by J. Wall (bad pass; steal by M. Beasley)
2:11.0,Turnover by T. Snell (bad pass; steal by K. Oubre),,21-23,,
2:07.0,,,21-25,2,K. Oubre makes 2-pt shot at rim (assist by B. Beal)
2:07.0,Milwaukee full timeout,,21-25,,
2:07.0,,,21-25,,J. Smith enters the game for M. Gortat
2:07.0,,,21-25,,M. Thornton enters the game for B. Beal
2:07.0,J. Terry enters the game for T. Snell,,21-25,,
1:45.0,J. Parker makes 2-pt shot at rim (assist by M. Beasley),2,23-25,,
1:24.0,,,23-27,2,O. Porter makes 2-pt shot from 1 ft (assist by J. Wall)
1:10.0,M. Brogdon makes 2-pt shot at rim,2,25-27,,
0:58.0,,,25-27,,Shooting foul by M. Beasley (drawn by J. Smith)
0:58.0,,,25-28,1,J. Smith makes free throw 1 of 2
0:58.0,,,25-28,,J. Smith misses free throw 2 of 2
0:58.0,G. Antetokounmpo enters the game for J. Parker,,25-28,,
0:56.0,Defensive rebound by G. Monroe,,25-28,,
0:44.0,M. Beasley misses 2-pt shot from 20 ft,,25-28,,
