time,Utah,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. J. Nurkic,,,,Jump ball: R. Gobert vs. J. Nurkic
11:39.0,R. Hood makes 2-pt shot from 9 ft,2,2-0,,
11:23.0,,,2-3,3,W. Barton makes 3-pt shot from 27 ft (assist by D. Gallinari)
11:10.0,Turnover by G. Hayward (bad pass; steal by K. Faried),,2-3,,
11:05.0,Personal foul by D. Exum (drawn by K. Faried),,2-3,,
10:45.0,,,2-5,2,J. Nurkic makes 2-pt shot at rim (assist by D. Gallinari)
10:24.0,G. Hayward misses 2-pt shot from 19 ft,,2-5,,
10:23.0,,,2-5,,Defensive rebound by K. Faried
10:13.0,,,2-5,,E. Mudiay misses 3-pt shot from 25 ft
10:12.0,Defensive rebound by G. Hayward,,2-5,,
10:03.0,T. Lyles misses 3-pt shot from 25 ft,,2-5,,
10:02.0,,,2-5,,Defensive rebound by J. Nurkic
9:58.0,Personal foul by R. Hood (drawn by W. Barton),,2-5,,
9:51.0,,,2-5,,D. Gallinari misses 2-pt shot from 3 ft
9:50.0,Defensive rebound by T. Lyles,,2-5,,
9:28.0,R. Hood misses 2-pt shot from 10 ft,,2-5,,
9:27.0,,,2-5,,Defensive rebound by D. Gallinari
9:16.0,,,2-7,2,K. Faried makes 2-pt shot from 3 ft (assist by D. Gallinari)
9:16.0,,,2-7,,Shooting foul by R. Gobert (drawn by K. Faried)
9:16.0,Utah full timeout,,2-7,,
9:16.0,,,2-7,,K. Faried misses free throw 1 of 1
9:11.0,Defensive rebound by D. Exum,,2-7,,
8:56.0,G. Hayward misses 2-pt shot from 19 ft,,2-7,,
8:54.0,Offensive rebound by D. Exum,,2-7,,
8:47.0,Turnover by T. Lyles (step out of bounds),,2-7,,
8:33.0,,,2-7,,D. Gallinari misses 3-pt shot from 25 ft
8:31.0,Defensive rebound by D. Exum,,2-7,,
8:19.0,D. Exum makes 2-pt shot from 2 ft,2,4-7,,
8:09.0,,,4-7,,Shooting foul by R. Gobert (drawn by K. Faried)
8:09.0,Technical foul by R. Gobert (drawn by K. Faried),,4-7,,
8:09.0,,,4-8,1,D. Gallinari makes technical free throw
8:09.0,,,4-9,1,K. Faried makes free throw 1 of 2
8:09.0,,,4-9,,K. Faried misses free throw 2 of 2
8:09.0,J. Withey enters the game for R. Gobert,,4-8,,
8:06.0,Defensive rebound by T. Lyles,,4-9,,
7:55.0,Shooting foul by J. Nurkic (drawn by R. Hood),,4-9,,
7:55.0,R. Hood makes free throw 1 of 2,1,5-9,,
7:55.0,R. Hood misses free throw 2 of 2,,5-9,,
7:53.0,Offensive rebound by J. Withey,,5-9,,
7:48.0,G. Hayward misses 3-pt shot from 25 ft,,5-9,,
7:47.0,,,5-9,,Defensive rebound by J. Nurkic
7:24.0,,,5-9,,J. Nurkic misses 2-pt shot from 2 ft (block by J. Withey)
7:23.0,Defensive rebound by R. Hood,,5-9,,
7:10.0,Turnover by R. Hood (lost ball),,5-9,,
6:53.0,,,5-9,,W. Barton misses 3-pt shot from 26 ft
6:52.0,Defensive rebound by Team,,5-9,,
6:29.0,T. Lyles misses 2-pt shot from 9 ft,,5-9,,
6:29.0,,,5-9,,Defensive rebound by E. Mudiay
6:22.0,,,5-9,,E. Mudiay misses 2-pt shot from 2 ft
6:20.0,,,5-9,,Offensive rebound by W. Barton
6:20.0,,,5-9,,W. Barton misses 2-pt shot from 1 ft
6:19.0,Defensive rebound by R. Hood,,5-9,,
6:09.0,R. Hood misses 3-pt shot from 26 ft,,5-9,,
6:09.0,,,5-9,,Defensive rebound by E. Mudiay
5:58.0,,,5-9,,J. Nurkic misses 2-pt shot from 19 ft
5:56.0,Defensive rebound by R. Hood,,5-9,,
5:50.0,J. Withey misses 2-pt shot from 2 ft,,5-9,,
5:49.0,,,5-9,,Defensive rebound by K. Faried
5:37.0,Violation by T. Lyles (def goaltending),,5-9,,
5:37.0,,,5-11,2,J. Nurkic makes 2-pt shot from 6 ft (assist by D. Gallinari)
5:27.0,D. Exum makes 2-pt shot from 2 ft,2,7-11,,
5:27.0,,,7-11,,Denver full timeout
5:27.0,,,7-11,,N. Jokic enters the game for K. Faried
5:27.0,,,7-11,,W. Chandler enters the game for J. Nurkic
5:27.0,J. Johnson enters the game for T. Lyles,,7-11,,
5:27.0,B. Diaw enters the game for J. Withey,,7-11,,
5:17.0,,,7-11,,Offensive foul by D. Gallinari
5:17.0,,,7-11,,Turnover by D. Gallinari (offensive foul)
5:04.0,G. Hayward misses 2-pt shot from 23 ft,,7-11,,
5:02.0,,,7-11,,Defensive rebound by N. Jokic
4:49.0,,,7-11,,Turnover by W. Chandler (traveling)
4:49.0,,,7-11,,J. Nelson enters the game for W. Barton
4:32.0,D. Exum misses 3-pt shot from 24 ft,,7-11,,
4:32.0,Offensive rebound by D. Exum,,7-11,,
4:13.0,D. Exum misses 3-pt shot from 23 ft,,7-11,,
4:12.0,,,7-11,,Defensive rebound by E. Mudiay
4:05.0,,,7-13,2,E. Mudiay makes 2-pt shot from 5 ft
3:56.0,Shooting foul by N. Jokic (drawn by R. Hood),,7-13,,
3:56.0,R. Hood makes free throw 1 of 2,1,8-13,,
3:56.0,R. Hood makes free throw 2 of 2,1,9-13,,
3:56.0,S. Mack enters the game for D. Exum,,8-13,,
3:56.0,J. Ingles enters the game for G. Hayward,,8-13,,
3:45.0,,,9-13,,Turnover by J. Nelson (step out of bounds)
3:26.0,J. Johnson makes 2-pt shot from 4 ft,2,11-13,,
3:14.0,,,11-13,,Turnover by W. Chandler (lost ball)
3:14.0,,,11-13,,J. Murray enters the game for E. Mudiay
3:01.0,R. Hood misses 2-pt shot from 17 ft,,11-13,,
3:00.0,,,11-13,,Defensive rebound by N. Jokic
2:49.0,,,11-16,3,W. Chandler makes 3-pt shot from 25 ft (assist by D. Gallinari)
2:37.0,S. Mack misses 2-pt shot from 3 ft,,11-16,,
2:37.0,,,11-16,,Defensive rebound by D. Gallinari
2:30.0,,,11-16,,D. Gallinari misses 2-pt shot from 3 ft
2:25.0,,,11-16,,Offensive rebound by N. Jokic
2:22.0,,,11-18,2,J. Nelson makes 2-pt shot from 2 ft (assist by N. Jokic)
2:10.0,S. Mack misses 2-pt shot from 2 ft,,11-18,,
2:10.0,,,11-18,,Defensive rebound by N. Jokic
2:03.0,,,11-18,,D. Gallinari misses 3-pt shot from 26 ft
2:02.0,Defensive rebound by S. Mack,,11-18,,
1:52.0,Shooting foul by W. Chandler (drawn by J. Johnson),,11-18,,
1:52.0,J. Johnson misses free throw 1 of 2,,11-18,,
1:52.0,Offensive rebound by Team,,11-18,,
1:52.0,J. Johnson makes free throw 2 of 2,1,12-18,,
1:52.0,D. Exum enters the game for R. Hood,,11-18,,
1:52.0,R. Gobert enters the game for B. Diaw,,11-18,,
1:35.0,,,12-20,2,W. Chandler makes 2-pt shot from 13 ft (assist by N. Jokic)
1:22.0,S. Mack misses 2-pt shot from 9 ft,,12-20,,
1:20.0,Offensive rebound by S. Mack,,12-20,,
1:07.0,J. Johnson misses 2-pt shot from 5 ft,,12-20,,
1:06.0,,,12-20,,Defensive rebound by J. Nelson
1:00.0,,,12-22,2,N. Jokic makes 2-pt shot from 6 ft (assist by J. Nelson)
0:43.0,J. Ingles misses 3-pt shot from 24 ft,,12-22,,
0:42.0,,,12-22,,Defensive rebound by D. Gallinari
