time,Detroit,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. R. Holmes (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. R. Holmes (R. Jackson gains possession)
11:45.0,R. Jackson misses 2-pt shot from 7 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by R. Covington
11:40.0,,,0-0,,Turnover by D. Saric (step out of bounds)
11:28.0,J. Leuer misses 3-pt shot from 27 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by R. Holmes
11:16.0,Violation by A. Drummond (def goaltending),,0-0,,
11:16.0,,,0-2,2,D. Saric makes 2-pt shot from 8 ft (assist by T. McConnell)
11:04.0,M. Morris misses 2-pt shot from 15 ft,,0-2,,
11:02.0,Offensive rebound by K. Caldwell-Pope,,0-2,,
10:59.0,Turnover by R. Jackson (bad pass; steal by R. Holmes),,0-2,,
10:53.0,,,0-5,3,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell)
10:36.0,A. Drummond misses 2-pt shot from 3 ft,,0-5,,
10:35.0,,,0-5,,Defensive rebound by D. Saric
10:30.0,,,0-7,2,R. Holmes makes 2-pt shot at rim (assist by D. Saric)
10:30.0,,,0-7,,Shooting foul by A. Drummond (drawn by R. Holmes)
10:30.0,,,0-7,,R. Holmes misses free throw 1 of 1
10:29.0,Defensive rebound by A. Drummond,,0-7,,
10:17.0,K. Caldwell-Pope makes 2-pt shot from 2 ft,2,2-7,,
9:55.0,,,2-7,,Turnover by D. Saric (bad pass; steal by A. Drummond)
9:49.0,Turnover by R. Jackson (bad pass; steal by R. Holmes),,2-7,,
9:34.0,,,2-9,2,N. Stauskas makes 2-pt shot at rim (assist by T. McConnell)
9:27.0,Detroit full timeout,,2-9,,
9:15.0,A. Drummond makes 2-pt shot from 7 ft (assist by J. Leuer),2,4-9,,
8:58.0,,,4-9,,R. Covington misses 3-pt shot from 24 ft
8:57.0,Defensive rebound by K. Caldwell-Pope,,4-9,,
8:53.0,Turnover by K. Caldwell-Pope (bad pass),,4-9,,
8:39.0,,,4-9,,D. Saric misses 2-pt shot from 4 ft
8:38.0,,,4-9,,Offensive rebound by D. Saric
8:36.0,,,4-11,2,D. Saric makes 2-pt shot from 2 ft
8:25.0,Turnover by J. Leuer (lost ball; steal by T. McConnell),,4-11,,
8:19.0,,,4-13,2,N. Stauskas makes 2-pt shot at rim (assist by T. McConnell)
7:58.0,M. Morris misses 2-pt shot from 16 ft,,4-13,,
7:56.0,,,4-13,,Defensive rebound by R. Holmes
7:52.0,T. Harris enters the game for J. Leuer,,4-13,,
7:34.0,,,4-13,,D. Saric misses 2-pt shot from 20 ft
7:32.0,Defensive rebound by K. Caldwell-Pope,,4-13,,
7:26.0,Shooting foul by R. Holmes (drawn by M. Morris),,4-13,,
7:26.0,M. Morris makes free throw 1 of 2,1,5-13,,
7:26.0,M. Morris makes free throw 2 of 2,1,6-13,,
7:26.0,,,5-13,,J. Anderson enters the game for R. Covington
7:17.0,,,6-13,,N. Stauskas misses 3-pt shot from 26 ft
7:16.0,Defensive rebound by R. Jackson,,6-13,,
7:10.0,R. Jackson makes 3-pt shot from 24 ft,3,9-13,,
6:50.0,,,9-15,2,R. Holmes makes 2-pt shot at rim (assist by T. McConnell)
