time,Charlotte,pts.away,score,pts.home,Washington
7:12.0,,,35-32,,J. Smith misses 2-pt shot from 2 ft
7:11.0,Defensive rebound by Team,,35-32,,
7:11.0,,,35-32,,M. Morris enters the game for J. Smith
7:11.0,K. Walker enters the game for M. Belinelli,,35-32,,
7:11.0,M. Kidd-Gilchrist enters the game for J. Lamb,,35-32,,
7:11.0,N. Batum enters the game for B. Roberts,,35-32,,
6:54.0,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by F. Kaminsky),2,37-32,,
6:34.0,,,37-35,3,M. Morris makes 3-pt shot from 26 ft (assist by B. Beal)
6:18.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by K. Walker),3,40-35,,
6:01.0,,,40-37,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
5:46.0,Turnover by F. Kaminsky (bad pass; steal by B. Beal),,40-37,,
5:38.0,,,40-39,2,J. Wall makes 2-pt shot from 2 ft
5:21.0,K. Walker makes 3-pt shot from 26 ft (assist by F. Kaminsky),3,43-39,,
5:11.0,Personal foul by M. Kidd-Gilchrist (drawn by B. Beal),,43-39,,
5:11.0,Official timeout,,43-39,,
5:11.0,C. Zeller enters the game for F. Kaminsky,,43-39,,
5:11.0,,,43-39,,M. Gortat enters the game for I. Mahinmi
5:11.0,,,43-39,,O. Porter enters the game for K. Oubre
5:04.0,,,43-41,2,M. Gortat makes 2-pt shot from 8 ft (assist by J. Wall)
4:47.0,K. Walker makes 3-pt shot from 25 ft (assist by C. Zeller),3,46-41,,
4:22.0,,,46-41,,B. Beal misses 2-pt shot from 2 ft
4:22.0,,,46-41,,Offensive rebound by Team
4:22.0,,,46-41,,Turnover by Team (shot clock)
4:02.0,N. Batum misses 3-pt shot from 28 ft,,46-41,,
4:01.0,,,46-41,,Defensive rebound by M. Morris
3:53.0,,,46-43,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
3:43.0,,,46-43,,Shooting block foul by M. Morris (drawn by K. Walker)
3:43.0,K. Walker makes free throw 1 of 2,1,47-43,,
3:43.0,K. Walker makes free throw 2 of 2,1,48-43,,
3:43.0,,,47-43,,J. Smith enters the game for M. Morris
3:37.0,,,48-43,,Turnover by J. Wall (lost ball; steal by K. Walker)
3:34.0,Shooting foul by B. Beal (drawn by M. Kidd-Gilchrist),,48-43,,
3:34.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,49-43,,
3:34.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,50-43,,
3:22.0,,,50-43,,B. Beal misses 2-pt shot from 19 ft
3:21.0,Defensive rebound by M. Williams,,50-43,,
3:13.0,K. Walker makes 2-pt shot from 17 ft,2,52-43,,
2:59.0,,,52-43,,J. Wall misses 2-pt shot from 1 ft
2:59.0,,,52-43,,Offensive rebound by M. Gortat
2:56.0,,,52-43,,O. Porter misses 3-pt shot from 25 ft
2:55.0,Defensive rebound by K. Walker,,52-43,,
2:51.0,N. Batum makes 2-pt shot at rim (assist by K. Walker),2,54-43,,
2:51.0,,,54-43,,Washington full timeout
2:38.0,,,54-46,3,J. Smith makes 3-pt shot from 24 ft (assist by O. Porter)
2:10.0,K. Walker makes 2-pt shot from 16 ft,2,56-46,,
1:52.0,,,56-49,3,J. Smith makes 3-pt shot from 28 ft (assist by M. Gortat)
1:26.0,K. Walker makes 2-pt shot from 19 ft (assist by N. Batum),2,58-49,,
1:13.0,,,58-51,2,O. Porter makes 2-pt shot from 1 ft (assist by B. Beal)
0:54.0,Turnover by M. Kidd-Gilchrist (bad pass; steal by J. Wall),,58-51,,
0:41.0,,,58-51,,B. Beal misses 2-pt shot from 2 ft
0:40.0,Defensive rebound by C. Zeller,,58-51,,
0:32.0,Shooting foul by J. Smith (drawn by M. Williams),,58-51,,
0:32.0,M. Williams makes free throw 1 of 2,1,59-51,,
0:32.0,M. Williams makes free throw 2 of 2,1,60-51,,
0:09.0,,,60-51,,B. Beal misses 2-pt shot from 6 ft
0:08.0,,,60-51,,Offensive rebound by Team
0:08.0,,,60-51,,Turnover by Team (shot clock)
0:02.0,K. Walker makes 3-pt shot from 28 ft,3,63-51,,
0:00.0,,,63-51,,B. Beal misses 3-pt shot from 66 ft
0:00.0,,,63-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,M. Williams misses 2-pt shot from 1 ft,,63-51,,
11:36.0,,,63-51,,Defensive rebound by M. Morris
11:29.0,,,63-54,3,M. Morris makes 3-pt shot from 26 ft (assist by J. Wall)
11:08.0,K. Walker makes 2-pt shot from 16 ft,2,65-54,,
10:50.0,,,65-56,2,J. Wall makes 2-pt shot from 17 ft
10:30.0,C. Zeller makes 2-pt shot from 1 ft (assist by M. Williams),2,67-56,,
10:15.0,Shooting block foul by C. Zeller (drawn by O. Porter),,67-56,,
10:15.0,,,67-57,1,O. Porter makes free throw 1 of 2
10:15.0,,,67-58,1,O. Porter makes free throw 2 of 2
10:02.0,N. Batum makes 2-pt shot from 13 ft,2,69-58,,
9:40.0,,,69-60,2,O. Porter makes 2-pt shot from 17 ft (assist by J. Wall)
9:26.0,,,69-60,,Personal foul by J. Wall (drawn by N. Batum)
9:24.0,Turnover by N. Batum (lost ball; steal by J. Wall),,69-60,,
9:22.0,,,69-60,,Shooting foul by K. Walker (drawn by J. Wall)
9:22.0,,,69-61,1,J. Wall makes free throw 1 of 2
9:22.0,,,69-62,1,J. Wall makes free throw 2 of 2
9:08.0,K. Walker misses 3-pt shot from 26 ft,,69-62,,
9:07.0,,,69-62,,Defensive rebound by O. Porter
8:46.0,,,69-64,2,B. Beal makes 2-pt shot from 17 ft (assist by J. Wall)
8:24.0,Turnover by N. Batum (bad pass; steal by B. Beal),,69-64,,
8:20.0,,,69-66,2,B. Beal makes 2-pt shot at rim
8:20.0,Charlotte full timeout,,69-66,,
8:10.0,K. Walker misses 3-pt shot at rim (block by M. Gortat),,69-66,,
8:08.0,,,69-66,,Defensive rebound by J. Wall
8:02.0,,,69-66,,J. Wall misses 2-pt shot from 1 ft (block by C. Zeller)
8:01.0,,,69-66,,Offensive rebound by B. Beal
7:57.0,,,69-66,,B. Beal misses 3-pt shot from 25 ft
7:56.0,Defensive rebound by C. Zeller,,69-66,,
7:49.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by M. Gortat),,69-66,,
7:48.0,,,69-66,,Defensive rebound by M. Morris
7:45.0,,,69-68,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
7:28.0,K. Walker makes 2-pt shot from 2 ft,2,71-68,,
7:07.0,,,71-68,,M. Gortat misses 2-pt shot from 14 ft
7:07.0,Defensive rebound by M. Williams,,71-68,,
6:48.0,M. Williams misses 2-pt shot from 8 ft,,71-68,,
6:47.0,,,71-68,,Defensive rebound by M. Gortat
6:37.0,,,71-71,3,J. Wall makes 3-pt shot from 25 ft
6:22.0,N. Batum misses 3-pt shot from 26 ft,,71-71,,
6:21.0,,,71-71,,Defensive rebound by M. Morris
6:05.0,,,71-71,,J. Wall misses 3-pt shot from 27 ft
6:05.0,Defensive rebound by M. Kidd-Gilchrist,,71-71,,
5:51.0,K. Walker makes 2-pt shot from 2 ft,2,73-71,,
5:33.0,,,73-73,2,M. Morris makes 2-pt shot from 2 ft (assist by B. Beal)
5:21.0,K. Walker misses 3-pt shot from 28 ft,,73-73,,
5:20.0,Offensive rebound by C. Zeller,,73-73,,
5:12.0,M. Williams misses 3-pt shot from 26 ft,,73-73,,
5:11.0,,,73-73,,Defensive rebound by O. Porter
5:03.0,,,73-75,2,J. Wall makes 2-pt shot at rim
4:42.0,N. Batum makes 2-pt shot from 18 ft (assist by M. Williams),2,75-75,,
4:24.0,,,75-77,2,J. Wall makes 2-pt shot at rim
4:07.0,Turnover by K. Walker (bad pass),,75-77,,
4:07.0,F. Kaminsky enters the game for M. Williams,,75-77,,
4:07.0,M. Belinelli enters the game for N. Batum,,75-77,,
3:56.0,,,75-77,,M. Morris misses 3-pt shot from 27 ft
3:55.0,Defensive rebound by M. Belinelli,,75-77,,
3:47.0,M. Belinelli makes 2-pt shot from 12 ft,2,77-77,,
