time,Charlotte,pts.away,score,pts.home,Washington
0:31.0,,,106-114,,Washington full timeout
0:31.0,,,106-114,,B. Jennings enters the game for I. Mahinmi
0:30.0,,,106-114,,Washington full timeout
0:28.0,Personal take foul by K. Walker (drawn by J. Wall),,106-114,,
0:22.0,Personal take foul by M. Kidd-Gilchrist (drawn by B. Beal),,106-114,,
0:22.0,,,106-115,1,B. Beal makes free throw 1 of 2
0:22.0,,,106-116,1,B. Beal makes free throw 2 of 2
0:22.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,106-115,,
0:22.0,F. Kaminsky enters the game for M. Williams,,106-115,,
0:15.0,K. Walker makes 2-pt shot from 1 ft,2,108-116,,
0:12.0,Personal take foul by K. Walker (drawn by J. Wall),,108-116,,
0:12.0,,,108-117,1,J. Wall makes free throw 1 of 2
0:12.0,,,108-118,1,J. Wall makes free throw 2 of 2
0:01.0,M. Belinelli makes 3-pt shot from 24 ft (assist by N. Batum),3,111-118,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
