time,Dallas,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. N. Vucevic (S. Curry gains possession),,,,Jump ball: A. Bogut vs. N. Vucevic (S. Curry gains possession)
11:43.0,S. Curry misses 2-pt shot from 20 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by J. Green
11:28.0,,,0-0,,E. Fournier misses 3-pt shot from 25 ft
11:28.0,Defensive rebound by A. Bogut,,0-0,,
11:11.0,W. Matthews misses 2-pt shot from 16 ft,,0-0,,
11:09.0,Offensive rebound by A. Bogut,,0-0,,
11:09.0,A. Bogut misses 2-pt shot from 2 ft,,0-0,,
11:08.0,,,0-0,,Defensive rebound by E. Payton
11:02.0,,,0-0,,Turnover by S. Ibaka (3 sec)
10:38.0,A. Bogut misses 2-pt shot from 10 ft,,0-0,,
10:36.0,,,0-0,,Defensive rebound by Team
10:31.0,,,0-0,,Turnover by E. Payton (back court)
10:14.0,S. Curry misses 2-pt shot from 13 ft,,0-0,,
10:12.0,,,0-0,,Defensive rebound by E. Payton
9:58.0,,,0-0,,S. Ibaka misses 2-pt shot from 16 ft
9:57.0,Defensive rebound by D. Finney-Smith,,0-0,,
9:45.0,D. Finney-Smith misses 2-pt shot at rim (block by S. Ibaka),,0-0,,
9:44.0,,,0-0,,Defensive rebound by J. Green
9:37.0,,,0-2,2,N. Vucevic makes 2-pt shot from 6 ft (assist by E. Fournier)
9:21.0,Shooting foul by J. Green (drawn by H. Barnes),,0-2,,
9:21.0,H. Barnes misses free throw 1 of 2,,0-2,,
9:21.0,Offensive rebound by Team,,0-2,,
9:21.0,H. Barnes makes free throw 2 of 2,1,1-2,,
9:09.0,,,1-4,2,J. Green makes 2-pt shot from 7 ft
8:57.0,D. Finney-Smith misses 3-pt shot from 25 ft,,1-4,,
8:57.0,,,1-4,,Defensive rebound by E. Fournier
8:44.0,,,1-4,,Turnover by E. Fournier (traveling)
8:32.0,Shooting foul by J. Green (drawn by D. Finney-Smith),,1-4,,
8:32.0,D. Finney-Smith makes free throw 1 of 2,1,2-4,,
8:32.0,D. Finney-Smith makes free throw 2 of 2,1,3-4,,
8:32.0,,,2-4,,A. Gordon enters the game for J. Green
8:31.0,,,3-4,,Turnover by Team (5 sec inbounds)
8:28.0,H. Barnes misses 2-pt shot from 16 ft,,3-4,,
8:27.0,,,3-4,,Defensive rebound by N. Vucevic
8:11.0,,,3-4,,N. Vucevic misses 2-pt shot from 18 ft
8:09.0,,,3-4,,Offensive rebound by E. Fournier
8:00.0,,,3-4,,S. Ibaka misses 2-pt shot from 15 ft
7:59.0,,,3-4,,Offensive rebound by A. Gordon
7:59.0,,,3-6,2,A. Gordon makes 2-pt shot from 2 ft
7:36.0,A. Bogut misses 2-pt shot from 6 ft,,3-6,,
7:35.0,Offensive rebound by H. Barnes,,3-6,,
7:33.0,Turnover by S. Curry (traveling),,3-6,,
7:24.0,Violation by A. Bogut (kicked ball),,3-6,,
7:24.0,D. Powell enters the game for A. Bogut,,3-6,,
7:09.0,,,3-6,,N. Vucevic misses 2-pt shot from 20 ft
7:07.0,Defensive rebound by H. Barnes,,3-6,,
6:53.0,S. Curry misses 3-pt shot from 26 ft,,3-6,,
6:53.0,,,3-6,,Defensive rebound by S. Ibaka
6:42.0,,,3-8,2,E. Payton makes 2-pt shot from 1 ft
6:31.0,Turnover by S. Curry (lost ball),,3-8,,
6:16.0,,,3-8,,Turnover by E. Payton (bad pass; steal by S. Curry)
6:10.0,J. Gibson enters the game for S. Curry,,3-8,,
5:54.0,D. Powell misses 2-pt shot from 2 ft (block by S. Ibaka),,3-8,,
5:53.0,,,3-8,,Defensive rebound by N. Vucevic
5:46.0,,,3-8,,S. Ibaka misses 3-pt shot from 26 ft
5:44.0,Defensive rebound by D. Finney-Smith,,3-8,,
5:32.0,,,3-8,,Def 3 sec tech foul by N. Vucevic
5:32.0,,,3-8,,Orlando full timeout
5:32.0,H. Barnes makes technical free throw,1,4-8,,
5:32.0,J. Anderson enters the game for D. Finney-Smith,,3-8,,
5:23.0,J. Gibson makes 2-pt shot from 1 ft (assist by W. Matthews),2,6-8,,
5:07.0,A. Bogut enters the game for H. Barnes,,6-8,,
4:57.0,,,6-10,2,E. Payton makes 2-pt shot from 2 ft
4:38.0,J. Gibson misses 3-pt shot from 25 ft,,6-10,,
4:38.0,,,6-10,,Defensive rebound by N. Vucevic
4:30.0,,,6-10,,E. Payton misses 2-pt shot at rim (block by A. Bogut)
4:29.0,Defensive rebound by J. Gibson,,6-10,,
4:24.0,J. Anderson misses 2-pt shot from 1 ft (block by S. Ibaka),,6-10,,
4:23.0,Offensive rebound by D. Powell,,6-10,,
4:20.0,J. Gibson makes 3-pt shot from 27 ft,3,9-10,,
4:07.0,,,9-10,,Offensive charge foul by A. Gordon
4:07.0,,,9-10,,Turnover by A. Gordon (offensive foul)
4:07.0,,,9-10,,B. Biyombo enters the game for N. Vucevic
3:52.0,D. Powell misses 2-pt shot from 18 ft,,9-10,,
3:51.0,,,9-10,,Defensive rebound by S. Ibaka
3:35.0,,,9-13,3,S. Ibaka makes 3-pt shot from 24 ft (assist by E. Payton)
3:33.0,Dallas full timeout,,9-13,,
3:33.0,S. Curry enters the game for W. Matthews,,9-13,,
3:23.0,Turnover by J. Gibson (lost ball; steal by S. Ibaka),,9-13,,
3:13.0,,,9-13,,A. Gordon misses 2-pt shot at rim
