time,Milwaukee,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. J. Valanciunas (J. Parker gains possession),,,,Jump ball: J. Henson vs. J. Valanciunas (J. Parker gains possession)
11:41.0,J. Henson makes 2-pt shot from 3 ft (assist by J. Parker),2,2-0,,
11:20.0,,,2-0,,J. Valanciunas misses 2-pt shot from 12 ft (block by J. Henson)
11:20.0,,,2-0,,Offensive rebound by Team
11:17.0,,,2-2,2,J. Valanciunas makes 2-pt shot from 8 ft (assist by D. DeRozan)
10:59.0,J. Parker makes 2-pt shot from 17 ft (assist by M. Dellavedova),2,4-2,,
10:39.0,,,4-2,,J. Valanciunas misses 2-pt shot from 4 ft
10:38.0,Defensive rebound by J. Henson,,4-2,,
10:28.0,T. Snell makes 2-pt shot at rim (assist by G. Antetokounmpo),2,6-2,,
10:14.0,,,6-2,,Shooting foul by M. Dellavedova (drawn by D. DeRozan)
10:14.0,,,6-3,1,D. DeRozan makes free throw 1 of 2
10:14.0,,,6-4,1,D. DeRozan makes free throw 2 of 2
9:50.0,T. Snell misses 3-pt shot from 24 ft,,6-4,,
9:49.0,,,6-4,,Defensive rebound by J. Valanciunas
9:43.0,,,6-7,3,D. Carroll makes 3-pt shot from 26 ft (assist by K. Lowry)
9:20.0,J. Parker makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,8-7,,
9:08.0,,,8-7,,Shooting foul by J. Henson (drawn by D. DeRozan)
9:08.0,,,8-8,1,D. DeRozan makes free throw 1 of 2
9:08.0,,,8-9,1,D. DeRozan makes free throw 2 of 2
8:53.0,J. Henson misses 2-pt shot from 8 ft,,8-9,,
8:53.0,,,8-9,,Defensive rebound by D. DeRozan
8:47.0,,,8-12,3,D. Carroll makes 3-pt shot from 26 ft (assist by D. DeRozan)
8:34.0,M. Dellavedova misses 2-pt shot from 2 ft,,8-12,,
8:34.0,,,8-12,,Defensive rebound by J. Valanciunas
8:27.0,,,8-12,,Turnover by K. Lowry (bad pass; steal by G. Antetokounmpo)
8:20.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by P. Siakam),,8-12,,
8:19.0,Offensive rebound by J. Parker,,8-12,,
8:13.0,J. Parker misses 2-pt shot from 16 ft,,8-12,,
8:12.0,,,8-12,,Defensive rebound by P. Siakam
7:57.0,,,8-14,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by D. DeRozan)
7:57.0,Milwaukee full timeout,,8-14,,
7:37.0,J. Henson misses 2-pt shot from 3 ft,,8-14,,
7:37.0,,,8-14,,Defensive rebound by J. Valanciunas
7:24.0,,,8-14,,P. Siakam misses 3-pt shot from 24 ft
7:23.0,,,8-14,,Offensive rebound by D. Carroll
7:19.0,,,8-16,2,D. Carroll makes 2-pt shot from 2 ft
7:15.0,J. Parker makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,10-16,,
7:15.0,Shooting foul by P. Siakam (drawn by J. Parker),,10-16,,
7:15.0,J. Parker makes free throw 1 of 1,1,11-16,,
6:54.0,,,11-16,,K. Lowry misses 3-pt shot from 24 ft
6:53.0,Defensive rebound by J. Henson,,11-16,,
6:45.0,G. Antetokounmpo misses 3-pt shot from 27 ft,,11-16,,
6:45.0,,,11-16,,Defensive rebound by D. Carroll
6:30.0,,,11-18,2,J. Valanciunas makes 2-pt shot at rim (assist by D. Carroll)
6:16.0,,,11-18,,Personal block foul by J. Valanciunas (drawn by G. Antetokounmpo)
6:16.0,G. Monroe enters the game for J. Henson,,11-18,,
6:07.0,J. Parker makes 2-pt shot from 5 ft (assist by M. Dellavedova),2,13-18,,
5:51.0,,,13-21,3,D. DeRozan makes 3-pt shot from 25 ft (assist by K. Lowry)
5:25.0,G. Monroe makes 2-pt shot from 17 ft (assist by G. Antetokounmpo),2,15-21,,
5:05.0,,,15-24,3,K. Lowry makes 3-pt shot from 27 ft (assist by J. Valanciunas)
4:50.0,M. Dellavedova misses 2-pt shot from 18 ft,,15-24,,
4:49.0,,,15-24,,Defensive rebound by J. Valanciunas
4:38.0,,,15-24,,Turnover by K. Lowry (bad pass; steal by G. Monroe)
4:31.0,G. Monroe makes 2-pt shot from 1 ft (assist by T. Snell),2,17-24,,
4:23.0,,,17-26,2,K. Lowry makes 2-pt shot from 3 ft
4:01.0,M. Dellavedova misses 2-pt shot from 20 ft,,17-26,,
4:01.0,,,17-26,,Defensive rebound by D. Carroll
3:52.0,,,17-26,,Toronto full timeout
3:52.0,,,17-26,,C. Joseph enters the game for P. Siakam
3:52.0,,,17-26,,P. Patterson enters the game for K. Lowry
3:52.0,M. Beasley enters the game for J. Parker,,17-26,,
3:52.0,M. Teletovic enters the game for T. Snell,,17-26,,
