time,Philadelphia,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. J. Embiid (S. Rodriguez gains possession),,,,Jump ball: T. Chandler vs. J. Embiid (S. Rodriguez gains possession)
11:46.0,,,0-0,,Def 3 sec tech foul by T. Chandler
11:46.0,S. Rodriguez makes technical free throw,1,1-0,,
11:32.0,J. Okafor misses 2-pt shot from 16 ft,,1-0,,
11:26.0,,,1-0,,Defensive rebound by T. Chandler
11:13.0,,,1-3,3,P. Tucker makes 3-pt shot from 23 ft (assist by D. Booker)
10:58.0,Shooting foul by M. Chriss (drawn by J. Embiid),,1-3,,
10:58.0,J. Embiid makes 2-pt shot at rim,2,3-3,,
10:58.0,J. Embiid makes free throw 1 of 1,1,4-3,,
10:45.0,,,4-3,,D. Booker misses 2-pt shot from 9 ft
10:40.0,Defensive rebound by J. Okafor,,4-3,,
10:21.0,J. Embiid misses 3-pt shot from 28 ft,,4-3,,
10:19.0,,,4-3,,Defensive rebound by T. Chandler
10:13.0,,,4-3,,Turnover by E. Bledsoe (step out of bounds)
10:01.0,G. Henderson makes 2-pt shot from 19 ft (assist by J. Okafor),2,6-3,,
9:49.0,Def 3 sec tech foul by J. Okafor,,6-3,,
9:49.0,,,6-4,1,E. Bledsoe makes technical free throw
9:41.0,,,6-4,,D. Booker misses 3-pt shot from 25 ft
9:38.0,Defensive rebound by Team,,6-4,,
9:19.0,J. Embiid misses 2-pt shot from 2 ft,,6-4,,
9:17.0,,,6-4,,Defensive rebound by D. Booker
9:16.0,,,6-4,,Shooting foul by S. Rodriguez (drawn by D. Booker)
9:16.0,,,6-5,1,D. Booker makes free throw 1 of 2
9:16.0,,,6-6,1,D. Booker makes free throw 2 of 2
9:05.0,G. Henderson makes 3-pt shot from 25 ft (assist by S. Rodriguez),3,9-6,,
8:49.0,,,9-8,2,P. Tucker makes 2-pt shot from 7 ft (assist by E. Bledsoe)
8:39.0,S. Rodriguez misses 3-pt shot from 25 ft,,9-8,,
8:36.0,,,9-8,,Defensive rebound by T. Chandler
8:33.0,,,9-10,2,D. Booker makes 2-pt shot from 23 ft (assist by E. Bledsoe)
8:12.0,Shooting foul by M. Chriss (drawn by J. Embiid),,9-10,,
8:12.0,J. Embiid makes free throw 1 of 2,1,10-10,,
8:12.0,J. Embiid makes free throw 2 of 2,1,11-10,,
8:12.0,,,10-10,,T. Warren enters the game for M. Chriss
7:50.0,,,11-10,,D. Booker misses 2-pt shot from 17 ft
7:46.0,Defensive rebound by J. Embiid,,11-10,,
7:35.0,,,11-10,,Personal foul by P. Tucker (drawn by J. Embiid)
7:35.0,E. Ilyasova enters the game for J. Embiid,,11-10,,
7:34.0,T. McConnell enters the game for S. Rodriguez,,11-10,,
7:20.0,G. Henderson makes 2-pt shot from 18 ft,2,13-10,,
7:07.0,,,13-10,,P. Tucker misses 3-pt shot from 25 ft
7:05.0,Defensive rebound by J. Okafor,,13-10,,
7:00.0,Shooting foul by E. Bledsoe (drawn by R. Covington),,13-10,,
7:00.0,,,13-10,,Technical foul by D. Booker
7:00.0,R. Covington makes technical free throw,1,14-10,,
7:00.0,R. Covington makes free throw 1 of 2,1,15-10,,
7:00.0,R. Covington makes free throw 2 of 2,1,16-10,,
7:00.0,N. Noel enters the game for J. Okafor,,15-10,,
7:00.0,H. Thompson enters the game for G. Henderson,,15-10,,
6:50.0,,,16-13,3,T. Warren makes 3-pt shot from 24 ft (assist by E. Bledsoe)
6:39.0,R. Covington misses 3-pt shot from 25 ft,,16-13,,
6:37.0,,,16-13,,Defensive rebound by T. Chandler
6:29.0,,,16-13,,T. Warren misses 2-pt shot from 2 ft
6:27.0,,,16-13,,Offensive rebound by T. Warren
6:25.0,,,16-13,,T. Warren misses 2-pt shot from 12 ft (block by N. Noel)
6:21.0,,,16-13,,Offensive rebound by T. Chandler
6:21.0,,,16-15,2,T. Chandler makes 2-pt shot from 2 ft
6:08.0,T. McConnell misses 2-pt shot from 14 ft,,16-15,,
6:05.0,,,16-15,,Defensive rebound by T. Chandler
5:55.0,,,16-15,,E. Bledsoe misses 3-pt shot from 26 ft
5:53.0,Defensive rebound by E. Ilyasova,,16-15,,
5:46.0,,,16-15,,Phoenix full timeout
5:46.0,,,16-15,,B. Knight enters the game for T. Chandler
5:46.0,,,16-15,,A. Len enters the game for E. Bledsoe
5:42.0,E. Ilyasova misses 3-pt shot from 24 ft,,16-15,,
5:40.0,,,16-15,,Defensive rebound by D. Booker
5:34.0,,,16-15,,Offensive charge foul by D. Booker
5:34.0,,,16-15,,Turnover by D. Booker (offensive foul)
5:21.0,R. Covington makes 2-pt shot from 1 ft (assist by H. Thompson),2,18-15,,
5:05.0,,,18-17,2,B. Knight makes 2-pt shot from 1 ft (assist by A. Len)
