time,Indiana,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. M. Turner (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. M. Turner (B. Griffin gains possession)
11:45.0,,,0-2,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
11:26.0,Turnover by M. Turner (lost ball),,0-2,,
11:13.0,Def 3 sec tech foul by M. Turner,,0-2,,
11:13.0,,,0-3,1,C. Paul makes technical free throw
10:58.0,,,0-6,3,J. Redick makes 3-pt shot from 25 ft (assist by B. Griffin)
10:44.0,J. Teague misses 2-pt shot from 4 ft,,0-6,,
10:41.0,,,0-6,,Defensive rebound by B. Griffin
10:37.0,,,0-6,,B. Griffin misses 2-pt shot from 1 ft (block by M. Turner)
10:34.0,Defensive rebound by T. Young,,0-6,,
10:31.0,T. Young misses 2-pt shot from 1 ft (block by D. Jordan),,0-6,,
10:28.0,Offensive rebound by T. Young,,0-6,,
10:21.0,T. Young misses 2-pt shot from 11 ft,,0-6,,
10:18.0,,,0-6,,Defensive rebound by C. Paul
10:10.0,,,0-9,3,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul)
9:53.0,P. George misses 2-pt shot from 13 ft (block by L. Mbah a Moute),,0-9,,
9:51.0,,,0-9,,Defensive rebound by D. Jordan
9:40.0,,,0-9,,J. Redick misses 3-pt shot from 25 ft
9:39.0,Defensive rebound by P. George,,0-9,,
9:23.0,M. Ellis misses 2-pt shot from 13 ft,,0-9,,
9:23.0,,,0-9,,Defensive rebound by Team
8:58.0,,,0-9,,L. Mbah a Moute misses 3-pt shot from 23 ft
8:57.0,,,0-9,,Offensive rebound by D. Jordan
8:45.0,,,0-9,,Turnover by C. Paul (bad pass)
8:32.0,T. Young makes 2-pt shot from 5 ft (assist by P. George),2,2-9,,
8:32.0,Shooting foul by L. Mbah a Moute (drawn by T. Young),,2-9,,
8:32.0,T. Young misses free throw 1 of 1,,2-9,,
8:31.0,,,2-9,,Defensive rebound by B. Griffin
8:18.0,,,2-9,,Shooting foul by T. Young (drawn by B. Griffin)
8:18.0,,,2-10,1,B. Griffin makes free throw 1 of 2
8:18.0,,,2-10,,B. Griffin misses free throw 2 of 2
8:17.0,Defensive rebound by M. Turner,,2-10,,
8:06.0,M. Ellis misses 3-pt shot from 24 ft,,2-10,,
8:05.0,,,2-10,,Defensive rebound by D. Jordan
7:56.0,,,2-10,,J. Redick misses 3-pt shot from 25 ft
7:55.0,Defensive rebound by T. Young,,2-10,,
7:45.0,M. Turner misses 2-pt shot from 19 ft,,2-10,,
7:44.0,,,2-10,,Defensive rebound by B. Griffin
7:39.0,,,2-10,,Turnover by L. Mbah a Moute (step out of bounds)
7:21.0,M. Turner misses 2-pt shot from 10 ft,,2-10,,
7:18.0,,,2-10,,Defensive rebound by C. Paul
7:15.0,,,2-10,,Turnover by C. Paul (bad pass)
7:06.0,M. Ellis makes 2-pt shot from 2 ft (assist by P. George),2,4-10,,
