time,Denver,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. J. Nurkic (N. Jokic gains possession),,,,Jump ball: A. Johnson vs. J. Nurkic (N. Jokic gains possession)
11:47.0,D. Gallinari misses 2-pt shot from 2 ft (block by T. Zeller),,0-0,,
11:45.0,,,0-0,,Defensive rebound by T. Zeller
11:30.0,,,0-2,2,A. Bradley makes 2-pt shot from 17 ft (assist by J. Brown)
11:10.0,J. Nurkic makes 2-pt shot from 1 ft (assist by N. Jokic),2,2-2,,
10:48.0,,,2-2,,T. Zeller misses 2-pt shot from 2 ft
10:47.0,Defensive rebound by J. Nurkic,,2-2,,
10:33.0,N. Jokic makes 2-pt shot from 1 ft,2,4-2,,
10:16.0,,,4-4,2,A. Johnson makes 2-pt shot from 2 ft (assist by A. Bradley)
10:15.0,,,4-4,,Violation by Team (jump ball)
9:59.0,N. Jokic misses 3-pt shot from 26 ft,,4-4,,
9:58.0,Offensive rebound by E. Mudiay,,4-4,,
9:55.0,E. Mudiay makes 2-pt shot from 3 ft,2,6-4,,
9:55.0,,,6-4,,Shooting block foul by T. Zeller (drawn by E. Mudiay)
9:55.0,E. Mudiay makes free throw 1 of 1,1,7-4,,
9:37.0,,,7-4,,I. Thomas misses 3-pt shot from 26 ft
9:36.0,Defensive rebound by Team,,7-4,,
9:21.0,D. Gallinari misses 2-pt shot from 3 ft,,7-4,,
9:19.0,Offensive rebound by J. Nurkic,,7-4,,
9:12.0,J. Nurkic misses 2-pt shot from 6 ft,,7-4,,
9:11.0,Offensive rebound by E. Mudiay,,7-4,,
9:11.0,E. Mudiay makes 2-pt shot from 1 ft,2,9-4,,
9:11.0,,,9-4,,Boston full timeout
8:56.0,,,9-6,2,I. Thomas makes 2-pt shot from 5 ft (assist by J. Brown)
8:39.0,G. Harris makes 2-pt shot from 3 ft (assist by D. Gallinari),2,11-6,,
8:19.0,,,11-6,,I. Thomas misses 2-pt shot from 9 ft
8:18.0,Defensive rebound by E. Mudiay,,11-6,,
8:12.0,Turnover by E. Mudiay (step out of bounds),,11-6,,
8:03.0,,,11-6,,Offensive charge foul by J. Brown
8:03.0,,,11-6,,Turnover by J. Brown (offensive foul)
7:49.0,G. Harris makes 2-pt shot from 20 ft,2,13-6,,
7:34.0,,,13-8,2,T. Zeller makes 2-pt shot from 19 ft (assist by A. Bradley)
7:22.0,G. Harris misses 2-pt shot from 2 ft,,13-8,,
7:22.0,,,13-8,,Defensive rebound by T. Zeller
7:22.0,Personal foul by N. Jokic (drawn by T. Zeller),,13-8,,
7:12.0,,,13-8,,Turnover by T. Zeller (lost ball)
6:52.0,Shooting foul by T. Zeller (drawn by J. Nurkic),,13-8,,
6:52.0,J. Nurkic makes free throw 1 of 2,1,14-8,,
6:52.0,Violation by Team (jump ball),,14-8,,
6:52.0,J. Nurkic misses free throw 2 of 2,,14-8,,
6:52.0,Offensive rebound by D. Gallinari,,14-8,,
6:52.0,,,14-8,,J. Jerebko enters the game for A. Johnson
6:52.0,W. Chandler enters the game for N. Jokic,,14-8,,
6:50.0,Turnover by D. Gallinari (lost ball),,14-8,,
6:36.0,,,14-8,,Turnover by I. Thomas (bad pass; steal by J. Nurkic)
6:32.0,G. Harris makes 2-pt shot at rim (assist by J. Nurkic),2,16-8,,
6:17.0,,,16-8,,A. Bradley misses 2-pt shot from 6 ft (block by J. Nurkic)
6:15.0,Defensive rebound by E. Mudiay,,16-8,,
6:13.0,J. Nelson enters the game for G. Harris,,16-8,,
6:07.0,E. Mudiay makes 2-pt shot at rim,2,18-8,,
5:54.0,,,18-8,,I. Thomas misses 2-pt shot from 4 ft
5:53.0,Defensive rebound by J. Nelson,,18-8,,
5:48.0,W. Chandler misses 2-pt shot from 2 ft (block by J. Jerebko),,18-8,,
5:47.0,,,18-8,,Defensive rebound by A. Bradley
5:40.0,,,18-8,,A. Bradley misses 3-pt shot from 27 ft
5:39.0,Defensive rebound by J. Nurkic,,18-8,,
5:32.0,,,18-8,,Personal foul by J. Brown (drawn by D. Gallinari)
5:32.0,,,18-8,,M. Smart enters the game for J. Brown
5:28.0,D. Gallinari makes 2-pt shot at rim (assist by J. Nurkic),2,20-8,,
5:13.0,,,20-8,,A. Bradley misses 2-pt shot from 18 ft
5:11.0,Defensive rebound by W. Chandler,,20-8,,
4:57.0,E. Mudiay misses 3-pt shot from 26 ft,,20-8,,
4:55.0,,,20-8,,Defensive rebound by Team
4:55.0,Loose ball foul by J. Nelson (drawn by I. Thomas),,20-8,,
4:55.0,,,20-8,,T. Rozier enters the game for A. Bradley
4:55.0,,,20-8,,A. Johnson enters the game for T. Zeller
4:46.0,,,20-8,,Turnover by M. Smart (lost ball; steal by E. Mudiay)
4:45.0,Turnover by E. Mudiay (step out of bounds),,20-8,,
4:40.0,,,20-8,,Shooting foul by D. Gallinari (drawn by I. Thomas)
4:40.0,,,20-9,1,I. Thomas makes free throw 1 of 2
4:40.0,,,20-10,1,I. Thomas makes free throw 2 of 2
4:31.0,,,20-10,,Personal foul by M. Smart (drawn by J. Nurkic)
4:24.0,E. Mudiay makes 2-pt shot from 5 ft,2,22-10,,
4:13.0,,,22-10,,T. Rozier misses 3-pt shot from 26 ft
4:12.0,,,22-10,,Offensive rebound by M. Smart
4:12.0,,,22-10,,M. Smart misses 2-pt shot from 1 ft
4:11.0,Defensive rebound by Team,,22-10,,
4:11.0,,,22-10,,Loose ball foul by J. Jerebko (drawn by J. Nurkic)
4:11.0,J. Nurkic misses free throw 1 of 2,,22-10,,
4:11.0,Offensive rebound by Team,,22-10,,
4:11.0,J. Nurkic makes free throw 2 of 2,1,23-10,,
4:00.0,,,23-12,2,I. Thomas makes 2-pt shot from 12 ft (assist by A. Johnson)
3:51.0,D. Gallinari makes 2-pt shot from 21 ft (assist by W. Chandler),2,25-12,,
3:38.0,,,25-12,,Shooting foul by J. Nelson (drawn by I. Thomas)
3:38.0,,,25-13,1,I. Thomas makes free throw 1 of 2
3:38.0,,,25-14,1,I. Thomas makes free throw 2 of 2
3:38.0,K. Faried enters the game for J. Nurkic,,25-13,,
3:24.0,Shooting foul by J. Jerebko (drawn by E. Mudiay),,25-14,,
3:24.0,E. Mudiay makes free throw 1 of 2,1,26-14,,
3:24.0,E. Mudiay makes free throw 2 of 2,1,27-14,,
3:13.0,,,27-16,2,I. Thomas makes 2-pt shot from 11 ft (assist by A. Johnson)
2:57.0,E. Mudiay makes 2-pt shot from 20 ft (assist by D. Gallinari),2,29-16,,
2:46.0,,,29-16,,Turnover by I. Thomas (bad pass; steal by J. Nelson)
2:35.0,E. Mudiay makes 3-pt shot from 27 ft (assist by D. Gallinari),3,32-16,,
2:28.0,,,32-18,2,M. Smart makes 2-pt shot at rim (assist by I. Thomas)
2:14.0,E. Mudiay makes 3-pt shot from 26 ft,3,35-18,,
2:00.0,,,35-18,,T. Rozier misses 3-pt shot from 23 ft
1:59.0,Defensive rebound by W. Chandler,,35-18,,
1:47.0,E. Mudiay makes 3-pt shot from 27 ft (assist by K. Faried),3,38-18,,
1:45.0,,,38-18,,Boston full timeout
1:45.0,Denver full timeout,,38-18,,
1:45.0,,,38-18,,A. Bradley enters the game for A. Johnson
1:45.0,,,38-18,,G. Green enters the game for I. Thomas
1:45.0,,,38-18,,J. Mickey enters the game for T. Rozier
1:31.0,,,38-20,2,M. Smart makes 2-pt shot from 8 ft (assist by A. Bradley)
1:09.0,E. Mudiay makes 2-pt shot from 13 ft (assist by W. Chandler),2,40-20,,
0:58.0,,,40-22,2,M. Smart makes 2-pt shot from 19 ft
0:46.0,Turnover by K. Faried (bad pass; steal by J. Jerebko),,40-22,,
0:45.0,Personal foul by W. Chandler (drawn by A. Bradley),,40-22,,
0:45.0,,,40-22,,A. Bradley misses free throw 1 of 2
0:45.0,,,40-22,,Offensive rebound by Team
0:45.0,,,40-23,1,A. Bradley makes free throw 2 of 2
0:36.0,J. Nelson makes 2-pt shot from 21 ft,2,42-23,,
0:30.0,,,42-23,,A. Bradley misses 3-pt shot from 27 ft
0:29.0,,,42-23,,Offensive rebound by Team
0:24.0,,,42-23,,M. Smart misses 3-pt shot from 27 ft
0:23.0,Defensive rebound by J. Nelson,,42-23,,
0:02.0,J. Nelson misses 3-pt shot from 26 ft,,42-23,,
0:00.0,,,42-23,,Defensive rebound by G. Green
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,42-26,3,G. Green makes 3-pt shot from 27 ft (assist by J. Brown)
11:23.0,W. Chandler makes 2-pt shot from 3 ft,2,44-26,,
11:13.0,,,44-28,2,J. Mickey makes 2-pt shot at rim (assist by G. Green)
11:02.0,,,44-28,,Def 3 sec tech foul by J. Mickey
11:02.0,J. Murray makes technical free throw,1,45-28,,
10:53.0,W. Chandler makes 2-pt shot from 1 ft,2,47-28,,
10:53.0,Shooting foul by J. Mickey (drawn by W. Chandler),,47-28,,
10:53.0,W. Chandler makes free throw 1 of 1,1,48-28,,
10:40.0,,,48-30,2,J. Mickey makes 2-pt shot at rim (assist by M. Smart)
10:39.0,Denver full timeout,,48-30,,
10:18.0,W. Chandler misses 2-pt shot from 4 ft,,48-30,,
10:16.0,Jump ball: G. Green vs. N. Jokic (K. Faried gains possession),,,,Jump ball: G. Green vs. N. Jokic (K. Faried gains possession)
10:16.0,Offensive rebound by Team,,48-30,,
10:03.0,K. Faried makes 2-pt shot from 4 ft (assist by J. Nelson),2,50-30,,
9:49.0,,,50-30,,J. Brown misses 2-pt shot from 21 ft
9:48.0,,,50-30,,Offensive rebound by M. Smart
9:36.0,,,50-30,,G. Green misses 3-pt shot from 27 ft
9:35.0,Defensive rebound by W. Chandler,,50-30,,
9:29.0,N. Jokic makes 2-pt shot at rim (assist by J. Nelson),2,52-30,,
9:29.0,,,52-30,,Boston full timeout
9:29.0,,,52-30,,J. Jerebko enters the game for J. Brown
9:29.0,,,52-30,,J. Young enters the game for M. Smart
9:17.0,,,52-32,2,J. Mickey makes 2-pt shot at rim (assist by G. Green)
8:53.0,J. Murray makes 2-pt shot from 17 ft,2,54-32,,
8:41.0,,,54-35,3,A. Bradley makes 3-pt shot from 26 ft (assist by G. Green)
8:21.0,Shooting foul by A. Bradley (drawn by K. Faried),,54-35,,
8:21.0,K. Faried misses free throw 1 of 2,,54-35,,
8:21.0,Offensive rebound by Team,,54-35,,
8:21.0,K. Faried makes free throw 2 of 2,1,55-35,,
8:21.0,E. Mudiay enters the game for J. Murray,,54-35,,
8:11.0,,,55-35,,A. Bradley misses 2-pt shot from 20 ft
8:10.0,Defensive rebound by E. Mudiay,,55-35,,
7:59.0,Shooting foul by J. Young (drawn by K. Faried),,55-35,,
7:59.0,K. Faried makes free throw 1 of 2,1,56-35,,
7:59.0,K. Faried misses free throw 2 of 2,,56-35,,
7:59.0,,,56-35,,Defensive rebound by T. Zeller
7:59.0,,,56-35,,I. Thomas enters the game for G. Green
7:59.0,,,56-35,,T. Zeller enters the game for J. Mickey
7:43.0,,,56-35,,J. Young misses 2-pt shot from 20 ft
7:42.0,,,56-35,,Offensive rebound by J. Jerebko
7:39.0,,,56-35,,Turnover by J. Young (kicked ball)
7:39.0,D. Gallinari enters the game for K. Faried,,56-35,,
7:25.0,D. Gallinari misses 2-pt shot from 21 ft,,56-35,,
7:25.0,,,56-35,,Defensive rebound by Team
7:08.0,,,56-35,,Turnover by I. Thomas (bad pass; steal by N. Jokic)
