time,Milwaukee,pts.away,score,pts.home,LA Clippers
3:28.0,Personal foul by M. Dellavedova (drawn by J. Redick),,90-85,,
3:28.0,,,90-85,,J. Redick misses free throw 1 of 2
3:28.0,,,90-85,,Offensive rebound by Team
3:28.0,,,90-86,1,J. Redick makes free throw 2 of 2
3:20.0,Shooting foul by J. Crawford (drawn by G. Monroe),,90-86,,
3:20.0,G. Monroe makes free throw 1 of 2,1,91-86,,
3:20.0,G. Monroe makes free throw 2 of 2,1,92-86,,
2:58.0,,,92-86,,C. Paul misses 3-pt shot from 23 ft
2:56.0,,,92-86,,Offensive rebound by Team
2:56.0,,,92-86,,Turnover by Team (shot clock)
2:56.0,Milwaukee full timeout,,92-86,,
2:43.0,M. Brogdon misses 3-pt shot from 24 ft,,92-86,,
2:42.0,,,92-86,,Defensive rebound by D. Jordan
2:32.0,,,92-86,,Turnover by C. Paul (bad pass)
2:17.0,,,92-86,,Personal foul by C. Paul (drawn by G. Antetokounmpo)
2:17.0,G. Antetokounmpo misses free throw 1 of 2,,92-86,,
2:17.0,Offensive rebound by Team,,92-86,,
2:17.0,G. Antetokounmpo makes free throw 2 of 2,1,93-86,,
2:02.0,,,93-88,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
1:50.0,Shooting foul by D. Jordan (drawn by G. Antetokounmpo),,93-88,,
1:50.0,G. Antetokounmpo makes free throw 1 of 2,1,94-88,,
1:50.0,G. Antetokounmpo misses free throw 2 of 2,,94-88,,
1:49.0,,,94-88,,Defensive rebound by D. Jordan
1:38.0,,,94-91,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
1:17.0,M. Dellavedova makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,97-91,,
1:17.0,,,97-91,,LA Clippers full timeout
1:05.0,,,97-93,2,D. Jordan makes 2-pt shot from 2 ft (assist by J. Redick)
0:46.0,T. Snell misses 3-pt shot from 24 ft,,97-93,,
0:45.0,,,97-93,,Defensive rebound by D. Jordan
0:30.0,,,97-93,,Shooting foul by M. Dellavedova (drawn by D. Jordan)
0:30.0,,,97-95,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
0:30.0,,,97-96,1,D. Jordan makes free throw 1 of 1
0:30.0,Milwaukee full timeout,,97-96,,
0:30.0,,,97-95,,L. Mbah a Moute enters the game for J. Crawford
0:30.0,K. Middleton enters the game for M. Brogdon,,97-96,,
0:05.0,G. Antetokounmpo misses 2-pt shot from 17 ft,,97-96,,
0:05.0,,,97-96,,Defensive rebound by B. Griffin
0:05.0,,,97-96,,LA Clippers full timeout
0:05.0,,,97-96,,M. Speights enters the game for L. Mbah a Moute
0:05.0,,,97-96,,J. Crawford enters the game for D. Jordan
0:01.0,,,97-96,,B. Griffin misses 2-pt shot from 2 ft
0:00.0,,,97-96,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
