time,Oklahoma City,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. N. Noel (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. N. Noel (R. Westbrook gains possession)
11:38.0,T. Gibson makes 2-pt shot from 2 ft (assist by R. Westbrook),2,2-0,,
11:18.0,,,2-2,2,N. Noel makes 2-pt shot from 19 ft (assist by D. Nowitzki)
10:55.0,S. Adams misses 2-pt shot from 8 ft,,2-2,,
10:54.0,,,2-2,,Defensive rebound by Y. Ferrell
10:39.0,,,2-2,,N. Noel misses 2-pt shot from 17 ft
10:37.0,Defensive rebound by R. Westbrook,,2-2,,
10:33.0,Turnover by R. Westbrook (bad pass; steal by N. Noel),,2-2,,
10:18.0,,,2-2,,D. Nowitzki misses 2-pt shot from 18 ft
10:17.0,Defensive rebound by A. Roberson,,2-2,,
10:05.0,R. Westbrook makes 2-pt shot from 11 ft,2,4-2,,
9:51.0,,,4-2,,H. Barnes misses 3-pt shot from 24 ft
9:51.0,Defensive rebound by V. Oladipo,,4-2,,
9:36.0,V. Oladipo misses 2-pt shot from 1 ft,,4-2,,
9:34.0,,,4-2,,Defensive rebound by D. Nowitzki
9:29.0,,,4-2,,Shooting foul by T. Gibson (drawn by N. Noel)
9:29.0,,,4-3,1,N. Noel makes free throw 1 of 2
9:29.0,,,4-4,1,N. Noel makes free throw 2 of 2
9:19.0,V. Oladipo makes 3-pt shot from 23 ft (assist by R. Westbrook),3,7-4,,
9:02.0,,,7-6,2,H. Barnes makes 2-pt shot at rim (assist by Y. Ferrell)
8:44.0,R. Westbrook makes 2-pt shot from 13 ft,2,9-6,,
8:25.0,,,9-6,,H. Barnes misses 2-pt shot from 12 ft
8:23.0,Defensive rebound by V. Oladipo,,9-6,,
8:14.0,T. Gibson misses 2-pt shot from 17 ft,,9-6,,
8:13.0,,,9-6,,Defensive rebound by N. Noel
7:58.0,,,9-6,,Turnover by W. Matthews (bad pass; steal by S. Adams)
