time,Houston,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. J. Nurkic (D. Lillard gains possession),,,,Jump ball: C. Capela vs. J. Nurkic (D. Lillard gains possession)
11:44.0,,,0-2,2,C. McCollum makes 2-pt shot from 1 ft
11:30.0,T. Ariza misses 3-pt shot from 25 ft,,0-2,,
11:29.0,,,0-2,,Defensive rebound by M. Harkless
11:18.0,,,0-2,,C. McCollum misses 2-pt shot from 19 ft
11:16.0,Defensive rebound by P. Beverley,,0-2,,
11:09.0,E. Gordon makes 3-pt shot from 25 ft (assist by P. Beverley),3,3-2,,
10:51.0,,,3-2,,M. Harkless misses 2-pt shot from 7 ft
10:50.0,,,3-2,,Offensive rebound by M. Harkless
10:47.0,,,3-4,2,M. Harkless makes 2-pt shot from 2 ft
10:32.0,J. Harden makes 2-pt shot from 1 ft,2,5-4,,
10:14.0,,,5-4,,M. Harkless misses 2-pt shot at rim (block by C. Capela)
10:12.0,Defensive rebound by Team,,5-4,,
10:04.0,Shooting foul by N. Vonleh (drawn by J. Harden),,5-4,,
10:04.0,J. Harden makes free throw 1 of 3,1,6-4,,
10:04.0,J. Harden makes free throw 2 of 3,1,7-4,,
10:04.0,J. Harden makes free throw 3 of 3,1,8-4,,
9:56.0,,,8-4,,Turnover by J. Nurkic (bad pass)
9:48.0,,,8-4,,Violation by J. Nurkic (def goaltending)
9:48.0,J. Harden makes 2-pt shot from 11 ft,2,10-4,,
9:32.0,,,10-7,3,D. Lillard makes 3-pt shot from 26 ft
9:19.0,E. Gordon misses 3-pt shot from 25 ft,,10-7,,
9:18.0,,,10-7,,Defensive rebound by N. Vonleh
9:07.0,,,10-9,2,M. Harkless makes 2-pt shot from 2 ft (assist by D. Lillard)
8:55.0,Turnover by P. Beverley (lost ball; steal by D. Lillard),,10-9,,
8:53.0,,,10-11,2,M. Harkless makes 2-pt shot at rim
8:41.0,J. Harden misses 3-pt shot from 26 ft,,10-11,,
8:40.0,,,10-11,,Defensive rebound by J. Nurkic
8:28.0,,,10-11,,J. Nurkic misses 2-pt shot from 3 ft
8:27.0,,,10-11,,Offensive rebound by J. Nurkic
8:27.0,,,10-11,,J. Nurkic misses 2-pt shot from 1 ft
8:26.0,Defensive rebound by Team,,10-11,,
8:26.0,,,10-11,,Loose ball foul by N. Vonleh (drawn by C. Capela)
8:26.0,,,10-11,,A. Aminu enters the game for N. Vonleh
8:13.0,P. Beverley misses 3-pt shot from 25 ft,,10-11,,
8:09.0,,,10-11,,Defensive rebound by Team
8:09.0,Loose ball foul by C. Capela (drawn by J. Nurkic),,10-11,,
7:56.0,,,10-11,,A. Aminu misses 3-pt shot from 24 ft
7:55.0,Defensive rebound by T. Ariza,,10-11,,
7:48.0,T. Ariza makes 3-pt shot from 26 ft (assist by J. Harden),3,13-11,,
7:28.0,,,13-14,3,D. Lillard makes 3-pt shot from 29 ft (assist by C. McCollum)
7:16.0,J. Harden misses 3-pt shot from 25 ft,,13-14,,
7:16.0,,,13-14,,Defensive rebound by Team
7:00.0,,,13-14,,Turnover by J. Nurkic (lost ball; steal by J. Harden)
6:54.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,15-14,,
6:34.0,,,15-14,,C. McCollum misses 3-pt shot from 24 ft
6:33.0,,,15-14,,Offensive rebound by J. Nurkic
6:30.0,,,15-14,,J. Nurkic misses 2-pt shot from 1 ft
6:30.0,,,15-14,,Offensive rebound by M. Harkless
6:29.0,,,15-16,2,M. Harkless makes 2-pt shot from 2 ft
6:10.0,C. Capela misses 2-pt shot from 3 ft,,15-16,,
6:08.0,,,15-16,,Defensive rebound by D. Lillard
6:02.0,Shooting block foul by C. Capela (drawn by J. Nurkic),,15-16,,
6:02.0,,,15-17,1,J. Nurkic makes free throw 1 of 2
6:02.0,,,15-17,,J. Nurkic misses free throw 2 of 2
6:02.0,N. Hilario enters the game for C. Capela,,15-17,,
6:01.0,Defensive rebound by J. Harden,,15-17,,
5:48.0,,,15-17,,Personal foul by C. McCollum
5:48.0,,,15-17,,Portland full timeout
5:48.0,L. Williams enters the game for P. Beverley,,15-17,,
5:48.0,,,15-17,,A. Crabbe enters the game for C. McCollum
5:40.0,T. Ariza misses 2-pt shot at rim (block by J. Nurkic),,15-17,,
5:40.0,Offensive rebound by Team,,15-17,,
5:34.0,T. Ariza makes 2-pt shot from 21 ft,2,17-17,,
5:19.0,,,17-20,3,M. Harkless makes 3-pt shot from 25 ft (assist by D. Lillard)
5:02.0,J. Harden makes 2-pt shot at rim (assist by E. Gordon),2,19-20,,
4:46.0,,,19-23,3,D. Lillard makes 3-pt shot from 26 ft
4:34.0,Turnover by T. Ariza (lost ball),,19-23,,
4:22.0,,,19-23,,D. Lillard misses 3-pt shot from 28 ft
4:21.0,Defensive rebound by Team,,19-23,,
4:09.0,N. Hilario misses 2-pt shot from 3 ft (block by J. Nurkic),,19-23,,
4:08.0,Offensive rebound by N. Hilario,,19-23,,
4:04.0,N. Hilario makes 2-pt shot from 2 ft (assist by T. Ariza),2,21-23,,
4:04.0,Shooting foul by J. Nurkic (drawn by N. Hilario),,21-23,,
4:04.0,N. Hilario makes free throw 1 of 1,1,22-23,,
3:51.0,,,22-23,,A. Aminu misses 2-pt shot from 9 ft
3:51.0,Defensive rebound by Team,,22-23,,
3:42.0,J. Harden misses 2-pt shot from 9 ft,,22-23,,
3:41.0,,,22-23,,Defensive rebound by J. Nurkic
3:34.0,,,22-23,,A. Crabbe misses 2-pt shot from 9 ft
3:33.0,,,22-23,,Offensive rebound by J. Nurkic
3:32.0,,,22-25,2,J. Nurkic makes 2-pt shot at rim
3:21.0,N. Hilario makes 2-pt shot from 1 ft (assist by L. Williams),2,24-25,,
3:13.0,Personal foul by E. Gordon (drawn by D. Lillard),,24-25,,
3:13.0,,,24-25,,E. Turner enters the game for M. Harkless
3:13.0,,,24-25,,M. Leonard enters the game for J. Nurkic
3:13.0,S. Dekker enters the game for E. Gordon,,24-25,,
3:06.0,,,24-27,2,A. Aminu makes 2-pt shot at rim (assist by D. Lillard)
3:00.0,Shooting foul by A. Crabbe (drawn by L. Williams),,24-27,,
3:00.0,L. Williams makes free throw 1 of 3,1,25-27,,
3:00.0,L. Williams misses free throw 2 of 3,,25-27,,
3:00.0,Offensive rebound by Team,,25-27,,
3:00.0,L. Williams makes free throw 3 of 3,1,26-27,,
2:48.0,Houston full timeout,,26-27,,
2:40.0,,,26-27,,A. Crabbe misses 3-pt shot from 24 ft
2:39.0,Defensive rebound by J. Harden,,26-27,,
2:31.0,N. Hilario makes 2-pt shot from 1 ft (assist by L. Williams),2,28-27,,
2:09.0,,,28-29,2,A. Crabbe makes 2-pt shot from 3 ft (assist by E. Turner)
1:49.0,Turnover by J. Harden (bad pass; steal by E. Turner),,28-29,,
1:45.0,,,28-31,2,D. Lillard makes 2-pt shot at rim (assist by E. Turner)
1:30.0,Turnover by N. Hilario (bad pass; steal by A. Aminu),,28-31,,
1:24.0,,,28-31,,Shooting foul by S. Dekker (drawn by A. Aminu)
1:24.0,,,28-32,1,A. Aminu makes free throw 1 of 2
1:24.0,,,28-32,,A. Aminu misses free throw 2 of 2
1:24.0,,,28-32,,C. McCollum enters the game for D. Lillard
1:23.0,Defensive rebound by N. Hilario,,28-32,,
1:11.0,N. Hilario misses 2-pt shot from 20 ft,,28-32,,
1:11.0,,,28-32,,Defensive rebound by M. Leonard
1:00.0,,,28-32,,Turnover by E. Turner (lost ball; steal by L. Williams)
0:52.0,S. Dekker misses 2-pt shot from 1 ft,,28-32,,
0:51.0,,,28-32,,Defensive rebound by A. Aminu
0:31.0,,,28-32,,C. McCollum misses 2-pt shot from 22 ft
0:30.0,Defensive rebound by S. Dekker,,28-32,,
0:10.0,J. Harden makes 3-pt shot from 25 ft,3,31-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,L. Williams misses 3-pt shot from 27 ft,,31-32,,
11:44.0,,,31-32,,Defensive rebound by E. Turner
11:26.0,,,31-34,2,A. Aminu makes 2-pt shot at rim
11:16.0,E. Gordon misses 2-pt shot from 2 ft (block by M. Leonard),,31-34,,
11:16.0,Offensive rebound by Team,,31-34,,
11:11.0,Shooting foul by A. Crabbe (drawn by P. Beverley),,31-34,,
11:11.0,P. Beverley makes free throw 1 of 2,1,32-34,,
11:11.0,P. Beverley makes free throw 2 of 2,1,33-34,,
10:58.0,,,33-34,,A. Crabbe misses 2-pt shot from 2 ft
10:58.0,Defensive rebound by P. Beverley,,33-34,,
10:52.0,L. Williams misses 2-pt shot from 1 ft,,33-34,,
10:49.0,Offensive rebound by S. Dekker,,33-34,,
10:42.0,E. Gordon makes 3-pt shot from 24 ft (assist by P. Beverley),3,36-34,,
10:21.0,,,36-37,3,C. McCollum makes 3-pt shot from 25 ft (assist by E. Turner)
10:07.0,L. Williams misses 2-pt shot from 14 ft,,36-37,,
10:06.0,,,36-37,,Defensive rebound by M. Leonard
10:01.0,Personal foul by L. Williams,,36-37,,
10:01.0,,,36-37,,N. Vonleh enters the game for M. Leonard
9:53.0,,,36-40,3,A. Crabbe makes 3-pt shot from 25 ft (assist by N. Vonleh)
9:42.0,Turnover by E. Gordon (step out of bounds),,36-40,,
9:26.0,Personal foul by S. Dekker (drawn by A. Aminu),,36-40,,
9:22.0,,,36-40,,C. McCollum misses 3-pt shot from 25 ft
9:22.0,Defensive rebound by Team,,36-40,,
9:12.0,L. Williams misses 2-pt shot from 2 ft,,36-40,,
9:12.0,Offensive rebound by C. Capela,,36-40,,
9:09.0,C. Capela makes 2-pt shot from 3 ft,2,38-40,,
8:51.0,,,38-43,3,A. Aminu makes 3-pt shot from 24 ft (assist by A. Crabbe)
8:34.0,Shooting foul by N. Vonleh (drawn by C. Capela),,38-43,,
8:34.0,Official timeout,,38-43,,
8:34.0,C. Capela makes free throw 1 of 2,1,39-43,,
8:34.0,C. Capela makes free throw 2 of 2,1,40-43,,
8:20.0,,,40-46,3,A. Crabbe makes 3-pt shot from 25 ft (assist by C. McCollum)
7:59.0,P. Beverley misses 3-pt shot from 25 ft,,40-46,,
7:58.0,,,40-46,,Defensive rebound by A. Aminu
7:52.0,,,40-46,,Shooting foul by P. Beverley (drawn by N. Vonleh)
7:52.0,,,40-46,,N. Vonleh misses free throw 1 of 2
7:52.0,,,40-46,,Offensive rebound by Team
7:52.0,,,40-47,1,N. Vonleh makes free throw 2 of 2
7:42.0,P. Beverley makes 2-pt shot from 1 ft,2,42-47,,
7:30.0,,,42-47,,C. McCollum misses 2-pt shot from 20 ft
7:29.0,Defensive rebound by P. Beverley,,42-47,,
7:16.0,Turnover by L. Williams (bad pass; steal by A. Crabbe),,42-47,,
7:10.0,,,42-49,2,A. Crabbe makes 2-pt shot from 9 ft
7:05.0,Shooting foul by C. McCollum (drawn by L. Williams),,42-49,,
7:05.0,L. Williams misses free throw 1 of 2,,42-49,,
7:05.0,Offensive rebound by Team,,42-49,,
7:05.0,L. Williams misses free throw 2 of 2,,42-49,,
7:05.0,,,42-49,,Defensive rebound by Team
7:05.0,Loose ball foul by C. Capela (drawn by J. Nurkic),,42-49,,
7:05.0,,,42-49,,J. Nurkic enters the game for N. Vonleh
7:05.0,,,42-49,,D. Lillard enters the game for C. McCollum
7:05.0,,,42-49,,M. Harkless enters the game for E. Turner
7:05.0,N. Hilario enters the game for C. Capela,,42-49,,
6:52.0,,,42-51,2,J. Nurkic makes 2-pt shot from 3 ft (assist by D. Lillard)
6:35.0,Turnover by N. Hilario (traveling),,42-51,,
6:23.0,,,42-54,3,A. Crabbe makes 3-pt shot from 22 ft (assist by D. Lillard)
6:21.0,Houston full timeout,,42-54,,
6:21.0,J. Harden enters the game for P. Beverley,,42-54,,
6:21.0,T. Ariza enters the game for S. Dekker,,42-54,,
6:01.0,N. Hilario makes 2-pt shot at rim (assist by J. Harden),2,44-54,,
5:49.0,,,44-54,,D. Lillard misses 2-pt shot from 2 ft
5:48.0,,,44-54,,Offensive rebound by Team
5:40.0,,,44-54,,J. Nurkic misses 2-pt shot from 1 ft
5:40.0,Defensive rebound by J. Harden,,44-54,,
5:26.0,E. Gordon misses 2-pt shot from 14 ft,,44-54,,
5:25.0,Offensive rebound by T. Ariza,,44-54,,
5:12.0,L. Williams misses 3-pt shot from 23 ft,,44-54,,
5:12.0,Offensive rebound by Team,,44-54,,
5:09.0,J. Harden misses 2-pt shot from 8 ft,,44-54,,
5:08.0,Offensive rebound by J. Harden,,44-54,,
5:05.0,T. Ariza makes 3-pt shot from 25 ft (assist by N. Hilario),3,47-54,,
4:50.0,,,47-54,,Turnover by D. Lillard (bad pass; steal by T. Ariza)
4:45.0,E. Gordon makes 2-pt shot from 2 ft (assist by T. Ariza),2,49-54,,
4:45.0,,,49-54,,Portland full timeout
4:45.0,P. Beverley enters the game for L. Williams,,49-54,,
4:25.0,Personal foul by P. Beverley (drawn by D. Lillard),,49-54,,
4:25.0,,,49-55,1,D. Lillard makes free throw 1 of 2
4:25.0,,,49-56,1,D. Lillard makes free throw 2 of 2
4:25.0,,,49-55,,E. Turner enters the game for A. Aminu
4:04.0,J. Harden misses 2-pt shot from 16 ft,,49-56,,
4:03.0,,,49-56,,Defensive rebound by D. Lillard
3:56.0,,,49-58,2,J. Nurkic makes 2-pt shot from 3 ft (assist by D. Lillard)
3:56.0,Shooting block foul by N. Hilario (drawn by J. Nurkic),,49-58,,
3:56.0,,,49-59,1,J. Nurkic makes free throw 1 of 1
3:40.0,J. Harden misses 2-pt shot from 10 ft,,49-59,,
3:38.0,Offensive rebound by N. Hilario,,49-59,,
3:30.0,E. Gordon misses 3-pt shot from 27 ft,,49-59,,
3:29.0,,,49-59,,Defensive rebound by J. Nurkic
3:18.0,,,49-59,,M. Harkless misses 3-pt shot from 25 ft
3:17.0,,,49-59,,Offensive rebound by J. Nurkic
3:01.0,,,49-59,,E. Turner misses 3-pt shot from 25 ft
3:01.0,Defensive rebound by Team,,49-59,,
3:01.0,,,49-59,,Loose ball foul by J. Nurkic (drawn by N. Hilario)
3:01.0,,,49-59,,C. McCollum enters the game for A. Crabbe
2:50.0,Turnover by J. Harden (bad pass; steal by D. Lillard),,49-59,,
2:44.0,,,49-59,,Turnover by D. Lillard (bad pass; steal by T. Ariza)
2:42.0,Shooting foul by E. Turner (drawn by J. Harden),,49-59,,
2:42.0,J. Harden makes free throw 1 of 2,1,50-59,,
2:42.0,J. Harden misses free throw 2 of 2,,50-59,,
2:41.0,,,50-59,,Defensive rebound by E. Turner
2:19.0,,,50-59,,C. McCollum misses 2-pt shot from 10 ft
2:19.0,,,50-59,,Offensive rebound by M. Harkless
2:19.0,,,50-59,,M. Harkless misses 2-pt shot from 2 ft
2:17.0,,,50-59,,Offensive rebound by M. Harkless
2:05.0,,,50-59,,Offensive foul by J. Nurkic
2:05.0,,,50-59,,Turnover by J. Nurkic (offensive foul)
1:56.0,J. Harden makes 2-pt shot from 14 ft,2,52-59,,
1:37.0,,,52-59,,Shooting foul by E. Gordon (drawn by J. Nurkic)
1:37.0,,,52-60,1,J. Nurkic makes free throw 1 of 2
1:37.0,,,52-61,1,J. Nurkic makes free throw 2 of 2
1:37.0,S. Dekker enters the game for E. Gordon,,52-60,,
1:21.0,T. Ariza makes 2-pt shot from 1 ft (assist by N. Hilario),2,54-61,,
1:14.0,,,54-61,,Shooting foul by T. Ariza (drawn by D. Lillard)
1:14.0,,,54-62,1,D. Lillard makes free throw 1 of 2
1:14.0,,,54-63,1,D. Lillard makes free throw 2 of 2
