time,Dallas,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Maker vs. D. Nowitzki (K. Middleton gains possession),,,,Jump ball: T. Maker vs. D. Nowitzki (K. Middleton gains possession)
11:47.0,,,0-2,2,M. Dellavedova makes 2-pt shot from 3 ft
11:30.0,D. Nowitzki makes 2-pt shot from 21 ft (assist by W. Matthews),2,2-2,,
11:09.0,,,2-4,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova)
10:50.0,H. Barnes makes 2-pt shot from 16 ft,2,4-4,,
10:23.0,,,4-4,,K. Middleton misses 3-pt shot from 24 ft
10:22.0,Defensive rebound by D. Finney-Smith,,4-4,,
10:15.0,Y. Ferrell makes 3-pt shot from 26 ft,3,7-4,,
10:02.0,,,7-4,,T. Maker misses 2-pt shot from 1 ft
10:01.0,Defensive rebound by D. Nowitzki,,7-4,,
9:53.0,D. Nowitzki makes 3-pt shot from 26 ft (assist by Y. Ferrell),3,10-4,,
9:36.0,,,10-7,3,T. Snell makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
9:05.0,H. Barnes makes 2-pt shot from 19 ft,2,12-7,,
8:51.0,,,12-9,2,G. Antetokounmpo makes 2-pt shot from 1 ft
8:32.0,Y. Ferrell makes 3-pt shot from 26 ft (assist by D. Nowitzki),3,15-9,,
8:20.0,,,15-11,2,G. Antetokounmpo makes 2-pt shot from 1 ft
8:00.0,D. Nowitzki makes 3-pt shot from 29 ft (assist by W. Matthews),3,18-11,,
7:59.0,,,18-11,,Milwaukee full timeout
7:59.0,,,18-11,,G. Monroe enters the game for T. Maker
7:40.0,,,18-13,2,M. Dellavedova makes 2-pt shot from 6 ft
7:18.0,Y. Ferrell misses 2-pt shot from 5 ft,,18-13,,
7:17.0,Offensive rebound by D. Finney-Smith,,18-13,,
7:13.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Finney-Smith),3,21-13,,
6:49.0,,,21-16,3,T. Snell makes 3-pt shot from 24 ft (assist by G. Antetokounmpo)
6:30.0,D. Nowitzki misses 3-pt shot from 24 ft,,21-16,,
6:28.0,,,21-16,,Defensive rebound by K. Middleton
6:25.0,,,21-18,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton)
5:58.0,D. Finney-Smith misses 3-pt shot from 23 ft,,21-18,,
