time,Sacramento,pts.away,score,pts.home,Boston
2:20.0,,,19-29,,K. Olynyk enters the game for A. Bradley
1:56.0,,,19-29,,Turnover by Team (shot clock)
1:43.0,D. Cousins makes 2-pt shot from 1 ft (assist by M. Barnes),2,21-29,,
1:40.0,,,21-29,,Turnover by T. Zeller (bad pass; steal by T. Lawson)
1:38.0,T. Lawson makes 2-pt shot at rim,2,23-29,,
1:22.0,,,23-29,,I. Thomas misses 2-pt shot from 2 ft (block by D. Cousins)
1:21.0,Defensive rebound by M. Barnes,,23-29,,
1:15.0,O. Casspi makes 3-pt shot from 26 ft (assist by M. Barnes),3,26-29,,
1:00.0,,,26-29,,J. Brown misses 2-pt shot from 6 ft (block by G. Temple)
0:59.0,Defensive rebound by M. Barnes,,26-29,,
0:42.0,Shooting foul by I. Thomas (drawn by M. Barnes),,26-29,,
0:42.0,M. Barnes makes free throw 1 of 2,1,27-29,,
0:42.0,M. Barnes misses free throw 2 of 2,,27-29,,
0:42.0,,,27-29,,Defensive rebound by J. Jerebko
0:42.0,,,27-29,,T. Rozier enters the game for I. Thomas
0:42.0,,,27-29,,J. Jerebko enters the game for T. Zeller
0:20.0,,,27-29,,Turnover by T. Rozier (bad pass; steal by M. Barnes)
0:16.0,G. Temple misses 2-pt shot from 1 ft,,27-29,,
0:15.0,Offensive rebound by T. Lawson,,27-29,,
0:14.0,Shooting foul by J. Brown (drawn by T. Lawson),,27-29,,
0:14.0,T. Lawson makes free throw 1 of 2,1,28-29,,
0:14.0,T. Lawson makes free throw 2 of 2,1,29-29,,
0:14.0,R. Gay enters the game for D. Cousins,,28-29,,
0:02.0,,,29-29,,T. Rozier misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by R. Gay,,29-29,,
0:01.0,R. Gay misses 3-pt shot from 79 ft,,29-29,,
0:00.0,Offensive rebound by Team,,29-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
