time,Sacramento,pts.away,score,pts.home,Boston
5:14.0,Shooting foul by I. Thomas (drawn by D. Cousins),,76-84,,
5:14.0,D. Cousins makes free throw 1 of 2,1,77-84,,
5:14.0,D. Cousins makes free throw 2 of 2,1,78-84,,
5:00.0,,,78-84,,Turnover by A. Horford (lost ball)
4:51.0,R. Gay makes 3-pt shot from 23 ft (assist by D. Cousins),3,81-84,,
4:27.0,,,81-86,2,J. Crowder makes 2-pt shot from 22 ft (assist by I. Thomas)
4:05.0,M. Barnes makes 2-pt shot from 1 ft (assist by D. Cousins),2,83-86,,
3:43.0,,,83-89,3,A. Horford makes 3-pt shot from 26 ft (assist by I. Thomas)
3:21.0,D. Cousins makes 2-pt shot from 5 ft (assist by G. Temple),2,85-89,,
3:04.0,,,85-89,,Shooting foul by D. Cousins (drawn by I. Thomas)
3:04.0,,,85-90,1,I. Thomas makes free throw 1 of 2
3:04.0,,,85-90,,I. Thomas misses free throw 2 of 2
3:04.0,Defensive rebound by D. Cousins,,85-90,,
3:04.0,,,85-90,,M. Smart enters the game for T. Rozier
2:41.0,D. Cousins misses 2-pt shot from 2 ft,,85-90,,
2:39.0,Offensive rebound by D. Cousins,,85-90,,
2:27.0,D. Cousins misses 2-pt shot from 7 ft,,85-90,,
2:26.0,,,85-90,,Defensive rebound by A. Bradley
2:08.0,,,85-90,,I. Thomas misses 2-pt shot from 2 ft
2:07.0,Defensive rebound by R. Gay,,85-90,,
1:58.0,R. Gay misses 3-pt shot from 26 ft,,85-90,,
1:57.0,Offensive rebound by M. Barnes,,85-90,,
1:55.0,M. Barnes misses 2-pt shot from 1 ft,,85-90,,
1:55.0,,,85-90,,Defensive rebound by A. Horford
1:54.0,Personal foul by D. Cousins (drawn by I. Thomas),,85-90,,
1:54.0,Official timeout,,85-90,,
1:33.0,,,85-90,,I. Thomas misses 2-pt shot from 3 ft
1:32.0,Defensive rebound by M. Barnes,,85-90,,
1:31.0,Shooting foul by M. Smart (drawn by D. Collison),,85-90,,
1:31.0,D. Collison makes free throw 1 of 2,1,86-90,,
1:31.0,D. Collison makes free throw 2 of 2,1,87-90,,
1:15.0,,,87-93,3,A. Horford makes 3-pt shot from 26 ft (assist by J. Crowder)
1:01.0,D. Collison misses 2-pt shot from 1 ft,,87-93,,
1:00.0,Offensive rebound by Team,,87-93,,
1:00.0,Sacramento full timeout,,87-93,,
1:00.0,Shooting foul by A. Bradley (drawn by D. Cousins),,87-93,,
1:00.0,D. Cousins misses free throw 1 of 3,,87-93,,
1:00.0,Offensive rebound by Team,,87-93,,
1:00.0,D. Cousins makes free throw 2 of 3,1,88-93,,
1:00.0,D. Cousins makes free throw 3 of 3,1,89-93,,
1:00.0,,,87-93,,J. Jerebko enters the game for I. Thomas
1:00.0,,,88-93,,I. Thomas enters the game for J. Jerebko
0:46.0,Shooting block foul by D. Collison (drawn by I. Thomas),,89-93,,
0:46.0,,,89-94,1,I. Thomas makes free throw 1 of 2
0:46.0,,,89-95,1,I. Thomas makes free throw 2 of 2
0:39.0,D. Cousins makes 3-pt shot from 26 ft (assist by D. Collison),3,92-95,,
0:32.0,,,92-95,,Boston full timeout
0:16.0,,,92-95,,I. Thomas misses 2-pt shot from 20 ft (block by D. Cousins)
0:15.0,Defensive rebound by M. Barnes,,92-95,,
0:10.0,Sacramento full timeout,,92-95,,
0:10.0,,,92-95,,T. Rozier enters the game for I. Thomas
0:06.0,D. Cousins misses 3-pt shot from 26 ft (block by A. Horford),,92-95,,
0:05.0,,,92-95,,Defensive rebound by A. Horford
0:05.0,Personal foul by G. Temple (drawn by A. Horford),,92-95,,
0:05.0,,,92-96,1,A. Horford makes free throw 1 of 2
0:05.0,,,92-97,1,A. Horford makes free throw 2 of 2
0:05.0,Sacramento full timeout,,92-97,,
0:05.0,,,92-96,,J. Jerebko enters the game for T. Rozier
0:02.0,D. Collison misses 3-pt shot from 25 ft,,92-97,,
0:01.0,,,92-97,,Defensive rebound by J. Jerebko
0:00.0,End of 4th quarter,,,,End of 4th quarter
