time,Orlando,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Nowitzki vs. N. Vucevic (S. Ibaka gains possession),,,,Jump ball: D. Nowitzki vs. N. Vucevic (S. Ibaka gains possession)
11:38.0,M. Hezonja misses 3-pt shot from 22 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by D. Nowitzki
11:26.0,Personal foul by C. Watson (drawn by H. Barnes),,0-0,,
11:15.0,,,0-0,,H. Barnes misses 2-pt shot from 20 ft
11:15.0,Defensive rebound by C. Watson,,0-0,,
11:11.0,,,0-0,,Shooting block foul by D. Williams (drawn by C. Watson)
11:11.0,C. Watson makes free throw 1 of 2,1,1-0,,
11:11.0,C. Watson makes free throw 2 of 2,1,2-0,,
10:56.0,,,2-0,,W. Matthews misses 2-pt shot from 19 ft
10:55.0,Defensive rebound by M. Hezonja,,2-0,,
10:47.0,N. Vucevic misses 2-pt shot from 20 ft,,2-0,,
10:47.0,,,2-0,,Defensive rebound by S. Curry
10:27.0,,,2-0,,Turnover by W. Matthews (bad pass; steal by M. Hezonja)
10:22.0,C. Watson makes 2-pt shot at rim (assist by M. Hezonja),2,4-0,,
10:12.0,,,4-2,2,D. Nowitzki makes 2-pt shot from 20 ft (assist by W. Matthews)
9:52.0,E. Fournier makes 2-pt shot from 3 ft (assist by C. Watson),2,6-2,,
9:38.0,,,6-2,,D. Nowitzki misses 2-pt shot from 21 ft
9:37.0,,,6-2,,Offensive rebound by S. Curry
9:30.0,,,6-2,,H. Barnes misses 3-pt shot from 23 ft
9:27.0,Defensive rebound by N. Vucevic,,6-2,,
9:12.0,E. Fournier makes 2-pt shot from 21 ft,2,8-2,,
8:55.0,,,8-5,3,W. Matthews makes 3-pt shot from 23 ft (assist by D. Williams)
8:38.0,E. Fournier makes 2-pt shot from 5 ft (assist by S. Ibaka),2,10-5,,
8:19.0,,,10-7,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by D. Williams)
7:59.0,N. Vucevic misses 2-pt shot from 7 ft,,10-7,,
7:58.0,Offensive rebound by S. Ibaka,,10-7,,
7:57.0,S. Ibaka makes 2-pt shot from 1 ft,2,12-7,,
7:46.0,,,12-7,,D. Williams misses 2-pt shot from 2 ft
7:45.0,Defensive rebound by C. Watson,,12-7,,
7:41.0,M. Hezonja makes 2-pt shot at rim (assist by C. Watson),2,14-7,,
7:38.0,,,14-7,,Dallas full timeout
7:17.0,,,14-9,2,D. Williams makes 2-pt shot from 19 ft (assist by W. Matthews)
6:59.0,N. Vucevic misses 2-pt shot from 13 ft,,14-9,,
6:58.0,,,14-9,,Defensive rebound by W. Matthews
6:51.0,,,14-9,,Turnover by D. Williams (bad pass; steal by C. Watson)
6:48.0,Turnover by S. Ibaka (bad pass; steal by D. Williams),,14-9,,
6:45.0,,,14-9,,D. Williams misses 3-pt shot from 24 ft
6:42.0,Defensive rebound by N. Vucevic,,14-9,,
6:36.0,,,14-9,,Personal block foul by H. Barnes (drawn by S. Ibaka)
6:36.0,,,14-9,,S. Mejri enters the game for D. Nowitzki
6:30.0,M. Hezonja misses 3-pt shot from 24 ft,,14-9,,
6:27.0,,,14-9,,Defensive rebound by S. Mejri
6:12.0,,,14-9,,S. Curry misses 2-pt shot from 6 ft
6:10.0,Defensive rebound by N. Vucevic,,14-9,,
6:04.0,Turnover by N. Vucevic (lost ball; steal by S. Mejri),,14-9,,
6:04.0,,,14-12,3,W. Matthews makes 3-pt shot from 25 ft (assist by S. Curry)
6:04.0,Orlando full timeout,,14-12,,
5:47.0,E. Fournier misses 2-pt shot from 1 ft (block by S. Mejri),,14-12,,
5:47.0,,,14-12,,Defensive rebound by Team
5:47.0,Loose ball foul by N. Vucevic (drawn by W. Matthews),,14-12,,
5:36.0,,,14-12,,H. Barnes misses 2-pt shot from 2 ft (block by N. Vucevic)
5:34.0,Defensive rebound by M. Hezonja,,14-12,,
5:25.0,Turnover by S. Ibaka (lost ball; steal by W. Matthews),,14-12,,
5:18.0,,,14-12,,H. Barnes misses 2-pt shot from 18 ft
5:17.0,Defensive rebound by N. Vucevic,,14-12,,
5:02.0,M. Hezonja misses 3-pt shot from 24 ft,,14-12,,
5:00.0,Offensive rebound by N. Vucevic,,14-12,,
4:57.0,S. Ibaka misses 2-pt shot from 4 ft,,14-12,,
4:56.0,,,14-12,,Defensive rebound by S. Mejri
4:44.0,,,14-12,,Turnover by S. Mejri (lost ball)
4:44.0,,,14-12,,Y. Ferrell enters the game for D. Williams
4:24.0,E. Payton enters the game for E. Fournier,,14-12,,
4:24.0,J. Green enters the game for M. Hezonja,,14-12,,
4:21.0,S. Ibaka makes 2-pt shot from 19 ft (assist by J. Green),2,16-12,,
4:00.0,,,16-12,,H. Barnes misses 2-pt shot from 4 ft
3:59.0,Defensive rebound by S. Ibaka,,16-12,,
3:59.0,,,16-12,,Loose ball foul by S. Mejri (drawn by N. Vucevic)
3:46.0,C. Watson misses 3-pt shot from 25 ft,,16-12,,
3:45.0,,,16-12,,Defensive rebound by S. Mejri
3:34.0,,,16-15,3,W. Matthews makes 3-pt shot from 25 ft (assist by H. Barnes)
3:19.0,E. Payton makes 2-pt shot from 8 ft,2,18-15,,
3:05.0,,,18-17,2,S. Curry makes 2-pt shot from 19 ft (assist by Y. Ferrell)
2:52.0,J. Green misses 2-pt shot from 20 ft,,18-17,,
2:51.0,,,18-17,,Defensive rebound by S. Mejri
2:40.0,,,18-19,2,Y. Ferrell makes 2-pt shot from 22 ft (assist by W. Matthews)
2:26.0,,,18-19,,Personal foul by Y. Ferrell (drawn by C. Watson)
2:26.0,D. Augustin enters the game for C. Watson,,18-19,,
2:26.0,B. Biyombo enters the game for N. Vucevic,,18-19,,
2:26.0,,,18-19,,D. Harris enters the game for S. Curry
