time,Denver,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. J. Nurkic (W. Chandler gains possession),,,,Jump ball: N. Jokic vs. J. Nurkic (W. Chandler gains possession)
11:36.0,J. Nelson makes 3-pt shot from 23 ft (assist by G. Harris),3,3-0,,
11:23.0,,,3-0,,C. McCollum misses 3-pt shot from 26 ft
11:22.0,,,3-0,,Offensive rebound by J. Nurkic
11:15.0,,,3-2,2,J. Nurkic makes 2-pt shot from 3 ft
11:08.0,,,3-2,,Personal foul by N. Vonleh (drawn by D. Gallinari)
11:01.0,J. Nelson makes 2-pt shot from 2 ft,2,5-2,,
10:46.0,,,5-2,,D. Lillard misses 2-pt shot from 17 ft
10:45.0,,,5-2,,Offensive rebound by N. Vonleh
10:40.0,,,5-5,3,D. Lillard makes 3-pt shot from 25 ft (assist by N. Vonleh)
10:28.0,Shooting foul by J. Nurkic (drawn by N. Jokic),,5-5,,
10:28.0,N. Jokic makes free throw 1 of 2,1,6-5,,
10:28.0,N. Jokic makes free throw 2 of 2,1,7-5,,
10:12.0,,,7-5,,M. Harkless misses 2-pt shot from 1 ft (block by W. Chandler)
10:10.0,Defensive rebound by W. Chandler,,7-5,,
10:04.0,J. Nelson misses 3-pt shot from 24 ft,,7-5,,
10:03.0,,,7-5,,Defensive rebound by N. Vonleh
9:42.0,,,7-5,,D. Lillard misses 3-pt shot from 24 ft
9:40.0,Defensive rebound by N. Jokic,,7-5,,
9:28.0,W. Chandler misses 2-pt shot from 9 ft,,7-5,,
9:26.0,,,7-5,,Defensive rebound by D. Lillard
9:16.0,,,7-5,,J. Nurkic misses 2-pt shot from 3 ft
9:16.0,,,7-5,,Offensive rebound by J. Nurkic
9:16.0,,,7-5,,Shooting foul by D. Gallinari (drawn by J. Nurkic)
9:16.0,,,7-6,1,J. Nurkic makes free throw 1 of 2
9:16.0,,,7-7,1,J. Nurkic makes free throw 2 of 2
8:54.0,N. Jokic makes 2-pt shot from 3 ft,2,9-7,,
8:40.0,,,9-9,2,J. Nurkic makes 2-pt shot from 3 ft
8:27.0,N. Jokic makes 3-pt shot from 25 ft (assist by J. Nelson),3,12-9,,
8:12.0,,,12-11,2,M. Harkless makes 2-pt shot from 1 ft
8:00.0,W. Chandler makes 2-pt shot from 3 ft,2,14-11,,
8:00.0,Shooting foul by M. Harkless (drawn by W. Chandler),,14-11,,
8:00.0,W. Chandler makes free throw 1 of 1,1,15-11,,
7:51.0,,,15-13,2,M. Harkless makes 2-pt shot from 2 ft (assist by J. Nurkic)
7:38.0,D. Gallinari misses 3-pt shot from 25 ft,,15-13,,
7:37.0,,,15-13,,Defensive rebound by D. Lillard
7:30.0,,,15-13,,Turnover by D. Lillard (bad pass)
7:11.0,Shooting foul by M. Harkless (drawn by J. Nelson),,15-13,,
7:11.0,J. Nelson makes free throw 1 of 2,1,16-13,,
7:11.0,J. Nelson makes free throw 2 of 2,1,17-13,,
7:11.0,,,16-13,,A. Crabbe enters the game for M. Harkless
6:58.0,,,17-15,2,C. McCollum makes 2-pt shot from 22 ft (assist by D. Lillard)
6:45.0,D. Gallinari misses 2-pt shot from 9 ft,,17-15,,
6:44.0,,,17-15,,Defensive rebound by J. Nurkic
6:38.0,,,17-17,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
6:38.0,Shooting block foul by D. Gallinari (drawn by J. Nurkic),,17-17,,
6:38.0,,,17-18,1,J. Nurkic makes free throw 1 of 1
6:38.0,K. Faried enters the game for D. Gallinari,,17-17,,
6:27.0,,,17-18,,Personal foul by A. Crabbe (drawn by W. Chandler)
6:27.0,W. Chandler misses free throw 1 of 2,,17-18,,
6:27.0,Offensive rebound by Team,,17-18,,
6:27.0,W. Chandler makes free throw 2 of 2,1,18-18,,
6:13.0,,,18-20,2,N. Vonleh makes 2-pt shot at rim (assist by C. McCollum)
6:03.0,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic),2,20-20,,
5:52.0,,,20-20,,A. Crabbe misses 3-pt shot from 22 ft
5:51.0,Defensive rebound by Team,,20-20,,
5:51.0,,,20-20,,Portland full timeout
5:37.0,Turnover by N. Jokic (3 sec),,20-20,,
5:23.0,,,20-20,,A. Crabbe misses 2-pt shot from 22 ft
5:22.0,Defensive rebound by W. Chandler,,20-20,,
5:17.0,Turnover by W. Chandler (lost ball),,20-20,,
5:04.0,,,20-22,2,D. Lillard makes 2-pt shot from 1 ft (assist by J. Nurkic)
5:00.0,Denver full timeout,,20-22,,
4:52.0,N. Jokic misses 2-pt shot from 1 ft,,20-22,,
4:51.0,Offensive rebound by N. Jokic,,20-22,,
4:50.0,N. Jokic makes 2-pt shot at rim,2,22-22,,
4:35.0,,,22-24,2,C. McCollum makes 2-pt shot from 12 ft
4:20.0,N. Jokic misses 3-pt shot from 24 ft,,22-24,,
4:19.0,,,22-24,,Defensive rebound by Team
4:19.0,,,22-24,,E. Turner enters the game for C. McCollum
4:19.0,,,22-24,,A. Aminu enters the game for N. Vonleh
4:08.0,,,22-24,,D. Lillard misses 2-pt shot from 2 ft
4:08.0,,,22-24,,Offensive rebound by J. Nurkic
4:08.0,,,22-26,2,J. Nurkic makes 2-pt shot at rim
3:49.0,W. Chandler makes 2-pt shot from 17 ft,2,24-26,,
3:33.0,,,24-26,,A. Crabbe misses 2-pt shot from 5 ft
3:32.0,Defensive rebound by K. Faried,,24-26,,
3:21.0,K. Faried makes 2-pt shot from 3 ft (assist by N. Jokic),2,26-26,,
3:07.0,,,26-28,2,J. Nurkic makes 2-pt shot from 4 ft (assist by D. Lillard)
2:53.0,W. Chandler makes 2-pt shot from 1 ft,2,28-28,,
2:41.0,,,28-28,,E. Turner misses 3-pt shot from 24 ft
2:40.0,,,28-28,,Offensive rebound by A. Aminu
2:20.0,,,28-28,,A. Crabbe misses 2-pt shot from 2 ft (block by N. Jokic)
2:20.0,Defensive rebound by K. Faried,,28-28,,
2:16.0,G. Harris makes 2-pt shot from 1 ft (assist by J. Nelson),2,30-28,,
2:16.0,Shooting foul by D. Lillard (drawn by G. Harris),,30-28,,
2:16.0,G. Harris makes free throw 1 of 1,1,31-28,,
2:16.0,M. Plumlee enters the game for N. Jokic,,30-28,,
2:16.0,,,30-28,,M. Leonard enters the game for J. Nurkic
1:53.0,,,31-28,,A. Crabbe misses 3-pt shot from 23 ft
1:53.0,Defensive rebound by W. Chandler,,31-28,,
1:46.0,Turnover by W. Chandler (palming),,31-28,,
1:46.0,W. Barton enters the game for G. Harris,,31-28,,
1:46.0,J. Murray enters the game for J. Nelson,,31-28,,
1:36.0,Personal foul by M. Plumlee (drawn by D. Lillard),,31-28,,
1:31.0,,,31-28,,M. Leonard misses 2-pt shot from 17 ft
1:30.0,Defensive rebound by K. Faried,,31-28,,
1:12.0,W. Barton makes 2-pt shot from 2 ft,2,33-28,,
1:02.0,,,33-30,2,A. Aminu makes 2-pt shot from 2 ft
1:02.0,,,33-30,,Shooting foul by W. Barton (drawn by A. Aminu)
1:02.0,,,33-30,,A. Aminu misses free throw 1 of 1
1:02.0,,,33-30,,C. McCollum enters the game for D. Lillard
1:01.0,Defensive rebound by K. Faried,,33-30,,
0:48.0,W. Chandler makes 2-pt shot from 9 ft (assist by M. Plumlee),2,35-30,,
0:33.0,,,35-30,,C. McCollum misses 2-pt shot from 20 ft
0:32.0,,,35-30,,Offensive rebound by A. Aminu
0:28.0,,,35-32,2,A. Crabbe makes 2-pt shot from 11 ft (assist by A. Aminu)
0:03.0,W. Barton misses 2-pt shot from 21 ft,,35-32,,
0:02.0,Offensive rebound by K. Faried,,35-32,,
0:00.0,K. Faried misses 2-pt shot from 8 ft,,35-32,,
0:00.0,Offensive rebound by Team,,35-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,35-32,,M. Leonard misses 2-pt shot from 2 ft
11:45.0,Defensive rebound by K. Faried,,35-32,,
11:37.0,K. Faried misses 2-pt shot from 2 ft,,35-32,,
11:36.0,Offensive rebound by K. Faried,,35-32,,
11:36.0,K. Faried makes 2-pt shot at rim,2,37-32,,
11:17.0,,,37-32,,M. Leonard misses 3-pt shot from 24 ft
11:16.0,Defensive rebound by K. Faried,,37-32,,
11:03.0,Shooting foul by M. Leonard (drawn by D. Gallinari),,37-32,,
11:03.0,D. Gallinari makes free throw 1 of 2,1,38-32,,
11:03.0,D. Gallinari makes free throw 2 of 2,1,39-32,,
10:57.0,Personal foul by J. Murray (drawn by A. Crabbe),,39-32,,
10:47.0,,,39-34,2,M. Leonard makes 2-pt shot from 15 ft (assist by C. McCollum)
10:26.0,K. Faried misses 2-pt shot from 1 ft,,39-34,,
10:25.0,Offensive rebound by K. Faried,,39-34,,
10:23.0,K. Faried makes 2-pt shot from 2 ft,2,41-34,,
10:02.0,,,41-34,,A. Aminu misses 2-pt shot from 19 ft
10:00.0,Defensive rebound by J. Murray,,41-34,,
9:52.0,J. Murray misses 2-pt shot from 20 ft,,41-34,,
9:52.0,,,41-34,,Defensive rebound by M. Leonard
9:45.0,,,41-34,,Shooting foul by K. Faried
9:45.0,,,41-35,1,C. McCollum makes free throw 1 of 2
9:45.0,,,41-36,1,C. McCollum makes free throw 2 of 2
9:32.0,W. Barton makes 2-pt shot from 14 ft,2,43-36,,
9:12.0,,,43-36,,E. Turner misses 2-pt shot from 3 ft (block by M. Plumlee)
9:11.0,,,43-36,,Offensive rebound by E. Turner
9:11.0,,,43-38,2,E. Turner makes 2-pt shot from 1 ft
9:11.0,,,43-38,,Shooting foul by W. Barton (drawn by E. Turner)
9:11.0,,,43-39,1,E. Turner makes free throw 1 of 1
8:50.0,M. Plumlee misses 2-pt shot from 19 ft,,43-39,,
8:50.0,,,43-39,,Defensive rebound by M. Leonard
8:42.0,,,43-39,,E. Turner misses 3-pt shot from 24 ft
8:41.0,Defensive rebound by M. Plumlee,,43-39,,
8:31.0,W. Barton makes 2-pt shot from 15 ft (assist by M. Plumlee),2,45-39,,
8:30.0,,,45-39,,Portland full timeout
8:30.0,N. Jokic enters the game for K. Faried,,45-39,,
8:30.0,,,45-39,,N. Vonleh enters the game for M. Leonard
8:13.0,,,45-42,3,C. McCollum makes 3-pt shot from 26 ft
7:57.0,Shooting foul by E. Turner (drawn by D. Gallinari),,45-42,,
7:57.0,D. Gallinari misses free throw 1 of 2,,45-42,,
7:57.0,Offensive rebound by Team,,45-42,,
7:57.0,D. Gallinari makes free throw 2 of 2,1,46-42,,
7:57.0,,,45-42,,D. Lillard enters the game for A. Crabbe
7:57.0,,,45-42,,M. Harkless enters the game for E. Turner
7:41.0,,,46-42,,Shooting foul by J. Murray
7:41.0,,,46-43,1,C. McCollum makes free throw 1 of 2
7:41.0,,,46-44,1,C. McCollum makes free throw 2 of 2
7:41.0,,,46-43,,J. Nurkic enters the game for A. Aminu
7:41.0,G. Harris enters the game for J. Murray,,46-43,,
7:27.0,D. Gallinari misses 3-pt shot from 24 ft,,46-44,,
7:26.0,,,46-44,,Defensive rebound by J. Nurkic
7:17.0,,,46-44,,J. Nurkic misses 2-pt shot from 2 ft
7:16.0,Defensive rebound by N. Jokic,,46-44,,
7:11.0,W. Barton makes 2-pt shot from 1 ft (assist by N. Jokic),2,48-44,,
6:53.0,,,48-46,2,C. McCollum makes 2-pt shot from 10 ft
6:37.0,Shooting foul by M. Harkless (drawn by D. Gallinari),,48-46,,
6:37.0,D. Gallinari makes free throw 1 of 2,1,49-46,,
6:37.0,D. Gallinari makes free throw 2 of 2,1,50-46,,
6:37.0,,,49-46,,A. Crabbe enters the game for M. Harkless
6:13.0,,,50-46,,D. Lillard misses 3-pt shot from 25 ft
6:13.0,Defensive rebound by W. Barton,,50-46,,
5:53.0,G. Harris misses 2-pt shot from 8 ft,,50-46,,
5:52.0,Offensive rebound by Team,,50-46,,
