time,Charlotte,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: F. Kaminsky vs. J. Valanciunas (D. Carroll gains possession),,,,Jump ball: F. Kaminsky vs. J. Valanciunas (D. Carroll gains possession)
11:40.0,,,0-3,3,K. Lowry makes 3-pt shot from 26 ft (assist by D. Carroll)
11:27.0,K. Walker misses 3-pt shot from 25 ft,,0-3,,
11:27.0,,,0-3,,Defensive rebound by J. Valanciunas
11:19.0,,,0-5,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
11:04.0,Turnover by N. Batum (bad pass; steal by J. Valanciunas),,0-5,,
10:52.0,,,0-7,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
10:37.0,Turnover by F. Kaminsky (bad pass; steal by N. Powell),,0-7,,
10:26.0,,,0-7,,Turnover by D. DeRozan (bad pass; steal by M. Kidd-Gilchrist)
10:20.0,,,0-7,,Personal foul by D. Carroll (drawn by K. Walker)
10:12.0,M. Kidd-Gilchrist misses 2-pt shot from 19 ft,,0-7,,
10:12.0,,,0-7,,Defensive rebound by J. Valanciunas
10:04.0,,,0-7,,Turnover by K. Lowry (bad pass; steal by M. Kidd-Gilchrist)
10:00.0,,,0-7,,Shooting block foul by K. Lowry (drawn by M. Kidd-Gilchrist)
10:00.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,1-7,,
10:00.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,2-7,,
9:41.0,,,2-7,,Turnover by D. DeRozan (bad pass; steal by K. Walker)
9:34.0,F. Kaminsky makes 2-pt shot from 3 ft (assist by M. Williams),2,4-7,,
9:17.0,,,4-7,,N. Powell misses 2-pt shot from 1 ft
9:16.0,Defensive rebound by M. Kidd-Gilchrist,,4-7,,
9:06.0,F. Kaminsky makes 2-pt shot from 2 ft (assist by K. Walker),2,6-7,,
8:44.0,,,6-7,,D. Carroll misses 3-pt shot from 23 ft
8:43.0,,,6-7,,Offensive rebound by J. Valanciunas
8:41.0,,,6-9,2,J. Valanciunas makes 2-pt shot from 2 ft
8:18.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by N. Batum),3,9-9,,
8:03.0,,,9-12,3,D. Carroll makes 3-pt shot from 24 ft (assist by K. Lowry)
7:45.0,N. Batum makes 2-pt shot from 21 ft,2,11-12,,
7:32.0,,,11-12,,Turnover by J. Valanciunas (lost ball; steal by F. Kaminsky)
7:24.0,F. Kaminsky misses 3-pt shot from 27 ft,,11-12,,
7:23.0,,,11-12,,Defensive rebound by J. Valanciunas
7:12.0,,,11-12,,N. Powell misses 3-pt shot from 27 ft
7:12.0,Defensive rebound by F. Kaminsky,,11-12,,
7:03.0,K. Walker makes 3-pt shot from 25 ft,3,14-12,,
6:52.0,,,14-12,,Toronto full timeout
6:46.0,,,14-12,,D. DeRozan misses 2-pt shot from 5 ft
6:46.0,Defensive rebound by Team,,14-12,,
6:46.0,,,14-12,,Loose ball foul by J. Valanciunas (drawn by F. Kaminsky)
6:34.0,F. Kaminsky misses 2-pt shot from 4 ft,,14-12,,
6:33.0,,,14-12,,Defensive rebound by N. Powell
6:27.0,,,14-12,,Shooting foul by F. Kaminsky (drawn by J. Valanciunas)
6:27.0,,,14-13,1,J. Valanciunas makes free throw 1 of 2
6:27.0,,,14-14,1,J. Valanciunas makes free throw 2 of 2
6:12.0,Turnover by N. Batum (lost ball; steal by K. Lowry),,14-14,,
6:08.0,,,14-16,2,K. Lowry makes 2-pt shot from 3 ft
5:53.0,M. Williams misses 3-pt shot from 23 ft,,14-16,,
5:53.0,,,14-16,,Defensive rebound by K. Lowry
5:48.0,,,14-19,3,K. Lowry makes 3-pt shot from 25 ft
5:39.0,Charlotte full timeout,,14-19,,
5:39.0,J. Lamb enters the game for M. Williams,,14-19,,
5:39.0,Turnover by Team (5 sec inbounds),,14-19,,
5:25.0,,,14-21,2,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan)
5:08.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft,,14-21,,
5:07.0,,,14-21,,Defensive rebound by J. Valanciunas
4:51.0,,,14-21,,Shooting foul by J. Lamb (drawn by N. Powell)
4:51.0,,,14-21,,N. Powell misses free throw 1 of 2
4:51.0,,,14-21,,Offensive rebound by Team
4:51.0,,,14-22,1,N. Powell makes free throw 2 of 2
4:51.0,,,14-21,,D. Wright enters the game for D. Carroll
4:39.0,N. Batum misses 2-pt shot from 22 ft,,14-22,,
4:38.0,Offensive rebound by M. Kidd-Gilchrist,,14-22,,
4:34.0,N. Batum misses 3-pt shot from 27 ft,,14-22,,
4:33.0,,,14-22,,Defensive rebound by N. Powell
4:23.0,,,14-22,,D. DeRozan misses 3-pt shot from 24 ft
4:23.0,Defensive rebound by N. Batum,,14-22,,
4:10.0,J. Lamb makes 2-pt shot from 19 ft (assist by F. Kaminsky),2,16-22,,
3:59.0,,,16-25,3,N. Powell makes 3-pt shot from 25 ft (assist by K. Lowry)
3:59.0,,,16-25,,Shooting foul by J. Lamb (drawn by N. Powell)
3:59.0,,,16-26,1,N. Powell makes free throw 1 of 1
3:59.0,M. Tobey enters the game for F. Kaminsky,,16-25,,
3:59.0,M. Belinelli enters the game for N. Batum,,16-25,,
3:59.0,,,16-25,,L. Nogueira enters the game for J. Valanciunas
3:44.0,Turnover by M. Belinelli (bad pass),,16-26,,
3:23.0,,,16-26,,N. Powell misses 2-pt shot from 1 ft
3:22.0,Defensive rebound by M. Kidd-Gilchrist,,16-26,,
3:19.0,Turnover by M. Kidd-Gilchrist (lost ball),,16-26,,
