time,Golden State,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. Z. Pachulia (K. Looney gains possession),,,,Jump ball: B. Lopez vs. Z. Pachulia (K. Looney gains possession)
11:44.0,K. Thompson makes 3-pt shot from 25 ft (assist by K. Looney),3,3-0,,
11:26.0,,,3-2,2,B. Lopez makes 2-pt shot from 3 ft
11:10.0,K. Thompson misses 2-pt shot from 19 ft,,3-2,,
11:09.0,,,3-2,,Defensive rebound by B. Lopez
10:59.0,,,3-5,3,B. Lopez makes 3-pt shot from 26 ft (assist by J. Lin)
10:40.0,K. Thompson misses 3-pt shot from 25 ft,,3-5,,
10:39.0,,,3-5,,Defensive rebound by B. Lopez
10:31.0,,,3-5,,J. Lin misses 3-pt shot from 25 ft
10:30.0,,,3-5,,Offensive rebound by T. Booker
10:28.0,,,3-5,,T. Booker misses 2-pt shot from 2 ft
10:27.0,Defensive rebound by Z. Pachulia,,3-5,,
10:18.0,K. Durant makes 3-pt shot from 24 ft (assist by Z. Pachulia),3,6-5,,
10:03.0,,,6-5,,Turnover by J. Lin (lost ball; steal by K. Thompson)
10:03.0,Jump ball: J. Lin vs. K. Thompson (B. Bogdanovic gains possession),,,,Jump ball: J. Lin vs. K. Thompson (B. Bogdanovic gains possession)
10:03.0,Turnover by K. Thompson (lost ball; steal by J. Lin),,6-5,,
10:00.0,,,6-8,3,B. Bogdanovic makes 3-pt shot from 27 ft
9:46.0,K. Looney misses 2-pt shot from 2 ft (block by B. Lopez),,6-8,,
9:44.0,Offensive rebound by K. Looney,,6-8,,
9:39.0,K. Looney makes 2-pt shot at rim (assist by K. Durant),2,8-8,,
9:29.0,,,8-8,,B. Lopez misses 3-pt shot from 25 ft
9:27.0,Defensive rebound by K. Looney,,8-8,,
9:18.0,Turnover by S. Curry (bad pass; steal by T. Booker),,8-8,,
9:07.0,,,8-10,2,B. Lopez makes 2-pt shot from 9 ft
8:55.0,,,8-10,,Personal block foul by B. Lopez (drawn by K. Durant)
8:50.0,K. Thompson misses 2-pt shot from 14 ft,,8-10,,
8:49.0,,,8-10,,Defensive rebound by S. Kilpatrick
8:42.0,,,8-12,2,B. Bogdanovic makes 2-pt shot from 3 ft (assist by S. Kilpatrick)
8:25.0,K. Durant makes 2-pt shot from 16 ft (assist by K. Looney),2,10-12,,
8:12.0,,,10-12,,J. Lin misses 2-pt shot from 3 ft (block by Z. Pachulia)
8:10.0,,,10-12,,Offensive rebound by Team
8:04.0,,,10-15,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by J. Lin)
7:52.0,Shooting foul by B. Bogdanovic (drawn by Z. Pachulia),,10-15,,
7:52.0,Z. Pachulia makes free throw 1 of 2,1,11-15,,
7:52.0,Z. Pachulia makes free throw 2 of 2,1,12-15,,
7:40.0,,,12-18,3,B. Lopez makes 3-pt shot from 25 ft (assist by S. Kilpatrick)
7:30.0,,,12-18,,Personal foul by J. Lin (drawn by S. Curry)
7:25.0,K. Thompson misses 3-pt shot from 28 ft,,12-18,,
7:24.0,,,12-18,,Defensive rebound by Team
7:07.0,,,12-18,,T. Booker misses 2-pt shot from 2 ft (block by K. Looney)
7:06.0,Defensive rebound by K. Looney,,12-18,,
6:58.0,S. Curry misses 3-pt shot from 25 ft,,12-18,,
6:57.0,,,12-18,,Defensive rebound by T. Booker
6:53.0,,,12-18,,B. Bogdanovic misses 3-pt shot from 26 ft
6:49.0,Defensive rebound by K. Looney,,12-18,,
6:44.0,K. Durant misses 2-pt shot from 1 ft,,12-18,,
6:42.0,,,12-18,,Defensive rebound by B. Lopez
6:28.0,,,12-20,2,S. Kilpatrick makes 2-pt shot from 2 ft (assist by B. Lopez)
6:28.0,Golden State full timeout,,12-20,,
6:28.0,,,12-20,,J. Hamilton enters the game for T. Booker
6:13.0,K. Durant makes 2-pt shot from 7 ft,2,14-20,,
6:00.0,,,14-20,,Turnover by B. Lopez (bad pass; steal by K. Thompson)
5:52.0,Z. Pachulia misses 2-pt shot from 1 ft,,14-20,,
5:51.0,Offensive rebound by Z. Pachulia,,14-20,,
5:50.0,Z. Pachulia makes 2-pt shot from 1 ft,2,16-20,,
