time,Cleveland,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. T. Thompson (J. Green gains possession),,,,Jump ball: M. Gasol vs. T. Thompson (J. Green gains possession)
11:40.0,,,0-0,,T. Allen misses 2-pt shot from 15 ft
11:39.0,Defensive rebound by M. Dunleavy,,0-0,,
11:22.0,J. Smith misses 2-pt shot from 20 ft,,0-0,,
11:19.0,,,0-0,,Defensive rebound by A. Harrison
11:12.0,,,0-3,3,M. Gasol makes 3-pt shot from 25 ft (assist by A. Harrison)
10:56.0,D. Liggins misses 2-pt shot from 1 ft,,0-3,,
10:56.0,,,0-3,,Defensive rebound by Team
10:39.0,,,0-5,2,T. Allen makes 2-pt shot from 1 ft (assist by J. Green)
10:16.0,M. Dunleavy makes 3-pt shot from 25 ft,3,3-5,,
9:50.0,,,3-5,,J. Green misses 2-pt shot from 21 ft
9:49.0,Defensive rebound by M. Dunleavy,,3-5,,
9:35.0,J. Smith misses 3-pt shot from 26 ft,,3-5,,
9:35.0,,,3-5,,Defensive rebound by J. Green
9:24.0,,,3-5,,Turnover by A. Harrison (bad pass; steal by T. Thompson)
9:18.0,Shooting foul by A. Harrison (drawn by D. Liggins),,3-5,,
9:18.0,D. Liggins makes free throw 1 of 2,1,4-5,,
9:18.0,D. Liggins makes free throw 2 of 2,1,5-5,,
9:00.0,,,5-7,2,T. Allen makes 2-pt shot from 1 ft (assist by T. Williams)
8:46.0,Turnover by J. Smith (bad pass; steal by M. Gasol),,5-7,,
8:44.0,,,5-7,,Turnover by J. Green (bad pass; steal by M. Dunleavy)
8:37.0,J. Smith misses 2-pt shot from 4 ft,,5-7,,
8:36.0,Offensive rebound by T. Thompson,,5-7,,
8:19.0,C. Frye misses 2-pt shot from 11 ft,,5-7,,
8:18.0,,,5-7,,Defensive rebound by J. Green
8:03.0,,,5-7,,J. Green misses 2-pt shot from 19 ft
8:03.0,Defensive rebound by T. Thompson,,5-7,,
7:54.0,,,5-7,,Violation by J. Green (def goaltending)
7:54.0,M. Dunleavy makes 2-pt shot from 1 ft,2,7-7,,
7:33.0,,,7-9,2,M. Gasol makes 2-pt shot from 11 ft
7:24.0,T. Thompson makes 2-pt shot from 5 ft (assist by D. Liggins),2,9-9,,
7:07.0,,,9-9,,T. Allen misses 2-pt shot from 20 ft
7:04.0,,,9-9,,Offensive rebound by J. Green
7:04.0,,,9-11,2,J. Green makes 2-pt shot at rim
6:50.0,,,9-11,,Personal foul by A. Harrison (drawn by D. Liggins)
6:50.0,,,9-11,,T. Douglas enters the game for A. Harrison
6:45.0,J. Smith misses 2-pt shot from 1 ft,,9-11,,
6:43.0,Offensive rebound by T. Thompson,,9-11,,
