time,Brooklyn,pts.away,score,pts.home,New York
1:24.0,Turnover by S. Dinwiddie (bad pass; steal by C. Randle),,26-28,,
1:09.0,,,26-28,,K. O'Quinn misses 2-pt shot from 14 ft
1:07.0,,,26-28,,Offensive rebound by Team
1:07.0,Flagrant foul type 1 by J. Hamilton (drawn by K. O'Quinn),,26-28,,
1:07.0,,,26-29,1,K. O'Quinn makes flagrant free throw 1 of 2
1:07.0,,,26-30,1,K. O'Quinn makes flagrant free throw 2 of 2
0:56.0,,,26-33,3,J. Holiday makes 3-pt shot from 24 ft (assist by C. Randle)
0:46.0,,,26-33,,Personal foul by K. O'Quinn (drawn by S. Dinwiddie)
0:37.0,Q. Acy misses 2-pt shot from 2 ft,,26-33,,
0:35.0,,,26-33,,Defensive rebound by K. O'Quinn
0:28.0,,,26-33,,Turnover by C. Randle (lost ball; steal by S. Dinwiddie)
0:25.0,Shooting foul by C. Anthony (drawn by K. McDaniels),,26-33,,
0:25.0,K. McDaniels makes free throw 1 of 2,1,27-33,,
0:25.0,K. McDaniels makes free throw 2 of 2,1,28-33,,
0:11.0,,,28-33,,R. Baker misses 2-pt shot from 2 ft
0:09.0,Defensive rebound by K. McDaniels,,28-33,,
0:04.0,Q. Acy misses 3-pt shot from 24 ft,,28-33,,
0:02.0,,,28-33,,Defensive rebound by C. Anthony
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,28-35,2,K. O'Quinn makes 2-pt shot from 2 ft (assist by J. Holiday)
11:42.0,,,28-35,,Shooting foul by K. McDaniels (drawn by K. O'Quinn)
11:42.0,,,28-36,1,K. O'Quinn makes free throw 1 of 1
11:28.0,I. Whitehead misses 3-pt shot from 26 ft,,28-36,,
11:26.0,Offensive rebound by J. Hamilton,,28-36,,
11:24.0,J. Hamilton makes 2-pt shot from 1 ft,2,30-36,,
11:11.0,,,30-36,,R. Baker misses 3-pt shot from 23 ft
11:10.0,,,30-36,,Offensive rebound by Team
11:10.0,Loose ball foul by Q. Acy (drawn by K. O'Quinn),,30-36,,
11:05.0,,,30-38,2,J. Holiday makes 2-pt shot from 11 ft (assist by C. Randle)
10:44.0,S. Dinwiddie makes 3-pt shot from 25 ft (assist by I. Whitehead),3,33-38,,
10:27.0,,,33-40,2,K. O'Quinn makes 2-pt shot from 1 ft
10:08.0,K. McDaniels makes 2-pt shot from 2 ft,2,35-40,,
9:56.0,Personal foul by J. Hamilton (drawn by K. O'Quinn),,35-40,,
9:56.0,R. Foye enters the game for K. McDaniels,,35-40,,
9:48.0,,,35-40,,K. O'Quinn misses 3-pt shot from 24 ft
9:46.0,Defensive rebound by S. Dinwiddie,,35-40,,
9:33.0,,,35-40,,Personal foul by C. Randle (drawn by Q. Acy)
9:33.0,,,35-40,,D. Rose enters the game for C. Randle
9:19.0,Turnover by Team (shot clock),,35-40,,
8:57.0,,,35-42,2,K. O'Quinn makes 2-pt shot at rim (assist by R. Baker)
8:47.0,,,35-42,,Personal foul by J. Holiday (drawn by J. Hamilton)
8:47.0,Official timeout,,35-42,,
8:37.0,J. Hamilton misses 3-pt shot from 24 ft,,35-42,,
8:35.0,,,35-42,,Defensive rebound by L. Thomas
8:14.0,,,35-44,2,L. Thomas makes 2-pt shot from 3 ft
7:57.0,,,35-44,,Personal foul by D. Rose (drawn by S. Dinwiddie)
7:57.0,S. Dinwiddie misses free throw 1 of 3,,35-44,,
7:57.0,Offensive rebound by Team,,35-44,,
7:57.0,S. Dinwiddie makes free throw 2 of 3,1,36-44,,
7:57.0,S. Dinwiddie makes free throw 3 of 3,1,37-44,,
7:44.0,,,37-46,2,L. Thomas makes 2-pt shot from 13 ft
7:21.0,I. Whitehead misses 3-pt shot from 25 ft,,37-46,,
7:19.0,,,37-46,,Defensive rebound by R. Baker
7:07.0,,,37-46,,D. Rose misses 2-pt shot from 16 ft
7:05.0,Defensive rebound by Q. Acy,,37-46,,
6:52.0,,,37-46,,Def 3 sec tech foul by K. O'Quinn
6:52.0,R. Foye misses technical free throw,,37-46,,
6:52.0,Offensive rebound by Team,,37-46,,
6:52.0,J. Lin enters the game for S. Dinwiddie,,37-46,,
6:52.0,B. Lopez enters the game for J. Hamilton,,37-46,,
6:49.0,B. Lopez misses 3-pt shot from 25 ft,,37-46,,
6:47.0,,,37-46,,Defensive rebound by L. Thomas
6:27.0,,,37-46,,D. Rose misses 2-pt shot from 14 ft
6:26.0,Defensive rebound by Q. Acy,,37-46,,
6:19.0,,,37-46,,C. Lee enters the game for J. Holiday
6:19.0,C. LeVert enters the game for I. Whitehead,,37-46,,
6:15.0,Turnover by B. Lopez (bad pass; steal by R. Baker),,37-46,,
6:12.0,,,37-46,,Shooting foul by C. LeVert (drawn by D. Rose)
6:12.0,,,37-47,1,D. Rose makes free throw 1 of 2
6:12.0,,,37-48,1,D. Rose makes free throw 2 of 2
6:12.0,,,37-47,,W. Hernangomez enters the game for K. O'Quinn
6:03.0,Shooting foul by W. Hernangomez (drawn by B. Lopez),,37-48,,
6:03.0,B. Lopez makes free throw 1 of 2,1,38-48,,
6:03.0,B. Lopez makes free throw 2 of 2,1,39-48,,
6:03.0,,,38-48,,C. Anthony enters the game for L. Thomas
5:52.0,,,39-48,,W. Hernangomez misses 2-pt shot from 12 ft
5:50.0,Defensive rebound by R. Foye,,39-48,,
5:39.0,B. Lopez misses 2-pt shot from 5 ft,,39-48,,
5:37.0,,,39-48,,Defensive rebound by W. Hernangomez
5:29.0,,,39-48,,Turnover by D. Rose (bad pass; steal by J. Lin)
5:24.0,Offensive foul by B. Lopez,,39-48,,
5:24.0,Turnover by B. Lopez (offensive foul),,39-48,,
