time,Charlotte,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. R. Hibbert (N. Batum gains possession),,,,Jump ball: A. Davis vs. R. Hibbert (N. Batum gains possession)
11:40.0,M. Kidd-Gilchrist misses 2-pt shot from 8 ft,,0-0,,
11:40.0,Offensive rebound by Team,,0-0,,
11:29.0,K. Walker misses 3-pt shot from 26 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by A. Davis
11:04.0,,,0-0,,E. Moore misses 2-pt shot from 18 ft
11:04.0,,,0-0,,Offensive rebound by O. Asik
11:04.0,Jump ball: O. Asik vs. M. Kidd-Gilchrist (T. Frazier gains possession),,,,Jump ball: O. Asik vs. M. Kidd-Gilchrist (T. Frazier gains possession)
10:49.0,,,0-2,2,A. Davis makes 2-pt shot from 12 ft (assist by T. Frazier)
10:30.0,Turnover by K. Walker (bad pass; steal by O. Asik),,0-2,,
10:15.0,,,0-2,,A. Davis misses 2-pt shot from 20 ft
10:13.0,Defensive rebound by M. Kidd-Gilchrist,,0-2,,
10:03.0,R. Hibbert misses 2-pt shot from 10 ft,,0-2,,
10:01.0,,,0-2,,Defensive rebound by A. Davis
9:48.0,,,0-4,2,A. Davis makes 2-pt shot from 5 ft (assist by T. Frazier)
9:48.0,,,0-4,,Shooting foul by M. Kidd-Gilchrist (drawn by A. Davis)
9:48.0,,,0-5,1,A. Davis makes free throw 1 of 1
9:30.0,K. Walker makes 2-pt shot from 11 ft,2,2-5,,
9:22.0,,,2-5,,Turnover by A. Davis (traveling)
9:09.0,N. Batum misses 2-pt shot from 8 ft,,2-5,,
9:07.0,,,2-5,,Defensive rebound by E. Moore
8:54.0,,,2-5,,T. Frazier misses 3-pt shot from 26 ft
8:53.0,Defensive rebound by M. Williams,,2-5,,
8:40.0,M. Williams misses 2-pt shot from 2 ft,,2-5,,
8:39.0,,,2-5,,Defensive rebound by O. Asik
8:38.0,,,2-5,,Turnover by O. Asik (bad pass; steal by R. Hibbert)
8:30.0,M. Williams misses 3-pt shot from 23 ft,,2-5,,
8:30.0,,,2-5,,Defensive rebound by O. Asik
8:19.0,,,2-5,,D. Cunningham misses 2-pt shot from 7 ft (block by N. Batum)
8:19.0,,,2-5,,Offensive rebound by Team
8:16.0,,,2-5,,A. Davis misses 3-pt shot from 27 ft
8:14.0,Defensive rebound by K. Walker,,2-5,,
8:09.0,N. Batum makes 3-pt shot from 27 ft (assist by K. Walker),3,5-5,,
7:53.0,,,5-5,,T. Frazier misses 2-pt shot from 14 ft
7:52.0,Defensive rebound by N. Batum,,5-5,,
7:40.0,M. Williams makes 2-pt shot from 14 ft,2,7-5,,
7:24.0,Personal foul by M. Williams (drawn by A. Davis),,7-5,,
7:24.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,7-5,,
7:17.0,,,7-7,2,A. Davis makes 2-pt shot from 17 ft (assist by O. Asik)
7:01.0,M. Williams misses 3-pt shot from 27 ft,,7-7,,
7:01.0,,,7-7,,Defensive rebound by O. Asik
6:48.0,,,7-7,,E. Moore misses 2-pt shot from 19 ft
6:46.0,,,7-7,,Offensive rebound by O. Asik
6:41.0,,,7-7,,A. Davis misses 3-pt shot from 25 ft
6:40.0,Defensive rebound by N. Batum,,7-7,,
6:32.0,K. Walker misses 3-pt shot from 26 ft,,7-7,,
6:32.0,,,7-7,,Defensive rebound by A. Davis
6:22.0,,,7-9,2,A. Davis makes 2-pt shot from 5 ft
6:07.0,Turnover by N. Batum (step out of bounds),,7-9,,
5:55.0,,,7-9,,A. Davis misses 2-pt shot from 8 ft
5:54.0,Defensive rebound by M. Belinelli,,7-9,,
5:45.0,Turnover by M. Belinelli (bad pass; steal by E. Moore),,7-9,,
5:37.0,,,7-9,,D. Cunningham misses 2-pt shot from 2 ft
5:35.0,Defensive rebound by K. Walker,,7-9,,
5:30.0,M. Belinelli makes 3-pt shot from 25 ft (assist by K. Walker),3,10-9,,
5:09.0,,,10-11,2,T. Frazier makes 2-pt shot from 2 ft (assist by A. Davis)
4:50.0,R. Hibbert makes 2-pt shot from 9 ft (assist by M. Belinelli),2,12-11,,
4:38.0,,,12-11,,A. Davis misses 2-pt shot from 18 ft
4:37.0,,,12-11,,Offensive rebound by D. Cunningham
4:32.0,,,12-11,,D. Cunningham misses 2-pt shot from 2 ft
4:32.0,,,12-11,,Offensive rebound by D. Cunningham
4:32.0,,,12-11,,D. Cunningham misses 2-pt shot from 2 ft
4:31.0,Defensive rebound by N. Batum,,12-11,,
4:26.0,M. Williams misses 3-pt shot from 24 ft,,12-11,,
4:24.0,,,12-11,,Defensive rebound by T. Frazier
4:19.0,,,12-11,,New Orleans full timeout
4:19.0,S. Hawes enters the game for M. Williams,,12-11,,
4:19.0,M. Kidd-Gilchrist enters the game for R. Hibbert,,12-11,,
4:19.0,F. Kaminsky enters the game for N. Batum,,12-11,,
4:19.0,,,12-11,,T. Jones enters the game for D. Cunningham
4:19.0,,,12-11,,S. Hill enters the game for O. Asik
4:19.0,,,12-11,,J. Holiday enters the game for E. Moore
4:08.0,,,12-11,,T. Frazier misses 3-pt shot from 23 ft
4:08.0,Defensive rebound by S. Hawes,,12-11,,
3:57.0,,,12-11,,Personal foul by A. Davis (drawn by M. Belinelli)
3:46.0,F. Kaminsky misses 3-pt shot from 25 ft,,12-11,,
3:46.0,,,12-11,,Defensive rebound by Team
3:46.0,,,12-11,,L. Galloway enters the game for T. Frazier
3:30.0,,,12-13,2,T. Jones makes 2-pt shot from 7 ft
3:30.0,,,12-13,,Shooting foul by S. Hawes (drawn by T. Jones)
3:30.0,,,12-14,1,T. Jones makes free throw 1 of 1
