time,Portland,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. J. Valanciunas (C. Joseph gains possession),,,,Jump ball: J. Nurkic vs. J. Valanciunas (C. Joseph gains possession)
11:37.0,,,0-2,2,J. Valanciunas makes 2-pt shot from 5 ft (assist by S. Ibaka)
11:18.0,C. McCollum makes 2-pt shot from 4 ft,2,2-2,,
11:03.0,,,2-4,2,J. Valanciunas makes 2-pt shot from 15 ft (assist by C. Joseph)
10:47.0,M. Harkless makes 3-pt shot from 22 ft (assist by D. Lillard),3,5-4,,
10:26.0,,,5-4,,S. Ibaka misses 3-pt shot from 25 ft
10:26.0,Defensive rebound by D. Lillard,,5-4,,
10:26.0,Turnover by J. Nurkic (bad pass; steal by C. Joseph),,5-4,,
10:15.0,Jump ball: C. Joseph vs. D. Lillard (J. Valanciunas gains possession),,,,Jump ball: C. Joseph vs. D. Lillard (J. Valanciunas gains possession)
10:06.0,,,5-4,,C. Joseph misses 2-pt shot from 17 ft
10:05.0,Defensive rebound by D. Lillard,,5-4,,
9:53.0,J. Nurkic misses 2-pt shot from 5 ft,,5-4,,
9:53.0,,,5-4,,Defensive rebound by S. Ibaka
9:42.0,,,5-4,,D. Carroll misses 2-pt shot from 8 ft
9:42.0,Defensive rebound by N. Vonleh,,5-4,,
9:32.0,Turnover by D. Lillard (bad pass; steal by S. Ibaka),,5-4,,
9:29.0,,,5-4,,Shooting foul by N. Vonleh (drawn by D. Carroll)
9:29.0,,,5-4,,D. Carroll misses free throw 1 of 2
9:29.0,,,5-4,,Offensive rebound by Team
9:29.0,,,5-5,1,D. Carroll makes free throw 2 of 2
9:12.0,J. Nurkic misses 2-pt shot from 3 ft,,5-5,,
9:11.0,,,5-5,,Defensive rebound by S. Ibaka
9:04.0,,,5-8,3,D. Carroll makes 3-pt shot from 25 ft (assist by C. Joseph)
8:48.0,D. Lillard makes 2-pt shot from 7 ft,2,7-8,,
8:21.0,,,7-8,,S. Ibaka misses 3-pt shot from 24 ft
8:20.0,Defensive rebound by J. Nurkic,,7-8,,
8:10.0,D. Lillard makes 2-pt shot from 18 ft,2,9-8,,
7:49.0,,,9-10,2,D. DeRozan makes 2-pt shot from 4 ft
7:32.0,C. McCollum makes 2-pt shot from 3 ft (assist by J. Nurkic),2,11-10,,
7:18.0,,,11-10,,Shooting foul by J. Nurkic (drawn by D. DeRozan)
7:18.0,,,11-11,1,D. DeRozan makes free throw 1 of 2
7:18.0,,,11-12,1,D. DeRozan makes free throw 2 of 2
7:07.0,Shooting foul by J. Valanciunas (drawn by J. Nurkic),,11-12,,
7:07.0,J. Nurkic makes free throw 1 of 2,1,12-12,,
7:07.0,J. Nurkic makes free throw 2 of 2,1,13-12,,
6:57.0,,,13-14,2,C. Joseph makes 2-pt shot from 6 ft
6:53.0,,,13-14,,Personal foul by D. Carroll (drawn by C. McCollum)
6:46.0,N. Vonleh makes 2-pt shot at rim (assist by J. Nurkic),2,15-14,,
6:22.0,,,15-14,,C. Joseph misses 2-pt shot from 4 ft
6:21.0,Defensive rebound by N. Vonleh,,15-14,,
6:15.0,Turnover by D. Lillard (bad pass; steal by D. DeRozan),,15-14,,
6:09.0,,,15-16,2,D. DeRozan makes 2-pt shot from 2 ft
5:51.0,C. McCollum misses 2-pt shot from 2 ft,,15-16,,
5:50.0,Offensive rebound by J. Nurkic,,15-16,,
5:48.0,J. Nurkic misses 2-pt shot from 1 ft,,15-16,,
5:48.0,,,15-16,,Defensive rebound by Team
5:48.0,Loose ball foul by J. Nurkic (drawn by S. Ibaka),,15-16,,
5:48.0,,,15-16,,Toronto full timeout
5:48.0,M. Leonard enters the game for J. Nurkic,,15-16,,
5:41.0,,,15-16,,Turnover by S. Ibaka (traveling)
5:30.0,M. Harkless makes 3-pt shot from 25 ft (assist by D. Lillard),3,18-16,,
5:03.0,,,18-18,2,D. DeRozan makes 2-pt shot from 1 ft
4:49.0,D. Lillard misses 3-pt shot from 25 ft,,18-18,,
4:48.0,,,18-18,,Defensive rebound by D. Carroll
4:35.0,,,18-18,,D. Carroll misses 3-pt shot from 25 ft
4:34.0,Defensive rebound by M. Harkless,,18-18,,
4:30.0,Shooting foul by D. DeRozan (drawn by M. Harkless),,18-18,,
4:30.0,M. Harkless misses free throw 1 of 2,,18-18,,
4:30.0,Offensive rebound by Team,,18-18,,
4:30.0,M. Harkless makes free throw 2 of 2,1,19-18,,
4:30.0,A. Crabbe enters the game for C. McCollum,,18-18,,
4:15.0,Personal foul by M. Leonard (drawn by J. Valanciunas),,19-18,,
4:05.0,,,19-18,,S. Ibaka misses 2-pt shot from 13 ft
4:03.0,Defensive rebound by N. Vonleh,,19-18,,
3:48.0,Portland full timeout,,19-18,,
3:48.0,A. Aminu enters the game for N. Vonleh,,19-18,,
3:48.0,,,19-18,,L. Nogueira enters the game for D. Carroll
3:48.0,,,19-18,,P. Tucker enters the game for J. Valanciunas
3:40.0,M. Leonard misses 2-pt shot from 5 ft,,19-18,,
